name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Klay Thompson,2,10,2,1,Alley Oop Dunk Shot,0,6,-2,True
Klay Thompson,2,7,35,1,Alley Oop Layup shot,1,6,11,True
Klay Thompson,2,7,39,0,Alley Oop Layup shot,6,27,57,True
Klay Thompson,1,5,26,1,Cutting Dunk Shot,0,7,-5,True
Klay Thompson,3,10,30,1,Cutting Dunk Shot,2,-1,25,True
Klay Thompson,1,9,22,1,Cutting Finger Roll Layup Shot,1,5,16,True
Klay Thompson,1,5,59,1,Cutting Finger Roll Layup Shot,3,9,29,True
Klay Thompson,1,10,51,1,Cutting Layup Shot,2,-5,26,True
Klay Thompson,2,11,19,0,Cutting Layup Shot,1,-16,10,True
Klay Thompson,1,9,3,1,Cutting Layup Shot,3,-36,15,True
Klay Thompson,2,6,34,1,Cutting Layup Shot,0,5,7,True
Klay Thompson,2,1,54,0,Cutting Layup Shot,1,-11,10,True
Klay Thompson,1,8,29,0,Cutting Layup Shot,1,13,10,True
Klay Thompson,4,9,35,0,Cutting Layup Shot,2,-9,22,True
Klay Thompson,1,9,28,1,Cutting Layup Shot,0,-3,8,True
Klay Thompson,3,5,51,1,Cutting Layup Shot,1,-11,5,True
Klay Thompson,3,11,10,1,Cutting Layup Shot,1,-19,6,True
Klay Thompson,4,7,44,1,Cutting Layup Shot,1,-5,10,True
Klay Thompson,4,5,30,1,Cutting Layup Shot,7,-64,32,True
Klay Thompson,1,4,37,1,Cutting Layup Shot,1,0,10,True
Klay Thompson,2,7,21,1,Cutting Layup Shot,1,10,16,True
Klay Thompson,2,11,13,0,Cutting Layup Shot,2,0,25,True
Klay Thompson,2,10,30,1,Cutting Layup Shot,1,8,10,True
Klay Thompson,4,6,56,0,Cutting Layup Shot,1,-15,9,True
Klay Thompson,2,11,14,1,Cutting Layup Shot,1,-12,11,True
Klay Thompson,4,8,25,0,Cutting Layup Shot,1,7,17,True
Klay Thompson,2,11,6,1,Cutting Layup Shot,0,3,4,True
Klay Thompson,2,6,31,1,Cutting Layup Shot,1,11,8,True
Klay Thompson,2,9,35,0,Cutting Layup Shot,2,20,16,True
Klay Thompson,2,3,29,0,Cutting Layup Shot,2,-10,19,True
Klay Thompson,3,7,40,1,Cutting Layup Shot,2,12,16,True
Klay Thompson,1,10,10,1,Cutting Layup Shot,2,-18,21,True
Klay Thompson,2,7,29,0,Cutting Layup Shot,2,-20,8,True
Klay Thompson,2,9,41,1,Cutting Layup Shot,0,8,5,True
Klay Thompson,1,11,44,1,Cutting Layup Shot,2,-20,0,True
Klay Thompson,3,10,42,1,Cutting Layup Shot,1,-14,13,True
Klay Thompson,3,6,53,1,Cutting Layup Shot,0,7,3,True
