name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Kyle Kuzma,1,4,15,1,Alley Oop Dunk Shot,1,9,8,True
Kyle Kuzma,2,8,59,1,Alley Oop Dunk Shot,1,3,10,True
Kyle Kuzma,3,5,7,1,Alley Oop Layup shot,2,-14,18,True
Kyle Kuzma,4,1,22,1,Alley Oop Layup shot,1,-5,18,True
Kyle Kuzma,2,5,49,1,Alley Oop Layup shot,2,7,26,True
Kyle Kuzma,2,0,11,1,Alley Oop Layup shot,1,-16,5,True
Kyle Kuzma,1,8,38,0,Alley Oop Layup shot,2,-3,20,True
Kyle Kuzma,3,8,55,1,Alley Oop Layup shot,1,5,15,True
Kyle Kuzma,2,9,52,1,Cutting Dunk Shot,1,16,11,True
Kyle Kuzma,3,1,17,1,Cutting Dunk Shot,1,3,12,True
Kyle Kuzma,2,7,48,1,Cutting Dunk Shot,0,3,7,True
Kyle Kuzma,3,5,45,1,Cutting Dunk Shot,2,14,15,True
Kyle Kuzma,3,3,33,0,Cutting Dunk Shot,1,-14,13,True
Kyle Kuzma,2,10,51,1,Cutting Finger Roll Layup Shot,1,-11,10,True
Kyle Kuzma,3,4,35,1,Cutting Layup Shot,2,-17,21,True
Kyle Kuzma,4,1,53,1,Cutting Layup Shot,0,0,7,True
Kyle Kuzma,1,0,25,1,Cutting Layup Shot,3,-11,36,True
Kyle Kuzma,4,1,37,1,Cutting Layup Shot,2,-16,23,True
Kyle Kuzma,1,0,51,0,Cutting Layup Shot,1,14,9,True
Kyle Kuzma,4,7,2,0,Cutting Layup Shot,1,18,1,True
Kyle Kuzma,2,9,7,1,Cutting Layup Shot,0,6,3,True
Kyle Kuzma,4,6,9,1,Cutting Layup Shot,2,7,21,True
Kyle Kuzma,1,1,52,1,Cutting Layup Shot,1,7,11,True
Kyle Kuzma,4,3,32,1,Cutting Layup Shot,1,-12,10,True
Kyle Kuzma,4,4,46,0,Cutting Layup Shot,3,-2,34,True
Kyle Kuzma,2,10,20,1,Cutting Layup Shot,2,2,26,True
Kyle Kuzma,2,4,45,1,Cutting Layup Shot,0,1,8,True
Kyle Kuzma,3,4,12,1,Cutting Layup Shot,1,2,11,True
Kyle Kuzma,1,11,10,1,Cutting Layup Shot,2,-12,26,True
Kyle Kuzma,3,5,57,1,Cutting Layup Shot,2,-21,15,True
Kyle Kuzma,1,9,4,0,Cutting Layup Shot,2,-8,26,True
Kyle Kuzma,1,7,20,1,Cutting Layup Shot,1,-9,11,True
Kyle Kuzma,2,3,16,1,Cutting Layup Shot,0,-4,3,True
Kyle Kuzma,2,7,5,0,Cutting Layup Shot,2,-6,27,True
Kyle Kuzma,4,3,36,1,Cutting Layup Shot,0,-7,5,True
Kyle Kuzma,2,1,37,1,Driving Bank Hook Shot,1,8,6,True
Kyle Kuzma,4,7,15,0,Driving Bank Hook Shot,3,33,9,True
Kyle Kuzma,3,0,24,1,Driving Bank Hook Shot,4,44,20,True
Kyle Kuzma,4,6,35,1,Driving Bank Hook Shot,5,44,25,True
Kyle Kuzma,3,4,39,0,Driving Bank Hook Shot,3,29,20,True
Kyle Kuzma,4,5,1,0,Driving Bank Hook Shot,6,63,25,True
Kyle Kuzma,4,6,40,1,Driving Bank Hook Shot,5,46,20,True
Kyle Kuzma,1,4,33,1,Driving Bank Hook Shot,5,56,14,True
