name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Kyle Lowry,1,10,48,1,Cutting Finger Roll Layup Shot,2,2,20,True
Kyle Lowry,2,6,49,1,Cutting Layup Shot,1,-11,3,True
Kyle Lowry,2,4,28,1,Cutting Layup Shot,0,3,6,True
Kyle Lowry,3,5,32,1,Cutting Layup Shot,1,15,4,True
Kyle Lowry,3,9,23,1,Cutting Layup Shot,1,-6,10,True
Kyle Lowry,1,3,50,1,Cutting Layup Shot,1,10,8,True
Kyle Lowry,4,4,17,0,Cutting Layup Shot,5,-29,43,True
Kyle Lowry,2,6,10,1,Cutting Layup Shot,1,-14,5,True
Kyle Lowry,1,8,27,0,Cutting Layup Shot,5,41,37,True
Kyle Lowry,4,5,57,1,Cutting Layup Shot,2,-19,-8,True
Kyle Lowry,2,5,54,1,Cutting Layup Shot,0,-9,-3,True
Kyle Lowry,3,7,36,0,Driving Finger Roll Layup Shot,14,61,134,True
Kyle Lowry,5,4,12,0,Driving Finger Roll Layup Shot,5,-46,20,True
Kyle Lowry,3,2,46,0,Driving Finger Roll Layup Shot,1,19,4,True
Kyle Lowry,1,3,34,1,Driving Finger Roll Layup Shot,1,8,7,True
Kyle Lowry,4,9,47,1,Driving Finger Roll Layup Shot,0,0,4,True
Kyle Lowry,3,6,5,1,Driving Finger Roll Layup Shot,1,16,10,True
Kyle Lowry,2,6,52,1,Driving Finger Roll Layup Shot,2,20,9,True
Kyle Lowry,2,0,6,1,Driving Finger Roll Layup Shot,1,-3,18,True
Kyle Lowry,3,9,32,1,Driving Finger Roll Layup Shot,1,-13,0,True
Kyle Lowry,1,3,1,1,Driving Floating Bank Jump Shot,2,25,6,True
Kyle Lowry,3,8,18,1,Driving Floating Bank Jump Shot,2,18,10,True
Kyle Lowry,1,7,58,0,Driving Floating Bank Jump Shot,9,87,48,True
Kyle Lowry,1,5,10,1,Driving Floating Bank Jump Shot,5,38,33,True
Kyle Lowry,4,1,19,1,Driving Floating Bank Jump Shot,2,-22,15,True
Kyle Lowry,3,3,36,0,Driving Floating Bank Jump Shot,8,71,41,True
Kyle Lowry,4,0,53,0,Driving Floating Bank Jump Shot,3,24,21,True
