name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Kyle Singler,4,3,21,1,Cutting Layup Shot,0,8,3,True
Kyle Singler,4,0,16,1,Cutting Layup Shot,1,3,10,True
Kyle Singler,2,11,44,0,Driving Dunk Shot,1,-13,5,True
Kyle Singler,1,0,27,0,Driving Finger Roll Layup Shot,1,-1,17,True
Kyle Singler,4,6,43,0,Driving Floating Jump Shot,9,-59,69,True
Kyle Singler,3,1,12,0,Driving Layup Shot,1,11,9,True
Kyle Singler,4,0,47,1,Driving Layup Shot,2,25,14,True
Kyle Singler,2,9,16,1,Driving Layup Shot,4,9,48,True
Kyle Singler,4,0,56,1,Floating Jump shot,10,-43,92,True
Kyle Singler,4,0,21,0,Jump Bank Shot,8,-47,74,True
Kyle Singler,4,4,1,0,Jump Shot,26,130,229,False
Kyle Singler,1,3,16,0,Jump Shot,22,-70,211,True
Kyle Singler,4,10,12,0,Jump Shot,24,121,208,False
Kyle Singler,4,8,57,1,Jump Shot,24,-182,161,False
Kyle Singler,4,0,35,0,Jump Shot,8,-58,59,True
Kyle Singler,4,4,36,0,Jump Shot,22,49,220,True
Kyle Singler,4,4,12,0,Jump Shot,11,-16,118,True
Kyle Singler,1,1,46,1,Jump Shot,24,-161,186,False
Kyle Singler,4,3,44,0,Jump Shot,25,-168,189,False
Kyle Singler,4,4,36,0,Layup Shot,2,15,23,True
Kyle Singler,3,3,46,0,Pullup Jump shot,13,18,131,True
