name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
LaMarcus Aldridge,2,4,37,1,Alley Oop Dunk Shot,0,-2,2,True
LaMarcus Aldridge,3,9,1,1,Alley Oop Dunk Shot,1,0,10,True
LaMarcus Aldridge,2,4,19,1,Alley Oop Layup shot,0,-9,4,True
LaMarcus Aldridge,1,11,22,0,Alley Oop Layup shot,1,15,6,True
LaMarcus Aldridge,1,3,56,1,Alley Oop Layup shot,1,11,5,True
LaMarcus Aldridge,3,5,14,1,Alley Oop Layup shot,2,3,24,True
LaMarcus Aldridge,2,5,55,1,Alley Oop Layup shot,1,-6,8,True
LaMarcus Aldridge,3,9,2,1,Alley Oop Layup shot,1,-15,13,True
LaMarcus Aldridge,2,4,3,1,Alley Oop Layup shot,0,-7,7,True
LaMarcus Aldridge,3,8,48,1,Alley Oop Layup shot,1,-11,0,True
LaMarcus Aldridge,1,9,18,0,Alley Oop Layup shot,1,1,10,True
LaMarcus Aldridge,2,4,29,1,Alley Oop Layup shot,1,1,13,True
LaMarcus Aldridge,4,0,37,0,Alley Oop Layup shot,1,8,6,True
LaMarcus Aldridge,2,5,18,0,Alley Oop Layup shot,0,-3,3,True
LaMarcus Aldridge,3,10,26,1,Alley Oop Layup shot,2,-17,16,True
LaMarcus Aldridge,1,7,5,1,Alley Oop Layup shot,0,4,-4,True
LaMarcus Aldridge,1,6,20,1,Alley Oop Layup shot,0,-3,4,True
LaMarcus Aldridge,1,5,0,1,Cutting Dunk Shot,4,-8,48,True
LaMarcus Aldridge,4,3,10,1,Cutting Dunk Shot,2,-19,11,True
LaMarcus Aldridge,1,3,50,1,Cutting Dunk Shot,2,-12,20,True
LaMarcus Aldridge,1,7,22,1,Cutting Dunk Shot,0,-1,2,True
LaMarcus Aldridge,4,5,7,1,Cutting Dunk Shot,3,-17,27,True
LaMarcus Aldridge,1,5,31,1,Cutting Dunk Shot,2,5,21,True
LaMarcus Aldridge,4,2,56,1,Cutting Dunk Shot,1,-9,15,True
LaMarcus Aldridge,1,4,54,1,Cutting Dunk Shot,1,-6,10,True
LaMarcus Aldridge,2,3,43,1,Cutting Dunk Shot,0,0,-3,True
LaMarcus Aldridge,1,4,59,1,Cutting Dunk Shot,1,6,14,True
LaMarcus Aldridge,2,0,5,1,Cutting Dunk Shot,1,-1,18,True
LaMarcus Aldridge,3,9,39,1,Cutting Dunk Shot,2,1,24,True
LaMarcus Aldridge,3,4,0,1,Cutting Dunk Shot,0,-2,8,True
LaMarcus Aldridge,2,1,49,1,Cutting Dunk Shot,0,2,7,True
LaMarcus Aldridge,4,1,42,1,Cutting Dunk Shot,0,6,1,True
LaMarcus Aldridge,2,3,42,1,Cutting Finger Roll Layup Shot,1,10,17,True
LaMarcus Aldridge,4,2,1,1,Cutting Finger Roll Layup Shot,1,0,11,True
LaMarcus Aldridge,4,1,51,1,Cutting Finger Roll Layup Shot,2,-18,10,True
LaMarcus Aldridge,2,4,9,1,Cutting Finger Roll Layup Shot,2,-24,6,True
LaMarcus Aldridge,3,3,1,1,Cutting Finger Roll Layup Shot,1,12,8,True
LaMarcus Aldridge,4,2,22,1,Cutting Finger Roll Layup Shot,0,-2,3,True
LaMarcus Aldridge,2,0,32,0,Cutting Finger Roll Layup Shot,3,8,29,True
LaMarcus Aldridge,2,4,40,1,Cutting Finger Roll Layup Shot,0,-1,0,True
LaMarcus Aldridge,2,0,19,1,Cutting Finger Roll Layup Shot,3,-2,38,True
LaMarcus Aldridge,4,5,55,1,Cutting Layup Shot,1,18,-2,True
LaMarcus Aldridge,2,3,5,1,Cutting Layup Shot,1,3,17,True
LaMarcus Aldridge,3,3,17,1,Cutting Layup Shot,1,-12,15,True
LaMarcus Aldridge,3,9,21,1,Cutting Layup Shot,2,25,13,True
LaMarcus Aldridge,1,9,46,1,Cutting Layup Shot,2,14,17,True
LaMarcus Aldridge,3,8,26,1,Cutting Layup Shot,2,23,-4,True
LaMarcus Aldridge,2,11,27,1,Cutting Layup Shot,2,-27,0,True
LaMarcus Aldridge,4,4,9,0,Cutting Layup Shot,2,-19,8,True
LaMarcus Aldridge,2,1,40,1,Cutting Layup Shot,0,0,5,True
LaMarcus Aldridge,4,8,31,1,Cutting Layup Shot,2,7,20,True
LaMarcus Aldridge,2,1,13,1,Cutting Layup Shot,0,0,4,True
LaMarcus Aldridge,3,8,33,1,Cutting Layup Shot,1,2,13,True
LaMarcus Aldridge,2,9,37,1,Cutting Layup Shot,0,-7,4,True
LaMarcus Aldridge,2,3,42,1,Cutting Layup Shot,2,14,19,True
LaMarcus Aldridge,1,1,5,0,Cutting Layup Shot,1,8,8,True
LaMarcus Aldridge,3,6,22,1,Cutting Layup Shot,1,-4,10,True
LaMarcus Aldridge,4,5,43,1,Cutting Layup Shot,0,-9,2,True
LaMarcus Aldridge,4,5,18,0,Cutting Layup Shot,0,5,4,True
LaMarcus Aldridge,1,5,58,0,Cutting Layup Shot,4,44,17,True
LaMarcus Aldridge,4,6,2,1,Cutting Layup Shot,1,0,10,True
LaMarcus Aldridge,1,9,33,1,Cutting Layup Shot,1,3,13,True
LaMarcus Aldridge,1,2,40,1,Cutting Layup Shot,0,-4,0,True
LaMarcus Aldridge,2,5,49,1,Cutting Layup Shot,1,-11,10,True
LaMarcus Aldridge,2,0,3,0,Cutting Layup Shot,2,8,20,True
LaMarcus Aldridge,1,5,27,0,Cutting Layup Shot,4,-33,34,True
LaMarcus Aldridge,3,10,15,1,Driving Dunk Shot,1,0,10,True
LaMarcus Aldridge,2,6,30,1,Driving Dunk Shot,1,-1,18,True
LaMarcus Aldridge,3,8,11,1,Driving Dunk Shot,1,-4,14,True
LaMarcus Aldridge,4,0,52,1,Driving Dunk Shot,0,-2,-4,True
LaMarcus Aldridge,3,10,5,0,Driving Finger Roll Layup Shot,0,-2,7,True
LaMarcus Aldridge,4,1,21,1,Driving Finger Roll Layup Shot,2,-5,29,True
LaMarcus Aldridge,2,5,21,1,Driving Finger Roll Layup Shot,1,10,15,True
LaMarcus Aldridge,2,6,10,1,Driving Finger Roll Layup Shot,1,-17,8,True
LaMarcus Aldridge,1,3,53,0,Driving Finger Roll Layup Shot,1,0,16,True
LaMarcus Aldridge,3,5,57,1,Driving Finger Roll Layup Shot,3,9,29,True
LaMarcus Aldridge,1,4,0,0,Driving Finger Roll Layup Shot,0,-1,-4,True
LaMarcus Aldridge,2,4,39,1,Driving Finger Roll Layup Shot,0,-2,8,True
LaMarcus Aldridge,1,7,26,1,Driving Finger Roll Layup Shot,2,12,19,True
LaMarcus Aldridge,4,4,43,0,Driving Finger Roll Layup Shot,5,2,53,True
LaMarcus Aldridge,2,7,20,1,Driving Finger Roll Layup Shot,3,23,21,True
LaMarcus Aldridge,4,6,20,1,Driving Finger Roll Layup Shot,1,0,11,True
LaMarcus Aldridge,1,4,25,1,Driving Finger Roll Layup Shot,1,-5,11,True
LaMarcus Aldridge,2,2,27,1,Driving Finger Roll Layup Shot,5,-1,53,True
LaMarcus Aldridge,3,11,8,1,Driving Finger Roll Layup Shot,0,9,-1,True
LaMarcus Aldridge,2,7,18,0,Driving Finger Roll Layup Shot,3,33,21,True
LaMarcus Aldridge,4,0,19,0,Driving Finger Roll Layup Shot,6,54,40,True
LaMarcus Aldridge,3,8,16,0,Driving Finger Roll Layup Shot,2,23,1,True
LaMarcus Aldridge,2,5,56,1,Driving Finger Roll Layup Shot,1,-2,18,True
LaMarcus Aldridge,2,7,19,1,Driving Finger Roll Layup Shot,1,-2,10,True
LaMarcus Aldridge,3,1,52,0,Driving Finger Roll Layup Shot,3,23,26,True
LaMarcus Aldridge,2,7,7,1,Driving Finger Roll Layup Shot,1,0,19,True
LaMarcus Aldridge,4,1,28,0,Driving Finger Roll Layup Shot,2,-2,27,True
LaMarcus Aldridge,2,2,25,1,Driving Finger Roll Layup Shot,1,0,15,True
LaMarcus Aldridge,4,4,30,1,Driving Finger Roll Layup Shot,4,38,24,True
LaMarcus Aldridge,1,7,49,1,Driving Finger Roll Layup Shot,1,16,10,True
LaMarcus Aldridge,1,3,36,0,Driving Finger Roll Layup Shot,17,-138,101,True
LaMarcus Aldridge,4,1,48,1,Driving Floating Bank Jump Shot,2,-24,-2,True
LaMarcus Aldridge,4,9,54,1,Driving Floating Bank Jump Shot,5,51,15,True
LaMarcus Aldridge,1,3,36,1,Driving Floating Bank Jump Shot,2,-6,20,True
LaMarcus Aldridge,4,5,44,0,Driving Floating Jump Shot,5,38,45,True
LaMarcus Aldridge,2,6,56,0,Driving Floating Jump Shot,4,36,19,True
LaMarcus Aldridge,4,9,0,0,Driving Floating Jump Shot,8,2,87,True
LaMarcus Aldridge,1,4,25,0,Driving Floating Jump Shot,8,-3,89,True
LaMarcus Aldridge,2,9,34,0,Driving Floating Jump Shot,12,0,121,True
LaMarcus Aldridge,1,4,29,0,Driving Floating Jump Shot,8,-65,60,True
LaMarcus Aldridge,4,5,18,0,Driving Hook Shot,7,12,74,True
LaMarcus Aldridge,3,6,16,0,Driving Hook Shot,4,0,46,True
LaMarcus Aldridge,2,4,35,0,Driving Hook Shot,7,0,70,True
LaMarcus Aldridge,1,6,45,0,Driving Hook Shot,7,9,75,True
LaMarcus Aldridge,2,9,57,1,Driving Hook Shot,8,-8,85,True
LaMarcus Aldridge,2,3,55,0,Driving Hook Shot,8,4,86,True
LaMarcus Aldridge,4,2,47,0,Driving Hook Shot,8,-23,80,True
LaMarcus Aldridge,3,4,46,1,Driving Hook Shot,5,21,54,True
LaMarcus Aldridge,3,9,41,1,Driving Hook Shot,5,3,57,True
LaMarcus Aldridge,3,11,23,1,Driving Hook Shot,7,-3,74,True
LaMarcus Aldridge,1,3,32,1,Driving Hook Shot,3,-18,26,True
LaMarcus Aldridge,1,10,39,1,Driving Hook Shot,1,-8,11,True
LaMarcus Aldridge,2,3,4,0,Driving Hook Shot,10,-17,101,True
LaMarcus Aldridge,1,4,18,1,Driving Hook Shot,2,10,27,True
