name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Lance Stephenson,2,4,21,1,Cutting Dunk Shot,0,-2,5,True
Lance Stephenson,4,0,47,1,Cutting Dunk Shot,1,2,10,True
Lance Stephenson,2,5,5,1,Cutting Layup Shot,0,0,-1,True
Lance Stephenson,2,6,42,0,Cutting Layup Shot,2,27,13,True
Lance Stephenson,2,9,16,1,Cutting Layup Shot,1,14,-3,True
Lance Stephenson,4,8,23,0,Cutting Layup Shot,1,-3,10,True
Lance Stephenson,3,3,38,1,Cutting Layup Shot,1,-3,11,True
Lance Stephenson,1,3,37,0,Cutting Layup Shot,1,2,13,True
Lance Stephenson,4,10,7,1,Cutting Layup Shot,1,0,14,True
Lance Stephenson,1,3,21,0,Cutting Layup Shot,1,12,14,True
Lance Stephenson,2,9,32,1,Cutting Layup Shot,0,-2,7,True
Lance Stephenson,2,8,27,1,Driving Dunk Shot,1,-7,12,True
Lance Stephenson,4,5,26,1,Driving Dunk Shot,0,5,-1,True
Lance Stephenson,2,9,40,1,Driving Dunk Shot,1,-1,11,True
Lance Stephenson,3,1,12,0,Driving Dunk Shot,1,-10,16,True
Lance Stephenson,2,2,15,0,Driving Dunk Shot,0,-4,9,True
Lance Stephenson,3,3,42,1,Driving Dunk Shot,0,0,5,True
Lance Stephenson,4,0,18,1,Driving Dunk Shot,1,-9,6,True
Lance Stephenson,1,4,18,1,Driving Dunk Shot,0,7,-2,True
Lance Stephenson,2,9,35,1,Driving Finger Roll Layup Shot,0,-2,6,True
Lance Stephenson,4,9,58,1,Driving Finger Roll Layup Shot,0,-5,-4,True
Lance Stephenson,2,9,58,1,Driving Finger Roll Layup Shot,2,-7,22,True
Lance Stephenson,4,11,36,1,Driving Finger Roll Layup Shot,0,0,5,True
Lance Stephenson,4,10,11,1,Driving Finger Roll Layup Shot,2,0,27,True
Lance Stephenson,1,3,11,1,Driving Finger Roll Layup Shot,0,-2,8,True
Lance Stephenson,4,3,30,1,Driving Finger Roll Layup Shot,1,11,8,True
Lance Stephenson,4,7,57,0,Driving Finger Roll Layup Shot,1,-19,4,True
Lance Stephenson,3,7,21,0,Driving Finger Roll Layup Shot,2,-6,20,True
Lance Stephenson,4,5,4,0,Driving Finger Roll Layup Shot,2,2,21,True
Lance Stephenson,2,2,33,1,Driving Finger Roll Layup Shot,2,2,21,True
Lance Stephenson,4,1,53,0,Driving Finger Roll Layup Shot,1,-1,10,True
Lance Stephenson,3,0,37,1,Driving Finger Roll Layup Shot,1,7,9,True
Lance Stephenson,4,8,41,1,Driving Finger Roll Layup Shot,1,0,16,True
Lance Stephenson,2,7,57,1,Driving Finger Roll Layup Shot,0,3,8,True
Lance Stephenson,4,8,6,1,Driving Finger Roll Layup Shot,1,6,14,True
Lance Stephenson,4,11,37,1,Driving Finger Roll Layup Shot,0,-2,6,True
Lance Stephenson,2,11,14,1,Driving Finger Roll Layup Shot,0,-2,5,True
Lance Stephenson,4,9,53,1,Driving Finger Roll Layup Shot,1,0,11,True
Lance Stephenson,4,8,10,1,Driving Finger Roll Layup Shot,1,1,13,True
Lance Stephenson,2,5,45,1,Driving Finger Roll Layup Shot,0,-3,-5,True
Lance Stephenson,2,2,0,1,Driving Finger Roll Layup Shot,0,4,7,True
Lance Stephenson,2,2,36,1,Driving Finger Roll Layup Shot,1,2,18,True
Lance Stephenson,2,8,44,0,Driving Finger Roll Layup Shot,1,-14,8,True
Lance Stephenson,2,7,41,0,Driving Finger Roll Layup Shot,0,0,7,True
Lance Stephenson,2,11,43,1,Driving Finger Roll Layup Shot,0,0,4,True
Lance Stephenson,3,2,56,1,Driving Finger Roll Layup Shot,1,5,11,True
Lance Stephenson,3,5,16,1,Driving Finger Roll Layup Shot,0,-2,6,True
Lance Stephenson,4,0,53,1,Driving Finger Roll Layup Shot,1,1,14,True
Lance Stephenson,2,2,40,0,Driving Finger Roll Layup Shot,1,2,11,True
Lance Stephenson,3,8,14,1,Driving Finger Roll Layup Shot,1,6,10,True
Lance Stephenson,1,7,17,0,Driving Finger Roll Layup Shot,4,-27,31,True
Lance Stephenson,4,2,14,1,Driving Floating Bank Jump Shot,3,30,5,True
Lance Stephenson,2,8,39,0,Driving Floating Bank Jump Shot,9,90,7,True
Lance Stephenson,2,11,38,1,Driving Floating Jump Shot,7,-21,69,True
Lance Stephenson,3,0,6,0,Driving Floating Jump Shot,6,49,43,True
Lance Stephenson,4,3,4,1,Driving Floating Jump Shot,11,-3,110,True
Lance Stephenson,4,6,37,0,Driving Floating Jump Shot,8,-56,65,True
Lance Stephenson,2,5,14,0,Driving Floating Jump Shot,12,35,124,True
Lance Stephenson,3,0,3,0,Driving Floating Jump Shot,6,30,60,True
Lance Stephenson,2,3,46,0,Driving Floating Jump Shot,9,45,84,True
Lance Stephenson,4,1,11,1,Driving Layup Shot,0,-2,9,True
Lance Stephenson,4,10,20,0,Driving Layup Shot,2,12,20,True
Lance Stephenson,4,7,14,1,Driving Layup Shot,1,-9,17,True
Lance Stephenson,4,5,24,1,Driving Layup Shot,1,2,10,True
