name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Lance Thomas,1,5,21,1,Cutting Dunk Shot,1,11,9,True
Lance Thomas,1,1,1,1,Cutting Layup Shot,1,-14,7,True
Lance Thomas,4,7,4,1,Driving Dunk Shot,0,-5,1,True
Lance Thomas,4,5,15,0,Driving Finger Roll Layup Shot,1,-13,1,True
Lance Thomas,4,7,17,0,Driving Finger Roll Layup Shot,6,48,43,True
Lance Thomas,3,11,2,1,Driving Finger Roll Layup Shot,1,3,15,True
Lance Thomas,1,7,44,0,Driving Hook Shot,4,-24,37,True
Lance Thomas,4,2,43,0,Driving Hook Shot,7,-43,60,True
Lance Thomas,1,2,3,0,Driving Hook Shot,6,33,61,True
Lance Thomas,1,5,41,0,Driving Hook Shot,6,56,40,True
Lance Thomas,1,3,37,0,Driving Hook Shot,8,-6,83,True
Lance Thomas,1,0,36,1,Driving Hook Shot,2,9,26,True
Lance Thomas,3,3,15,1,Driving Hook Shot,9,-34,92,True
Lance Thomas,2,5,11,0,Driving Hook Shot,3,-27,27,True
Lance Thomas,1,3,13,1,Driving Layup Shot,4,33,30,True
Lance Thomas,4,10,8,0,Driving Layup Shot,4,7,45,True
Lance Thomas,3,2,20,1,Driving Layup Shot,2,0,23,True
Lance Thomas,4,9,51,1,Driving Layup Shot,1,-14,5,True
Lance Thomas,1,8,14,0,Driving Layup Shot,3,30,25,True
Lance Thomas,3,4,23,0,Driving Layup Shot,3,12,36,True
Lance Thomas,3,4,12,0,Driving Layup Shot,1,5,16,True
Lance Thomas,2,10,43,0,Driving Layup Shot,1,-13,13,True
Lance Thomas,3,6,11,0,Driving Layup Shot,4,20,38,True
Lance Thomas,1,2,21,0,Driving Layup Shot,8,-13,88,True
Lance Thomas,2,8,7,1,Driving Layup Shot,2,-20,17,True
Lance Thomas,4,7,25,1,Driving Layup Shot,1,-14,8,True
Lance Thomas,1,0,41,1,Driving Layup Shot,7,-30,70,True
Lance Thomas,2,3,11,1,Dunk Shot,0,-1,-4,True
Lance Thomas,3,11,16,1,Dunk Shot,1,0,16,True
Lance Thomas,1,2,1,1,Dunk Shot,0,-2,6,True
Lance Thomas,1,5,47,1,Dunk Shot,0,2,7,True
Lance Thomas,2,10,52,0,Hook Shot,5,-3,55,True
Lance Thomas,4,9,53,0,Hook Shot,9,5,95,True
Lance Thomas,4,4,52,0,Hook Shot,9,6,95,True
Lance Thomas,1,8,1,0,Hook Shot,14,87,110,True
Lance Thomas,3,9,23,1,Hook Shot,8,47,74,True
Lance Thomas,2,7,3,1,Jump Bank Shot,19,-95,174,True
Lance Thomas,4,8,14,0,Jump Shot,22,-228,-5,False
Lance Thomas,1,5,48,0,Jump Shot,25,-57,252,False
Lance Thomas,1,5,26,0,Jump Shot,24,-216,122,False
Lance Thomas,3,2,38,1,Jump Shot,25,120,225,False
Lance Thomas,3,0,34,0,Jump Shot,17,-55,162,True
Lance Thomas,3,7,41,0,Jump Shot,23,227,39,False
Lance Thomas,1,0,6,1,Jump Shot,23,-233,-4,False
Lance Thomas,2,10,36,0,Jump Shot,25,-176,183,False
Lance Thomas,1,1,9,0,Jump Shot,25,-204,161,False
Lance Thomas,3,6,45,0,Jump Shot,25,165,194,False
Lance Thomas,3,4,14,0,Jump Shot,24,73,239,False
Lance Thomas,1,0,0,0,Jump Shot,42,-92,410,False
Lance Thomas,4,6,4,1,Jump Shot,26,-12,260,False
Lance Thomas,4,11,47,0,Jump Shot,23,-234,25,False
Lance Thomas,2,11,38,1,Jump Shot,26,-168,201,False
Lance Thomas,4,1,4,0,Jump Shot,24,-199,144,False
Lance Thomas,4,9,17,0,Jump Shot,23,230,67,False
Lance Thomas,1,3,12,0,Jump Shot,22,-221,-12,False
Lance Thomas,1,4,16,1,Jump Shot,22,-225,-16,False
Lance Thomas,2,10,33,1,Jump Shot,22,-221,-8,False
Lance Thomas,2,8,55,0,Jump Shot,23,228,57,False
Lance Thomas,2,7,48,1,Jump Shot,25,-87,237,False
Lance Thomas,2,6,14,0,Jump Shot,22,-223,-5,False
Lance Thomas,3,1,25,0,Jump Shot,25,120,223,False
Lance Thomas,3,0,22,1,Jump Shot,22,-225,38,False
Lance Thomas,2,10,59,1,Jump Shot,23,-231,4,False
Lance Thomas,4,10,9,1,Jump Shot,22,-222,41,False
Lance Thomas,1,5,33,0,Jump Shot,22,-223,-5,False
Lance Thomas,3,10,43,1,Jump Shot,23,-231,61,False
Lance Thomas,1,3,9,1,Jump Shot,22,-228,-9,False
Lance Thomas,2,2,26,0,Jump Shot,15,92,125,True
Lance Thomas,4,4,33,0,Jump Shot,22,221,42,False
Lance Thomas,1,9,55,0,Jump Shot,25,-154,201,False
Lance Thomas,3,8,48,1,Jump Shot,25,-112,230,False
Lance Thomas,1,9,17,0,Jump Shot,22,-229,1,False
Lance Thomas,1,3,49,0,Jump Shot,22,-229,1,False
Lance Thomas,3,0,1,1,Jump Shot,25,-130,220,False
Lance Thomas,3,0,41,0,Jump Shot,21,-212,40,True
Lance Thomas,1,1,5,1,Jump Shot,25,-209,141,False
Lance Thomas,3,6,40,0,Jump Shot,20,-200,32,True
Lance Thomas,3,9,9,0,Jump Shot,25,-205,148,False
Lance Thomas,1,3,55,1,Jump Shot,24,-240,-17,False
Lance Thomas,5,3,14,1,Jump Shot,24,-234,83,False
Lance Thomas,2,3,27,0,Jump Shot,21,-122,174,True
Lance Thomas,5,0,59,0,Jump Shot,25,43,251,False
Lance Thomas,1,3,8,0,Jump Shot,18,-123,134,True
Lance Thomas,1,4,23,0,Jump Shot,21,-133,175,True
Lance Thomas,1,2,23,0,Jump Shot,26,108,238,False
Lance Thomas,3,3,39,1,Jump Shot,25,-211,138,False
Lance Thomas,3,11,40,0,Jump Shot,22,-228,-13,False
Lance Thomas,3,7,32,0,Jump Shot,23,231,25,False
Lance Thomas,1,0,52,0,Jump Shot,9,90,43,True
Lance Thomas,1,0,56,0,Jump Shot,23,-231,29,False
Lance Thomas,3,0,2,1,Jump Shot,22,-223,3,False
Lance Thomas,3,6,42,0,Jump Shot,19,-199,5,True
Lance Thomas,3,10,49,0,Jump Shot,25,79,242,False
Lance Thomas,1,1,52,0,Jump Shot,25,129,215,False
Lance Thomas,1,3,58,1,Jump Shot,22,-226,21,False
