name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Lonzo Ball,2,8,17,1,Alley Oop Dunk Shot,2,10,28,True
Lonzo Ball,3,6,3,1,Alley Oop Dunk Shot,0,-5,7,True
Lonzo Ball,4,9,53,1,Alley Oop Layup shot,1,10,16,True
Lonzo Ball,2,3,47,1,Cutting Dunk Shot,1,-2,10,True
Lonzo Ball,3,3,4,1,Cutting Dunk Shot,1,-8,8,True
Lonzo Ball,3,0,47,1,Cutting Dunk Shot,0,-2,4,True
Lonzo Ball,1,8,5,1,Cutting Layup Shot,4,-42,6,True
Lonzo Ball,1,4,45,1,Cutting Layup Shot,2,-3,22,True
Lonzo Ball,4,5,16,1,Driving Finger Roll Layup Shot,3,-14,29,True
Lonzo Ball,4,5,41,0,Driving Finger Roll Layup Shot,2,-7,29,True
Lonzo Ball,3,8,31,1,Driving Finger Roll Layup Shot,2,16,15,True
Lonzo Ball,4,7,13,1,Driving Finger Roll Layup Shot,2,12,21,True
Lonzo Ball,4,4,29,0,Driving Finger Roll Layup Shot,2,11,17,True
Lonzo Ball,3,1,6,1,Driving Floating Bank Jump Shot,8,61,61,True
Lonzo Ball,1,9,54,0,Driving Floating Bank Jump Shot,5,-15,51,True
Lonzo Ball,2,10,33,0,Driving Floating Bank Jump Shot,5,-38,46,True
Lonzo Ball,1,8,19,0,Driving Floating Bank Jump Shot,1,-11,16,True
Lonzo Ball,2,6,33,0,Driving Floating Jump Shot,11,-52,100,True
Lonzo Ball,2,7,18,0,Driving Floating Jump Shot,5,34,38,True
Lonzo Ball,1,7,55,0,Driving Floating Jump Shot,9,2,95,True
Lonzo Ball,1,11,37,1,Driving Floating Jump Shot,8,2,80,True
Lonzo Ball,3,6,29,1,Driving Floating Jump Shot,15,-35,149,True
Lonzo Ball,3,1,26,1,Driving Floating Jump Shot,11,-16,114,True
Lonzo Ball,3,5,43,0,Driving Floating Jump Shot,7,-18,74,True
Lonzo Ball,1,2,14,0,Driving Floating Jump Shot,8,-22,84,True
Lonzo Ball,5,0,19,0,Driving Floating Jump Shot,3,20,29,True
Lonzo Ball,3,5,2,0,Driving Floating Jump Shot,3,37,-1,True
Lonzo Ball,4,4,16,0,Driving Floating Jump Shot,14,-67,126,True
Lonzo Ball,1,8,39,0,Driving Layup Shot,2,-16,24,True
Lonzo Ball,3,11,30,1,Driving Layup Shot,0,3,8,True
Lonzo Ball,1,8,37,0,Driving Layup Shot,4,-1,43,True
Lonzo Ball,4,2,4,1,Driving Layup Shot,1,-7,15,True
Lonzo Ball,3,7,33,1,Driving Layup Shot,1,-6,16,True
Lonzo Ball,4,5,20,1,Driving Layup Shot,0,4,8,True
Lonzo Ball,3,9,7,1,Driving Layup Shot,2,-3,25,True
Lonzo Ball,3,9,44,1,Driving Layup Shot,1,2,15,True
Lonzo Ball,2,0,29,0,Driving Layup Shot,1,12,4,True
Lonzo Ball,2,2,35,1,Driving Layup Shot,1,-1,15,True
Lonzo Ball,1,7,26,1,Driving Layup Shot,1,-4,13,True
Lonzo Ball,2,2,56,1,Driving Layup Shot,1,6,15,True
Lonzo Ball,2,3,9,0,Driving Layup Shot,3,14,34,True
Lonzo Ball,4,2,20,0,Driving Layup Shot,4,3,49,True
Lonzo Ball,1,1,44,0,Driving Layup Shot,2,18,15,True
Lonzo Ball,2,3,21,0,Driving Layup Shot,4,34,25,True
Lonzo Ball,3,5,14,0,Driving Layup Shot,2,-16,25,True
Lonzo Ball,2,3,55,0,Driving Layup Shot,3,18,27,True
Lonzo Ball,5,3,39,1,Driving Layup Shot,1,15,10,True
Lonzo Ball,1,10,35,1,Driving Layup Shot,1,3,11,True
Lonzo Ball,2,5,10,1,Driving Layup Shot,2,2,29,True
Lonzo Ball,3,8,41,1,Driving Layup Shot,0,8,-1,True
Lonzo Ball,4,3,29,0,Driving Layup Shot,1,6,18,True
Lonzo Ball,2,3,48,0,Driving Layup Shot,2,22,13,True
Lonzo Ball,4,5,8,0,Driving Layup Shot,0,4,-3,True
Lonzo Ball,4,5,30,0,Driving Layup Shot,2,5,23,True
Lonzo Ball,4,1,35,1,Driving Layup Shot,0,-9,4,True
Lonzo Ball,1,6,36,0,Driving Layup Shot,1,-15,4,True
