name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Luc Mbah a Moute,2,7,9,1,Cutting Dunk Shot,2,-5,22,True
Luc Mbah a Moute,2,0,31,1,Cutting Dunk Shot,0,5,8,True
Luc Mbah a Moute,3,5,16,1,Cutting Dunk Shot,1,5,9,True
Luc Mbah a Moute,1,5,25,1,Cutting Dunk Shot,1,-9,6,True
Luc Mbah a Moute,2,6,40,1,Cutting Dunk Shot,1,3,18,True
Luc Mbah a Moute,1,3,31,1,Cutting Dunk Shot,0,-4,1,True
Luc Mbah a Moute,1,1,3,1,Cutting Dunk Shot,1,-3,10,True
Luc Mbah a Moute,3,7,12,1,Cutting Dunk Shot,1,-8,6,True
Luc Mbah a Moute,1,6,32,1,Cutting Finger Roll Layup Shot,1,7,11,True
Luc Mbah a Moute,4,6,10,1,Cutting Finger Roll Layup Shot,2,3,21,True
Luc Mbah a Moute,3,2,14,1,Cutting Finger Roll Layup Shot,1,-7,17,True
Luc Mbah a Moute,1,10,11,1,Cutting Layup Shot,1,-7,13,True
Luc Mbah a Moute,3,7,26,1,Cutting Layup Shot,0,2,7,True
Luc Mbah a Moute,3,0,46,1,Cutting Layup Shot,1,1,14,True
Luc Mbah a Moute,3,11,39,0,Cutting Layup Shot,3,-22,32,True
Luc Mbah a Moute,4,2,34,1,Cutting Layup Shot,0,-6,6,True
Luc Mbah a Moute,1,5,26,1,Cutting Layup Shot,0,-5,6,True
Luc Mbah a Moute,1,4,58,1,Cutting Layup Shot,1,13,4,True
Luc Mbah a Moute,1,3,57,0,Cutting Layup Shot,0,-4,6,True
Luc Mbah a Moute,2,1,59,0,Cutting Layup Shot,2,-22,10,True
Luc Mbah a Moute,1,1,10,0,Cutting Layup Shot,0,5,-5,True
Luc Mbah a Moute,3,1,23,1,Cutting Layup Shot,1,-2,16,True
Luc Mbah a Moute,4,11,11,1,Cutting Layup Shot,1,11,4,True
Luc Mbah a Moute,3,0,2,1,Cutting Layup Shot,2,11,19,True
Luc Mbah a Moute,1,3,48,1,Cutting Layup Shot,2,-12,23,True
Luc Mbah a Moute,3,4,4,0,Cutting Layup Shot,2,0,21,True
Luc Mbah a Moute,2,4,54,1,Cutting Layup Shot,2,2,21,True
Luc Mbah a Moute,1,6,40,1,Cutting Layup Shot,1,9,10,True
Luc Mbah a Moute,2,10,5,0,Cutting Layup Shot,4,-28,37,True
Luc Mbah a Moute,4,1,58,1,Driving Dunk Shot,1,5,14,True
Luc Mbah a Moute,2,1,39,1,Driving Dunk Shot,0,-6,1,True
Luc Mbah a Moute,4,5,26,1,Driving Dunk Shot,2,9,27,True
Luc Mbah a Moute,3,1,7,1,Driving Dunk Shot,1,0,16,True
Luc Mbah a Moute,2,11,44,1,Driving Dunk Shot,1,-13,0,True
Luc Mbah a Moute,1,5,32,1,Driving Dunk Shot,0,-7,-3,True
Luc Mbah a Moute,4,0,53,1,Driving Dunk Shot,1,8,16,True
Luc Mbah a Moute,3,1,59,1,Driving Dunk Shot,1,-2,11,True
Luc Mbah a Moute,2,2,59,1,Driving Finger Roll Layup Shot,1,0,15,True
Luc Mbah a Moute,4,1,3,0,Driving Finger Roll Layup Shot,2,2,20,True
Luc Mbah a Moute,1,4,51,1,Driving Finger Roll Layup Shot,0,6,-4,True
Luc Mbah a Moute,3,1,23,0,Driving Finger Roll Layup Shot,1,-10,14,True
Luc Mbah a Moute,4,1,48,0,Driving Finger Roll Layup Shot,3,-19,27,True
Luc Mbah a Moute,4,1,0,0,Driving Finger Roll Layup Shot,1,3,16,True
Luc Mbah a Moute,3,4,7,1,Driving Finger Roll Layup Shot,2,14,18,True
Luc Mbah a Moute,2,0,37,0,Driving Finger Roll Layup Shot,1,-6,11,True
Luc Mbah a Moute,1,6,46,1,Driving Floating Bank Jump Shot,4,-5,47,True
Luc Mbah a Moute,1,7,38,1,Driving Floating Jump Shot,7,-38,62,True
Luc Mbah a Moute,2,3,1,0,Driving Layup Shot,1,9,11,True
Luc Mbah a Moute,4,11,19,1,Driving Layup Shot,0,-5,4,True
Luc Mbah a Moute,2,8,59,0,Driving Layup Shot,1,6,8,True
Luc Mbah a Moute,1,3,26,1,Driving Layup Shot,1,12,-1,True
Luc Mbah a Moute,2,1,18,1,Driving Layup Shot,2,-24,16,True
Luc Mbah a Moute,1,2,9,0,Driving Layup Shot,1,-6,14,True
Luc Mbah a Moute,2,10,43,0,Driving Layup Shot,2,-16,24,True
Luc Mbah a Moute,2,5,47,1,Driving Layup Shot,1,15,0,True
Luc Mbah a Moute,2,1,33,1,Driving Layup Shot,0,3,3,True
Luc Mbah a Moute,4,11,23,1,Driving Layup Shot,1,5,19,True
Luc Mbah a Moute,4,9,50,1,Driving Layup Shot,2,16,13,True
Luc Mbah a Moute,2,9,14,1,Driving Layup Shot,1,8,6,True
Luc Mbah a Moute,3,5,44,1,Driving Layup Shot,2,4,21,True
Luc Mbah a Moute,3,7,14,0,Driving Layup Shot,3,-3,34,True
Luc Mbah a Moute,2,7,19,0,Driving Layup Shot,1,-11,5,True
Luc Mbah a Moute,1,4,28,0,Driving Layup Shot,0,7,1,True
Luc Mbah a Moute,1,6,0,0,Driving Layup Shot,2,10,20,True
Luc Mbah a Moute,2,10,33,0,Driving Layup Shot,1,12,1,True
Luc Mbah a Moute,3,7,42,0,Driving Layup Shot,1,-5,13,True
Luc Mbah a Moute,1,1,10,0,Driving Layup Shot,3,19,27,True
Luc Mbah a Moute,2,11,10,1,Driving Layup Shot,3,-28,12,True
Luc Mbah a Moute,2,3,26,1,Driving Layup Shot,2,20,18,True
Luc Mbah a Moute,2,3,32,0,Driving Layup Shot,0,1,8,True
Luc Mbah a Moute,2,6,40,0,Driving Layup Shot,3,-13,28,True
Luc Mbah a Moute,4,10,21,1,Driving Layup Shot,2,-22,7,True
Luc Mbah a Moute,1,11,9,0,Driving Layup Shot,4,-39,26,True
Luc Mbah a Moute,1,1,50,1,Driving Layup Shot,0,0,3,True
Luc Mbah a Moute,1,11,34,0,Driving Layup Shot,7,69,20,True
Luc Mbah a Moute,1,7,14,0,Driving Layup Shot,4,25,34,True
Luc Mbah a Moute,4,0,49,0,Driving Layup Shot,1,11,4,True
Luc Mbah a Moute,4,6,2,0,Driving Layup Shot,1,4,16,True
Luc Mbah a Moute,4,10,32,0,Driving Layup Shot,1,5,-10,True
Luc Mbah a Moute,1,10,23,1,Driving Layup Shot,1,13,4,True
Luc Mbah a Moute,4,6,41,1,Driving Layup Shot,2,-11,18,True
Luc Mbah a Moute,4,1,23,1,Driving Layup Shot,2,-20,13,True
Luc Mbah a Moute,4,1,13,0,Driving Layup Shot,4,25,34,True
Luc Mbah a Moute,2,6,40,1,Driving Layup Shot,2,3,23,True
Luc Mbah a Moute,1,1,21,0,Driving Layup Shot,2,-2,22,True
Luc Mbah a Moute,4,4,59,0,Driving Layup Shot,2,26,5,True
Luc Mbah a Moute,1,3,44,1,Driving Reverse Layup Shot,0,-4,8,True
Luc Mbah a Moute,4,7,7,1,Driving Reverse Layup Shot,1,10,-3,True
Luc Mbah a Moute,2,8,23,1,Driving Reverse Layup Shot,2,-20,13,True
Luc Mbah a Moute,2,5,56,1,Driving Reverse Layup Shot,1,-3,11,True
Luc Mbah a Moute,2,7,48,1,Dunk Shot,0,-5,5,True
Luc Mbah a Moute,4,2,40,1,Dunk Shot,3,-2,37,True
Luc Mbah a Moute,3,2,3,0,Fadeaway Jump Shot,17,177,11,True
Luc Mbah a Moute,2,1,30,1,Finger Roll Layup Shot,3,-20,29,True
Luc Mbah a Moute,3,3,5,0,Floating Jump shot,3,19,33,True
Luc Mbah a Moute,1,1,14,0,Jump Shot,22,228,20,False
Luc Mbah a Moute,1,0,43,1,Jump Shot,24,161,189,False
Luc Mbah a Moute,1,1,30,1,Jump Shot,23,233,28,False
Luc Mbah a Moute,3,2,0,0,Jump Shot,21,-27,209,True
Luc Mbah a Moute,4,10,52,1,Jump Shot,25,-130,215,False
Luc Mbah a Moute,2,5,17,1,Jump Shot,25,166,188,False
Luc Mbah a Moute,2,3,8,0,Jump Shot,23,231,14,False
Luc Mbah a Moute,2,9,59,0,Jump Shot,24,239,23,False
Luc Mbah a Moute,2,9,43,1,Jump Shot,25,119,222,False
Luc Mbah a Moute,2,0,52,1,Jump Shot,24,-116,220,False
Luc Mbah a Moute,1,1,5,1,Jump Shot,23,229,26,False
Luc Mbah a Moute,3,9,54,0,Jump Shot,25,203,154,False
Luc Mbah a Moute,4,1,4,0,Jump Shot,25,195,169,False
Luc Mbah a Moute,1,8,15,1,Jump Shot,24,-207,134,False
Luc Mbah a Moute,4,11,39,0,Jump Shot,25,-203,157,False
Luc Mbah a Moute,1,2,53,0,Jump Shot,24,123,216,False
Luc Mbah a Moute,3,5,31,1,Jump Shot,24,-175,175,False
Luc Mbah a Moute,1,3,38,0,Jump Shot,23,-231,22,False
Luc Mbah a Moute,1,6,28,1,Jump Shot,24,232,81,False
Luc Mbah a Moute,3,4,54,0,Jump Shot,26,154,210,False
Luc Mbah a Moute,4,10,56,0,Jump Shot,23,234,1,False
Luc Mbah a Moute,1,2,36,1,Jump Shot,23,-238,29,False
Luc Mbah a Moute,3,0,19,0,Jump Shot,22,-226,0,False
Luc Mbah a Moute,2,11,14,0,Jump Shot,7,-54,47,True
Luc Mbah a Moute,4,1,9,0,Jump Shot,23,231,58,False
Luc Mbah a Moute,2,0,55,0,Jump Shot,26,-72,259,False
Luc Mbah a Moute,4,3,22,1,Jump Shot,26,-150,218,False
Luc Mbah a Moute,4,6,8,1,Jump Shot,25,-198,162,False
Luc Mbah a Moute,1,5,31,0,Jump Shot,25,-144,211,False
Luc Mbah a Moute,4,10,49,0,Jump Shot,22,221,23,False
Luc Mbah a Moute,1,3,31,0,Jump Shot,25,-97,235,False
Luc Mbah a Moute,3,7,25,0,Jump Shot,25,-116,225,False
Luc Mbah a Moute,1,7,57,1,Jump Shot,26,143,225,False
Luc Mbah a Moute,3,8,55,0,Jump Shot,24,185,167,False
Luc Mbah a Moute,4,2,35,0,Jump Shot,23,-231,20,False
Luc Mbah a Moute,2,5,53,0,Jump Shot,25,206,146,False
Luc Mbah a Moute,1,10,11,0,Jump Shot,25,-50,251,False
Luc Mbah a Moute,4,0,51,1,Jump Shot,24,107,220,False
Luc Mbah a Moute,2,4,7,0,Jump Shot,27,-73,260,False
Luc Mbah a Moute,1,10,15,0,Jump Shot,22,223,13,False
Luc Mbah a Moute,1,9,36,1,Jump Shot,22,226,18,False
Luc Mbah a Moute,3,7,40,1,Jump Shot,23,228,34,False
Luc Mbah a Moute,3,8,42,0,Jump Shot,22,229,14,False
