name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Lucas Nogueira,1,0,2,1,Alley Oop Dunk Shot,0,0,7,True
Lucas Nogueira,3,8,44,1,Alley Oop Dunk Shot,0,-5,5,True
Lucas Nogueira,4,6,5,1,Alley Oop Dunk Shot,2,-24,9,True
Lucas Nogueira,3,5,36,1,Alley Oop Dunk Shot,0,0,6,True
Lucas Nogueira,4,1,24,1,Alley Oop Dunk Shot,0,2,9,True
Lucas Nogueira,4,5,40,1,Alley Oop Dunk Shot,1,4,12,True
Lucas Nogueira,4,10,34,1,Alley Oop Dunk Shot,1,-15,-4,True
Lucas Nogueira,1,1,32,1,Alley Oop Dunk Shot,1,13,4,True
Lucas Nogueira,2,10,23,1,Alley Oop Dunk Shot,0,-2,4,True
Lucas Nogueira,4,8,57,1,Alley Oop Dunk Shot,0,6,0,True
Lucas Nogueira,4,11,26,1,Alley Oop Dunk Shot,0,0,-7,True
Lucas Nogueira,4,4,46,1,Alley Oop Dunk Shot,1,9,8,True
Lucas Nogueira,4,6,48,1,Alley Oop Dunk Shot,0,-5,8,True
Lucas Nogueira,4,1,43,0,Alley Oop Layup shot,1,10,-6,True
Lucas Nogueira,2,3,44,1,Alley Oop Layup shot,2,-13,17,True
Lucas Nogueira,4,6,48,0,Alley Oop Layup shot,2,20,21,True
Lucas Nogueira,4,1,27,1,Alley Oop Layup shot,0,-4,4,True
Lucas Nogueira,4,1,24,0,Alley Oop Layup shot,1,16,1,True
Lucas Nogueira,3,4,30,1,Alley Oop Layup shot,0,-1,-3,True
Lucas Nogueira,1,7,47,1,Alley Oop Layup shot,1,1,14,True
Lucas Nogueira,3,9,7,1,Alley Oop Layup shot,0,8,2,True
Lucas Nogueira,3,3,0,1,Alley Oop Layup shot,2,27,9,True
Lucas Nogueira,2,11,16,1,Alley Oop Layup shot,2,21,6,True
Lucas Nogueira,1,3,57,0,Alley Oop Layup shot,3,33,2,True
Lucas Nogueira,1,1,59,1,Alley Oop Layup shot,1,4,11,True
Lucas Nogueira,4,1,53,1,Cutting Dunk Shot,0,3,-2,True
Lucas Nogueira,2,1,5,1,Cutting Dunk Shot,2,17,17,True
Lucas Nogueira,3,2,42,1,Cutting Dunk Shot,0,2,0,True
Lucas Nogueira,2,9,57,1,Cutting Dunk Shot,1,-1,11,True
Lucas Nogueira,1,8,45,1,Cutting Dunk Shot,2,-5,25,True
Lucas Nogueira,1,11,43,1,Cutting Dunk Shot,0,-3,-3,True
Lucas Nogueira,4,4,35,1,Cutting Dunk Shot,0,6,5,True
Lucas Nogueira,3,8,1,0,Cutting Layup Shot,3,-27,18,True
Lucas Nogueira,2,3,8,0,Cutting Layup Shot,1,12,9,True
Lucas Nogueira,2,9,14,1,Cutting Layup Shot,6,25,56,True
Lucas Nogueira,2,2,4,0,Cutting Layup Shot,2,13,21,True
Lucas Nogueira,4,7,20,0,Cutting Layup Shot,2,6,23,True
Lucas Nogueira,1,10,32,1,Cutting Layup Shot,0,-3,8,True
Lucas Nogueira,2,6,24,1,Driving Dunk Shot,1,8,7,True
Lucas Nogueira,2,7,37,1,Driving Dunk Shot,1,0,13,True
Lucas Nogueira,3,9,40,0,Driving Floating Jump Shot,3,-14,31,True
Lucas Nogueira,4,7,39,0,Driving Layup Shot,1,19,-1,True
Lucas Nogueira,4,4,2,1,Dunk Shot,0,0,4,True
Lucas Nogueira,2,1,29,1,Dunk Shot,2,17,17,True
Lucas Nogueira,3,9,20,0,Jump Shot,25,-12,252,False
Lucas Nogueira,4,3,42,0,Jump Shot,25,-75,239,False
Lucas Nogueira,3,4,38,0,Jump Shot,23,-231,-11,False
Lucas Nogueira,2,9,52,0,Jump Shot,26,-96,244,False
Lucas Nogueira,4,5,58,0,Jump Shot,24,-44,241,False
Lucas Nogueira,4,2,22,0,Jump Shot,24,52,243,False
Lucas Nogueira,4,0,47,0,Jump Shot,25,-10,253,False
Lucas Nogueira,4,1,8,0,Jump Shot,24,0,243,False
Lucas Nogueira,1,1,46,0,Jump Shot,25,94,234,False
Lucas Nogueira,4,1,52,1,Jump Shot,24,121,216,False
Lucas Nogueira,2,6,57,1,Jump Shot,25,72,247,False
Lucas Nogueira,2,4,27,1,Jump Shot,25,7,255,False
Lucas Nogueira,3,0,0,0,Jump Shot,30,7,309,False
Lucas Nogueira,4,10,57,1,Jump Shot,25,-5,256,False
Lucas Nogueira,3,7,2,0,Jump Shot,26,-75,252,False
Lucas Nogueira,1,6,45,0,Jump Shot,23,-235,-13,False
Lucas Nogueira,4,1,8,0,Jump Shot,22,-228,-4,False
Lucas Nogueira,4,5,44,1,Jump Shot,25,101,230,False
Lucas Nogueira,1,5,58,1,Layup Shot,0,7,3,True
Lucas Nogueira,1,1,38,0,Layup Shot,3,-38,10,True
Lucas Nogueira,3,6,6,0,Layup Shot,2,-17,23,True
Lucas Nogueira,1,6,0,0,Layup Shot,2,-19,17,True
Lucas Nogueira,3,7,37,0,Putback Dunk Shot,0,0,9,True
Lucas Nogueira,1,3,45,1,Putback Dunk Shot,0,-2,7,True
Lucas Nogueira,4,0,20,1,Putback Dunk Shot,0,0,-6,True
Lucas Nogueira,1,8,17,1,Putback Layup Shot,1,18,7,True
Lucas Nogueira,3,9,50,1,Putback Layup Shot,1,6,11,True
Lucas Nogueira,4,7,52,1,Putback Layup Shot,1,8,13,True
Lucas Nogueira,2,7,59,1,Running Dunk Shot,0,3,4,True
Lucas Nogueira,3,8,30,1,Running Dunk Shot,0,-8,3,True
Lucas Nogueira,4,11,22,0,Running Finger Roll Layup Shot,0,-7,-6,True
Lucas Nogueira,2,11,47,0,Step Back Jump shot,22,226,17,False
Lucas Nogueira,4,1,5,1,Tip Dunk Shot,0,0,-6,True
Lucas Nogueira,4,4,27,0,Tip Layup Shot,0,0,-6,True
Lucas Nogueira,4,3,8,1,Tip Layup Shot,0,0,-6,True
Lucas Nogueira,4,11,41,0,Tip Layup Shot,0,0,-6,True
