name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Luke Babbitt,1,2,10,1,Cutting Dunk Shot,0,-3,4,True
Luke Babbitt,3,0,52,0,Cutting Layup Shot,2,-8,27,True
Luke Babbitt,2,11,4,0,Driving Floating Jump Shot,9,-7,96,True
Luke Babbitt,3,0,23,0,Driving Floating Jump Shot,5,-52,13,True
Luke Babbitt,4,6,7,1,Driving Layup Shot,5,-9,59,True
Luke Babbitt,3,5,17,1,Driving Layup Shot,3,-3,36,True
Luke Babbitt,4,0,32,0,Driving Layup Shot,1,2,17,True
Luke Babbitt,2,2,51,1,Driving Layup Shot,1,-11,6,True
Luke Babbitt,2,9,30,0,Driving Layup Shot,2,13,21,True
Luke Babbitt,2,7,33,0,Driving Layup Shot,2,22,9,True
Luke Babbitt,3,6,36,1,Fadeaway Jump Shot,15,152,39,True
Luke Babbitt,2,5,38,1,Fadeaway Jump Shot,9,-40,90,True
Luke Babbitt,1,2,35,1,Fadeaway Jump Shot,12,-85,90,True
Luke Babbitt,1,0,39,1,Fadeaway Jump Shot,9,-44,89,True
Luke Babbitt,1,8,12,1,Floating Jump shot,4,3,46,True
Luke Babbitt,4,3,12,0,Jump Shot,25,-171,194,False
Luke Babbitt,1,6,10,1,Jump Shot,23,-235,0,False
Luke Babbitt,2,0,34,0,Jump Shot,25,220,137,False
Luke Babbitt,1,9,47,0,Jump Shot,26,-149,215,False
Luke Babbitt,1,2,32,1,Jump Shot,23,230,10,False
Luke Babbitt,1,2,6,1,Jump Shot,26,40,258,False
Luke Babbitt,1,1,39,1,Jump Shot,25,-146,210,False
Luke Babbitt,3,6,51,1,Jump Shot,28,-116,264,False
Luke Babbitt,3,4,45,0,Jump Shot,26,-232,121,False
Luke Babbitt,1,8,48,0,Jump Shot,11,-118,-2,True
Luke Babbitt,1,11,26,0,Jump Shot,26,-93,251,False
Luke Babbitt,3,9,56,0,Jump Shot,29,-149,251,False
Luke Babbitt,3,6,7,0,Jump Shot,27,-183,209,False
Luke Babbitt,2,2,59,0,Jump Shot,26,-89,248,False
Luke Babbitt,1,3,48,1,Jump Shot,26,56,261,False
Luke Babbitt,4,0,51,0,Jump Shot,24,183,162,False
Luke Babbitt,2,3,49,0,Jump Shot,23,232,38,False
Luke Babbitt,4,2,10,0,Jump Shot,25,-13,251,False
Luke Babbitt,2,6,11,0,Jump Shot,24,180,172,False
Luke Babbitt,2,11,8,0,Jump Shot,25,191,171,False
Luke Babbitt,3,4,14,1,Jump Shot,23,-230,64,False
Luke Babbitt,3,10,14,0,Jump Shot,23,230,5,False
Luke Babbitt,3,9,13,1,Jump Shot,22,-225,-4,False
Luke Babbitt,4,5,21,1,Jump Shot,26,-119,237,False
Luke Babbitt,4,6,28,0,Jump Shot,26,30,264,False
Luke Babbitt,4,7,0,0,Jump Shot,22,-220,-8,False
Luke Babbitt,4,0,14,0,Jump Shot,27,164,221,False
Luke Babbitt,4,1,57,0,Jump Shot,28,161,238,False
