name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Malcolm Brogdon,2,9,5,0,Alley Oop Layup shot,1,-2,18,True
Malcolm Brogdon,1,3,0,1,Alley Oop Layup shot,1,-6,17,True
Malcolm Brogdon,4,8,40,0,Alley Oop Layup shot,2,16,20,True
Malcolm Brogdon,4,5,11,1,Alley Oop Layup shot,2,13,17,True
Malcolm Brogdon,4,11,9,1,Alley Oop Layup shot,1,-8,10,True
Malcolm Brogdon,4,8,47,0,Alley Oop Layup shot,3,6,31,True
Malcolm Brogdon,1,7,48,0,Alley Oop Layup shot,3,19,27,True
Malcolm Brogdon,2,11,46,0,Alley Oop Layup shot,1,7,10,True
Malcolm Brogdon,4,11,50,1,Cutting Dunk Shot,0,1,9,True
Malcolm Brogdon,1,2,22,1,Cutting Layup Shot,1,4,12,True
Malcolm Brogdon,4,11,5,1,Cutting Layup Shot,2,-16,16,True
Malcolm Brogdon,2,8,56,1,Cutting Layup Shot,1,-8,8,True
Malcolm Brogdon,2,10,4,1,Cutting Layup Shot,0,-9,-4,True
Malcolm Brogdon,1,6,1,1,Cutting Layup Shot,1,-2,12,True
Malcolm Brogdon,1,1,33,0,Cutting Layup Shot,1,9,11,True
Malcolm Brogdon,4,3,58,0,Cutting Layup Shot,1,-13,7,True
Malcolm Brogdon,4,8,6,1,Cutting Layup Shot,1,-3,11,True
Malcolm Brogdon,3,8,37,1,Cutting Layup Shot,1,0,10,True
Malcolm Brogdon,4,9,52,1,Cutting Layup Shot,1,-4,14,True
Malcolm Brogdon,1,4,54,0,Cutting Layup Shot,2,2,23,True
Malcolm Brogdon,4,9,45,1,Cutting Layup Shot,1,-3,15,True
Malcolm Brogdon,1,4,43,0,Cutting Layup Shot,2,-8,26,True
Malcolm Brogdon,2,6,19,1,Cutting Layup Shot,1,3,10,True
Malcolm Brogdon,2,10,22,1,Cutting Layup Shot,1,3,10,True
Malcolm Brogdon,2,11,51,1,Cutting Layup Shot,2,-18,18,True
Malcolm Brogdon,4,8,43,1,Cutting Layup Shot,1,-3,11,True
Malcolm Brogdon,1,4,2,1,Cutting Layup Shot,2,-20,4,True
Malcolm Brogdon,4,7,21,1,Cutting Layup Shot,1,-13,-1,True
Malcolm Brogdon,2,6,56,1,Cutting Layup Shot,1,-3,10,True
Malcolm Brogdon,4,9,56,1,Cutting Layup Shot,1,13,5,True
Malcolm Brogdon,3,2,3,1,Driving Dunk Shot,0,5,1,True
Malcolm Brogdon,4,1,5,1,Driving Dunk Shot,1,-6,13,True
Malcolm Brogdon,2,9,28,1,Driving Dunk Shot,1,10,7,True
Malcolm Brogdon,4,7,29,1,Driving Dunk Shot,1,2,18,True
Malcolm Brogdon,3,0,17,1,Driving Dunk Shot,2,7,22,True
Malcolm Brogdon,1,3,21,1,Driving Dunk Shot,1,9,6,True
Malcolm Brogdon,3,9,18,1,Driving Finger Roll Layup Shot,1,4,12,True
Malcolm Brogdon,2,9,5,1,Driving Finger Roll Layup Shot,1,11,3,True
Malcolm Brogdon,4,10,41,1,Driving Finger Roll Layup Shot,6,30,53,True
Malcolm Brogdon,1,5,38,1,Driving Finger Roll Layup Shot,0,-3,7,True
Malcolm Brogdon,2,5,52,1,Driving Finger Roll Layup Shot,1,-3,11,True
