name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Marco Belinelli,1,5,56,1,Alley Oop Layup shot,2,-5,21,True
Marco Belinelli,1,4,38,1,Cutting Dunk Shot,1,1,11,True
Marco Belinelli,1,7,25,1,Cutting Dunk Shot,0,3,8,True
Marco Belinelli,2,4,23,1,Cutting Finger Roll Layup Shot,5,33,50,True
Marco Belinelli,4,9,43,0,Cutting Finger Roll Layup Shot,2,-27,13,True
Marco Belinelli,1,4,37,0,Cutting Finger Roll Layup Shot,4,-44,18,True
Marco Belinelli,2,9,23,0,Cutting Layup Shot,1,-8,13,True
Marco Belinelli,4,3,41,0,Cutting Layup Shot,3,26,18,True
Marco Belinelli,2,10,37,0,Cutting Layup Shot,0,-6,7,True
Marco Belinelli,1,2,47,1,Cutting Layup Shot,1,-2,15,True
Marco Belinelli,3,7,37,1,Cutting Layup Shot,1,-11,10,True
Marco Belinelli,4,9,45,0,Cutting Layup Shot,2,-4,22,True
Marco Belinelli,2,4,41,0,Cutting Layup Shot,3,27,17,True
Marco Belinelli,3,2,37,1,Cutting Layup Shot,1,-11,6,True
Marco Belinelli,1,5,59,1,Cutting Layup Shot,2,16,13,True
Marco Belinelli,2,10,14,0,Cutting Layup Shot,2,3,20,True
Marco Belinelli,2,6,31,0,Cutting Layup Shot,9,-3,99,True
Marco Belinelli,2,0,34,0,Cutting Layup Shot,4,-42,11,True
Marco Belinelli,4,1,48,1,Cutting Layup Shot,3,-28,11,True
Marco Belinelli,2,1,52,1,Cutting Layup Shot,1,-7,10,True
Marco Belinelli,1,3,20,1,Cutting Layup Shot,2,-23,12,True
Marco Belinelli,2,3,11,1,Cutting Layup Shot,1,9,15,True
Marco Belinelli,4,6,37,1,Cutting Layup Shot,1,9,16,True
Marco Belinelli,4,5,24,1,Cutting Layup Shot,1,11,10,True
Marco Belinelli,4,6,15,1,Cutting Layup Shot,1,-1,10,True
Marco Belinelli,1,3,8,1,Cutting Layup Shot,0,2,9,True
Marco Belinelli,1,2,3,1,Cutting Layup Shot,2,0,26,True
