name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Marcus Morris,3,0,2,1,Alley Oop Dunk Shot,0,-3,4,True
Marcus Morris,1,11,20,1,Cutting Dunk Shot,0,2,2,True
Marcus Morris,2,9,9,1,Cutting Dunk Shot,0,-1,8,True
Marcus Morris,1,8,52,1,Cutting Dunk Shot,0,-7,5,True
Marcus Morris,2,10,29,1,Cutting Layup Shot,0,-3,1,True
Marcus Morris,3,8,8,1,Cutting Layup Shot,2,16,20,True
Marcus Morris,3,4,19,1,Cutting Layup Shot,2,-24,15,True
Marcus Morris,4,9,24,1,Cutting Layup Shot,1,-18,5,True
Marcus Morris,2,3,4,1,Cutting Layup Shot,1,-8,12,True
Marcus Morris,2,10,33,0,Cutting Layup Shot,1,14,7,True
Marcus Morris,1,10,44,1,Cutting Layup Shot,1,-2,18,True
Marcus Morris,3,11,48,1,Cutting Layup Shot,4,35,35,True
Marcus Morris,1,2,56,0,Cutting Layup Shot,0,8,4,True
Marcus Morris,3,2,44,1,Cutting Layup Shot,2,14,16,True
Marcus Morris,3,4,21,0,Cutting Layup Shot,3,34,-5,True
Marcus Morris,2,4,17,1,Cutting Layup Shot,0,-3,7,True
Marcus Morris,2,3,56,1,Cutting Layup Shot,1,6,12,True
Marcus Morris,4,3,26,1,Driving Dunk Shot,1,-8,-6,True
Marcus Morris,3,1,9,1,Driving Dunk Shot,0,8,-1,True
Marcus Morris,4,10,30,1,Driving Finger Roll Layup Shot,3,-9,30,True
Marcus Morris,1,2,19,0,Driving Finger Roll Layup Shot,2,3,29,True
Marcus Morris,3,6,59,1,Driving Finger Roll Layup Shot,1,-3,15,True
Marcus Morris,3,2,10,1,Driving Finger Roll Layup Shot,0,-3,7,True
Marcus Morris,3,4,21,1,Driving Floating Bank Jump Shot,13,79,108,True
Marcus Morris,2,6,13,0,Driving Floating Bank Jump Shot,8,81,18,True
Marcus Morris,3,9,21,0,Driving Floating Bank Jump Shot,7,-15,74,True
Marcus Morris,1,2,17,1,Driving Floating Bank Jump Shot,7,-66,24,True
Marcus Morris,2,0,0,0,Driving Floating Jump Shot,47,4,479,False
Marcus Morris,2,9,50,0,Driving Floating Jump Shot,1,12,13,True
Marcus Morris,3,1,55,0,Driving Floating Jump Shot,10,28,105,True
Marcus Morris,2,10,59,0,Driving Floating Jump Shot,13,-134,31,True
Marcus Morris,4,8,58,0,Driving Floating Jump Shot,4,47,8,True
Marcus Morris,2,6,57,0,Driving Floating Jump Shot,6,-57,34,True
Marcus Morris,3,2,52,0,Driving Floating Jump Shot,5,-6,54,True
Marcus Morris,1,2,45,1,Driving Hook Shot,1,10,10,True
Marcus Morris,2,11,0,0,Driving Hook Shot,7,73,31,True
Marcus Morris,1,1,52,1,Driving Hook Shot,5,-56,6,True
Marcus Morris,3,9,19,0,Driving Hook Shot,7,2,75,True
Marcus Morris,3,1,29,1,Driving Hook Shot,3,30,-1,True
Marcus Morris,2,7,31,0,Driving Layup Shot,2,-22,4,True
Marcus Morris,2,7,46,1,Driving Layup Shot,2,-13,21,True
Marcus Morris,3,5,26,0,Driving Layup Shot,6,-59,22,True
Marcus Morris,2,0,3,1,Driving Layup Shot,2,-22,16,True
Marcus Morris,2,10,49,1,Driving Layup Shot,1,-2,16,True
Marcus Morris,3,7,22,0,Driving Layup Shot,2,13,19,True
Marcus Morris,1,9,54,0,Driving Layup Shot,1,14,10,True
Marcus Morris,3,2,43,0,Driving Layup Shot,3,18,25,True
Marcus Morris,2,4,52,0,Driving Layup Shot,1,-9,6,True
Marcus Morris,3,5,58,1,Driving Layup Shot,1,9,10,True
Marcus Morris,1,3,31,0,Driving Layup Shot,2,-12,27,True
