name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Marcus Smart,4,3,6,1,Cutting Finger Roll Layup Shot,1,19,-2,True
Marcus Smart,4,4,14,1,Cutting Layup Shot,2,27,10,True
Marcus Smart,4,11,44,1,Cutting Layup Shot,1,5,15,True
Marcus Smart,3,1,4,1,Cutting Layup Shot,1,-9,13,True
Marcus Smart,4,3,56,0,Cutting Layup Shot,2,0,22,True
Marcus Smart,4,5,51,1,Cutting Layup Shot,2,-12,20,True
Marcus Smart,3,3,9,1,Cutting Layup Shot,1,7,10,True
Marcus Smart,2,11,20,1,Cutting Layup Shot,1,-11,1,True
Marcus Smart,3,8,37,0,Cutting Layup Shot,2,-6,26,True
Marcus Smart,3,7,52,1,Driving Dunk Shot,1,-2,11,True
Marcus Smart,4,4,0,0,Driving Dunk Shot,2,6,24,True
Marcus Smart,2,3,28,1,Driving Dunk Shot,0,-2,7,True
Marcus Smart,2,1,29,1,Driving Finger Roll Layup Shot,0,6,7,True
Marcus Smart,4,4,26,0,Driving Finger Roll Layup Shot,2,22,5,True
Marcus Smart,1,2,52,0,Driving Finger Roll Layup Shot,2,-9,23,True
Marcus Smart,3,2,48,1,Driving Finger Roll Layup Shot,2,12,22,True
Marcus Smart,3,6,23,1,Driving Finger Roll Layup Shot,0,6,6,True
Marcus Smart,1,4,0,0,Driving Finger Roll Layup Shot,5,-54,12,True
Marcus Smart,4,8,45,1,Driving Finger Roll Layup Shot,2,18,22,True
Marcus Smart,1,1,19,0,Driving Finger Roll Layup Shot,3,0,37,True
Marcus Smart,1,4,27,0,Driving Finger Roll Layup Shot,4,26,42,True
Marcus Smart,4,8,30,0,Driving Finger Roll Layup Shot,2,13,25,True
Marcus Smart,1,6,22,1,Driving Finger Roll Layup Shot,2,14,17,True
Marcus Smart,3,7,3,1,Driving Finger Roll Layup Shot,1,-1,11,True
Marcus Smart,4,7,39,0,Driving Floating Bank Jump Shot,6,52,37,True
Marcus Smart,4,9,58,0,Driving Floating Bank Jump Shot,8,43,69,True
Marcus Smart,2,9,4,0,Driving Floating Bank Jump Shot,13,112,68,True
Marcus Smart,3,3,11,1,Driving Floating Bank Jump Shot,10,74,75,True
Marcus Smart,3,0,36,0,Driving Floating Bank Jump Shot,7,-55,46,True
Marcus Smart,1,1,18,0,Driving Floating Jump Shot,9,-20,91,True
Marcus Smart,2,3,4,1,Driving Floating Jump Shot,11,-33,110,True
Marcus Smart,3,7,23,0,Driving Floating Jump Shot,3,-15,34,True
Marcus Smart,1,3,28,1,Driving Floating Jump Shot,6,-2,65,True
Marcus Smart,4,6,10,0,Driving Floating Jump Shot,3,-9,30,True
Marcus Smart,3,2,26,1,Driving Floating Jump Shot,9,-29,95,True
Marcus Smart,2,3,55,1,Driving Floating Jump Shot,9,63,75,True
Marcus Smart,4,9,59,0,Driving Floating Jump Shot,8,-57,58,True
Marcus Smart,3,4,1,0,Driving Floating Jump Shot,3,26,30,True
Marcus Smart,2,7,29,0,Driving Floating Jump Shot,11,-36,107,True
Marcus Smart,1,7,29,0,Driving Floating Jump Shot,6,35,53,True
Marcus Smart,2,0,31,1,Driving Floating Jump Shot,5,-7,55,True
Marcus Smart,4,4,40,1,Driving Floating Jump Shot,11,19,114,True
Marcus Smart,4,8,16,0,Driving Floating Jump Shot,4,-2,44,True
Marcus Smart,2,6,46,0,Driving Floating Jump Shot,4,3,41,True
Marcus Smart,2,1,51,0,Driving Floating Jump Shot,5,10,57,True
Marcus Smart,1,1,5,0,Driving Floating Jump Shot,5,30,42,True
Marcus Smart,3,5,24,0,Driving Floating Jump Shot,6,25,57,True
Marcus Smart,3,6,58,0,Driving Floating Jump Shot,7,-22,69,True
Marcus Smart,4,1,18,1,Driving Hook Shot,4,39,10,True
Marcus Smart,4,3,1,0,Driving Hook Shot,3,18,34,True
Marcus Smart,4,3,13,0,Driving Hook Shot,8,29,78,True
Marcus Smart,4,9,8,1,Driving Layup Shot,0,7,-1,True
Marcus Smart,2,0,49,1,Driving Layup Shot,1,5,19,True
Marcus Smart,2,11,44,1,Driving Layup Shot,1,-5,10,True
Marcus Smart,4,11,10,0,Driving Layup Shot,4,19,40,True
Marcus Smart,3,1,18,0,Driving Layup Shot,1,8,13,True
Marcus Smart,4,10,2,0,Driving Layup Shot,3,16,34,True
Marcus Smart,3,3,20,1,Driving Layup Shot,3,13,35,True
Marcus Smart,3,0,4,1,Driving Layup Shot,2,18,15,True
Marcus Smart,2,0,29,0,Driving Layup Shot,1,12,14,True
Marcus Smart,1,0,0,1,Driving Layup Shot,2,11,21,True
Marcus Smart,2,8,34,1,Driving Layup Shot,1,14,4,True
Marcus Smart,4,3,52,1,Driving Layup Shot,1,2,10,True
Marcus Smart,4,6,51,1,Driving Layup Shot,1,-8,7,True
Marcus Smart,2,5,9,1,Driving Layup Shot,0,3,-3,True
Marcus Smart,1,8,18,1,Driving Layup Shot,0,-1,4,True
Marcus Smart,4,9,10,0,Driving Layup Shot,6,5,69,True
Marcus Smart,3,5,37,1,Driving Layup Shot,1,-13,2,True
Marcus Smart,1,0,1,0,Driving Layup Shot,2,-27,6,True
Marcus Smart,3,3,45,1,Driving Layup Shot,2,0,27,True
Marcus Smart,1,3,28,0,Driving Layup Shot,2,-16,17,True
Marcus Smart,2,6,28,1,Driving Layup Shot,1,1,19,True
Marcus Smart,4,0,13,1,Driving Layup Shot,1,9,11,True
Marcus Smart,2,8,18,0,Driving Layup Shot,4,-16,42,True
Marcus Smart,3,5,53,1,Driving Layup Shot,3,23,32,True
Marcus Smart,3,6,8,1,Driving Layup Shot,2,13,16,True
Marcus Smart,3,1,50,0,Driving Layup Shot,1,-4,17,True
Marcus Smart,3,1,26,1,Driving Layup Shot,0,5,5,True
Marcus Smart,1,0,2,1,Driving Layup Shot,1,-6,15,True
Marcus Smart,2,6,22,0,Driving Layup Shot,8,25,80,True
Marcus Smart,4,6,37,0,Driving Reverse Layup Shot,2,-13,16,True
Marcus Smart,3,9,55,1,Driving Reverse Layup Shot,0,-8,5,True
Marcus Smart,2,2,9,0,Driving Reverse Layup Shot,2,-23,16,True
Marcus Smart,2,7,8,0,Driving Reverse Layup Shot,1,-10,10,True
Marcus Smart,2,10,8,1,Driving Reverse Layup Shot,0,-8,2,True
Marcus Smart,2,10,26,1,Dunk Shot,0,3,7,True
Marcus Smart,2,1,0,1,Dunk Shot,0,4,7,True
Marcus Smart,4,10,30,0,Fadeaway Jump Shot,13,-24,132,True
Marcus Smart,1,5,10,0,Fadeaway Jump Shot,26,-192,185,False
Marcus Smart,1,0,38,1,Fadeaway Jump Shot,20,187,94,True
Marcus Smart,1,9,58,0,Fadeaway Jump Shot,11,100,64,True
Marcus Smart,2,3,58,1,Fadeaway Jump Shot,4,-25,34,True
Marcus Smart,2,10,41,0,Finger Roll Layup Shot,3,16,26,True
Marcus Smart,3,1,27,1,Floating Jump shot,5,19,48,True
Marcus Smart,1,1,17,1,Floating Jump shot,5,9,55,True
Marcus Smart,3,6,11,1,Floating Jump shot,9,29,86,True
Marcus Smart,4,3,4,0,Floating Jump shot,4,8,45,True
Marcus Smart,3,0,47,0,Floating Jump shot,9,3,95,True
Marcus Smart,4,8,45,0,Floating Jump shot,14,6,141,True
Marcus Smart,3,1,41,0,Hook Shot,13,117,66,True
Marcus Smart,2,10,57,1,Jump Bank Shot,11,-79,80,True
Marcus Smart,3,6,18,1,Jump Bank Shot,8,80,31,True
Marcus Smart,2,4,51,1,Jump Shot,25,-164,191,False
Marcus Smart,4,10,4,0,Jump Shot,25,15,258,False
Marcus Smart,3,0,6,0,Jump Shot,22,227,8,False
Marcus Smart,3,4,40,0,Jump Shot,24,-163,185,False
Marcus Smart,1,0,4,1,Jump Shot,22,-75,209,True
Marcus Smart,3,5,43,1,Jump Shot,25,-14,254,False
Marcus Smart,4,2,36,0,Jump Shot,12,117,52,True
Marcus Smart,3,6,40,0,Jump Shot,23,-239,17,False
Marcus Smart,3,4,41,0,Jump Shot,10,-38,93,True
Marcus Smart,2,0,0,0,Jump Shot,20,93,178,True
Marcus Smart,1,0,30,1,Jump Shot,26,26,259,False
Marcus Smart,3,1,5,1,Jump Shot,25,234,90,False
Marcus Smart,1,4,26,1,Jump Shot,25,-229,106,False
Marcus Smart,3,0,49,0,Jump Shot,27,-168,216,False
Marcus Smart,3,2,23,0,Jump Shot,26,169,201,False
Marcus Smart,2,8,23,0,Jump Shot,23,232,34,False
Marcus Smart,3,0,0,0,Jump Shot,28,74,277,False
Marcus Smart,4,7,53,0,Jump Shot,27,219,173,False
Marcus Smart,1,1,30,0,Jump Shot,25,185,170,False
Marcus Smart,2,10,36,1,Jump Shot,26,-155,216,False
Marcus Smart,1,2,9,1,Jump Shot,27,138,233,False
