name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Mario Hezonja,3,8,39,1,Alley Oop Dunk Shot,2,-13,21,True
Mario Hezonja,3,3,56,1,Alley Oop Dunk Shot,2,16,13,True
Mario Hezonja,3,2,57,1,Alley Oop Layup shot,0,5,7,True
Mario Hezonja,1,5,31,1,Cutting Dunk Shot,2,-9,21,True
Mario Hezonja,3,1,22,1,Cutting Dunk Shot,1,-4,14,True
Mario Hezonja,1,8,59,1,Cutting Dunk Shot,1,11,14,True
Mario Hezonja,4,7,35,1,Cutting Dunk Shot,3,31,23,True
Mario Hezonja,3,2,38,1,Cutting Dunk Shot,4,44,22,True
Mario Hezonja,2,1,49,1,Cutting Dunk Shot,1,-3,13,True
Mario Hezonja,2,4,47,0,Cutting Finger Roll Layup Shot,2,-4,24,True
Mario Hezonja,2,5,54,1,Cutting Layup Shot,1,6,10,True
Mario Hezonja,1,6,45,1,Cutting Layup Shot,2,16,13,True
Mario Hezonja,1,7,29,1,Cutting Layup Shot,0,-3,6,True
Mario Hezonja,2,9,39,1,Cutting Layup Shot,1,13,3,True
Mario Hezonja,3,9,1,0,Cutting Layup Shot,2,-1,25,True
Mario Hezonja,1,5,14,1,Cutting Layup Shot,2,-18,17,True
Mario Hezonja,3,3,27,0,Cutting Layup Shot,6,-3,69,True
Mario Hezonja,1,8,32,1,Cutting Layup Shot,1,8,17,True
Mario Hezonja,1,9,3,1,Cutting Layup Shot,2,-2,29,True
Mario Hezonja,4,1,0,1,Cutting Layup Shot,2,6,20,True
Mario Hezonja,3,2,24,1,Cutting Layup Shot,1,-18,0,True
Mario Hezonja,1,8,29,1,Cutting Layup Shot,2,12,16,True
Mario Hezonja,3,4,39,0,Cutting Layup Shot,1,-13,15,True
Mario Hezonja,2,0,44,1,Cutting Layup Shot,3,-3,34,True
Mario Hezonja,2,8,12,0,Cutting Layup Shot,1,-15,6,True
Mario Hezonja,3,6,7,1,Cutting Layup Shot,0,-3,5,True
Mario Hezonja,3,6,43,1,Driving Dunk Shot,1,0,10,True
Mario Hezonja,1,3,49,1,Driving Dunk Shot,2,-8,22,True
Mario Hezonja,2,5,51,1,Driving Dunk Shot,1,0,19,True
Mario Hezonja,4,8,27,1,Driving Dunk Shot,0,-5,2,True
Mario Hezonja,1,1,30,1,Driving Dunk Shot,1,7,17,True
Mario Hezonja,4,4,20,1,Driving Dunk Shot,1,-6,11,True
Mario Hezonja,4,1,54,1,Driving Dunk Shot,2,-13,17,True
Mario Hezonja,2,10,23,1,Driving Dunk Shot,0,-3,9,True
Mario Hezonja,1,9,25,0,Driving Finger Roll Layup Shot,2,10,23,True
Mario Hezonja,4,6,6,1,Driving Finger Roll Layup Shot,1,10,-5,True
Mario Hezonja,1,4,33,0,Driving Floating Bank Jump Shot,3,-27,15,True
Mario Hezonja,3,10,3,1,Driving Floating Bank Jump Shot,4,40,20,True
Mario Hezonja,1,8,7,1,Driving Floating Bank Jump Shot,1,-9,17,True
Mario Hezonja,4,3,51,1,Driving Floating Bank Jump Shot,2,29,4,True
Mario Hezonja,2,11,18,0,Driving Floating Bank Jump Shot,7,-65,40,True
Mario Hezonja,4,1,21,0,Driving Floating Bank Jump Shot,2,-17,23,True
Mario Hezonja,4,8,47,1,Driving Floating Bank Jump Shot,8,70,42,True
Mario Hezonja,4,0,47,0,Driving Floating Jump Shot,4,-25,39,True
Mario Hezonja,4,11,45,0,Driving Floating Jump Shot,13,8,134,True
Mario Hezonja,2,8,36,0,Driving Floating Jump Shot,8,-14,80,True
Mario Hezonja,2,10,59,1,Driving Floating Jump Shot,3,-2,32,True
Mario Hezonja,3,4,49,0,Driving Floating Jump Shot,7,-52,55,True
Mario Hezonja,3,0,18,0,Driving Floating Jump Shot,8,41,79,True
Mario Hezonja,4,0,22,0,Driving Floating Jump Shot,2,2,27,True
Mario Hezonja,3,6,57,0,Driving Floating Jump Shot,7,54,46,True
Mario Hezonja,4,9,56,0,Driving Floating Jump Shot,5,-43,41,True
Mario Hezonja,1,10,11,1,Driving Floating Jump Shot,12,67,105,True
Mario Hezonja,4,4,23,1,Driving Floating Jump Shot,0,-5,5,True
Mario Hezonja,4,10,58,1,Driving Floating Jump Shot,8,5,84,True
Mario Hezonja,4,8,15,0,Driving Hook Shot,3,29,18,True
Mario Hezonja,2,10,48,1,Driving Hook Shot,6,57,22,True
Mario Hezonja,2,9,7,0,Driving Hook Shot,14,5,140,True
Mario Hezonja,2,9,17,1,Driving Hook Shot,6,45,48,True
Mario Hezonja,2,9,19,0,Driving Hook Shot,9,2,99,True
Mario Hezonja,4,6,32,1,Driving Hook Shot,2,20,20,True
Mario Hezonja,4,0,11,1,Driving Hook Shot,5,-8,50,True
Mario Hezonja,4,9,35,1,Driving Hook Shot,5,20,56,True
Mario Hezonja,1,0,32,0,Driving Hook Shot,6,1,61,True
Mario Hezonja,3,3,59,1,Driving Hook Shot,12,-34,120,True
Mario Hezonja,4,3,5,0,Driving Layup Shot,3,19,33,True
Mario Hezonja,2,4,15,0,Driving Layup Shot,3,-25,27,True
Mario Hezonja,4,0,49,1,Driving Layup Shot,3,3,31,True
Mario Hezonja,4,7,51,0,Driving Layup Shot,2,0,29,True
Mario Hezonja,2,9,0,1,Driving Layup Shot,2,6,25,True
Mario Hezonja,3,8,0,0,Driving Layup Shot,5,3,58,True
Mario Hezonja,2,6,56,0,Driving Layup Shot,3,38,11,True
Mario Hezonja,2,4,40,0,Driving Layup Shot,2,-13,25,True
Mario Hezonja,4,10,21,0,Driving Layup Shot,3,-19,25,True
Mario Hezonja,1,8,18,1,Driving Layup Shot,0,0,6,True
Mario Hezonja,3,1,10,1,Driving Layup Shot,0,3,6,True
Mario Hezonja,1,7,57,1,Driving Layup Shot,2,-4,27,True
Mario Hezonja,1,0,58,0,Driving Layup Shot,3,2,31,True
Mario Hezonja,3,8,32,0,Driving Layup Shot,4,19,43,True
Mario Hezonja,4,9,56,1,Driving Layup Shot,1,-5,17,True
Mario Hezonja,2,11,17,1,Driving Layup Shot,2,11,19,True
Mario Hezonja,2,8,41,1,Driving Layup Shot,3,13,29,True
Mario Hezonja,3,9,6,0,Driving Layup Shot,4,-22,38,True
Mario Hezonja,3,4,47,1,Driving Layup Shot,1,-11,13,True
