name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Markieff Morris,3,3,39,1,Alley Oop Dunk Shot,1,-7,11,True
Markieff Morris,3,2,39,1,Alley Oop Dunk Shot,0,0,7,True
Markieff Morris,3,4,12,1,Alley Oop Dunk Shot,2,6,20,True
Markieff Morris,4,2,20,1,Alley Oop Dunk Shot,2,3,21,True
Markieff Morris,1,6,20,1,Alley Oop Dunk Shot,2,8,21,True
Markieff Morris,1,6,50,1,Alley Oop Dunk Shot,2,18,11,True
Markieff Morris,1,9,41,1,Alley Oop Dunk Shot,1,-5,-9,True
Markieff Morris,1,5,56,0,Alley Oop Dunk Shot,4,-49,5,True
Markieff Morris,3,6,7,1,Alley Oop Dunk Shot,0,7,-2,True
Markieff Morris,3,9,49,0,Alley Oop Layup shot,2,-28,10,True
Markieff Morris,4,2,44,0,Alley Oop Layup shot,2,18,21,True
Markieff Morris,3,6,0,1,Alley Oop Layup shot,0,0,3,True
Markieff Morris,1,10,1,1,Alley Oop Layup shot,0,-5,6,True
Markieff Morris,4,1,42,1,Cutting Dunk Shot,0,-5,-1,True
Markieff Morris,4,1,21,1,Cutting Dunk Shot,1,-3,13,True
Markieff Morris,3,11,45,1,Cutting Dunk Shot,1,1,14,True
Markieff Morris,3,3,46,1,Cutting Dunk Shot,0,7,5,True
Markieff Morris,3,9,51,1,Cutting Dunk Shot,0,-3,4,True
Markieff Morris,1,4,27,1,Cutting Dunk Shot,1,-13,4,True
Markieff Morris,1,6,31,1,Cutting Dunk Shot,2,14,22,True
Markieff Morris,2,6,48,1,Cutting Finger Roll Layup Shot,1,-12,6,True
Markieff Morris,2,4,11,1,Cutting Layup Shot,0,-1,4,True
Markieff Morris,4,5,5,1,Cutting Layup Shot,0,3,8,True
Markieff Morris,1,4,49,1,Cutting Layup Shot,0,3,-3,True
Markieff Morris,4,3,42,1,Cutting Layup Shot,1,14,5,True
Markieff Morris,4,1,35,1,Cutting Layup Shot,2,3,27,True
Markieff Morris,2,7,41,0,Cutting Layup Shot,3,-25,20,True
Markieff Morris,4,2,46,1,Cutting Layup Shot,1,8,13,True
Markieff Morris,3,4,43,1,Cutting Layup Shot,2,25,10,True
Markieff Morris,1,11,7,1,Cutting Layup Shot,0,-9,3,True
Markieff Morris,2,0,2,1,Cutting Layup Shot,3,18,26,True
Markieff Morris,1,10,33,1,Cutting Layup Shot,3,-23,20,True
Markieff Morris,4,7,43,0,Cutting Layup Shot,1,-13,6,True
Markieff Morris,4,10,13,1,Cutting Layup Shot,4,-38,28,True
Markieff Morris,4,5,12,1,Cutting Layup Shot,2,7,27,True
Markieff Morris,2,2,45,1,Cutting Layup Shot,1,-5,17,True
Markieff Morris,2,5,6,0,Cutting Layup Shot,3,-27,25,True
Markieff Morris,2,6,12,1,Cutting Layup Shot,1,11,13,True
Markieff Morris,3,3,47,0,Cutting Layup Shot,8,29,75,True
Markieff Morris,3,3,47,1,Cutting Layup Shot,2,12,16,True
Markieff Morris,2,3,15,0,Cutting Layup Shot,3,-27,15,True
Markieff Morris,2,1,49,1,Cutting Layup Shot,0,-6,-7,True
Markieff Morris,1,7,15,0,Cutting Layup Shot,2,13,16,True
Markieff Morris,1,9,39,1,Driving Bank Hook Shot,6,60,36,True
Markieff Morris,3,8,9,1,Driving Dunk Shot,0,-5,-1,True
Markieff Morris,1,8,9,0,Driving Finger Roll Layup Shot,0,0,2,True
Markieff Morris,2,5,10,0,Driving Finger Roll Layup Shot,4,-38,30,True
Markieff Morris,1,10,28,1,Driving Finger Roll Layup Shot,3,-31,19,True
Markieff Morris,4,2,45,1,Driving Finger Roll Layup Shot,1,-3,13,True
Markieff Morris,3,9,14,0,Driving Finger Roll Layup Shot,1,-16,7,True
Markieff Morris,4,3,17,1,Driving Floating Bank Jump Shot,2,-16,21,True
Markieff Morris,3,10,47,0,Driving Floating Bank Jump Shot,5,49,23,True
Markieff Morris,1,11,45,1,Driving Floating Bank Jump Shot,9,94,16,True
Markieff Morris,1,4,9,1,Driving Floating Bank Jump Shot,1,2,15,True
Markieff Morris,1,8,51,1,Driving Floating Bank Jump Shot,8,54,68,True
Markieff Morris,3,11,23,0,Driving Floating Jump Shot,11,106,32,True
Markieff Morris,1,2,29,0,Driving Floating Jump Shot,13,-130,-26,True
Markieff Morris,2,5,27,0,Driving Floating Jump Shot,9,20,95,True
Markieff Morris,3,9,23,1,Driving Floating Jump Shot,8,-32,83,True
Markieff Morris,1,11,7,1,Driving Hook Shot,5,47,22,True
Markieff Morris,3,2,29,0,Driving Hook Shot,4,-34,28,True
Markieff Morris,4,11,6,0,Driving Hook Shot,13,25,130,True
Markieff Morris,2,3,43,0,Driving Layup Shot,1,-5,15,True
Markieff Morris,1,4,18,0,Driving Layup Shot,15,99,117,True
Markieff Morris,2,1,45,0,Driving Layup Shot,1,-7,13,True
Markieff Morris,3,9,35,0,Driving Layup Shot,2,-13,19,True
Markieff Morris,1,8,24,0,Driving Layup Shot,10,98,48,True
Markieff Morris,2,3,17,0,Driving Layup Shot,1,14,8,True
Markieff Morris,3,7,27,1,Driving Layup Shot,0,-2,0,True
Markieff Morris,1,1,58,0,Driving Layup Shot,7,-52,59,True
Markieff Morris,1,1,12,1,Driving Layup Shot,2,-17,11,True
Markieff Morris,3,9,0,1,Driving Layup Shot,4,30,31,True
Markieff Morris,1,6,33,1,Driving Layup Shot,2,2,24,True
Markieff Morris,3,3,58,0,Driving Layup Shot,3,-32,8,True
Markieff Morris,3,4,8,0,Driving Layup Shot,7,64,47,True
Markieff Morris,2,1,6,0,Driving Layup Shot,1,12,11,True
Markieff Morris,1,10,20,1,Driving Layup Shot,0,8,5,True
Markieff Morris,2,2,42,0,Driving Layup Shot,1,-5,16,True
Markieff Morris,1,9,5,0,Driving Layup Shot,5,-51,28,True
Markieff Morris,3,9,12,1,Driving Layup Shot,0,4,2,True
Markieff Morris,1,5,25,1,Driving Layup Shot,0,-3,3,True
Markieff Morris,3,5,3,0,Driving Layup Shot,7,-73,3,True
Markieff Morris,2,5,8,0,Driving Layup Shot,6,-45,41,True
Markieff Morris,4,11,44,1,Driving Layup Shot,1,3,17,True
Markieff Morris,2,1,5,0,Driving Layup Shot,2,0,20,True
Markieff Morris,3,5,1,0,Driving Reverse Dunk Shot,3,3,31,True
Markieff Morris,1,10,11,1,Driving Reverse Layup Shot,2,-1,20,True
Markieff Morris,4,3,30,1,Driving Reverse Layup Shot,1,-1,15,True
Markieff Morris,2,1,10,1,Dunk Shot,0,-1,2,True
Markieff Morris,3,2,32,1,Dunk Shot,1,-11,11,True
Markieff Morris,3,9,55,0,Dunk Shot,1,16,3,True
Markieff Morris,2,4,8,0,Dunk Shot,1,13,11,True
Markieff Morris,3,9,8,0,Fadeaway Jump Shot,15,-136,69,True
Markieff Morris,1,9,18,1,Fadeaway Jump Shot,18,142,124,True
Markieff Morris,1,6,38,1,Fadeaway Jump Shot,11,-43,108,True
Markieff Morris,4,3,43,0,Fadeaway Jump Shot,14,-145,11,True
Markieff Morris,1,10,10,1,Fadeaway Jump Shot,10,44,95,True
Markieff Morris,3,6,39,0,Fadeaway Jump Shot,11,38,105,True
Markieff Morris,1,9,3,0,Fadeaway Jump Shot,11,-113,5,True
Markieff Morris,3,8,26,0,Fadeaway Jump Shot,11,107,43,True
Markieff Morris,1,11,5,1,Fadeaway Jump Shot,10,53,96,True
Markieff Morris,4,4,8,0,Fadeaway Jump Shot,16,54,151,True
Markieff Morris,1,10,34,0,Fadeaway Jump Shot,12,-127,25,True
Markieff Morris,1,4,30,1,Fadeaway Jump Shot,7,-5,76,True
Markieff Morris,1,6,36,0,Floating Jump shot,4,-35,25,True
Markieff Morris,1,11,24,1,Floating Jump shot,11,-18,116,True
Markieff Morris,3,10,27,0,Floating Jump shot,11,-112,18,True
Markieff Morris,2,6,14,1,Floating Jump shot,16,-163,17,True
Markieff Morris,1,9,29,0,Floating Jump shot,9,0,92,True
Markieff Morris,2,0,43,1,Hook Bank Shot,9,89,41,True
Markieff Morris,1,7,18,1,Hook Shot,12,115,43,True
Markieff Morris,3,4,49,1,Hook Shot,8,-61,65,True
Markieff Morris,4,6,45,1,Hook Shot,6,-60,-1,True
Markieff Morris,1,3,47,0,Hook Shot,10,82,62,True
Markieff Morris,3,7,11,0,Hook Shot,9,-46,88,True
Markieff Morris,3,10,50,1,Hook Shot,11,-57,98,True
Markieff Morris,1,0,34,0,Hook Shot,11,-71,88,True
Markieff Morris,4,3,32,1,Hook Shot,7,-54,50,True
Markieff Morris,3,6,36,1,Hook Shot,10,-68,76,True
Markieff Morris,2,2,42,0,Hook Shot,7,68,18,True
Markieff Morris,4,3,4,1,Hook Shot,6,8,66,True
Markieff Morris,1,5,15,1,Jump Bank Shot,26,102,249,False
Markieff Morris,1,6,9,0,Jump Bank Shot,8,64,49,True
Markieff Morris,2,3,46,0,Jump Shot,23,-230,-1,False
Markieff Morris,1,8,12,0,Jump Shot,17,-77,152,True
Markieff Morris,3,10,56,0,Jump Shot,13,55,119,True
Markieff Morris,1,2,48,0,Jump Shot,19,-46,189,True
Markieff Morris,1,10,33,0,Jump Shot,24,233,64,False
Markieff Morris,3,8,25,0,Jump Shot,25,-136,213,False
Markieff Morris,3,1,43,0,Jump Shot,25,98,237,False
Markieff Morris,2,0,9,0,Jump Shot,26,-180,200,False
Markieff Morris,3,4,34,1,Jump Shot,13,-29,127,True
Markieff Morris,2,1,43,1,Jump Shot,26,-68,257,False
Markieff Morris,3,2,42,0,Jump Shot,23,230,54,False
Markieff Morris,1,10,13,0,Jump Shot,25,218,124,False
Markieff Morris,3,5,10,0,Jump Shot,26,-161,205,False
Markieff Morris,1,6,10,0,Jump Shot,26,104,243,False
Markieff Morris,3,3,23,0,Jump Shot,23,227,65,False
Markieff Morris,3,7,44,1,Jump Shot,25,217,125,False
Markieff Morris,1,11,7,0,Jump Shot,19,-144,125,True
Markieff Morris,1,11,38,1,Jump Shot,26,-128,236,False
Markieff Morris,1,6,9,0,Jump Shot,16,139,85,True
Markieff Morris,1,7,22,0,Jump Shot,26,-210,161,False
Markieff Morris,1,10,30,1,Jump Shot,12,-101,68,True
Markieff Morris,3,10,37,0,Jump Shot,27,-208,179,False
Markieff Morris,4,2,25,0,Jump Shot,24,111,222,False
Markieff Morris,3,11,20,1,Jump Shot,12,103,78,True
Markieff Morris,3,6,8,0,Jump Shot,23,231,7,False
Markieff Morris,1,4,11,1,Jump Shot,15,-147,45,True
Markieff Morris,3,11,0,1,Jump Shot,26,-1,265,False
Markieff Morris,2,0,33,0,Jump Shot,22,227,-22,False
Markieff Morris,1,9,15,1,Jump Shot,13,127,32,True
