name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Marvin Williams,5,2,54,1,Alley Oop Layup shot,2,-21,-1,True
Marvin Williams,3,7,54,0,Cutting Layup Shot,2,-16,14,True
Marvin Williams,1,8,5,1,Cutting Layup Shot,1,6,11,True
Marvin Williams,4,7,33,1,Cutting Layup Shot,1,11,11,True
Marvin Williams,3,10,50,1,Cutting Layup Shot,1,8,17,True
Marvin Williams,3,8,56,0,Cutting Layup Shot,1,8,6,True
Marvin Williams,3,6,39,1,Cutting Layup Shot,1,-14,-1,True
Marvin Williams,1,10,34,1,Cutting Layup Shot,1,6,16,True
Marvin Williams,1,3,50,0,Cutting Layup Shot,1,-17,5,True
Marvin Williams,3,11,13,1,Cutting Layup Shot,2,6,20,True
Marvin Williams,4,0,18,1,Cutting Layup Shot,1,5,14,True
Marvin Williams,3,4,30,0,Cutting Layup Shot,0,-1,7,True
Marvin Williams,1,6,15,1,Cutting Layup Shot,1,14,6,True
Marvin Williams,4,1,32,1,Cutting Layup Shot,1,-6,12,True
Marvin Williams,3,10,17,0,Cutting Layup Shot,1,15,11,True
Marvin Williams,1,7,53,0,Cutting Layup Shot,2,27,-1,True
Marvin Williams,3,7,24,1,Cutting Layup Shot,1,6,10,True
Marvin Williams,1,2,38,1,Cutting Layup Shot,1,-11,15,True
Marvin Williams,2,2,43,0,Cutting Layup Shot,1,-6,11,True
Marvin Williams,3,7,18,0,Cutting Layup Shot,2,12,19,True
Marvin Williams,1,11,23,1,Cutting Layup Shot,0,4,5,True
Marvin Williams,3,7,13,0,Cutting Layup Shot,1,13,15,True
Marvin Williams,3,9,6,1,Cutting Layup Shot,0,8,2,True
Marvin Williams,4,7,45,1,Cutting Layup Shot,0,-5,4,True
Marvin Williams,1,5,16,1,Cutting Layup Shot,1,10,13,True
Marvin Williams,2,1,10,1,Driving Dunk Shot,1,3,16,True
Marvin Williams,3,4,15,1,Driving Dunk Shot,1,3,13,True
Marvin Williams,3,7,4,1,Driving Dunk Shot,1,-8,10,True
Marvin Williams,3,4,21,1,Driving Finger Roll Layup Shot,1,13,8,True
Marvin Williams,2,2,57,0,Driving Floating Bank Jump Shot,8,28,77,True
Marvin Williams,3,9,13,0,Driving Floating Bank Jump Shot,13,-122,57,True
Marvin Williams,1,10,40,1,Driving Floating Bank Jump Shot,0,6,4,True
Marvin Williams,3,9,36,1,Driving Floating Bank Jump Shot,3,29,21,True
Marvin Williams,3,9,56,1,Driving Floating Jump Shot,4,-43,16,True
