name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Maxi Kleber,1,3,7,1,Alley Oop Dunk Shot,0,-5,8,True
Maxi Kleber,3,7,20,1,Alley Oop Dunk Shot,2,1,20,True
Maxi Kleber,2,0,2,1,Alley Oop Dunk Shot,2,20,5,True
Maxi Kleber,3,7,54,1,Alley Oop Dunk Shot,0,1,6,True
Maxi Kleber,1,10,43,1,Alley Oop Dunk Shot,2,22,17,True
Maxi Kleber,3,6,29,1,Alley Oop Dunk Shot,0,-6,1,True
Maxi Kleber,3,6,59,1,Alley Oop Dunk Shot,2,-16,18,True
Maxi Kleber,2,0,40,1,Alley Oop Dunk Shot,1,5,17,True
Maxi Kleber,4,5,2,1,Alley Oop Dunk Shot,1,4,15,True
Maxi Kleber,3,1,51,1,Alley Oop Dunk Shot,1,-17,10,True
Maxi Kleber,3,3,3,1,Alley Oop Dunk Shot,0,5,8,True
Maxi Kleber,2,6,58,1,Alley Oop Dunk Shot,0,3,5,True
Maxi Kleber,1,2,11,1,Alley Oop Dunk Shot,1,-6,8,True
Maxi Kleber,1,11,27,1,Alley Oop Dunk Shot,0,0,8,True
Maxi Kleber,1,0,54,0,Alley Oop Layup shot,1,18,-1,True
Maxi Kleber,3,9,9,1,Alley Oop Layup shot,3,3,31,True
Maxi Kleber,2,6,23,1,Alley Oop Layup shot,0,8,5,True
Maxi Kleber,1,9,14,1,Alley Oop Layup shot,0,0,7,True
Maxi Kleber,1,9,29,0,Alley Oop Layup shot,3,-36,5,True
Maxi Kleber,1,9,25,0,Alley Oop Layup shot,2,18,11,True
Maxi Kleber,3,9,3,1,Alley Oop Layup shot,0,2,0,True
Maxi Kleber,1,4,18,0,Alley Oop Layup shot,2,18,18,True
Maxi Kleber,4,4,29,1,Alley Oop Layup shot,0,-2,6,True
Maxi Kleber,1,10,57,0,Alley Oop Layup shot,2,-22,20,True
Maxi Kleber,1,7,25,1,Cutting Dunk Shot,1,2,14,True
Maxi Kleber,3,10,0,1,Cutting Dunk Shot,0,1,3,True
Maxi Kleber,3,7,0,1,Cutting Dunk Shot,0,0,0,True
Maxi Kleber,1,3,40,0,Cutting Dunk Shot,1,3,11,True
Maxi Kleber,4,9,37,1,Cutting Dunk Shot,0,-6,5,True
Maxi Kleber,3,11,44,1,Cutting Dunk Shot,1,6,8,True
