name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Michael Beasley,3,7,47,1,Alley Oop Dunk Shot,0,8,1,True
Michael Beasley,4,3,26,0,Alley Oop Layup shot,1,-9,9,True
Michael Beasley,2,5,32,0,Alley Oop Layup shot,2,20,7,True
Michael Beasley,1,4,34,0,Alley Oop Layup shot,1,9,17,True
Michael Beasley,3,2,56,1,Alley Oop Layup shot,1,-2,15,True
Michael Beasley,4,8,58,0,Cutting Dunk Shot,2,3,29,True
Michael Beasley,2,8,29,1,Cutting Dunk Shot,0,-2,1,True
Michael Beasley,4,9,9,1,Cutting Dunk Shot,1,0,15,True
Michael Beasley,1,6,25,1,Cutting Dunk Shot,0,2,8,True
Michael Beasley,1,3,16,1,Cutting Dunk Shot,1,-13,15,True
Michael Beasley,3,8,55,1,Cutting Dunk Shot,2,-11,17,True
Michael Beasley,2,5,8,1,Cutting Finger Roll Layup Shot,1,-2,15,True
Michael Beasley,1,7,25,1,Cutting Finger Roll Layup Shot,0,-2,4,True
Michael Beasley,3,2,24,1,Cutting Finger Roll Layup Shot,1,-12,7,True
Michael Beasley,4,1,4,1,Cutting Layup Shot,2,-16,13,True
Michael Beasley,3,5,12,1,Cutting Layup Shot,1,-2,13,True
Michael Beasley,3,1,6,1,Cutting Layup Shot,1,10,11,True
Michael Beasley,4,5,22,1,Cutting Layup Shot,3,8,33,True
Michael Beasley,1,0,46,1,Driving Bank Hook Shot,2,-17,16,True
Michael Beasley,1,10,34,0,Driving Dunk Shot,1,-5,14,True
Michael Beasley,1,6,52,1,Driving Dunk Shot,1,6,11,True
Michael Beasley,2,8,56,0,Driving Dunk Shot,0,-3,4,True
Michael Beasley,2,6,32,0,Driving Dunk Shot,3,5,30,True
Michael Beasley,3,7,0,1,Driving Dunk Shot,2,-2,20,True
Michael Beasley,4,6,33,1,Driving Dunk Shot,1,-12,15,True
Michael Beasley,3,10,35,0,Driving Finger Roll Layup Shot,0,2,4,True
Michael Beasley,5,1,24,1,Driving Finger Roll Layup Shot,1,-8,6,True
Michael Beasley,3,3,0,0,Driving Finger Roll Layup Shot,2,22,5,True
Michael Beasley,2,4,36,1,Driving Finger Roll Layup Shot,6,-18,58,True
Michael Beasley,4,2,39,0,Driving Finger Roll Layup Shot,0,0,8,True
Michael Beasley,3,5,0,1,Driving Finger Roll Layup Shot,3,3,32,True
Michael Beasley,4,5,39,1,Driving Finger Roll Layup Shot,1,-19,5,True
Michael Beasley,4,9,18,1,Driving Finger Roll Layup Shot,2,6,25,True
Michael Beasley,3,11,41,1,Driving Finger Roll Layup Shot,0,-3,4,True
Michael Beasley,3,8,6,1,Driving Finger Roll Layup Shot,0,-3,5,True
Michael Beasley,3,0,52,1,Driving Finger Roll Layup Shot,2,-25,0,True
Michael Beasley,3,9,52,0,Driving Finger Roll Layup Shot,0,0,8,True
Michael Beasley,3,2,22,1,Driving Finger Roll Layup Shot,0,3,6,True
Michael Beasley,3,3,53,1,Driving Finger Roll Layup Shot,2,-20,16,True
Michael Beasley,2,11,11,1,Driving Finger Roll Layup Shot,1,17,3,True
Michael Beasley,2,10,45,1,Driving Finger Roll Layup Shot,4,3,40,True
Michael Beasley,1,2,23,1,Driving Finger Roll Layup Shot,2,-2,26,True
Michael Beasley,2,7,32,1,Driving Finger Roll Layup Shot,1,12,9,True
Michael Beasley,3,1,42,1,Driving Finger Roll Layup Shot,1,13,5,True
Michael Beasley,3,7,54,0,Driving Finger Roll Layup Shot,1,4,12,True
Michael Beasley,3,10,11,0,Driving Finger Roll Layup Shot,3,-24,27,True
