name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Michael CarterWilliams,1,2,19,1,Alley Oop Layup shot,2,22,10,True
Michael CarterWilliams,1,2,24,1,Cutting Dunk Shot,1,-5,13,True
Michael CarterWilliams,2,4,30,1,Cutting Layup Shot,2,8,21,True
Michael CarterWilliams,3,0,23,1,Cutting Layup Shot,1,4,15,True
Michael CarterWilliams,1,0,30,1,Cutting Layup Shot,2,-8,24,True
Michael CarterWilliams,2,9,26,1,Driving Dunk Shot,0,-1,7,True
Michael CarterWilliams,2,9,3,0,Driving Finger Roll Layup Shot,1,9,11,True
Michael CarterWilliams,1,3,49,0,Driving Floating Bank Jump Shot,7,23,73,True
Michael CarterWilliams,2,8,13,0,Driving Floating Bank Jump Shot,4,-48,9,True
Michael CarterWilliams,4,11,17,1,Driving Floating Bank Jump Shot,12,-115,57,True
Michael CarterWilliams,3,7,6,1,Driving Floating Bank Jump Shot,6,13,62,True
Michael CarterWilliams,2,9,34,1,Driving Floating Bank Jump Shot,8,56,58,True
Michael CarterWilliams,4,10,54,0,Driving Floating Jump Shot,8,7,89,True
Michael CarterWilliams,2,4,59,0,Driving Floating Jump Shot,12,58,111,True
Michael CarterWilliams,1,5,13,0,Driving Floating Jump Shot,9,1,92,True
Michael CarterWilliams,1,9,7,0,Driving Floating Jump Shot,17,49,167,True
Michael CarterWilliams,4,6,40,0,Driving Floating Jump Shot,6,-35,58,True
Michael CarterWilliams,1,0,34,0,Driving Floating Jump Shot,5,-9,52,True
Michael CarterWilliams,1,1,55,1,Driving Layup Shot,2,20,18,True
Michael CarterWilliams,2,9,55,1,Driving Layup Shot,2,-8,21,True
Michael CarterWilliams,4,6,39,0,Driving Layup Shot,2,-13,17,True
Michael CarterWilliams,1,0,55,0,Driving Layup Shot,2,15,21,True
Michael CarterWilliams,2,8,16,1,Driving Layup Shot,2,2,21,True
Michael CarterWilliams,4,7,23,1,Driving Layup Shot,7,63,37,True
Michael CarterWilliams,1,0,22,0,Driving Layup Shot,2,-14,17,True
Michael CarterWilliams,4,8,12,1,Driving Layup Shot,1,14,11,True
Michael CarterWilliams,4,9,48,0,Driving Layup Shot,2,-9,26,True
Michael CarterWilliams,2,10,56,1,Driving Layup Shot,1,7,9,True
Michael CarterWilliams,4,6,25,1,Driving Layup Shot,1,10,0,True
Michael CarterWilliams,2,10,4,0,Driving Layup Shot,5,-57,18,True
Michael CarterWilliams,2,7,10,1,Driving Layup Shot,1,9,15,True
Michael CarterWilliams,4,8,38,0,Driving Layup Shot,1,-9,8,True
Michael CarterWilliams,4,9,25,1,Driving Layup Shot,0,0,-4,True
Michael CarterWilliams,1,0,4,0,Driving Layup Shot,1,13,4,True
Michael CarterWilliams,1,0,31,0,Driving Layup Shot,1,-2,10,True
Michael CarterWilliams,4,6,15,1,Driving Layup Shot,1,0,11,True
Michael CarterWilliams,2,8,19,0,Driving Layup Shot,3,-1,33,True
Michael CarterWilliams,1,2,31,0,Driving Layup Shot,0,0,-2,True
Michael CarterWilliams,2,10,44,1,Driving Layup Shot,0,2,6,True
Michael CarterWilliams,4,2,18,0,Driving Layup Shot,3,-10,31,True
Michael CarterWilliams,2,11,3,1,Driving Layup Shot,3,27,23,True
Michael CarterWilliams,4,11,41,0,Driving Layup Shot,3,20,25,True
Michael CarterWilliams,2,11,4,0,Driving Layup Shot,1,-6,18,True
Michael CarterWilliams,1,0,30,1,Driving Layup Shot,1,-5,17,True
Michael CarterWilliams,2,10,43,0,Driving Layup Shot,4,-14,46,True
Michael CarterWilliams,2,8,50,0,Driving Layup Shot,1,-11,11,True
Michael CarterWilliams,4,10,17,0,Driving Layup Shot,2,24,11,True
Michael CarterWilliams,1,9,28,1,Driving Layup Shot,0,-1,5,True
Michael CarterWilliams,4,1,26,0,Driving Layup Shot,1,13,1,True
Michael CarterWilliams,2,7,3,1,Driving Layup Shot,2,17,12,True
Michael CarterWilliams,2,7,15,0,Driving Layup Shot,5,-54,-3,True
Michael CarterWilliams,2,11,25,1,Driving Reverse Layup Shot,1,17,9,True
Michael CarterWilliams,2,8,52,1,Dunk Shot,1,-1,16,True
Michael CarterWilliams,3,1,31,1,Dunk Shot,0,2,4,True
Michael CarterWilliams,4,1,11,1,Dunk Shot,1,12,14,True
Michael CarterWilliams,4,9,43,1,Dunk Shot,2,1,25,True
Michael CarterWilliams,2,5,11,0,Fadeaway Jump Shot,8,28,75,True
Michael CarterWilliams,2,10,17,0,Fadeaway Jump Shot,10,-101,8,True
Michael CarterWilliams,2,10,26,0,Fadeaway Jump Shot,20,166,120,True
Michael CarterWilliams,4,10,16,0,Floating Jump shot,6,25,60,True
Michael CarterWilliams,3,1,4,0,Floating Jump shot,14,74,124,True
Michael CarterWilliams,2,8,5,1,Floating Jump shot,8,-9,82,True
Michael CarterWilliams,2,8,54,0,Floating Jump shot,13,78,116,True
Michael CarterWilliams,2,8,33,1,Floating Jump shot,8,28,83,True
Michael CarterWilliams,2,7,38,0,Floating Jump shot,9,-69,69,True
Michael CarterWilliams,3,4,51,1,Floating Jump shot,13,63,120,True
Michael CarterWilliams,4,4,23,0,Floating Jump shot,7,9,74,True
Michael CarterWilliams,2,9,35,1,Floating Jump shot,4,2,40,True
Michael CarterWilliams,2,8,24,1,Jump Bank Shot,28,89,266,False
Michael CarterWilliams,3,6,43,0,Jump Bank Shot,8,-79,42,True
Michael CarterWilliams,2,10,51,0,Jump Shot,15,151,17,True
Michael CarterWilliams,4,10,26,0,Jump Shot,19,-35,188,True
Michael CarterWilliams,1,0,2,0,Jump Shot,11,109,-24,True
Michael CarterWilliams,2,11,13,0,Jump Shot,23,230,67,False
Michael CarterWilliams,2,11,23,0,Jump Shot,23,230,12,False
Michael CarterWilliams,1,1,41,0,Jump Shot,23,-230,37,False
Michael CarterWilliams,1,0,0,0,Jump Shot,24,226,84,False
Michael CarterWilliams,4,8,51,0,Jump Shot,23,234,21,False
Michael CarterWilliams,2,7,42,0,Jump Shot,23,-232,34,False
Michael CarterWilliams,4,11,21,1,Jump Shot,24,-122,215,False
Michael CarterWilliams,4,7,22,0,Jump Shot,24,81,236,False
Michael CarterWilliams,4,5,9,0,Jump Shot,22,-228,27,False
Michael CarterWilliams,2,7,22,0,Jump Shot,22,-226,39,False
Michael CarterWilliams,4,6,14,0,Jump Shot,22,219,30,False
Michael CarterWilliams,2,9,10,0,Jump Shot,16,97,131,True
Michael CarterWilliams,2,7,20,1,Jump Shot,22,227,7,False
Michael CarterWilliams,2,10,38,0,Jump Shot,25,-162,199,False
Michael CarterWilliams,4,6,36,1,Jump Shot,22,227,-8,False
Michael CarterWilliams,2,7,51,0,Jump Shot,25,6,251,False
Michael CarterWilliams,4,6,11,0,Jump Shot,25,140,217,False
Michael CarterWilliams,4,10,57,1,Jump Shot,26,-95,246,False
