name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Milos Teodosic,4,2,27,1,Cutting Layup Shot,1,11,-8,True
Milos Teodosic,1,8,46,0,Cutting Layup Shot,2,-6,26,True
Milos Teodosic,1,9,46,0,Driving Floating Bank Jump Shot,7,-62,45,True
Milos Teodosic,1,9,43,1,Driving Floating Bank Jump Shot,4,-41,4,True
Milos Teodosic,4,7,36,1,Driving Floating Bank Jump Shot,5,-50,21,True
Milos Teodosic,2,0,34,1,Driving Floating Bank Jump Shot,4,-47,13,True
Milos Teodosic,3,7,28,1,Driving Floating Jump Shot,12,-13,121,True
Milos Teodosic,1,5,26,1,Driving Floating Jump Shot,16,68,148,True
Milos Teodosic,2,10,35,0,Driving Floating Jump Shot,17,20,169,True
Milos Teodosic,3,5,59,1,Driving Floating Jump Shot,11,-5,117,True
Milos Teodosic,2,5,53,1,Driving Floating Jump Shot,11,9,110,True
Milos Teodosic,2,3,13,0,Driving Floating Jump Shot,6,-67,13,True
Milos Teodosic,2,9,49,0,Driving Hook Shot,5,33,38,True
Milos Teodosic,3,8,56,1,Driving Layup Shot,1,11,1,True
Milos Teodosic,1,8,2,0,Driving Layup Shot,1,10,10,True
Milos Teodosic,4,8,56,0,Driving Layup Shot,1,-4,15,True
Milos Teodosic,1,8,26,1,Driving Layup Shot,5,-9,53,True
Milos Teodosic,2,4,48,1,Driving Layup Shot,1,-5,11,True
Milos Teodosic,2,5,39,0,Driving Layup Shot,5,-45,32,True
Milos Teodosic,4,9,28,1,Driving Layup Shot,1,8,15,True
Milos Teodosic,2,0,40,0,Driving Layup Shot,2,16,20,True
Milos Teodosic,1,5,57,0,Driving Layup Shot,2,0,22,True
Milos Teodosic,1,2,48,0,Driving Layup Shot,4,-32,26,True
Milos Teodosic,4,7,41,1,Driving Layup Shot,1,13,14,True
Milos Teodosic,1,10,2,0,Driving Layup Shot,1,-12,12,True
Milos Teodosic,1,5,39,0,Driving Reverse Layup Shot,1,12,14,True
Milos Teodosic,1,11,21,1,Fadeaway Jump Shot,17,-174,15,True
Milos Teodosic,3,9,1,1,Floating Jump shot,10,19,100,True
Milos Teodosic,3,11,40,0,Floating Jump shot,13,6,138,True
Milos Teodosic,4,7,29,0,Floating Jump shot,10,-3,109,True
Milos Teodosic,2,9,9,1,Floating Jump shot,12,-124,9,True
Milos Teodosic,3,11,48,0,Floating Jump shot,11,33,109,True
Milos Teodosic,1,10,24,0,Floating Jump shot,13,62,125,True
Milos Teodosic,2,10,25,1,Floating Jump shot,10,-27,104,True
Milos Teodosic,2,8,10,0,Floating Jump shot,7,-3,73,True
Milos Teodosic,1,7,49,0,Jump Bank Shot,16,-158,57,True
Milos Teodosic,3,5,16,0,Jump Bank Shot,12,-67,100,True
Milos Teodosic,1,8,34,0,Jump Shot,27,121,242,False
Milos Teodosic,1,7,7,1,Jump Shot,15,72,134,True
Milos Teodosic,4,7,24,0,Jump Shot,25,-148,205,False
Milos Teodosic,2,1,12,1,Jump Shot,26,-143,220,False
Milos Teodosic,2,2,20,1,Jump Shot,27,-20,273,False
Milos Teodosic,2,9,58,1,Jump Shot,24,171,174,False
Milos Teodosic,4,11,28,1,Jump Shot,25,-56,253,False
Milos Teodosic,3,3,32,1,Jump Shot,22,223,50,False
Milos Teodosic,2,4,32,1,Jump Shot,23,-230,50,False
Milos Teodosic,1,6,27,1,Jump Shot,24,-116,220,False
Milos Teodosic,1,10,17,1,Jump Shot,25,115,225,False
Milos Teodosic,1,7,58,0,Jump Shot,24,-171,182,False
Milos Teodosic,4,6,41,0,Jump Shot,22,-224,47,False
Milos Teodosic,4,4,9,0,Jump Shot,26,123,230,False
Milos Teodosic,2,2,44,0,Jump Shot,26,169,204,False
Milos Teodosic,4,6,43,1,Jump Shot,26,-225,141,False
Milos Teodosic,3,10,57,0,Jump Shot,23,-234,13,False
Milos Teodosic,2,9,39,1,Jump Shot,27,25,273,False
Milos Teodosic,3,11,42,1,Jump Shot,26,212,160,False
Milos Teodosic,2,6,25,1,Jump Shot,26,-114,234,False
Milos Teodosic,2,0,20,1,Jump Shot,23,229,66,False
Milos Teodosic,3,0,8,1,Jump Shot,25,137,213,False
Milos Teodosic,1,10,1,1,Jump Shot,24,93,230,False
Milos Teodosic,1,7,28,0,Jump Shot,25,86,242,False
Milos Teodosic,3,9,29,0,Jump Shot,20,-130,158,True
Milos Teodosic,2,2,16,0,Jump Shot,17,123,128,True
Milos Teodosic,4,9,24,0,Jump Shot,24,-156,195,False
Milos Teodosic,3,11,41,0,Jump Shot,25,58,250,False
Milos Teodosic,4,10,33,1,Jump Shot,21,-136,167,True
Milos Teodosic,1,7,38,0,Jump Shot,25,158,204,False
Milos Teodosic,2,4,10,1,Jump Shot,26,-198,172,False
Milos Teodosic,2,1,43,1,Jump Shot,25,185,173,False
Milos Teodosic,3,9,18,0,Jump Shot,26,117,241,False
Milos Teodosic,2,3,4,0,Jump Shot,22,-224,-1,False
Milos Teodosic,1,1,28,1,Jump Shot,24,200,144,False
Milos Teodosic,4,9,52,0,Jump Shot,26,119,232,False
Milos Teodosic,2,7,10,1,Jump Shot,26,-71,259,False
Milos Teodosic,4,7,9,0,Jump Shot,25,103,236,False
Milos Teodosic,3,8,32,0,Jump Shot,27,127,239,False
Milos Teodosic,2,6,30,0,Jump Shot,26,92,244,False
Milos Teodosic,1,7,38,1,Jump Shot,26,-158,210,False
Milos Teodosic,3,8,1,1,Jump Shot,20,29,202,True
Milos Teodosic,2,0,54,0,Jump Shot,23,232,3,False
Milos Teodosic,2,3,51,1,Jump Shot,23,230,1,False
Milos Teodosic,4,11,47,1,Jump Shot,24,152,196,False
Milos Teodosic,4,3,36,0,Jump Shot,25,-63,248,False
Milos Teodosic,1,10,35,0,Jump Shot,25,-198,153,False
Milos Teodosic,3,6,42,1,Jump Shot,25,87,241,False
Milos Teodosic,4,3,59,1,Jump Shot,17,-96,148,True
Milos Teodosic,3,6,13,0,Jump Shot,19,165,113,True
Milos Teodosic,2,7,22,0,Jump Shot,25,-139,216,False
Milos Teodosic,2,3,1,0,Jump Shot,24,36,242,False
Milos Teodosic,2,8,47,1,Jump Shot,24,-143,201,False
Milos Teodosic,3,6,56,0,Jump Shot,27,-115,253,False
Milos Teodosic,3,5,37,0,Jump Shot,27,96,259,False
Milos Teodosic,3,10,5,0,Jump Shot,26,-94,251,False
Milos Teodosic,1,5,54,0,Jump Shot,26,-37,261,False
Milos Teodosic,1,11,37,0,Jump Shot,26,-101,245,False
Milos Teodosic,2,2,27,1,Jump Shot,25,-113,232,False
Milos Teodosic,1,4,24,1,Jump Shot,24,-215,126,False
Milos Teodosic,2,9,49,0,Jump Shot,25,-136,219,False
Milos Teodosic,2,2,7,0,Jump Shot,26,-131,226,False
Milos Teodosic,2,4,26,0,Jump Shot,25,93,239,False
Milos Teodosic,2,6,35,1,Jump Shot,26,122,231,False
Milos Teodosic,3,6,52,0,Jump Shot,25,-158,205,False
Milos Teodosic,4,4,2,1,Jump Shot,25,-65,248,False
Milos Teodosic,2,0,24,0,Jump Shot,25,-169,194,False
Milos Teodosic,1,4,22,0,Jump Shot,27,-101,256,False
Milos Teodosic,4,6,35,1,Jump Shot,17,174,3,True
Milos Teodosic,1,11,1,1,Jump Shot,25,138,210,False
Milos Teodosic,4,3,30,0,Jump Shot,25,35,252,False
Milos Teodosic,3,9,52,0,Jump Shot,26,103,242,False
Milos Teodosic,1,7,5,1,Jump Shot,26,-29,262,False
Milos Teodosic,1,5,56,0,Jump Shot,24,82,233,False
Milos Teodosic,2,3,48,0,Jump Shot,24,-42,245,False
Milos Teodosic,3,10,22,0,Jump Shot,26,85,252,False
Milos Teodosic,1,11,6,0,Jump Shot,25,-133,218,False
Milos Teodosic,2,6,23,1,Jump Shot,25,23,256,False
Milos Teodosic,3,7,4,0,Jump Shot,21,-71,204,True
Milos Teodosic,2,0,2,0,Jump Shot,25,-101,233,False
Milos Teodosic,3,11,19,0,Jump Shot,25,-60,246,False
Milos Teodosic,2,1,56,0,Jump Shot,23,231,-3,False
Milos Teodosic,2,3,15,0,Jump Shot,26,116,233,False
Milos Teodosic,1,11,13,1,Jump Shot,21,65,202,True
Milos Teodosic,1,10,38,0,Jump Shot,21,160,141,True
Milos Teodosic,1,9,11,0,Jump Shot,25,-161,197,False
Milos Teodosic,4,7,28,0,Jump Shot,27,-101,261,False
Milos Teodosic,2,0,9,0,Jump Shot,24,53,241,False
Milos Teodosic,2,3,27,1,Jump Shot,25,87,241,False
Milos Teodosic,4,3,13,0,Jump Shot,25,-194,161,False
Milos Teodosic,3,9,38,0,Jump Shot,24,-223,111,False
Milos Teodosic,2,1,12,1,Jump Shot,25,40,252,False
Milos Teodosic,4,6,11,1,Jump Shot,27,145,229,False
Milos Teodosic,4,5,28,0,Jump Shot,25,-156,201,False
Milos Teodosic,3,8,34,0,Jump Shot,25,-124,220,False
Milos Teodosic,4,6,24,0,Jump Shot,26,171,201,False
Milos Teodosic,1,8,35,0,Jump Shot,27,120,243,False
Milos Teodosic,4,1,56,0,Jump Shot,25,-173,188,False
Milos Teodosic,2,1,53,0,Jump Shot,26,123,233,False
Milos Teodosic,4,9,52,1,Jump Shot,26,-97,243,False
Milos Teodosic,1,8,33,0,Jump Shot,21,93,193,True
Milos Teodosic,1,10,28,0,Jump Shot,23,-229,71,False
Milos Teodosic,3,10,2,1,Jump Shot,26,61,258,False
Milos Teodosic,1,10,42,0,Jump Shot,26,-85,248,False
Milos Teodosic,3,7,21,0,Jump Shot,17,44,174,True
Milos Teodosic,2,3,26,0,Jump Shot,26,-76,257,False
Milos Teodosic,3,8,27,0,Jump Shot,26,81,256,False
Milos Teodosic,3,10,54,0,Jump Shot,24,155,191,False
Milos Teodosic,2,5,59,0,Jump Shot,26,-106,242,False
Milos Teodosic,4,2,46,0,Jump Shot,26,59,260,False
Milos Teodosic,4,0,40,1,Jump Shot,26,84,253,False
Milos Teodosic,4,5,50,1,Jump Shot,25,215,139,False
Milos Teodosic,2,3,8,1,Jump Shot,25,176,185,False
Milos Teodosic,1,6,7,0,Jump Shot,30,67,295,False
Milos Teodosic,3,9,5,0,Jump Shot,26,-160,211,False
Milos Teodosic,1,7,51,1,Jump Shot,25,-115,222,False
