name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Montrezl Harrell,4,11,7,1,Alley Oop Dunk Shot,1,2,-11,True
Montrezl Harrell,1,3,45,1,Alley Oop Dunk Shot,0,1,3,True
Montrezl Harrell,4,11,31,1,Alley Oop Dunk Shot,1,5,15,True
Montrezl Harrell,4,10,17,0,Alley Oop Dunk Shot,2,18,10,True
Montrezl Harrell,4,5,39,1,Alley Oop Dunk Shot,1,11,5,True
Montrezl Harrell,4,7,59,1,Alley Oop Dunk Shot,0,-3,5,True
Montrezl Harrell,2,8,27,1,Alley Oop Dunk Shot,1,2,12,True
Montrezl Harrell,2,8,32,0,Alley Oop Dunk Shot,1,10,8,True
Montrezl Harrell,2,9,37,1,Alley Oop Layup shot,3,-29,20,True
Montrezl Harrell,2,10,43,1,Alley Oop Layup shot,1,-5,14,True
Montrezl Harrell,4,7,57,1,Alley Oop Layup shot,1,0,10,True
Montrezl Harrell,1,3,0,1,Alley Oop Layup shot,2,0,23,True
Montrezl Harrell,2,5,26,1,Alley Oop Layup shot,2,17,15,True
Montrezl Harrell,2,10,59,1,Cutting Dunk Shot,0,-2,4,True
Montrezl Harrell,4,10,50,1,Cutting Dunk Shot,1,-2,15,True
Montrezl Harrell,3,1,2,1,Cutting Dunk Shot,1,-6,11,True
Montrezl Harrell,2,8,42,1,Cutting Dunk Shot,0,0,6,True
Montrezl Harrell,1,1,27,0,Cutting Dunk Shot,1,-2,15,True
Montrezl Harrell,4,10,10,1,Cutting Dunk Shot,1,-12,10,True
Montrezl Harrell,2,8,0,1,Cutting Dunk Shot,1,-13,10,True
Montrezl Harrell,2,7,55,1,Cutting Dunk Shot,0,-6,6,True
Montrezl Harrell,4,9,52,1,Cutting Dunk Shot,1,8,7,True
Montrezl Harrell,4,3,5,1,Cutting Dunk Shot,1,8,18,True
Montrezl Harrell,4,6,57,1,Cutting Dunk Shot,0,0,2,True
Montrezl Harrell,2,7,31,1,Cutting Dunk Shot,0,-5,0,True
Montrezl Harrell,4,11,45,1,Cutting Dunk Shot,3,29,14,True
Montrezl Harrell,2,7,47,1,Cutting Dunk Shot,1,1,14,True
Montrezl Harrell,1,1,19,1,Cutting Dunk Shot,0,0,6,True
Montrezl Harrell,3,0,33,1,Cutting Dunk Shot,0,4,-3,True
Montrezl Harrell,3,7,7,1,Cutting Dunk Shot,1,3,14,True
Montrezl Harrell,4,9,12,1,Cutting Dunk Shot,0,-8,1,True
Montrezl Harrell,4,8,58,1,Cutting Dunk Shot,2,-19,13,True
Montrezl Harrell,1,1,54,1,Cutting Dunk Shot,1,-10,-4,True
Montrezl Harrell,2,5,34,1,Cutting Dunk Shot,0,-3,7,True
Montrezl Harrell,2,9,4,1,Cutting Dunk Shot,1,0,11,True
Montrezl Harrell,2,3,58,1,Cutting Dunk Shot,2,-19,18,True
Montrezl Harrell,4,8,37,1,Cutting Dunk Shot,1,-8,15,True
Montrezl Harrell,3,8,9,1,Cutting Dunk Shot,1,0,14,True
Montrezl Harrell,1,2,1,1,Cutting Dunk Shot,0,-3,8,True
