name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Nikola Jokic,1,4,24,1,Cutting Dunk Shot,0,5,5,True
Nikola Jokic,1,0,56,0,Cutting Finger Roll Layup Shot,2,-12,18,True
Nikola Jokic,1,1,14,0,Cutting Finger Roll Layup Shot,1,10,11,True
Nikola Jokic,3,10,35,1,Cutting Finger Roll Layup Shot,0,-4,-1,True
Nikola Jokic,3,7,59,1,Cutting Finger Roll Layup Shot,1,-5,15,True
Nikola Jokic,2,1,42,1,Cutting Finger Roll Layup Shot,1,-7,17,True
Nikola Jokic,3,3,49,1,Cutting Finger Roll Layup Shot,3,0,34,True
Nikola Jokic,1,10,35,1,Cutting Layup Shot,0,5,6,True
Nikola Jokic,3,3,42,1,Cutting Layup Shot,2,-18,11,True
Nikola Jokic,1,9,0,0,Cutting Layup Shot,2,-24,-4,True
Nikola Jokic,3,6,45,1,Cutting Layup Shot,3,-23,28,True
Nikola Jokic,4,8,59,1,Cutting Layup Shot,3,-26,15,True
Nikola Jokic,1,0,0,1,Cutting Layup Shot,3,6,31,True
Nikola Jokic,3,10,20,1,Cutting Layup Shot,2,23,13,True
Nikola Jokic,1,7,14,0,Cutting Layup Shot,6,-47,50,True
Nikola Jokic,4,6,5,1,Cutting Layup Shot,5,-11,56,True
Nikola Jokic,4,2,50,1,Cutting Layup Shot,2,-13,17,True
Nikola Jokic,2,3,46,1,Cutting Layup Shot,1,7,10,True
Nikola Jokic,3,4,38,1,Cutting Layup Shot,2,6,22,True
Nikola Jokic,1,9,5,1,Cutting Layup Shot,1,18,7,True
Nikola Jokic,1,9,27,1,Cutting Layup Shot,3,27,23,True
Nikola Jokic,1,5,53,1,Driving Dunk Shot,2,-13,16,True
Nikola Jokic,2,6,0,1,Driving Dunk Shot,1,11,13,True
Nikola Jokic,4,3,40,1,Driving Dunk Shot,2,-21,15,True
Nikola Jokic,2,1,27,1,Driving Finger Roll Layup Shot,2,5,27,True
Nikola Jokic,3,10,43,1,Driving Finger Roll Layup Shot,3,-23,20,True
Nikola Jokic,4,6,5,0,Driving Finger Roll Layup Shot,1,-8,9,True
Nikola Jokic,2,3,21,1,Driving Finger Roll Layup Shot,3,-16,28,True
Nikola Jokic,2,7,24,1,Driving Finger Roll Layup Shot,1,12,8,True
Nikola Jokic,1,9,59,0,Driving Floating Bank Jump Shot,4,35,20,True
Nikola Jokic,3,6,17,1,Driving Floating Bank Jump Shot,4,32,25,True
Nikola Jokic,2,0,0,0,Driving Floating Bank Jump Shot,6,-61,29,True
Nikola Jokic,3,9,36,1,Driving Floating Jump Shot,9,-57,79,True
Nikola Jokic,3,2,24,1,Driving Floating Jump Shot,9,-22,88,True
Nikola Jokic,1,5,54,1,Driving Floating Jump Shot,7,0,74,True
Nikola Jokic,2,0,8,0,Driving Floating Jump Shot,3,28,26,True
Nikola Jokic,1,3,0,0,Driving Floating Jump Shot,4,16,43,True
Nikola Jokic,1,7,37,1,Driving Floating Jump Shot,9,-44,84,True
Nikola Jokic,4,0,30,1,Driving Floating Jump Shot,5,9,56,True
Nikola Jokic,2,4,9,1,Driving Floating Jump Shot,6,-13,68,True
Nikola Jokic,2,8,9,1,Driving Floating Jump Shot,9,0,99,True
Nikola Jokic,2,11,33,0,Driving Floating Jump Shot,6,-30,59,True
Nikola Jokic,3,4,44,0,Driving Floating Jump Shot,6,65,19,True
Nikola Jokic,4,5,43,0,Driving Floating Jump Shot,9,-49,84,True
Nikola Jokic,2,5,5,0,Driving Hook Shot,8,11,87,True
Nikola Jokic,2,9,49,0,Driving Hook Shot,4,7,43,True
Nikola Jokic,3,7,21,1,Driving Hook Shot,5,14,49,True
Nikola Jokic,1,1,37,1,Driving Hook Shot,4,20,40,True
Nikola Jokic,4,2,23,0,Driving Hook Shot,9,-18,97,True
Nikola Jokic,4,4,45,0,Driving Hook Shot,5,-36,47,True
Nikola Jokic,4,2,15,0,Driving Layup Shot,2,-11,25,True
Nikola Jokic,3,5,37,1,Driving Layup Shot,3,27,16,True
Nikola Jokic,1,7,54,1,Driving Layup Shot,0,-3,4,True
Nikola Jokic,2,5,46,0,Driving Layup Shot,4,-44,8,True
Nikola Jokic,1,7,53,0,Driving Layup Shot,3,-36,15,True
Nikola Jokic,4,7,13,0,Driving Layup Shot,2,21,15,True
Nikola Jokic,2,1,50,0,Driving Layup Shot,4,0,48,True
Nikola Jokic,1,6,13,0,Driving Layup Shot,2,15,17,True
Nikola Jokic,3,5,49,0,Driving Layup Shot,2,-8,25,True
Nikola Jokic,1,9,9,0,Driving Layup Shot,2,-6,20,True
Nikola Jokic,3,7,55,0,Driving Layup Shot,4,-5,42,True
Nikola Jokic,4,10,7,1,Driving Layup Shot,2,-20,21,True
Nikola Jokic,1,3,37,0,Driving Layup Shot,2,21,21,True
Nikola Jokic,3,7,14,0,Driving Layup Shot,5,-50,27,True
Nikola Jokic,4,7,30,1,Driving Layup Shot,7,-1,71,True
Nikola Jokic,2,4,56,1,Driving Layup Shot,1,5,12,True
Nikola Jokic,1,3,28,1,Driving Layup Shot,1,-12,6,True
Nikola Jokic,4,0,52,0,Driving Layup Shot,10,-87,66,True
Nikola Jokic,2,3,23,1,Driving Layup Shot,1,12,5,True
Nikola Jokic,2,8,44,1,Driving Layup Shot,2,-19,16,True
Nikola Jokic,2,11,2,1,Driving Reverse Layup Shot,2,-25,1,True
Nikola Jokic,1,6,30,1,Driving Reverse Layup Shot,1,-13,4,True
Nikola Jokic,4,0,30,0,Driving Reverse Layup Shot,2,-13,24,True
Nikola Jokic,4,6,29,1,Driving Reverse Layup Shot,1,-13,12,True
Nikola Jokic,2,10,38,1,Driving Reverse Layup Shot,1,11,5,True
Nikola Jokic,2,9,26,0,Driving Reverse Layup Shot,2,-18,11,True
Nikola Jokic,1,10,32,0,Driving Reverse Layup Shot,0,0,8,True
Nikola Jokic,2,3,4,0,Dunk Shot,1,6,12,True
Nikola Jokic,2,2,37,1,Dunk Shot,2,14,21,True
Nikola Jokic,2,1,1,1,Dunk Shot,2,-11,22,True
Nikola Jokic,1,10,41,1,Fadeaway Jump Shot,18,26,179,True
Nikola Jokic,2,9,8,0,Fadeaway Jump Shot,6,-1,62,True
Nikola Jokic,2,1,45,1,Fadeaway Jump Shot,3,-18,25,True
Nikola Jokic,3,7,38,0,Fadeaway Jump Shot,5,-50,10,True
Nikola Jokic,1,7,34,1,Fadeaway Jump Shot,10,-105,29,True
Nikola Jokic,1,11,21,1,Fadeaway Jump Shot,13,-127,48,True
Nikola Jokic,4,8,17,0,Fadeaway Jump Shot,14,-78,125,True
Nikola Jokic,4,5,53,0,Fadeaway Jump Shot,25,182,176,False
Nikola Jokic,3,11,7,0,Fadeaway Jump Shot,14,-127,68,True
Nikola Jokic,1,6,45,0,Fadeaway Jump Shot,11,-117,-6,True
Nikola Jokic,1,1,46,1,Fadeaway Jump Shot,21,154,148,True
Nikola Jokic,2,4,28,0,Fadeaway Jump Shot,13,136,16,True
Nikola Jokic,3,5,28,1,Finger Roll Layup Shot,3,29,24,True
Nikola Jokic,4,1,10,1,Finger Roll Layup Shot,2,-9,26,True
Nikola Jokic,4,10,13,0,Finger Roll Layup Shot,5,26,46,True
Nikola Jokic,2,10,59,0,Finger Roll Layup Shot,4,36,32,True
Nikola Jokic,3,3,33,0,Finger Roll Layup Shot,2,-20,15,True
Nikola Jokic,3,8,5,0,Finger Roll Layup Shot,1,2,15,True
Nikola Jokic,2,1,57,0,Finger Roll Layup Shot,3,-20,25,True
Nikola Jokic,2,7,35,0,Finger Roll Layup Shot,2,22,17,True
Nikola Jokic,3,10,37,1,Finger Roll Layup Shot,0,5,4,True
Nikola Jokic,1,8,43,0,Finger Roll Layup Shot,3,24,26,True
Nikola Jokic,4,9,24,1,Finger Roll Layup Shot,1,-7,12,True
Nikola Jokic,1,7,26,1,Finger Roll Layup Shot,2,19,17,True
Nikola Jokic,4,5,9,1,Floating Jump shot,4,-3,47,True
Nikola Jokic,3,1,47,0,Floating Jump shot,6,-5,64,True
Nikola Jokic,3,8,56,1,Floating Jump shot,6,-24,58,True
Nikola Jokic,2,5,22,1,Floating Jump shot,5,0,56,True
Nikola Jokic,2,8,42,1,Floating Jump shot,10,-22,103,True
Nikola Jokic,2,0,6,0,Floating Jump shot,9,-33,86,True
Nikola Jokic,4,2,8,0,Floating Jump shot,10,-46,92,True
Nikola Jokic,3,9,28,0,Floating Jump shot,12,-4,120,True
Nikola Jokic,2,7,32,1,Floating Jump shot,9,-28,90,True
Nikola Jokic,3,8,55,1,Floating Jump shot,5,-20,46,True
Nikola Jokic,1,9,54,1,Floating Jump shot,7,-40,59,True
Nikola Jokic,2,4,1,0,Floating Jump shot,12,17,125,True
Nikola Jokic,4,5,38,1,Floating Jump shot,4,-4,48,True
Nikola Jokic,2,8,7,1,Floating Jump shot,3,2,37,True
Nikola Jokic,4,2,36,0,Floating Jump shot,8,-62,56,True
Nikola Jokic,1,8,13,1,Floating Jump shot,6,-51,32,True
Nikola Jokic,3,10,5,0,Floating Jump shot,6,5,69,True
Nikola Jokic,4,4,16,1,Floating Jump shot,4,2,46,True
Nikola Jokic,2,2,39,1,Floating Jump shot,7,74,16,True
Nikola Jokic,3,6,41,0,Floating Jump shot,5,44,29,True
Nikola Jokic,1,6,32,0,Floating Jump shot,4,19,36,True
Nikola Jokic,3,11,0,1,Floating Jump shot,6,-35,52,True
Nikola Jokic,1,8,32,0,Hook Bank Shot,4,40,22,True
Nikola Jokic,3,7,0,1,Hook Bank Shot,2,4,26,True
Nikola Jokic,1,3,2,0,Hook Shot,4,25,35,True
Nikola Jokic,1,8,51,0,Hook Shot,2,-19,22,True
Nikola Jokic,2,5,50,1,Hook Shot,4,45,19,True
Nikola Jokic,4,5,12,1,Hook Shot,2,9,22,True
Nikola Jokic,4,9,40,1,Hook Shot,2,-11,27,True
Nikola Jokic,3,7,50,1,Hook Shot,4,0,45,True
Nikola Jokic,2,0,46,0,Hook Shot,5,48,29,True
Nikola Jokic,3,10,44,1,Hook Shot,4,-10,45,True
Nikola Jokic,2,2,50,0,Hook Shot,4,-17,37,True
Nikola Jokic,1,4,11,0,Hook Shot,1,15,13,True
Nikola Jokic,3,2,18,0,Hook Shot,4,43,24,True
Nikola Jokic,2,6,57,1,Hook Shot,4,-29,38,True
Nikola Jokic,3,2,42,1,Hook Shot,5,44,26,True
Nikola Jokic,3,0,32,1,Hook Shot,3,4,33,True
Nikola Jokic,4,5,43,0,Hook Shot,4,3,47,True
Nikola Jokic,4,9,35,0,Hook Shot,2,3,28,True
Nikola Jokic,1,5,56,1,Hook Shot,7,24,68,True
Nikola Jokic,3,7,37,0,Hook Shot,6,58,26,True
Nikola Jokic,4,9,1,0,Hook Shot,5,10,49,True
Nikola Jokic,2,2,56,1,Hook Shot,5,50,8,True
Nikola Jokic,1,9,22,0,Hook Shot,5,1,52,True
Nikola Jokic,3,11,14,0,Hook Shot,11,-41,104,True
Nikola Jokic,4,3,32,1,Hook Shot,2,25,8,True
Nikola Jokic,2,2,29,1,Hook Shot,4,-22,42,True
Nikola Jokic,2,1,11,0,Hook Shot,2,-8,28,True
Nikola Jokic,2,10,8,0,Hook Shot,9,-15,92,True
Nikola Jokic,3,9,11,0,Hook Shot,8,-13,84,True
Nikola Jokic,2,2,30,0,Hook Shot,3,-3,33,True
Nikola Jokic,3,11,32,0,Hook Shot,3,-2,31,True
Nikola Jokic,2,6,2,1,Hook Shot,2,5,23,True
Nikola Jokic,4,1,38,0,Hook Shot,3,-3,30,True
Nikola Jokic,4,8,18,1,Hook Shot,4,-2,40,True
Nikola Jokic,2,9,19,1,Hook Shot,4,2,43,True
