name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Paul Millsap,1,4,25,1,Alley Oop Dunk Shot,1,8,13,True
Paul Millsap,2,8,19,1,Alley Oop Layup shot,2,-18,10,True
Paul Millsap,1,5,18,0,Alley Oop Layup shot,3,32,12,True
Paul Millsap,3,7,44,0,Alley Oop Layup shot,0,-6,4,True
Paul Millsap,1,11,37,1,Cutting Dunk Shot,1,-7,12,True
Paul Millsap,2,2,7,1,Cutting Dunk Shot,2,3,23,True
Paul Millsap,1,5,47,1,Cutting Dunk Shot,2,20,15,True
Paul Millsap,3,5,41,1,Cutting Dunk Shot,0,0,6,True
Paul Millsap,1,3,0,0,Cutting Finger Roll Layup Shot,4,27,30,True
Paul Millsap,2,7,7,0,Cutting Layup Shot,3,-33,13,True
Paul Millsap,2,1,37,1,Cutting Layup Shot,0,-5,1,True
Paul Millsap,1,7,16,1,Cutting Layup Shot,2,-17,16,True
Paul Millsap,3,2,45,0,Cutting Layup Shot,3,30,16,True
Paul Millsap,2,4,7,0,Cutting Layup Shot,4,-40,20,True
Paul Millsap,1,9,22,0,Cutting Layup Shot,2,20,16,True
Paul Millsap,2,7,36,1,Driving Bank Hook Shot,7,77,17,True
Paul Millsap,3,5,32,1,Driving Dunk Shot,1,3,17,True
Paul Millsap,1,8,37,1,Driving Finger Roll Layup Shot,2,24,10,True
Paul Millsap,2,9,58,1,Driving Finger Roll Layup Shot,5,-3,52,True
Paul Millsap,2,2,11,1,Driving Finger Roll Layup Shot,3,27,19,True
Paul Millsap,4,4,21,1,Driving Floating Bank Jump Shot,7,56,51,True
Paul Millsap,4,1,29,1,Driving Floating Bank Jump Shot,3,27,22,True
Paul Millsap,4,2,47,1,Driving Floating Bank Jump Shot,8,38,78,True
Paul Millsap,3,3,54,1,Driving Floating Bank Jump Shot,5,-40,42,True
Paul Millsap,1,4,27,1,Driving Floating Jump Shot,6,-5,62,True
Paul Millsap,3,8,12,0,Driving Floating Jump Shot,8,-50,63,True
Paul Millsap,1,6,41,0,Driving Floating Jump Shot,9,65,75,True
Paul Millsap,3,3,32,1,Driving Floating Jump Shot,6,-15,66,True
Paul Millsap,2,2,37,0,Driving Floating Jump Shot,4,3,42,True
Paul Millsap,3,5,28,0,Driving Floating Jump Shot,11,1,113,True
Paul Millsap,3,5,1,1,Driving Floating Jump Shot,0,0,1,True
Paul Millsap,4,3,12,0,Driving Hook Shot,6,14,68,True
Paul Millsap,3,11,47,1,Driving Layup Shot,2,-2,25,True
Paul Millsap,3,7,57,0,Driving Layup Shot,1,-12,15,True
