name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Raymond Felton,2,8,37,1,Driving Finger Roll Layup Shot,2,-20,-2,True
Raymond Felton,2,9,50,0,Driving Finger Roll Layup Shot,2,-21,17,True
Raymond Felton,2,11,8,1,Driving Finger Roll Layup Shot,1,-8,11,True
Raymond Felton,3,1,51,0,Driving Finger Roll Layup Shot,3,-28,18,True
Raymond Felton,4,9,7,1,Driving Finger Roll Layup Shot,1,-3,16,True
Raymond Felton,4,8,48,0,Driving Floating Jump Shot,8,-33,76,True
Raymond Felton,4,6,9,1,Driving Floating Jump Shot,5,8,50,True
Raymond Felton,2,9,8,0,Driving Floating Jump Shot,6,-9,63,True
Raymond Felton,2,10,48,0,Driving Floating Jump Shot,6,-12,67,True
Raymond Felton,4,11,7,0,Driving Floating Jump Shot,9,0,92,True
Raymond Felton,4,8,33,1,Driving Floating Jump Shot,6,-7,60,True
Raymond Felton,4,7,6,0,Driving Floating Jump Shot,10,-30,98,True
Raymond Felton,4,5,50,1,Driving Floating Jump Shot,7,25,74,True
Raymond Felton,3,8,57,1,Driving Floating Jump Shot,9,-40,89,True
Raymond Felton,2,8,36,1,Driving Floating Jump Shot,1,11,-3,True
Raymond Felton,1,2,56,0,Driving Floating Jump Shot,7,-37,64,True
Raymond Felton,4,9,47,1,Driving Floating Jump Shot,13,5,134,True
Raymond Felton,4,8,17,1,Driving Floating Jump Shot,9,-7,94,True
Raymond Felton,2,10,6,1,Driving Floating Jump Shot,10,-78,69,True
Raymond Felton,4,11,17,0,Driving Floating Jump Shot,6,-18,59,True
Raymond Felton,2,8,10,1,Driving Floating Jump Shot,9,-79,45,True
Raymond Felton,1,0,42,1,Driving Floating Jump Shot,7,-59,45,True
Raymond Felton,1,0,2,0,Driving Floating Jump Shot,5,11,56,True
Raymond Felton,3,1,58,1,Driving Floating Jump Shot,10,-16,101,True
Raymond Felton,2,10,23,1,Driving Floating Jump Shot,10,-64,88,True
Raymond Felton,4,8,43,1,Driving Layup Shot,1,-3,11,True
Raymond Felton,4,9,36,0,Driving Layup Shot,2,5,29,True
Raymond Felton,4,10,9,1,Driving Layup Shot,3,-18,29,True
Raymond Felton,2,8,1,0,Driving Layup Shot,2,27,9,True
Raymond Felton,4,10,39,1,Driving Layup Shot,1,-11,11,True
Raymond Felton,1,1,31,1,Driving Layup Shot,1,8,18,True
Raymond Felton,2,8,54,0,Driving Layup Shot,1,15,11,True
Raymond Felton,3,0,29,1,Driving Layup Shot,4,-35,32,True
Raymond Felton,4,11,18,0,Driving Layup Shot,1,-11,16,True
Raymond Felton,3,0,40,1,Driving Layup Shot,1,11,11,True
Raymond Felton,2,7,52,1,Driving Layup Shot,1,-3,11,True
Raymond Felton,4,9,22,0,Driving Layup Shot,2,-17,20,True
Raymond Felton,2,11,23,0,Driving Layup Shot,1,-10,13,True
Raymond Felton,1,0,33,0,Driving Layup Shot,1,12,3,True
Raymond Felton,4,8,35,0,Driving Layup Shot,3,-16,28,True
Raymond Felton,2,9,26,1,Driving Layup Shot,2,6,22,True
Raymond Felton,2,10,46,1,Driving Layup Shot,1,-18,3,True
Raymond Felton,1,1,21,1,Driving Layup Shot,0,-3,5,True
Raymond Felton,1,1,2,1,Driving Layup Shot,1,-10,6,True
Raymond Felton,2,10,27,1,Driving Layup Shot,0,-8,3,True
Raymond Felton,2,9,48,0,Driving Layup Shot,1,-13,0,True
Raymond Felton,4,10,19,1,Driving Layup Shot,6,54,38,True
Raymond Felton,4,1,40,0,Driving Layup Shot,3,-20,29,True
Raymond Felton,4,4,7,1,Driving Layup Shot,1,-8,15,True
Raymond Felton,4,9,44,0,Driving Layup Shot,1,-9,-6,True
Raymond Felton,2,10,3,0,Driving Layup Shot,1,6,17,True
Raymond Felton,2,11,4,1,Driving Layup Shot,1,11,5,True
Raymond Felton,2,9,24,1,Driving Layup Shot,2,11,17,True
Raymond Felton,4,8,2,1,Driving Layup Shot,1,-2,17,True
Raymond Felton,4,9,57,0,Driving Layup Shot,1,-14,11,True
Raymond Felton,4,7,6,0,Driving Layup Shot,4,40,12,True
Raymond Felton,4,9,14,0,Driving Layup Shot,2,-9,22,True
Raymond Felton,4,8,59,0,Driving Layup Shot,0,2,5,True
Raymond Felton,1,0,40,0,Driving Layup Shot,2,2,23,True
Raymond Felton,4,9,34,1,Driving Layup Shot,1,-19,0,True
Raymond Felton,2,10,29,0,Driving Layup Shot,6,-6,66,True
Raymond Felton,4,11,10,1,Driving Layup Shot,0,-6,-4,True
Raymond Felton,3,2,11,1,Driving Layup Shot,0,-1,8,True
Raymond Felton,4,10,4,1,Driving Layup Shot,1,5,14,True
Raymond Felton,4,9,49,0,Driving Layup Shot,0,3,-7,True
Raymond Felton,3,2,2,0,Driving Layup Shot,2,-20,6,True
Raymond Felton,2,8,35,1,Driving Layup Shot,1,-2,17,True
Raymond Felton,1,3,33,0,Driving Layup Shot,0,2,5,True
Raymond Felton,1,0,2,1,Driving Layup Shot,1,5,11,True
Raymond Felton,4,10,0,0,Driving Layup Shot,3,27,26,True
Raymond Felton,4,10,27,0,Driving Layup Shot,0,3,2,True
Raymond Felton,1,1,10,0,Driving Layup Shot,5,46,37,True
Raymond Felton,2,11,15,1,Driving Layup Shot,1,-6,9,True
Raymond Felton,4,8,46,1,Driving Layup Shot,1,10,5,True
Raymond Felton,2,9,42,1,Driving Layup Shot,0,-3,8,True
Raymond Felton,3,1,7,1,Driving Layup Shot,1,-9,7,True
Raymond Felton,2,10,55,1,Driving Layup Shot,0,-4,6,True
Raymond Felton,4,9,13,0,Driving Layup Shot,2,-18,10,True
Raymond Felton,1,1,32,0,Driving Layup Shot,0,5,3,True
Raymond Felton,2,9,25,1,Driving Layup Shot,1,-5,17,True
Raymond Felton,3,1,53,1,Driving Layup Shot,1,14,9,True
Raymond Felton,4,8,54,0,Driving Layup Shot,5,-53,21,True
Raymond Felton,4,0,1,1,Driving Layup Shot,3,-25,21,True
Raymond Felton,4,11,17,0,Driving Layup Shot,0,6,4,True
Raymond Felton,2,9,20,0,Driving Layup Shot,1,-2,14,True
Raymond Felton,2,10,4,1,Driving Layup Shot,0,2,-7,True
Raymond Felton,2,6,59,0,Driving Layup Shot,1,-11,0,True
Raymond Felton,4,7,47,0,Driving Reverse Layup Shot,2,26,4,True
Raymond Felton,3,0,36,1,Driving Reverse Layup Shot,1,-3,12,True
Raymond Felton,2,9,17,1,Driving Reverse Layup Shot,1,19,5,True
Raymond Felton,4,10,10,0,Driving Reverse Layup Shot,2,18,18,True
Raymond Felton,2,10,56,0,Fadeaway Jump Shot,8,-41,79,True
Raymond Felton,4,9,51,0,Fadeaway Jump Shot,13,-134,13,True
Raymond Felton,2,11,31,0,Fadeaway Jump Shot,17,-66,160,True
Raymond Felton,4,7,50,1,Fadeaway Jump Shot,15,-128,89,True
Raymond Felton,2,10,50,0,Fadeaway Jump Shot,9,-74,58,True
Raymond Felton,4,10,15,1,Fadeaway Jump Shot,19,-117,152,True
Raymond Felton,3,0,0,0,Fadeaway Jump Shot,16,160,0,True
Raymond Felton,4,8,52,0,Fadeaway Jump Shot,8,5,85,True
Raymond Felton,1,0,52,0,Fadeaway Jump Shot,15,-147,50,True
Raymond Felton,2,8,44,0,Fadeaway Jump Shot,9,-53,80,True
Raymond Felton,4,2,58,0,Fadeaway Jump Shot,25,216,141,False
Raymond Felton,1,2,13,1,Fadeaway Jump Shot,6,29,63,True
Raymond Felton,1,1,24,0,Fadeaway Jump Shot,16,-165,27,True
Raymond Felton,4,7,38,0,Floating Jump shot,9,-45,88,True
Raymond Felton,4,9,19,1,Floating Jump shot,8,8,85,True
Raymond Felton,4,6,7,1,Floating Jump shot,10,-25,101,True
Raymond Felton,2,10,21,0,Floating Jump shot,6,-36,55,True
Raymond Felton,4,7,39,0,Floating Jump shot,12,34,122,True
Raymond Felton,2,10,21,0,Floating Jump shot,5,-2,59,True
Raymond Felton,4,7,30,1,Floating Jump shot,12,5,128,True
Raymond Felton,4,6,30,1,Floating Jump shot,8,9,85,True
Raymond Felton,1,9,58,0,Floating Jump shot,14,-2,142,True
Raymond Felton,4,9,46,0,Floating Jump shot,3,8,34,True
Raymond Felton,2,9,28,1,Floating Jump shot,5,13,58,True
Raymond Felton,4,8,49,0,Floating Jump shot,7,22,69,True
Raymond Felton,2,10,54,1,Floating Jump shot,14,70,132,True
Raymond Felton,2,11,24,1,Jump Shot,24,43,246,False
Raymond Felton,2,9,49,1,Jump Shot,25,93,236,False
Raymond Felton,4,10,39,1,Jump Shot,25,173,183,False
Raymond Felton,1,0,0,0,Jump Shot,30,-116,277,False
Raymond Felton,4,11,43,1,Jump Shot,25,-134,215,False
Raymond Felton,1,1,36,1,Jump Shot,22,221,57,False
Raymond Felton,4,9,42,0,Jump Shot,26,143,220,False
Raymond Felton,4,6,46,0,Jump Shot,23,-226,79,False
Raymond Felton,3,0,30,0,Jump Shot,25,-152,206,False
Raymond Felton,2,6,8,0,Jump Shot,25,114,224,False
Raymond Felton,3,5,18,1,Jump Shot,24,-232,64,False
Raymond Felton,4,8,22,0,Jump Shot,24,178,168,False
