name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Reggie Jackson,1,8,52,1,Cutting Dunk Shot,1,3,13,True
Reggie Jackson,1,4,42,0,Cutting Layup Shot,1,5,14,True
Reggie Jackson,3,7,53,0,Driving Dunk Shot,1,-16,1,True
Reggie Jackson,1,8,25,1,Driving Finger Roll Layup Shot,1,4,15,True
Reggie Jackson,4,3,31,1,Driving Finger Roll Layup Shot,0,5,7,True
Reggie Jackson,1,4,45,0,Driving Finger Roll Layup Shot,2,-8,20,True
Reggie Jackson,4,10,9,1,Driving Finger Roll Layup Shot,5,3,53,True
Reggie Jackson,4,6,45,1,Driving Finger Roll Layup Shot,1,-15,3,True
Reggie Jackson,2,2,51,1,Driving Finger Roll Layup Shot,2,1,25,True
Reggie Jackson,4,10,0,1,Driving Finger Roll Layup Shot,3,-19,26,True
Reggie Jackson,1,2,7,1,Driving Finger Roll Layup Shot,2,12,16,True
Reggie Jackson,3,6,57,1,Driving Finger Roll Layup Shot,3,21,27,True
Reggie Jackson,3,6,34,0,Driving Floating Bank Jump Shot,11,96,58,True
Reggie Jackson,1,11,9,1,Driving Floating Bank Jump Shot,4,29,32,True
Reggie Jackson,3,9,38,1,Driving Floating Bank Jump Shot,8,87,9,True
Reggie Jackson,2,0,39,1,Driving Floating Bank Jump Shot,2,16,22,True
Reggie Jackson,3,4,29,1,Driving Floating Bank Jump Shot,9,-85,30,True
Reggie Jackson,4,3,12,1,Driving Floating Bank Jump Shot,9,78,53,True
Reggie Jackson,2,11,41,1,Driving Floating Bank Jump Shot,7,73,26,True
Reggie Jackson,2,2,5,1,Driving Floating Bank Jump Shot,10,93,46,True
Reggie Jackson,3,9,13,1,Driving Floating Bank Jump Shot,14,-142,32,True
Reggie Jackson,1,6,32,1,Driving Floating Bank Jump Shot,9,69,60,True
Reggie Jackson,4,8,51,1,Driving Floating Jump Shot,9,0,94,True
Reggie Jackson,4,3,33,1,Driving Floating Jump Shot,5,-2,54,True
Reggie Jackson,3,4,21,1,Driving Floating Jump Shot,11,73,90,True
Reggie Jackson,4,1,41,1,Driving Floating Jump Shot,9,21,88,True
Reggie Jackson,1,8,12,1,Driving Floating Jump Shot,16,-93,138,True
Reggie Jackson,1,10,20,1,Driving Floating Jump Shot,8,87,-2,True
Reggie Jackson,5,1,29,1,Driving Floating Jump Shot,12,-57,116,True
Reggie Jackson,1,7,19,0,Driving Floating Jump Shot,6,35,53,True
Reggie Jackson,1,8,50,1,Driving Floating Jump Shot,13,-3,139,True
Reggie Jackson,1,9,42,1,Driving Floating Jump Shot,13,93,103,True
