name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Ricky Rubio,1,4,20,1,Cutting Finger Roll Layup Shot,1,8,6,True
Ricky Rubio,3,9,56,1,Cutting Layup Shot,2,18,10,True
Ricky Rubio,2,0,20,1,Cutting Layup Shot,1,3,11,True
Ricky Rubio,1,9,47,1,Driving Finger Roll Layup Shot,1,-3,17,True
Ricky Rubio,2,1,23,1,Driving Finger Roll Layup Shot,2,19,15,True
Ricky Rubio,4,9,26,1,Driving Finger Roll Layup Shot,0,7,1,True
Ricky Rubio,4,4,30,0,Driving Finger Roll Layup Shot,1,-19,1,True
Ricky Rubio,2,8,59,0,Driving Finger Roll Layup Shot,1,-11,13,True
Ricky Rubio,4,9,6,1,Driving Finger Roll Layup Shot,1,2,16,True
Ricky Rubio,1,8,10,1,Driving Finger Roll Layup Shot,0,-3,-5,True
Ricky Rubio,3,8,38,1,Driving Finger Roll Layup Shot,2,2,25,True
Ricky Rubio,3,8,20,1,Driving Finger Roll Layup Shot,2,-21,10,True
Ricky Rubio,1,9,35,0,Driving Finger Roll Layup Shot,6,54,36,True
Ricky Rubio,3,10,20,1,Driving Finger Roll Layup Shot,3,0,30,True
Ricky Rubio,2,3,33,0,Driving Finger Roll Layup Shot,1,0,11,True
Ricky Rubio,1,0,32,1,Driving Finger Roll Layup Shot,4,30,27,True
Ricky Rubio,3,9,47,0,Driving Finger Roll Layup Shot,7,-51,59,True
Ricky Rubio,1,8,0,1,Driving Finger Roll Layup Shot,1,16,7,True
Ricky Rubio,2,11,8,0,Driving Finger Roll Layup Shot,1,18,-1,True
Ricky Rubio,2,5,37,0,Driving Finger Roll Layup Shot,2,22,15,True
Ricky Rubio,1,9,5,1,Driving Floating Bank Jump Shot,10,-95,38,True
Ricky Rubio,2,4,30,0,Driving Floating Bank Jump Shot,12,-82,90,True
Ricky Rubio,2,5,53,0,Driving Floating Bank Jump Shot,16,-99,136,True
