name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Robert Covington,1,10,57,0,Alley Oop Dunk Shot,1,0,19,True
Robert Covington,1,0,2,1,Alley Oop Dunk Shot,1,5,11,True
Robert Covington,3,2,51,1,Alley Oop Dunk Shot,1,-6,8,True
Robert Covington,4,10,54,1,Alley Oop Dunk Shot,0,-3,5,True
Robert Covington,1,11,33,1,Alley Oop Layup shot,2,20,16,True
Robert Covington,1,7,30,1,Alley Oop Layup shot,2,16,16,True
Robert Covington,1,9,30,1,Alley Oop Layup shot,2,20,-10,True
Robert Covington,1,9,49,1,Alley Oop Layup shot,3,33,9,True
Robert Covington,1,7,14,1,Alley Oop Layup shot,2,18,13,True
Robert Covington,3,4,56,0,Alley Oop Layup shot,2,-1,21,True
Robert Covington,4,7,16,1,Alley Oop Layup shot,2,-13,21,True
Robert Covington,1,7,27,0,Alley Oop Layup shot,2,23,-2,True
Robert Covington,3,8,0,0,Alley Oop Layup shot,1,6,8,True
Robert Covington,1,6,0,1,Cutting Dunk Shot,1,-6,8,True
Robert Covington,4,1,13,1,Cutting Dunk Shot,1,-8,15,True
Robert Covington,3,3,46,1,Cutting Dunk Shot,1,8,7,True
Robert Covington,3,5,5,1,Cutting Dunk Shot,1,13,2,True
Robert Covington,2,9,58,1,Cutting Finger Roll Layup Shot,0,-9,4,True
Robert Covington,1,6,16,0,Cutting Layup Shot,1,16,3,True
Robert Covington,2,6,15,0,Cutting Layup Shot,0,-6,-4,True
Robert Covington,4,7,11,0,Cutting Layup Shot,0,0,3,True
Robert Covington,1,8,57,1,Cutting Layup Shot,2,24,10,True
Robert Covington,3,7,13,1,Cutting Layup Shot,2,-9,25,True
Robert Covington,3,4,1,1,Cutting Layup Shot,2,-8,28,True
Robert Covington,1,7,16,1,Cutting Layup Shot,2,-7,20,True
Robert Covington,1,10,54,1,Cutting Layup Shot,1,2,10,True
Robert Covington,2,4,21,1,Cutting Layup Shot,1,9,8,True
Robert Covington,1,10,37,1,Cutting Layup Shot,2,-19,17,True
Robert Covington,4,9,25,0,Cutting Layup Shot,2,-8,20,True
Robert Covington,1,8,15,1,Cutting Layup Shot,3,38,1,True
Robert Covington,3,0,34,1,Cutting Layup Shot,3,-28,12,True
Robert Covington,1,7,22,1,Cutting Layup Shot,0,-1,1,True
Robert Covington,2,7,37,1,Driving Dunk Shot,1,-13,10,True
Robert Covington,2,6,36,1,Driving Finger Roll Layup Shot,1,6,8,True
Robert Covington,2,0,13,1,Driving Finger Roll Layup Shot,3,9,36,True
Robert Covington,2,6,52,1,Driving Finger Roll Layup Shot,0,0,5,True
Robert Covington,3,8,39,1,Driving Finger Roll Layup Shot,1,3,12,True
Robert Covington,4,10,4,1,Driving Finger Roll Layup Shot,1,11,16,True
Robert Covington,4,2,31,1,Driving Finger Roll Layup Shot,2,8,27,True
Robert Covington,3,3,28,1,Driving Finger Roll Layup Shot,1,-13,11,True
Robert Covington,2,2,30,0,Driving Finger Roll Layup Shot,1,-3,11,True
Robert Covington,4,2,36,0,Driving Finger Roll Layup Shot,2,12,27,True
Robert Covington,2,4,56,1,Driving Finger Roll Layup Shot,2,1,24,True
Robert Covington,2,9,49,0,Driving Finger Roll Layup Shot,2,-9,19,True
Robert Covington,3,7,18,0,Driving Finger Roll Layup Shot,6,-1,65,True
Robert Covington,4,4,32,1,Driving Finger Roll Layup Shot,2,27,13,True
Robert Covington,4,9,7,1,Driving Floating Bank Jump Shot,3,22,23,True
Robert Covington,4,3,14,1,Driving Floating Bank Jump Shot,5,20,49,True
Robert Covington,4,9,32,1,Driving Floating Bank Jump Shot,5,43,32,True
Robert Covington,1,9,22,0,Driving Floating Bank Jump Shot,9,54,77,True
Robert Covington,4,1,15,0,Driving Floating Bank Jump Shot,9,-63,65,True
Robert Covington,2,8,29,1,Driving Floating Bank Jump Shot,5,41,43,True
Robert Covington,4,8,21,0,Driving Floating Jump Shot,4,1,46,True
Robert Covington,4,4,17,1,Driving Floating Jump Shot,6,1,67,True
Robert Covington,2,10,18,0,Driving Floating Jump Shot,8,8,85,True
Robert Covington,4,9,11,0,Driving Floating Jump Shot,14,-60,127,True
Robert Covington,3,0,38,0,Driving Hook Shot,3,36,16,True
Robert Covington,4,9,21,1,Driving Layup Shot,2,18,22,True
Robert Covington,2,6,10,0,Driving Layup Shot,1,14,2,True
Robert Covington,2,7,50,1,Driving Layup Shot,2,25,9,True
Robert Covington,2,6,44,1,Driving Layup Shot,2,23,16,True
Robert Covington,3,5,15,0,Driving Layup Shot,2,-19,11,True
Robert Covington,2,8,49,0,Driving Layup Shot,2,6,20,True
Robert Covington,3,11,16,1,Driving Layup Shot,0,2,6,True
Robert Covington,2,5,56,1,Driving Layup Shot,1,-7,11,True
Robert Covington,4,7,26,0,Driving Layup Shot,2,-22,20,True
Robert Covington,3,2,51,1,Driving Layup Shot,1,14,6,True
Robert Covington,3,6,24,0,Driving Layup Shot,6,-11,66,True
Robert Covington,1,7,1,0,Driving Layup Shot,3,-24,21,True
Robert Covington,1,1,59,0,Driving Layup Shot,4,31,38,True
Robert Covington,2,5,22,1,Driving Layup Shot,3,-2,32,True
Robert Covington,4,7,10,1,Driving Layup Shot,6,-14,64,True
Robert Covington,3,11,26,0,Driving Layup Shot,4,-38,16,True
Robert Covington,4,5,22,0,Driving Layup Shot,3,-5,32,True
Robert Covington,2,7,57,0,Driving Layup Shot,3,-35,17,True
Robert Covington,4,6,23,1,Driving Layup Shot,5,-3,53,True
Robert Covington,4,9,49,0,Driving Layup Shot,3,-25,21,True
Robert Covington,3,9,36,0,Driving Layup Shot,1,16,11,True
Robert Covington,1,4,11,1,Driving Layup Shot,0,-3,1,True
Robert Covington,4,10,19,0,Driving Layup Shot,4,41,6,True
Robert Covington,2,4,51,1,Driving Layup Shot,2,-3,29,True
Robert Covington,1,8,13,0,Driving Layup Shot,4,-27,34,True
Robert Covington,1,5,43,1,Driving Layup Shot,3,32,11,True
Robert Covington,4,1,14,0,Driving Layup Shot,2,19,8,True
Robert Covington,2,4,9,0,Driving Layup Shot,4,-30,29,True
Robert Covington,3,4,31,1,Driving Layup Shot,0,-4,6,True
Robert Covington,3,3,47,1,Driving Layup Shot,0,0,5,True
Robert Covington,1,3,49,0,Driving Layup Shot,1,10,8,True
Robert Covington,4,6,24,0,Driving Layup Shot,2,24,0,True
Robert Covington,4,5,15,0,Driving Layup Shot,2,-19,18,True
Robert Covington,2,8,53,1,Driving Reverse Layup Shot,0,5,-4,True
Robert Covington,4,5,5,0,Driving Reverse Layup Shot,0,-6,-2,True
Robert Covington,2,5,22,1,Dunk Shot,0,2,3,True
Robert Covington,2,4,3,1,Finger Roll Layup Shot,0,6,5,True
Robert Covington,1,9,8,0,Finger Roll Layup Shot,0,4,7,True
Robert Covington,1,5,58,0,Finger Roll Layup Shot,2,4,25,True
Robert Covington,4,4,2,0,Floating Jump shot,13,-70,115,True
Robert Covington,3,11,25,1,Floating Jump shot,7,-77,15,True
Robert Covington,2,4,43,0,Floating Jump shot,11,18,115,True
Robert Covington,3,7,27,0,Floating Jump shot,6,59,31,True
Robert Covington,1,6,39,0,Floating Jump shot,9,-47,82,True
Robert Covington,3,6,10,0,Hook Shot,5,30,45,True
Robert Covington,4,8,20,0,Hook Shot,7,-73,5,True
Robert Covington,1,5,31,1,Jump Shot,26,202,177,False
Robert Covington,3,2,21,0,Jump Shot,25,-104,233,False
Robert Covington,3,10,51,0,Jump Shot,26,-149,221,False
Robert Covington,1,10,37,1,Jump Shot,23,-230,67,False
Robert Covington,1,10,8,1,Jump Shot,23,-232,8,False
Robert Covington,2,8,3,0,Jump Shot,27,-8,277,False
Robert Covington,2,0,28,0,Jump Shot,24,-211,120,False
Robert Covington,2,6,20,1,Jump Shot,22,-174,135,True
Robert Covington,2,11,26,0,Jump Shot,27,141,239,False
Robert Covington,2,5,26,0,Jump Shot,28,163,237,False
Robert Covington,3,4,42,0,Jump Shot,26,-155,220,False
Robert Covington,2,10,59,0,Jump Shot,24,198,152,False
