name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Salah Mejri,2,5,17,1,Alley Oop Dunk Shot,0,2,7,True
Salah Mejri,2,9,20,1,Alley Oop Dunk Shot,1,2,15,True
Salah Mejri,1,4,43,1,Alley Oop Dunk Shot,0,6,-4,True
Salah Mejri,2,6,32,1,Alley Oop Dunk Shot,1,11,5,True
Salah Mejri,1,4,1,0,Alley Oop Dunk Shot,2,-5,20,True
Salah Mejri,1,3,56,0,Alley Oop Dunk Shot,0,-2,4,True
Salah Mejri,4,5,52,1,Alley Oop Dunk Shot,0,-6,1,True
Salah Mejri,3,0,34,1,Alley Oop Layup shot,1,6,13,True
Salah Mejri,1,3,11,0,Alley Oop Layup shot,2,-22,6,True
Salah Mejri,1,4,44,0,Alley Oop Layup shot,2,-11,18,True
Salah Mejri,1,5,40,1,Alley Oop Layup shot,2,-16,17,True
Salah Mejri,3,2,0,1,Alley Oop Layup shot,2,27,11,True
Salah Mejri,1,1,55,1,Cutting Dunk Shot,1,-5,16,True
Salah Mejri,2,1,38,1,Cutting Dunk Shot,1,0,12,True
Salah Mejri,2,4,5,1,Cutting Dunk Shot,1,11,9,True
Salah Mejri,3,6,19,1,Cutting Dunk Shot,1,11,5,True
Salah Mejri,1,3,23,1,Cutting Dunk Shot,1,-6,8,True
Salah Mejri,1,4,38,1,Cutting Dunk Shot,1,-12,7,True
Salah Mejri,2,2,10,1,Cutting Dunk Shot,1,6,8,True
Salah Mejri,3,3,18,1,Cutting Dunk Shot,0,-2,1,True
Salah Mejri,2,11,48,1,Cutting Dunk Shot,1,-3,15,True
Salah Mejri,2,0,33,1,Cutting Dunk Shot,0,-9,2,True
Salah Mejri,2,3,3,1,Cutting Dunk Shot,1,-5,9,True
Salah Mejri,1,1,35,1,Cutting Dunk Shot,0,-2,5,True
Salah Mejri,3,1,50,1,Cutting Finger Roll Layup Shot,3,11,36,True
Salah Mejri,3,3,3,1,Cutting Finger Roll Layup Shot,1,-15,-1,True
Salah Mejri,3,2,48,1,Cutting Finger Roll Layup Shot,2,18,22,True
Salah Mejri,3,0,36,1,Cutting Finger Roll Layup Shot,2,9,24,True
Salah Mejri,1,3,12,1,Cutting Layup Shot,0,6,1,True
Salah Mejri,3,3,57,1,Cutting Layup Shot,1,11,10,True
Salah Mejri,1,3,7,1,Cutting Layup Shot,1,-16,8,True
Salah Mejri,3,3,24,1,Cutting Layup Shot,0,2,1,True
Salah Mejri,3,6,16,1,Cutting Layup Shot,2,-19,17,True
Salah Mejri,2,1,11,1,Cutting Layup Shot,1,-5,12,True
Salah Mejri,4,0,53,1,Cutting Layup Shot,0,-3,3,True
Salah Mejri,1,6,43,1,Cutting Layup Shot,1,0,16,True
Salah Mejri,1,3,49,1,Cutting Layup Shot,1,-5,11,True
Salah Mejri,2,2,56,1,Driving Dunk Shot,1,1,11,True
Salah Mejri,3,1,41,1,Driving Finger Roll Layup Shot,1,2,17,True
Salah Mejri,4,10,56,0,Driving Floating Jump Shot,9,0,95,True
Salah Mejri,1,5,28,1,Driving Hook Shot,4,40,23,True
Salah Mejri,2,2,47,0,Driving Layup Shot,3,8,31,True
Salah Mejri,2,5,24,0,Driving Layup Shot,1,-3,13,True
Salah Mejri,1,3,25,0,Driving Layup Shot,6,55,30,True
Salah Mejri,4,0,52,1,Driving Reverse Layup Shot,2,17,11,True
Salah Mejri,4,2,8,1,Dunk Shot,0,-2,7,True
Salah Mejri,3,8,5,1,Dunk Shot,0,-4,-4,True
Salah Mejri,2,8,41,0,Dunk Shot,2,13,21,True
Salah Mejri,1,5,56,1,Finger Roll Layup Shot,1,11,6,True
Salah Mejri,1,1,5,1,Finger Roll Layup Shot,0,-1,8,True
Salah Mejri,4,4,28,1,Hook Shot,4,5,47,True
Salah Mejri,1,1,53,0,Hook Shot,7,-27,75,True
Salah Mejri,1,3,42,1,Hook Shot,1,2,11,True
Salah Mejri,1,3,48,0,Hook Shot,6,-24,59,True
Salah Mejri,2,6,43,1,Hook Shot,5,-5,59,True
Salah Mejri,3,3,3,1,Hook Shot,7,-5,79,True
Salah Mejri,1,4,38,1,Hook Shot,5,-52,8,True
Salah Mejri,3,3,40,1,Hook Shot,2,-3,22,True
Salah Mejri,2,2,2,1,Hook Shot,0,-2,0,True
Salah Mejri,1,5,50,1,Hook Shot,5,24,48,True
Salah Mejri,2,1,58,1,Jump Bank Shot,3,-28,15,True
Salah Mejri,1,6,7,0,Jump Shot,5,38,36,True
Salah Mejri,2,7,10,0,Jump Shot,18,183,8,True
Salah Mejri,4,4,52,0,Jump Shot,5,-20,52,True
Salah Mejri,4,1,5,0,Jump Shot,29,4,294,False
Salah Mejri,3,4,57,1,Jump Shot,18,-78,165,True
Salah Mejri,2,11,8,0,Jump Shot,5,49,29,True
Salah Mejri,1,5,11,0,Jump Shot,2,-18,20,True
Salah Mejri,1,5,33,0,Jump Shot,16,24,164,True
Salah Mejri,3,4,12,0,Jump Shot,26,133,224,False
Salah Mejri,2,6,44,0,Jump Shot,18,52,173,True
Salah Mejri,4,2,6,0,Jump Shot,25,25,255,False
Salah Mejri,1,3,51,1,Layup Shot,0,4,6,True
Salah Mejri,2,7,15,1,Layup Shot,1,-15,3,True
Salah Mejri,3,2,31,0,Layup Shot,3,-36,16,True
Salah Mejri,2,5,21,1,Layup Shot,1,13,11,True
Salah Mejri,3,2,20,0,Layup Shot,3,5,38,True
Salah Mejri,3,5,12,1,Layup Shot,1,-3,16,True
Salah Mejri,3,7,45,0,Layup Shot,1,-11,9,True
Salah Mejri,1,2,8,0,Layup Shot,2,27,6,True
Salah Mejri,4,7,32,1,Layup Shot,1,3,13,True
Salah Mejri,2,2,44,1,Layup Shot,2,-14,22,True
Salah Mejri,3,5,19,0,Layup Shot,2,-2,26,True
Salah Mejri,3,4,31,0,Layup Shot,2,21,15,True
Salah Mejri,1,5,23,0,Layup Shot,2,-24,10,True
Salah Mejri,2,2,51,0,Layup Shot,2,18,16,True
Salah Mejri,4,5,20,0,Layup Shot,1,16,8,True
Salah Mejri,4,3,21,1,Putback Dunk Shot,0,0,-6,True
Salah Mejri,2,5,31,0,Putback Dunk Shot,0,0,-6,True
Salah Mejri,4,10,15,1,Putback Dunk Shot,0,0,-6,True
Salah Mejri,2,10,2,1,Putback Dunk Shot,0,0,-6,True
Salah Mejri,2,2,57,1,Putback Layup Shot,0,0,-6,True
Salah Mejri,1,3,29,1,Putback Layup Shot,0,0,-6,True
Salah Mejri,1,6,9,0,Putback Layup Shot,1,4,10,True
Salah Mejri,3,3,21,1,Putback Layup Shot,0,1,1,True
Salah Mejri,1,1,18,0,Putback Layup Shot,0,-1,-1,True
Salah Mejri,2,4,45,1,Putback Layup Shot,1,-7,15,True
Salah Mejri,3,1,44,1,Putback Layup Shot,1,6,19,True
Salah Mejri,2,4,57,1,Reverse Dunk Shot,0,3,1,True
Salah Mejri,1,3,11,1,Reverse Dunk Shot,0,2,1,True
Salah Mejri,1,6,52,1,Reverse Layup Shot,2,-15,14,True
Salah Mejri,2,7,20,1,Reverse Layup Shot,1,-15,10,True
Salah Mejri,2,5,52,0,Running Alley Oop Dunk Shot,2,9,20,True
Salah Mejri,2,6,52,1,Running Alley Oop Dunk Shot,0,-3,9,True
Salah Mejri,2,5,48,1,Running Alley Oop Layup Shot,1,-2,13,True
Salah Mejri,2,8,47,1,Running Dunk Shot,0,-3,-3,True
Salah Mejri,3,2,9,1,Running Dunk Shot,0,3,8,True
Salah Mejri,4,0,42,1,Running Dunk Shot,2,9,18,True
Salah Mejri,2,7,3,0,Tip Layup Shot,0,0,-6,True
Salah Mejri,3,5,12,0,Tip Layup Shot,0,0,-6,True
Salah Mejri,3,2,16,0,Tip Layup Shot,2,21,1,True
Salah Mejri,1,5,30,0,Tip Layup Shot,0,0,-6,True
Salah Mejri,2,3,38,1,Tip Layup Shot,0,0,-6,True
Salah Mejri,4,5,5,1,Tip Layup Shot,0,0,-6,True
Salah Mejri,4,3,53,0,Tip Layup Shot,1,-10,11,True
Salah Mejri,2,3,23,1,Tip Layup Shot,0,-2,-5,True
Salah Mejri,1,1,8,1,Tip Layup Shot,0,0,-6,True
Salah Mejri,1,3,26,0,Tip Layup Shot,0,-3,1,True
Salah Mejri,1,3,5,1,Tip Layup Shot,0,0,-6,True
Salah Mejri,2,3,39,1,Tip Layup Shot,0,0,-6,True
Salah Mejri,3,1,47,0,Tip Layup Shot,0,0,-6,True
Salah Mejri,1,10,53,0,Tip Layup Shot,0,0,-6,True
Salah Mejri,1,2,40,1,Tip Layup Shot,0,0,-6,True
Salah Mejri,4,11,13,0,Tip Layup Shot,0,0,-6,True
Salah Mejri,1,6,42,1,Tip Layup Shot,2,-19,10,True
Salah Mejri,1,1,14,1,Tip Layup Shot,0,0,-6,True
Salah Mejri,2,11,8,1,Turnaround Hook Shot,5,7,56,True
Salah Mejri,1,4,2,0,Turnaround Hook Shot,9,14,96,True
Salah Mejri,4,4,38,1,Turnaround Hook Shot,8,-2,89,True
Salah Mejri,3,4,38,1,Turnaround Hook Shot,2,-14,15,True
Salah Mejri,3,7,17,0,Turnaround Hook Shot,2,14,26,True
Salah Mejri,2,3,35,0,Turnaround Hook Shot,7,1,75,True
Salah Mejri,1,2,39,1,Turnaround Hook Shot,2,4,23,True
