name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Sam Dekker,2,9,25,1,Alley Oop Dunk Shot,0,-7,6,True
Sam Dekker,2,8,54,1,Alley Oop Dunk Shot,0,-3,6,True
Sam Dekker,2,3,33,1,Alley Oop Dunk Shot,1,8,9,True
Sam Dekker,2,4,50,0,Alley Oop Layup shot,2,0,26,True
Sam Dekker,4,0,50,1,Cutting Dunk Shot,2,-20,7,True
Sam Dekker,2,11,32,1,Cutting Dunk Shot,0,9,-4,True
Sam Dekker,4,9,46,1,Cutting Dunk Shot,0,-2,2,True
Sam Dekker,4,8,15,1,Cutting Dunk Shot,1,-3,15,True
Sam Dekker,2,10,24,1,Cutting Dunk Shot,1,16,6,True
Sam Dekker,4,6,41,1,Cutting Dunk Shot,0,-3,7,True
Sam Dekker,1,0,11,1,Cutting Dunk Shot,0,3,8,True
Sam Dekker,1,2,28,1,Cutting Dunk Shot,1,-11,2,True
Sam Dekker,2,10,56,1,Cutting Dunk Shot,2,20,15,True
Sam Dekker,4,10,5,1,Cutting Dunk Shot,0,7,0,True
Sam Dekker,4,0,48,1,Cutting Dunk Shot,1,1,15,True
Sam Dekker,4,11,48,0,Cutting Finger Roll Layup Shot,2,-12,22,True
Sam Dekker,2,4,18,1,Cutting Finger Roll Layup Shot,0,8,4,True
Sam Dekker,4,7,21,1,Cutting Finger Roll Layup Shot,1,13,4,True
Sam Dekker,2,6,29,1,Cutting Layup Shot,1,9,6,True
Sam Dekker,4,9,17,0,Cutting Layup Shot,1,-9,7,True
Sam Dekker,4,10,7,1,Cutting Layup Shot,1,1,17,True
Sam Dekker,4,4,37,1,Cutting Layup Shot,1,10,11,True
Sam Dekker,1,0,39,1,Cutting Layup Shot,0,0,8,True
Sam Dekker,4,9,33,0,Cutting Layup Shot,3,-14,30,True
Sam Dekker,2,10,50,1,Cutting Layup Shot,1,2,15,True
Sam Dekker,2,11,21,0,Cutting Layup Shot,0,2,5,True
Sam Dekker,3,0,53,1,Cutting Layup Shot,0,3,1,True
Sam Dekker,1,0,54,1,Cutting Layup Shot,2,8,21,True
Sam Dekker,4,8,57,1,Cutting Layup Shot,1,9,8,True
Sam Dekker,4,3,53,1,Cutting Layup Shot,0,5,6,True
Sam Dekker,4,6,31,0,Cutting Layup Shot,1,-3,15,True
Sam Dekker,4,3,6,1,Cutting Layup Shot,1,-8,11,True
Sam Dekker,1,0,46,1,Cutting Layup Shot,2,-25,11,True
Sam Dekker,2,11,39,0,Cutting Layup Shot,1,6,15,True
Sam Dekker,4,9,27,1,Cutting Layup Shot,2,9,27,True
Sam Dekker,3,2,44,1,Cutting Layup Shot,1,4,12,True
Sam Dekker,3,8,22,0,Cutting Layup Shot,1,-7,8,True
Sam Dekker,2,8,42,1,Cutting Layup Shot,1,0,19,True
Sam Dekker,4,11,5,1,Cutting Layup Shot,1,2,11,True
Sam Dekker,2,10,23,0,Cutting Layup Shot,5,-46,31,True
Sam Dekker,1,0,36,1,Cutting Layup Shot,1,-10,3,True
Sam Dekker,3,0,39,1,Cutting Layup Shot,1,14,7,True
Sam Dekker,4,8,48,1,Driving Dunk Shot,2,-9,22,True
Sam Dekker,3,0,44,0,Driving Dunk Shot,2,-5,21,True
Sam Dekker,2,9,7,0,Driving Dunk Shot,2,-17,15,True
Sam Dekker,2,11,44,1,Driving Finger Roll Layup Shot,1,-15,9,True
Sam Dekker,4,0,24,1,Driving Finger Roll Layup Shot,1,-11,5,True
Sam Dekker,2,10,17,0,Driving Finger Roll Layup Shot,3,-11,34,True
Sam Dekker,4,11,41,0,Driving Floating Bank Jump Shot,2,9,18,True
Sam Dekker,4,10,36,0,Driving Floating Jump Shot,2,16,24,True
Sam Dekker,4,8,12,0,Driving Hook Shot,5,11,55,True
Sam Dekker,4,11,15,1,Driving Hook Shot,6,-1,65,True
Sam Dekker,4,8,57,0,Driving Hook Shot,6,-8,65,True
Sam Dekker,4,0,34,1,Driving Hook Shot,3,-14,27,True
Sam Dekker,2,10,21,0,Driving Layup Shot,2,20,-5,True
Sam Dekker,2,7,26,1,Driving Layup Shot,1,11,15,True
Sam Dekker,1,4,32,0,Driving Layup Shot,2,-9,26,True
Sam Dekker,4,10,1,1,Driving Layup Shot,1,7,16,True
Sam Dekker,2,9,24,1,Driving Layup Shot,2,18,9,True
Sam Dekker,4,11,43,1,Driving Layup Shot,1,9,17,True
Sam Dekker,1,0,7,1,Driving Layup Shot,2,-19,15,True
Sam Dekker,1,1,10,0,Driving Layup Shot,2,-5,27,True
Sam Dekker,2,11,27,1,Driving Layup Shot,0,-5,-1,True
Sam Dekker,2,8,42,1,Driving Layup Shot,1,2,11,True
Sam Dekker,4,5,42,1,Driving Layup Shot,1,12,8,True
Sam Dekker,4,9,32,0,Driving Layup Shot,2,0,26,True
Sam Dekker,1,0,19,0,Driving Layup Shot,2,-23,19,True
Sam Dekker,4,8,57,1,Driving Layup Shot,1,8,14,True
Sam Dekker,4,10,22,0,Driving Layup Shot,3,37,10,True
Sam Dekker,2,10,37,1,Driving Layup Shot,1,14,3,True
Sam Dekker,4,7,9,1,Driving Layup Shot,2,6,29,True
Sam Dekker,4,8,43,1,Driving Layup Shot,1,3,15,True
Sam Dekker,2,10,42,1,Driving Reverse Layup Shot,2,15,25,True
Sam Dekker,4,10,52,1,Driving Reverse Layup Shot,1,7,15,True
Sam Dekker,3,3,58,1,Dunk Shot,0,2,5,True
Sam Dekker,1,0,19,1,Dunk Shot,0,5,8,True
Sam Dekker,1,1,27,0,Dunk Shot,2,-19,13,True
Sam Dekker,3,4,48,0,Dunk Shot,0,2,8,True
Sam Dekker,3,0,3,1,Fadeaway Jump Shot,11,-41,109,True
Sam Dekker,3,0,34,0,Fadeaway Jump Shot,13,-46,126,True
Sam Dekker,4,9,34,0,Fadeaway Jump Shot,21,124,172,True
Sam Dekker,4,11,3,0,Fadeaway Jump Shot,17,76,159,True
Sam Dekker,4,6,14,1,Floating Jump shot,17,66,163,True
Sam Dekker,4,2,30,0,Floating Jump shot,4,-19,39,True
Sam Dekker,2,7,28,1,Floating Jump shot,9,7,92,True
Sam Dekker,2,9,20,1,Floating Jump shot,6,-19,63,True
Sam Dekker,2,10,36,0,Floating Jump shot,7,-16,78,True
Sam Dekker,4,8,52,0,Hook Shot,3,2,31,True
Sam Dekker,4,4,39,0,Hook Shot,3,21,23,True
Sam Dekker,4,6,53,0,Hook Shot,3,17,29,True
Sam Dekker,4,10,16,1,Jump Bank Shot,5,-27,46,True
Sam Dekker,2,7,57,0,Jump Bank Shot,6,56,35,True
Sam Dekker,3,2,0,0,Jump Shot,24,-237,49,False
