name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Sean Kilpatrick,4,1,39,1,Cutting Layup Shot,2,-20,4,True
Sean Kilpatrick,4,7,44,1,Cutting Layup Shot,1,-9,8,True
Sean Kilpatrick,2,9,30,1,Cutting Layup Shot,2,2,21,True
Sean Kilpatrick,4,3,15,1,Cutting Layup Shot,2,13,26,True
Sean Kilpatrick,2,11,48,1,Cutting Layup Shot,1,19,2,True
Sean Kilpatrick,4,1,39,1,Cutting Layup Shot,0,8,4,True
Sean Kilpatrick,2,8,2,0,Driving Finger Roll Layup Shot,1,-4,19,True
Sean Kilpatrick,3,3,35,1,Driving Finger Roll Layup Shot,0,4,2,True
Sean Kilpatrick,2,9,27,1,Driving Floating Bank Jump Shot,6,-51,46,True
Sean Kilpatrick,4,11,1,1,Driving Floating Jump Shot,6,-2,60,True
Sean Kilpatrick,4,9,18,0,Driving Floating Jump Shot,6,-5,69,True
Sean Kilpatrick,3,2,1,0,Driving Floating Jump Shot,6,-33,57,True
Sean Kilpatrick,3,1,5,0,Driving Floating Jump Shot,6,-1,69,True
Sean Kilpatrick,1,1,58,0,Driving Floating Jump Shot,12,29,120,True
Sean Kilpatrick,2,8,23,1,Driving Floating Jump Shot,9,-23,89,True
Sean Kilpatrick,2,10,59,0,Driving Floating Jump Shot,8,47,69,True
Sean Kilpatrick,4,6,11,1,Driving Floating Jump Shot,11,-17,115,True
Sean Kilpatrick,4,2,45,0,Driving Floating Jump Shot,6,40,50,True
Sean Kilpatrick,4,1,52,1,Driving Layup Shot,3,8,38,True
Sean Kilpatrick,4,3,52,0,Driving Layup Shot,1,-7,11,True
Sean Kilpatrick,4,3,25,0,Driving Layup Shot,2,6,24,True
Sean Kilpatrick,4,2,29,1,Driving Layup Shot,1,18,4,True
Sean Kilpatrick,3,3,34,0,Driving Layup Shot,1,14,-8,True
Sean Kilpatrick,1,1,45,1,Driving Layup Shot,3,-33,18,True
Sean Kilpatrick,1,1,53,1,Driving Layup Shot,1,-10,11,True
Sean Kilpatrick,4,9,26,0,Driving Layup Shot,5,-48,32,True
Sean Kilpatrick,3,0,0,0,Driving Layup Shot,5,56,-1,True
Sean Kilpatrick,4,9,52,1,Driving Layup Shot,2,0,25,True
Sean Kilpatrick,2,6,32,1,Driving Layup Shot,0,8,5,True
Sean Kilpatrick,3,8,24,0,Driving Layup Shot,1,3,17,True
Sean Kilpatrick,1,2,1,1,Driving Layup Shot,9,12,96,True
Sean Kilpatrick,1,0,2,0,Driving Layup Shot,2,25,8,True
Sean Kilpatrick,4,4,56,0,Driving Layup Shot,3,24,22,True
Sean Kilpatrick,4,2,23,0,Driving Layup Shot,2,-22,18,True
Sean Kilpatrick,4,2,22,1,Driving Layup Shot,1,-18,6,True
Sean Kilpatrick,2,11,25,1,Driving Layup Shot,4,30,27,True
Sean Kilpatrick,1,2,14,0,Driving Layup Shot,1,4,12,True
Sean Kilpatrick,4,3,33,0,Driving Layup Shot,1,-8,10,True
Sean Kilpatrick,3,1,45,0,Driving Layup Shot,0,5,4,True
Sean Kilpatrick,2,7,2,1,Driving Layup Shot,1,-2,19,True
Sean Kilpatrick,3,0,43,0,Driving Layup Shot,3,-4,36,True
Sean Kilpatrick,4,0,16,0,Driving Layup Shot,1,-7,12,True
Sean Kilpatrick,3,0,38,1,Driving Layup Shot,2,7,19,True
Sean Kilpatrick,1,2,35,1,Driving Layup Shot,1,3,13,True
