name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Spencer Dinwiddie,3,5,48,0,Alley Oop Layup shot,1,1,14,True
Spencer Dinwiddie,4,0,15,1,Cutting Layup Shot,1,10,0,True
Spencer Dinwiddie,1,11,32,1,Cutting Layup Shot,1,10,8,True
Spencer Dinwiddie,5,1,18,0,Driving Dunk Shot,1,-2,14,True
Spencer Dinwiddie,1,6,52,0,Driving Dunk Shot,2,-25,6,True
Spencer Dinwiddie,4,1,51,1,Driving Dunk Shot,0,2,-6,True
Spencer Dinwiddie,5,4,39,1,Driving Dunk Shot,0,3,5,True
Spencer Dinwiddie,4,7,20,1,Driving Dunk Shot,0,3,8,True
Spencer Dinwiddie,2,3,57,1,Driving Dunk Shot,0,-3,7,True
Spencer Dinwiddie,4,11,32,1,Driving Dunk Shot,0,-2,1,True
Spencer Dinwiddie,4,0,13,1,Driving Dunk Shot,0,2,0,True
Spencer Dinwiddie,4,3,28,1,Driving Dunk Shot,0,-2,5,True
Spencer Dinwiddie,2,4,10,1,Driving Dunk Shot,1,-1,17,True
Spencer Dinwiddie,4,1,38,1,Driving Dunk Shot,1,0,11,True
Spencer Dinwiddie,4,5,30,1,Driving Finger Roll Layup Shot,1,5,10,True
Spencer Dinwiddie,5,2,52,1,Driving Finger Roll Layup Shot,2,1,20,True
Spencer Dinwiddie,3,4,50,1,Driving Finger Roll Layup Shot,4,33,26,True
Spencer Dinwiddie,1,1,5,1,Driving Finger Roll Layup Shot,2,9,21,True
Spencer Dinwiddie,2,0,15,0,Driving Finger Roll Layup Shot,1,18,7,True
Spencer Dinwiddie,3,7,53,1,Driving Finger Roll Layup Shot,1,18,-7,True
Spencer Dinwiddie,2,3,19,0,Driving Finger Roll Layup Shot,1,10,2,True
Spencer Dinwiddie,4,10,54,1,Driving Finger Roll Layup Shot,3,39,8,True
Spencer Dinwiddie,3,2,57,0,Driving Finger Roll Layup Shot,0,5,8,True
Spencer Dinwiddie,1,2,35,0,Driving Finger Roll Layup Shot,2,-20,20,True
Spencer Dinwiddie,4,2,2,1,Driving Finger Roll Layup Shot,1,13,0,True
Spencer Dinwiddie,2,11,23,1,Driving Finger Roll Layup Shot,1,-11,16,True
Spencer Dinwiddie,3,7,29,1,Driving Finger Roll Layup Shot,1,9,10,True
Spencer Dinwiddie,4,10,15,1,Driving Finger Roll Layup Shot,1,2,10,True
Spencer Dinwiddie,1,8,54,1,Driving Finger Roll Layup Shot,1,14,7,True
Spencer Dinwiddie,3,8,21,1,Driving Finger Roll Layup Shot,2,18,9,True
Spencer Dinwiddie,4,4,9,1,Driving Finger Roll Layup Shot,0,-6,6,True
