name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Stephen Curry,2,5,4,1,Cutting Finger Roll Layup Shot,1,7,11,True
Stephen Curry,4,0,41,1,Cutting Finger Roll Layup Shot,2,-7,21,True
Stephen Curry,1,11,22,0,Cutting Layup Shot,1,-16,10,True
Stephen Curry,1,11,21,1,Cutting Layup Shot,1,-8,7,True
Stephen Curry,2,4,48,0,Cutting Layup Shot,0,-5,8,True
Stephen Curry,4,5,11,1,Cutting Layup Shot,2,-8,20,True
Stephen Curry,3,11,10,1,Cutting Layup Shot,1,5,11,True
Stephen Curry,2,5,43,1,Cutting Layup Shot,0,6,0,True
Stephen Curry,2,2,58,1,Cutting Layup Shot,3,32,19,True
Stephen Curry,1,1,8,1,Cutting Layup Shot,1,-1,11,True
Stephen Curry,3,11,4,1,Cutting Layup Shot,2,-19,20,True
Stephen Curry,2,0,11,1,Cutting Layup Shot,0,-7,6,True
Stephen Curry,3,11,47,1,Cutting Layup Shot,1,8,13,True
Stephen Curry,4,6,38,1,Cutting Layup Shot,0,4,5,True
Stephen Curry,1,10,35,1,Cutting Layup Shot,2,-19,11,True
Stephen Curry,3,1,45,0,Cutting Layup Shot,3,-25,28,True
Stephen Curry,3,5,39,1,Cutting Layup Shot,3,-3,34,True
Stephen Curry,1,2,33,0,Cutting Layup Shot,1,0,11,True
Stephen Curry,3,11,45,1,Cutting Layup Shot,2,-19,7,True
Stephen Curry,4,4,41,0,Cutting Layup Shot,2,-9,26,True
Stephen Curry,1,3,31,1,Cutting Layup Shot,2,-5,25,True
Stephen Curry,1,5,54,1,Cutting Layup Shot,1,-13,8,True
Stephen Curry,2,4,48,1,Cutting Layup Shot,1,-5,11,True
Stephen Curry,3,7,35,1,Driving Finger Roll Layup Shot,3,2,36,True
Stephen Curry,1,11,32,1,Driving Finger Roll Layup Shot,1,10,11,True
Stephen Curry,3,9,35,1,Driving Finger Roll Layup Shot,10,95,38,True
Stephen Curry,2,1,2,1,Driving Finger Roll Layup Shot,0,1,6,True
Stephen Curry,2,5,23,0,Driving Finger Roll Layup Shot,2,-3,20,True
Stephen Curry,1,5,28,1,Driving Finger Roll Layup Shot,1,-1,18,True
Stephen Curry,1,3,56,1,Driving Finger Roll Layup Shot,2,6,21,True
Stephen Curry,3,9,49,0,Driving Finger Roll Layup Shot,4,-47,13,True
Stephen Curry,1,0,0,1,Driving Finger Roll Layup Shot,2,11,17,True
Stephen Curry,2,1,42,1,Driving Finger Roll Layup Shot,4,38,22,True
Stephen Curry,4,4,51,1,Driving Finger Roll Layup Shot,4,24,32,True
Stephen Curry,4,5,32,1,Driving Finger Roll Layup Shot,10,94,36,True
Stephen Curry,1,4,35,1,Driving Finger Roll Layup Shot,3,6,30,True
Stephen Curry,1,7,2,0,Driving Finger Roll Layup Shot,0,3,8,True
Stephen Curry,3,2,40,1,Driving Finger Roll Layup Shot,2,-13,17,True
Stephen Curry,1,0,51,0,Driving Finger Roll Layup Shot,2,-4,25,True
Stephen Curry,2,3,56,1,Driving Finger Roll Layup Shot,2,-2,28,True
Stephen Curry,3,3,25,1,Driving Finger Roll Layup Shot,0,-6,4,True
Stephen Curry,2,3,42,0,Driving Finger Roll Layup Shot,4,30,35,True
Stephen Curry,3,8,41,1,Driving Finger Roll Layup Shot,16,35,159,True
Stephen Curry,3,1,28,1,Driving Finger Roll Layup Shot,5,1,59,True
Stephen Curry,3,2,32,1,Driving Finger Roll Layup Shot,2,9,20,True
Stephen Curry,2,3,36,1,Driving Floating Bank Jump Shot,14,130,67,True
Stephen Curry,1,3,11,1,Driving Floating Bank Jump Shot,8,-86,25,True
Stephen Curry,2,5,48,0,Driving Floating Bank Jump Shot,8,-42,74,True
Stephen Curry,3,9,27,0,Driving Floating Bank Jump Shot,7,67,25,True
Stephen Curry,3,7,6,0,Driving Floating Bank Jump Shot,4,20,37,True
Stephen Curry,3,10,51,1,Driving Floating Bank Jump Shot,9,96,-12,True
Stephen Curry,3,4,47,1,Driving Floating Jump Shot,13,-35,135,True
Stephen Curry,1,2,48,0,Driving Floating Jump Shot,5,-55,17,True
Stephen Curry,1,6,22,1,Driving Floating Jump Shot,11,16,115,True
Stephen Curry,3,3,21,1,Driving Floating Jump Shot,14,29,142,True
Stephen Curry,1,6,30,1,Driving Floating Jump Shot,16,-16,163,True
Stephen Curry,1,3,3,1,Driving Floating Jump Shot,13,5,138,True
Stephen Curry,3,1,50,0,Driving Floating Jump Shot,13,131,3,True
Stephen Curry,3,4,40,0,Driving Layup Shot,2,5,20,True
Stephen Curry,1,8,17,0,Driving Layup Shot,3,18,26,True
Stephen Curry,2,0,28,1,Driving Layup Shot,1,-5,17,True
Stephen Curry,3,6,29,1,Driving Layup Shot,2,15,15,True
Stephen Curry,2,4,44,0,Driving Layup Shot,0,0,3,True
Stephen Curry,2,1,42,1,Driving Layup Shot,2,-7,22,True
Stephen Curry,3,7,56,0,Driving Layup Shot,3,18,27,True
Stephen Curry,2,3,27,1,Driving Layup Shot,1,6,12,True
Stephen Curry,1,5,8,0,Driving Layup Shot,0,3,5,True
Stephen Curry,1,5,18,1,Driving Layup Shot,1,-8,6,True
Stephen Curry,4,1,8,1,Driving Layup Shot,1,-5,12,True
Stephen Curry,4,1,28,1,Driving Layup Shot,2,5,27,True
Stephen Curry,4,1,47,0,Driving Layup Shot,0,-1,6,True
Stephen Curry,2,0,4,1,Driving Layup Shot,3,-24,18,True
Stephen Curry,1,1,44,0,Driving Layup Shot,0,3,8,True
Stephen Curry,1,4,34,1,Driving Layup Shot,8,67,55,True
Stephen Curry,4,4,40,1,Driving Layup Shot,1,3,-10,True
Stephen Curry,4,3,39,1,Driving Layup Shot,1,-2,17,True
Stephen Curry,3,2,1,1,Driving Layup Shot,1,-9,15,True
Stephen Curry,2,2,21,1,Driving Layup Shot,3,7,30,True
Stephen Curry,1,1,22,1,Driving Layup Shot,1,10,12,True
Stephen Curry,1,0,48,0,Driving Layup Shot,6,-58,22,True
Stephen Curry,4,2,0,1,Driving Layup Shot,0,-4,3,True
Stephen Curry,3,5,22,1,Driving Layup Shot,2,11,25,True
Stephen Curry,4,0,43,1,Driving Layup Shot,0,-4,6,True
Stephen Curry,2,1,23,1,Driving Layup Shot,1,11,10,True
Stephen Curry,1,1,44,1,Driving Layup Shot,1,-6,18,True
Stephen Curry,1,0,2,1,Driving Layup Shot,2,-19,9,True
Stephen Curry,3,0,33,0,Driving Layup Shot,3,7,30,True
Stephen Curry,1,6,57,0,Driving Layup Shot,3,-36,6,True
Stephen Curry,3,8,23,1,Driving Layup Shot,1,-18,6,True
Stephen Curry,2,3,33,1,Driving Layup Shot,0,-9,1,True
Stephen Curry,1,0,27,0,Driving Layup Shot,1,16,8,True
Stephen Curry,1,4,1,0,Driving Layup Shot,7,70,22,True
Stephen Curry,1,0,40,1,Driving Layup Shot,3,-27,15,True
Stephen Curry,3,9,51,0,Driving Layup Shot,4,13,41,True
Stephen Curry,2,5,32,1,Driving Layup Shot,3,3,34,True
Stephen Curry,1,1,14,1,Driving Layup Shot,2,3,24,True
Stephen Curry,2,0,12,1,Driving Layup Shot,1,13,15,True
Stephen Curry,4,3,50,1,Driving Layup Shot,2,7,20,True
Stephen Curry,4,4,14,1,Driving Layup Shot,2,1,22,True
Stephen Curry,3,9,5,0,Driving Layup Shot,2,7,19,True
Stephen Curry,3,8,0,0,Driving Layup Shot,5,37,47,True
Stephen Curry,1,2,56,0,Driving Layup Shot,1,-6,16,True
Stephen Curry,1,4,49,1,Driving Layup Shot,0,-7,0,True
Stephen Curry,3,8,59,0,Driving Layup Shot,1,-5,15,True
Stephen Curry,2,4,1,1,Driving Layup Shot,1,10,15,True
Stephen Curry,2,1,20,1,Driving Layup Shot,1,-6,12,True
Stephen Curry,3,8,6,0,Driving Reverse Layup Shot,1,-16,11,True
Stephen Curry,2,0,46,1,Driving Reverse Layup Shot,2,-18,20,True
Stephen Curry,3,3,34,1,Driving Reverse Layup Shot,1,-8,11,True
Stephen Curry,1,0,43,1,Driving Reverse Layup Shot,1,-15,6,True
Stephen Curry,2,4,51,1,Driving Reverse Layup Shot,2,5,20,True
Stephen Curry,3,11,13,1,Driving Reverse Layup Shot,1,-13,14,True
Stephen Curry,2,2,36,1,Driving Reverse Layup Shot,1,-8,11,True
Stephen Curry,4,7,0,0,Driving Reverse Layup Shot,1,-8,15,True
Stephen Curry,1,3,44,0,Driving Reverse Layup Shot,2,-18,10,True
Stephen Curry,3,4,23,1,Driving Reverse Layup Shot,1,-13,9,True
Stephen Curry,3,7,42,0,Driving Reverse Layup Shot,0,-4,-1,True
Stephen Curry,3,7,8,1,Driving Reverse Layup Shot,1,6,10,True
Stephen Curry,3,0,7,0,Fadeaway Jump Shot,26,209,162,False
Stephen Curry,1,8,2,0,Fadeaway Jump Shot,11,3,115,True
Stephen Curry,3,5,14,0,Fadeaway Jump Shot,11,-92,63,True
Stephen Curry,1,8,58,0,Fadeaway Jump Shot,12,123,42,True
Stephen Curry,2,2,37,0,Finger Roll Layup Shot,2,2,22,True
Stephen Curry,1,3,2,1,Floating Jump shot,14,-61,127,True
Stephen Curry,3,2,52,1,Floating Jump shot,4,-35,25,True
Stephen Curry,3,0,58,1,Floating Jump shot,14,46,135,True
Stephen Curry,3,7,28,0,Floating Jump shot,8,-43,79,True
Stephen Curry,1,6,39,1,Floating Jump shot,12,-52,110,True
Stephen Curry,1,4,30,0,Floating Jump shot,15,65,137,True
Stephen Curry,3,2,38,1,Floating Jump shot,10,106,10,True
Stephen Curry,1,11,0,1,Floating Jump shot,11,46,104,True
Stephen Curry,3,2,12,0,Floating Jump shot,11,30,111,True
Stephen Curry,2,0,5,1,Floating Jump shot,7,-2,78,True
Stephen Curry,1,8,56,0,Floating Jump shot,13,-8,135,True
Stephen Curry,3,2,5,0,Floating Jump shot,10,52,91,True
Stephen Curry,2,0,11,1,Floating Jump shot,13,12,131,True
Stephen Curry,3,5,20,0,Hook Shot,14,122,81,True
Stephen Curry,3,8,55,0,Jump Bank Shot,13,101,85,True
Stephen Curry,1,2,0,0,Jump Bank Shot,10,-1,104,True
Stephen Curry,1,11,44,0,Jump Bank Shot,14,136,58,True
Stephen Curry,1,9,38,0,Jump Shot,25,125,227,False
Stephen Curry,2,4,4,1,Jump Shot,23,-226,71,False
Stephen Curry,3,5,43,0,Jump Shot,26,-157,210,False
Stephen Curry,3,2,11,1,Jump Shot,27,-6,278,False
Stephen Curry,1,11,19,1,Jump Shot,17,-78,157,True
Stephen Curry,2,4,21,1,Jump Shot,26,76,258,False
Stephen Curry,4,2,50,1,Jump Shot,25,78,243,False
Stephen Curry,2,2,9,1,Jump Shot,26,-185,188,False
Stephen Curry,3,3,46,0,Jump Shot,28,114,256,False
Stephen Curry,3,9,6,1,Jump Shot,26,191,189,False
Stephen Curry,2,3,31,0,Jump Shot,25,214,141,False
Stephen Curry,5,0,38,1,Jump Shot,19,-190,46,True
Stephen Curry,1,1,19,0,Jump Shot,26,100,243,False
Stephen Curry,1,10,34,0,Jump Shot,17,138,113,True
Stephen Curry,2,3,18,0,Jump Shot,25,167,195,False
Stephen Curry,4,4,30,0,Jump Shot,23,-234,22,False
Stephen Curry,1,3,22,0,Jump Shot,26,-171,199,False
Stephen Curry,3,0,1,0,Jump Shot,26,-118,237,False
Stephen Curry,4,8,8,0,Jump Shot,22,-222,27,False
Stephen Curry,3,8,5,1,Jump Shot,17,-96,147,True
Stephen Curry,2,4,41,0,Jump Shot,26,185,183,False
Stephen Curry,1,11,0,0,Jump Shot,22,228,21,False
Stephen Curry,4,2,23,0,Jump Shot,26,-197,176,False
Stephen Curry,2,5,16,1,Jump Shot,24,-41,243,False
Stephen Curry,4,4,58,0,Jump Shot,27,116,251,False
Stephen Curry,3,2,52,0,Jump Shot,25,198,160,False
Stephen Curry,3,0,2,1,Jump Shot,25,157,197,False
Stephen Curry,1,8,50,1,Jump Shot,24,-205,134,False
Stephen Curry,1,6,53,0,Jump Shot,21,-135,168,True
Stephen Curry,3,6,47,0,Jump Shot,23,234,16,False
Stephen Curry,3,6,0,0,Jump Shot,27,139,232,False
Stephen Curry,2,5,29,1,Jump Shot,25,-175,189,False
Stephen Curry,1,8,20,0,Jump Shot,17,-21,169,True
Stephen Curry,1,9,13,0,Jump Shot,25,-71,243,False
Stephen Curry,3,11,50,0,Jump Shot,26,70,252,False
Stephen Curry,3,7,1,1,Jump Shot,24,-237,42,False
Stephen Curry,3,0,36,1,Jump Shot,11,-112,-1,True
Stephen Curry,2,2,15,0,Jump Shot,26,-140,226,False
Stephen Curry,2,3,39,1,Jump Shot,24,163,189,False
Stephen Curry,1,4,9,0,Jump Shot,10,36,99,True
Stephen Curry,3,2,42,0,Jump Shot,25,-1,252,False
Stephen Curry,2,2,35,1,Jump Shot,23,236,26,False
Stephen Curry,3,2,11,0,Jump Shot,25,166,199,False
Stephen Curry,1,5,59,1,Jump Shot,26,-174,197,False
Stephen Curry,1,3,31,0,Jump Shot,25,9,257,False
Stephen Curry,3,11,5,1,Jump Shot,25,-203,148,False
Stephen Curry,2,5,51,0,Jump Shot,23,-228,62,False
Stephen Curry,3,9,40,1,Jump Shot,25,-201,153,False
Stephen Curry,1,1,18,1,Jump Shot,23,-231,8,False
Stephen Curry,1,0,28,1,Jump Shot,28,-127,252,False
Stephen Curry,1,5,15,0,Jump Shot,25,-226,113,False
Stephen Curry,1,7,26,0,Jump Shot,22,227,12,False
Stephen Curry,3,8,8,1,Jump Shot,26,152,215,False
Stephen Curry,1,8,36,0,Jump Shot,25,-221,121,False
Stephen Curry,2,4,42,0,Jump Shot,25,133,220,False
Stephen Curry,1,10,9,1,Jump Shot,26,-19,263,False
Stephen Curry,1,0,4,0,Jump Shot,25,-150,206,False
Stephen Curry,4,3,58,1,Jump Shot,26,2,264,False
Stephen Curry,3,0,43,0,Jump Shot,28,-131,255,False
Stephen Curry,3,8,46,0,Jump Shot,17,-78,159,True
Stephen Curry,3,4,24,1,Jump Shot,24,-211,122,False
Stephen Curry,2,1,22,1,Jump Shot,25,-170,188,False
Stephen Curry,3,3,44,1,Jump Shot,26,-13,266,False
Stephen Curry,3,7,33,1,Jump Shot,25,180,185,False
Stephen Curry,1,2,41,0,Jump Shot,20,198,36,True
Stephen Curry,1,0,1,1,Jump Shot,37,-79,362,False
Stephen Curry,2,2,37,1,Jump Shot,25,-20,251,False
Stephen Curry,3,2,56,0,Jump Shot,25,61,250,False
Stephen Curry,1,3,9,0,Jump Shot,17,152,81,True
Stephen Curry,2,1,51,0,Jump Shot,25,63,242,False
Stephen Curry,2,0,53,1,Jump Shot,22,225,41,False
Stephen Curry,3,10,51,0,Jump Shot,24,-209,133,False
Stephen Curry,3,6,9,1,Jump Shot,25,-164,189,False
Stephen Curry,1,3,28,0,Jump Shot,25,99,230,False
Stephen Curry,3,4,14,0,Jump Shot,23,-230,-11,False
Stephen Curry,1,0,28,1,Jump Shot,21,-214,5,True
Stephen Curry,3,6,20,0,Jump Shot,27,144,231,False
Stephen Curry,1,8,1,1,Jump Shot,17,-69,156,True
Stephen Curry,1,8,55,0,Jump Shot,25,226,109,False
Stephen Curry,1,2,21,0,Jump Shot,28,156,237,False
Stephen Curry,1,3,35,1,Jump Shot,26,130,227,False
Stephen Curry,1,2,57,1,Jump Shot,26,160,211,False
Stephen Curry,2,3,31,0,Jump Shot,25,167,199,False
Stephen Curry,3,5,2,1,Jump Shot,28,128,257,False
Stephen Curry,2,1,12,0,Jump Shot,34,2,341,False
Stephen Curry,1,3,51,1,Jump Shot,21,-205,46,True
Stephen Curry,3,11,18,1,Jump Shot,14,68,124,True
Stephen Curry,1,8,50,1,Jump Shot,25,189,168,False
Stephen Curry,1,3,26,1,Jump Shot,24,-100,226,False
Stephen Curry,2,4,38,0,Jump Shot,25,223,117,False
Stephen Curry,2,6,32,0,Jump Shot,26,79,251,False
Stephen Curry,3,11,44,1,Jump Shot,25,22,250,False
Stephen Curry,3,4,42,0,Jump Shot,25,-190,167,False
Stephen Curry,1,7,9,0,Jump Shot,29,-84,280,False
Stephen Curry,2,5,43,0,Jump Shot,25,58,247,False
Stephen Curry,1,10,11,0,Jump Shot,15,-112,111,True
Stephen Curry,1,4,52,0,Jump Shot,7,-7,79,True
Stephen Curry,1,4,42,0,Jump Shot,19,-194,13,True
Stephen Curry,1,1,3,0,Jump Shot,26,26,259,False
Stephen Curry,3,5,34,1,Jump Shot,15,98,121,True
Stephen Curry,3,3,48,0,Jump Shot,25,94,242,False
Stephen Curry,3,9,55,1,Jump Shot,25,-128,222,False
Stephen Curry,2,5,58,0,Jump Shot,26,190,187,False
Stephen Curry,3,6,50,1,Jump Shot,27,-94,256,False
Stephen Curry,1,3,32,0,Jump Shot,25,217,127,False
Stephen Curry,1,10,12,1,Jump Shot,25,221,136,False
Stephen Curry,1,2,15,0,Jump Shot,27,76,266,False
Stephen Curry,3,5,56,1,Jump Shot,26,-137,225,False
Stephen Curry,3,1,50,1,Jump Shot,23,-236,-22,False
Stephen Curry,2,1,30,0,Jump Shot,22,66,219,True
Stephen Curry,1,8,33,0,Jump Shot,23,-222,74,False
Stephen Curry,3,4,12,0,Jump Shot,26,89,246,False
Stephen Curry,3,1,11,0,Jump Shot,26,127,231,False
Stephen Curry,3,0,44,1,Jump Shot,26,-182,197,False
Stephen Curry,2,4,23,1,Jump Shot,24,206,133,False
Stephen Curry,3,9,43,0,Jump Shot,22,225,26,False
Stephen Curry,1,5,24,1,Jump Shot,24,-221,113,False
Stephen Curry,3,11,17,1,Jump Shot,24,126,215,False
Stephen Curry,1,10,0,0,Jump Shot,26,-111,246,False
Stephen Curry,2,1,4,0,Jump Shot,24,117,217,False
Stephen Curry,3,10,43,0,Jump Shot,23,224,84,False
Stephen Curry,4,0,5,0,Jump Shot,25,-210,145,False
Stephen Curry,4,3,7,0,Jump Shot,26,45,257,False
Stephen Curry,3,7,15,1,Jump Shot,13,130,17,True
Stephen Curry,3,10,6,0,Jump Shot,26,168,208,False
Stephen Curry,1,8,9,1,Jump Shot,25,95,242,False
Stephen Curry,4,7,33,0,Jump Shot,26,-74,256,False
Stephen Curry,2,8,15,0,Jump Shot,27,-127,239,False
Stephen Curry,4,1,38,1,Jump Shot,27,165,218,False
Stephen Curry,1,8,0,1,Jump Shot,26,-78,257,False
Stephen Curry,1,7,8,1,Jump Shot,23,-231,-25,False
Stephen Curry,1,10,36,0,Jump Shot,22,-229,-8,False
Stephen Curry,3,1,18,1,Jump Shot,26,-165,206,False
Stephen Curry,1,2,18,0,Jump Shot,22,-221,39,False
Stephen Curry,1,0,7,0,Jump Shot,24,163,186,False
Stephen Curry,2,1,23,0,Jump Shot,26,-77,257,False
Stephen Curry,3,0,1,1,Jump Shot,25,12,257,False
Stephen Curry,3,3,53,1,Jump Shot,25,154,201,False
Stephen Curry,3,5,58,1,Jump Shot,23,-233,8,False
Stephen Curry,2,1,17,1,Jump Shot,25,76,244,False
Stephen Curry,4,0,4,0,Jump Shot,24,127,211,False
Stephen Curry,1,6,46,0,Jump Shot,26,-136,224,False
Stephen Curry,3,2,42,0,Jump Shot,25,-136,216,False
Stephen Curry,4,4,41,1,Jump Shot,24,-121,217,False
Stephen Curry,3,3,9,0,Jump Shot,28,-100,267,False
Stephen Curry,2,2,8,0,Jump Shot,22,-228,26,False
Stephen Curry,3,3,25,1,Jump Shot,8,76,44,True
Stephen Curry,2,6,59,1,Jump Shot,23,-233,-5,False
