name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Steven Adams,3,5,44,1,Alley Oop Dunk Shot,1,-6,8,True
Steven Adams,3,9,54,1,Alley Oop Dunk Shot,0,5,6,True
Steven Adams,3,4,6,1,Alley Oop Dunk Shot,1,0,12,True
Steven Adams,2,3,49,1,Alley Oop Dunk Shot,0,0,8,True
Steven Adams,1,4,23,1,Alley Oop Dunk Shot,0,1,5,True
Steven Adams,1,9,32,1,Alley Oop Dunk Shot,1,16,4,True
Steven Adams,1,5,43,1,Alley Oop Dunk Shot,1,12,11,True
Steven Adams,3,10,33,1,Alley Oop Dunk Shot,1,-3,12,True
Steven Adams,3,5,59,1,Alley Oop Dunk Shot,1,16,0,True
Steven Adams,2,5,20,1,Alley Oop Dunk Shot,0,-5,4,True
Steven Adams,4,5,6,1,Alley Oop Dunk Shot,1,-11,12,True
Steven Adams,1,3,32,1,Alley Oop Dunk Shot,0,-5,0,True
Steven Adams,3,6,15,1,Alley Oop Dunk Shot,0,-3,-5,True
Steven Adams,2,1,46,1,Alley Oop Dunk Shot,1,9,7,True
Steven Adams,2,6,51,0,Alley Oop Dunk Shot,0,6,5,True
Steven Adams,4,0,14,1,Alley Oop Dunk Shot,1,6,15,True
Steven Adams,3,2,59,1,Alley Oop Dunk Shot,3,38,10,True
Steven Adams,1,8,20,1,Alley Oop Dunk Shot,1,12,3,True
Steven Adams,1,11,20,1,Alley Oop Dunk Shot,1,7,10,True
Steven Adams,1,4,45,1,Alley Oop Dunk Shot,1,-11,7,True
Steven Adams,2,2,35,1,Alley Oop Dunk Shot,0,-3,6,True
Steven Adams,1,8,52,1,Alley Oop Dunk Shot,0,-5,3,True
Steven Adams,2,3,0,1,Alley Oop Dunk Shot,1,4,18,True
Steven Adams,3,5,50,1,Alley Oop Dunk Shot,0,-3,-5,True
Steven Adams,3,8,42,1,Alley Oop Dunk Shot,1,11,6,True
Steven Adams,3,9,20,1,Alley Oop Dunk Shot,1,-3,11,True
Steven Adams,1,8,17,1,Alley Oop Dunk Shot,1,14,14,True
Steven Adams,1,8,7,1,Alley Oop Dunk Shot,1,-1,13,True
Steven Adams,1,4,38,1,Alley Oop Dunk Shot,0,1,8,True
Steven Adams,3,3,55,1,Alley Oop Dunk Shot,1,4,10,True
Steven Adams,2,6,36,0,Alley Oop Dunk Shot,1,6,19,True
Steven Adams,3,5,52,1,Alley Oop Dunk Shot,0,2,7,True
Steven Adams,2,6,33,1,Alley Oop Dunk Shot,0,-2,0,True
Steven Adams,2,4,6,1,Alley Oop Dunk Shot,0,2,-1,True
