name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Taj Gibson,1,10,43,1,Alley Oop Layup shot,1,3,11,True
Taj Gibson,4,3,27,1,Cutting Dunk Shot,1,0,11,True
Taj Gibson,1,4,58,1,Cutting Dunk Shot,1,-3,13,True
Taj Gibson,2,2,41,1,Cutting Dunk Shot,1,-1,11,True
Taj Gibson,2,5,45,1,Cutting Dunk Shot,1,2,17,True
Taj Gibson,1,7,30,1,Cutting Dunk Shot,3,8,31,True
Taj Gibson,3,7,52,1,Cutting Dunk Shot,1,0,10,True
Taj Gibson,1,2,50,1,Cutting Dunk Shot,2,-16,12,True
Taj Gibson,3,8,34,1,Cutting Dunk Shot,1,6,13,True
Taj Gibson,3,11,6,1,Cutting Dunk Shot,0,-3,0,True
Taj Gibson,3,1,17,1,Cutting Dunk Shot,0,-1,1,True
Taj Gibson,2,8,15,1,Cutting Dunk Shot,1,2,14,True
Taj Gibson,3,6,16,1,Cutting Dunk Shot,1,-6,10,True
Taj Gibson,3,10,46,1,Cutting Dunk Shot,1,4,12,True
Taj Gibson,4,5,2,1,Cutting Dunk Shot,1,8,18,True
Taj Gibson,3,4,47,1,Cutting Dunk Shot,1,-1,13,True
Taj Gibson,1,6,29,1,Cutting Dunk Shot,0,-5,-4,True
Taj Gibson,4,1,22,1,Cutting Dunk Shot,1,9,11,True
Taj Gibson,2,1,41,1,Cutting Dunk Shot,0,1,1,True
Taj Gibson,1,7,8,1,Cutting Dunk Shot,0,3,-5,True
Taj Gibson,2,7,33,1,Cutting Dunk Shot,1,6,14,True
Taj Gibson,2,3,17,1,Cutting Dunk Shot,1,-9,13,True
Taj Gibson,1,5,48,1,Cutting Dunk Shot,0,4,8,True
Taj Gibson,2,3,15,1,Cutting Dunk Shot,0,3,8,True
Taj Gibson,2,0,50,1,Cutting Dunk Shot,0,-3,6,True
Taj Gibson,4,6,26,1,Cutting Dunk Shot,0,-2,5,True
Taj Gibson,4,2,44,1,Cutting Dunk Shot,2,-2,24,True
Taj Gibson,3,10,23,1,Cutting Dunk Shot,0,-3,2,True
Taj Gibson,3,2,19,1,Cutting Finger Roll Layup Shot,1,5,16,True
Taj Gibson,1,3,53,0,Cutting Finger Roll Layup Shot,2,-14,17,True
Taj Gibson,3,1,43,1,Cutting Layup Shot,0,-5,1,True
Taj Gibson,1,4,58,1,Cutting Layup Shot,0,2,3,True
Taj Gibson,1,3,33,1,Cutting Layup Shot,1,0,15,True
Taj Gibson,1,5,45,1,Cutting Layup Shot,1,-9,12,True
Taj Gibson,3,1,9,0,Cutting Layup Shot,5,-26,48,True
Taj Gibson,3,4,28,0,Cutting Layup Shot,2,18,11,True
Taj Gibson,3,6,24,1,Cutting Layup Shot,2,2,24,True
Taj Gibson,1,5,33,1,Cutting Layup Shot,1,13,13,True
Taj Gibson,4,1,11,1,Cutting Layup Shot,1,-3,13,True
Taj Gibson,3,0,41,0,Cutting Layup Shot,1,-11,13,True
Taj Gibson,1,5,24,0,Cutting Layup Shot,2,11,25,True
Taj Gibson,4,1,40,1,Cutting Layup Shot,2,10,22,True
Taj Gibson,3,0,30,1,Cutting Layup Shot,1,-10,5,True
Taj Gibson,3,9,0,1,Cutting Layup Shot,4,-35,20,True
Taj Gibson,1,7,41,1,Cutting Layup Shot,2,12,17,True
Taj Gibson,2,5,9,1,Cutting Layup Shot,0,-2,-8,True
Taj Gibson,1,9,54,1,Cutting Layup Shot,1,14,-8,True
Taj Gibson,2,3,12,1,Cutting Layup Shot,2,2,26,True
Taj Gibson,1,2,47,1,Cutting Layup Shot,1,-2,17,True
Taj Gibson,3,5,20,1,Cutting Layup Shot,2,3,29,True
Taj Gibson,1,8,6,1,Driving Dunk Shot,3,-8,33,True
Taj Gibson,1,10,23,1,Driving Dunk Shot,0,-4,5,True
Taj Gibson,1,4,38,1,Driving Dunk Shot,2,3,22,True
Taj Gibson,1,5,12,1,Driving Dunk Shot,1,-5,19,True
Taj Gibson,1,9,29,1,Driving Dunk Shot,0,5,4,True
Taj Gibson,3,10,2,1,Driving Dunk Shot,1,-8,10,True
Taj Gibson,2,3,50,1,Driving Dunk Shot,0,-6,-2,True
Taj Gibson,3,5,57,0,Driving Finger Roll Layup Shot,4,-17,39,True
Taj Gibson,1,5,26,1,Driving Floating Bank Jump Shot,4,40,21,True
Taj Gibson,4,2,35,0,Driving Floating Bank Jump Shot,6,53,38,True
Taj Gibson,1,4,18,0,Driving Floating Jump Shot,9,71,61,True
Taj Gibson,2,5,44,1,Driving Floating Jump Shot,4,1,46,True
Taj Gibson,3,7,1,1,Driving Floating Jump Shot,7,3,78,True
Taj Gibson,3,7,41,1,Driving Floating Jump Shot,10,-81,60,True
Taj Gibson,1,8,56,0,Driving Hook Shot,11,-30,106,True
Taj Gibson,1,4,12,0,Driving Hook Shot,5,-18,50,True
Taj Gibson,3,7,51,1,Driving Hook Shot,6,2,62,True
Taj Gibson,2,3,33,0,Driving Hook Shot,7,7,72,True
Taj Gibson,1,5,16,1,Driving Hook Shot,3,-11,38,True
Taj Gibson,4,0,47,1,Driving Layup Shot,1,9,10,True
Taj Gibson,2,2,40,0,Driving Layup Shot,1,-2,17,True
Taj Gibson,4,1,39,0,Driving Layup Shot,2,-13,18,True
Taj Gibson,2,2,48,1,Driving Layup Shot,2,22,16,True
Taj Gibson,1,1,42,1,Driving Layup Shot,1,-2,10,True
Taj Gibson,1,8,46,1,Driving Layup Shot,1,3,16,True
Taj Gibson,1,11,17,1,Driving Layup Shot,2,9,21,True
Taj Gibson,2,0,26,0,Driving Layup Shot,4,-43,24,True
Taj Gibson,3,9,57,0,Driving Layup Shot,2,-15,21,True
Taj Gibson,1,5,51,1,Driving Layup Shot,4,19,36,True
Taj Gibson,4,5,53,1,Driving Layup Shot,0,3,5,True
Taj Gibson,3,9,56,1,Driving Layup Shot,3,-4,34,True
Taj Gibson,1,2,8,1,Driving Layup Shot,2,-16,15,True
Taj Gibson,2,1,22,0,Driving Layup Shot,1,-2,14,True
Taj Gibson,1,1,3,1,Driving Layup Shot,1,5,17,True
Taj Gibson,2,4,6,1,Driving Layup Shot,0,-5,4,True
Taj Gibson,1,7,59,1,Driving Layup Shot,3,32,4,True
Taj Gibson,1,5,49,1,Driving Layup Shot,0,-2,-1,True
Taj Gibson,3,7,40,1,Driving Layup Shot,1,-1,11,True
Taj Gibson,3,6,20,1,Driving Layup Shot,1,16,10,True
Taj Gibson,1,11,2,0,Driving Layup Shot,5,2,56,True
Taj Gibson,1,6,21,0,Driving Layup Shot,2,12,24,True
Taj Gibson,1,7,27,1,Driving Reverse Dunk Shot,1,3,15,True
Taj Gibson,2,4,44,1,Driving Reverse Layup Shot,0,1,6,True
Taj Gibson,4,3,16,1,Dunk Shot,1,0,11,True
Taj Gibson,1,6,7,1,Dunk Shot,0,0,9,True
Taj Gibson,1,4,20,1,Dunk Shot,0,0,5,True
Taj Gibson,2,5,47,1,Dunk Shot,1,-9,10,True
Taj Gibson,1,3,14,1,Dunk Shot,1,15,6,True
Taj Gibson,2,0,1,1,Dunk Shot,1,14,5,True
Taj Gibson,1,11,22,1,Dunk Shot,1,-6,-9,True
Taj Gibson,2,0,3,1,Dunk Shot,0,-2,8,True
Taj Gibson,1,8,34,1,Dunk Shot,0,5,3,True
Taj Gibson,3,4,31,1,Dunk Shot,1,-14,12,True
Taj Gibson,3,1,55,1,Dunk Shot,2,6,21,True
Taj Gibson,2,1,0,1,Dunk Shot,1,11,15,True
Taj Gibson,1,5,8,1,Dunk Shot,1,10,4,True
Taj Gibson,1,1,33,1,Dunk Shot,0,2,1,True
