name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Terrance Ferguson,4,1,48,1,Alley Oop Dunk Shot,0,-1,8,True
Terrance Ferguson,4,8,51,1,Alley Oop Dunk Shot,1,-2,12,True
Terrance Ferguson,4,1,42,1,Alley Oop Dunk Shot,2,-6,23,True
Terrance Ferguson,4,10,6,1,Alley Oop Layup shot,0,2,-1,True
Terrance Ferguson,4,5,42,1,Cutting Dunk Shot,2,17,11,True
Terrance Ferguson,4,1,21,1,Cutting Layup Shot,0,3,-2,True
Terrance Ferguson,4,10,23,1,Driving Finger Roll Layup Shot,4,-46,17,True
Terrance Ferguson,4,11,42,0,Driving Floating Jump Shot,3,19,30,True
Terrance Ferguson,2,10,56,1,Driving Layup Shot,0,-6,0,True
Terrance Ferguson,1,1,31,0,Jump Shot,25,224,113,False
Terrance Ferguson,2,11,10,1,Jump Shot,24,-165,177,False
Terrance Ferguson,1,2,54,1,Jump Shot,22,-221,-5,False
Terrance Ferguson,2,11,1,0,Jump Shot,25,217,129,False
Terrance Ferguson,4,9,55,0,Jump Shot,24,171,172,False
Terrance Ferguson,3,0,2,0,Jump Shot,24,-234,75,False
Terrance Ferguson,1,1,28,0,Jump Shot,23,-231,6,False
Terrance Ferguson,2,11,20,0,Jump Shot,22,226,17,False
Terrance Ferguson,2,9,14,0,Jump Shot,24,234,61,False
Terrance Ferguson,1,1,5,1,Jump Shot,22,-227,-5,False
Terrance Ferguson,2,10,26,0,Jump Shot,22,-223,-18,False
Terrance Ferguson,4,0,23,0,Jump Shot,25,127,216,False
Terrance Ferguson,4,9,32,0,Jump Shot,25,-217,126,False
Terrance Ferguson,2,9,39,1,Jump Shot,23,-231,-4,False
Terrance Ferguson,4,10,33,1,Jump Shot,25,80,237,False
Terrance Ferguson,3,0,46,0,Jump Shot,23,232,2,False
Terrance Ferguson,3,2,1,0,Jump Shot,23,-236,-8,False
Terrance Ferguson,1,4,35,1,Jump Shot,22,-227,-23,False
Terrance Ferguson,2,10,17,0,Jump Shot,25,134,220,False
Terrance Ferguson,3,1,31,0,Jump Shot,23,-234,42,False
Terrance Ferguson,4,4,15,1,Jump Shot,16,3,162,True
Terrance Ferguson,2,10,26,0,Jump Shot,25,107,233,False
Terrance Ferguson,1,1,7,0,Jump Shot,23,231,20,False
Terrance Ferguson,4,1,31,1,Jump Shot,18,-6,185,True
Terrance Ferguson,4,1,54,0,Jump Shot,22,-225,44,False
Terrance Ferguson,4,0,22,1,Jump Shot,25,-169,197,False
Terrance Ferguson,4,1,2,0,Jump Shot,16,100,132,True
Terrance Ferguson,2,10,16,1,Jump Shot,23,-234,10,False
Terrance Ferguson,2,6,8,1,Jump Shot,25,214,143,False
Terrance Ferguson,3,0,29,0,Jump Shot,22,-225,4,False
Terrance Ferguson,4,4,1,1,Jump Shot,22,-226,-8,False
Terrance Ferguson,4,5,1,0,Jump Shot,25,119,225,False
Terrance Ferguson,4,7,26,1,Jump Shot,23,-231,11,False
Terrance Ferguson,4,11,0,0,Jump Shot,23,-234,49,False
Terrance Ferguson,4,6,4,0,Jump Shot,25,-105,230,False
Terrance Ferguson,2,8,18,0,Jump Shot,25,-79,247,False
Terrance Ferguson,1,0,26,0,Jump Shot,22,227,23,False
Terrance Ferguson,4,5,5,0,Jump Shot,25,-165,190,False
Terrance Ferguson,4,1,28,0,Jump Shot,25,-149,209,False
Terrance Ferguson,3,6,19,0,Jump Shot,25,-147,212,False
Terrance Ferguson,1,8,30,0,Jump Shot,24,-226,103,False
Terrance Ferguson,1,5,30,0,Jump Shot,27,150,225,False
Terrance Ferguson,4,11,49,0,Jump Shot,25,-142,215,False
Terrance Ferguson,4,7,33,0,Jump Shot,23,234,47,False
Terrance Ferguson,4,3,28,1,Jump Shot,23,-230,34,False
Terrance Ferguson,4,1,51,0,Jump Shot,26,-23,265,False
Terrance Ferguson,4,0,25,1,Jump Shot,26,173,205,False
Terrance Ferguson,4,9,31,0,Jump Shot,26,-123,230,False
Terrance Ferguson,4,4,59,0,Jump Shot,25,-137,212,False
Terrance Ferguson,4,3,59,1,Jump Shot,23,-230,18,False
Terrance Ferguson,4,10,7,0,Jump Shot,23,222,65,False
Terrance Ferguson,2,8,56,0,Jump Shot,24,-105,224,False
Terrance Ferguson,2,9,49,1,Jump Shot,24,-156,185,False
Terrance Ferguson,4,9,42,1,Jump Shot,25,-159,193,False
Terrance Ferguson,3,0,25,0,Jump Shot,23,232,-6,False
Terrance Ferguson,3,2,8,0,Jump Shot,24,-212,119,False
Terrance Ferguson,4,11,26,0,Jump Shot,25,234,88,False
Terrance Ferguson,2,8,21,1,Jump Shot,25,-94,239,False
