name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Thomas Bryant,4,9,19,1,Alley Oop Dunk Shot,0,-3,6,True
Thomas Bryant,2,2,26,1,Cutting Dunk Shot,0,-7,5,True
Thomas Bryant,2,3,53,0,Fadeaway Jump Shot,18,111,148,True
Thomas Bryant,4,8,5,0,Jump Shot,25,195,161,False
Thomas Bryant,4,3,48,0,Jump Shot,22,-227,0,False
Thomas Bryant,3,0,9,0,Jump Shot,25,66,248,False
Thomas Bryant,4,0,29,0,Jump Shot,24,-226,88,False
Thomas Bryant,2,4,36,0,Jump Shot,26,-131,231,False
Thomas Bryant,4,6,30,0,Jump Shot,23,232,40,False
Thomas Bryant,4,0,42,0,Jump Shot,20,135,152,True
Thomas Bryant,4,1,28,1,Jump Shot,16,163,16,True
Thomas Bryant,4,0,29,0,Jump Shot,22,-224,0,False
Thomas Bryant,4,0,28,0,Jump Shot,26,-114,241,False
Thomas Bryant,4,0,45,1,Jump Shot,26,135,226,False
Thomas Bryant,4,10,54,1,Pullup Jump shot,19,-74,183,True
Thomas Bryant,4,0,39,0,Pullup Jump shot,26,-63,260,False
Thomas Bryant,4,1,54,1,Reverse Layup Shot,1,-8,15,True
Thomas Bryant,2,6,59,0,Running Alley Oop Dunk Shot,1,3,19,True
Thomas Bryant,2,0,57,1,Running Dunk Shot,2,6,22,True
Thomas Bryant,4,0,38,1,Running Layup Shot,1,-8,6,True
Thomas Bryant,4,2,21,0,Turnaround Hook Shot,5,-51,17,True
