name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Tim Frazier,3,9,47,1,Alley Oop Dunk Shot,2,-9,27,True
Tim Frazier,3,5,20,1,Cutting Layup Shot,1,0,12,True
Tim Frazier,4,1,17,1,Cutting Layup Shot,2,-8,19,True
Tim Frazier,4,6,53,0,Driving Bank Hook Shot,8,13,79,True
Tim Frazier,2,9,42,0,Driving Finger Roll Layup Shot,1,4,17,True
Tim Frazier,2,0,0,1,Driving Finger Roll Layup Shot,2,-4,20,True
Tim Frazier,3,3,23,1,Driving Floating Bank Jump Shot,11,-101,49,True
Tim Frazier,4,11,31,1,Driving Floating Bank Jump Shot,19,85,173,True
Tim Frazier,2,9,39,0,Driving Floating Jump Shot,1,2,17,True
Tim Frazier,1,2,10,1,Driving Floating Jump Shot,10,-14,105,True
Tim Frazier,2,0,0,0,Driving Floating Jump Shot,34,110,331,False
Tim Frazier,3,1,2,1,Driving Floating Jump Shot,12,4,125,True
Tim Frazier,2,11,46,1,Driving Floating Jump Shot,4,5,41,True
Tim Frazier,4,5,19,0,Driving Floating Jump Shot,14,-103,100,True
Tim Frazier,2,9,44,0,Driving Floating Jump Shot,3,-4,38,True
Tim Frazier,3,8,13,0,Driving Floating Jump Shot,6,57,25,True
Tim Frazier,1,0,0,0,Driving Floating Jump Shot,10,57,86,True
Tim Frazier,4,9,51,0,Driving Floating Jump Shot,10,15,102,True
Tim Frazier,4,10,14,0,Driving Floating Jump Shot,6,30,57,True
Tim Frazier,1,3,57,0,Driving Hook Shot,10,100,29,True
Tim Frazier,4,4,26,1,Driving Layup Shot,2,-19,7,True
Tim Frazier,2,0,27,0,Driving Layup Shot,2,-4,29,True
Tim Frazier,4,11,6,0,Driving Layup Shot,6,68,-6,True
Tim Frazier,4,10,31,1,Driving Layup Shot,2,3,21,True
Tim Frazier,3,4,59,1,Driving Layup Shot,0,0,5,True
Tim Frazier,2,8,1,0,Driving Layup Shot,4,-16,41,True
Tim Frazier,1,1,2,0,Driving Layup Shot,2,14,25,True
Tim Frazier,2,5,57,1,Driving Layup Shot,1,10,6,True
Tim Frazier,4,6,27,0,Driving Layup Shot,3,33,-6,True
Tim Frazier,2,9,0,0,Driving Layup Shot,9,-16,91,True
Tim Frazier,4,4,40,1,Driving Layup Shot,0,-4,8,True
Tim Frazier,1,0,16,0,Driving Layup Shot,3,-6,33,True
Tim Frazier,2,11,34,0,Driving Layup Shot,3,19,29,True
Tim Frazier,2,7,12,1,Finger Roll Layup Shot,2,1,20,True
Tim Frazier,2,10,56,0,Floating Jump shot,12,27,117,True
Tim Frazier,3,6,38,1,Floating Jump shot,7,51,61,True
Tim Frazier,4,7,58,0,Floating Jump shot,7,-4,72,True
Tim Frazier,4,9,42,0,Floating Jump shot,14,68,126,True
Tim Frazier,3,7,28,1,Floating Jump shot,13,32,135,True
Tim Frazier,3,1,39,1,Jump Bank Shot,2,-22,13,True
