name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Timofey Mozgov,3,10,37,1,Alley Oop Dunk Shot,1,-2,16,True
Timofey Mozgov,4,5,6,1,Cutting Dunk Shot,3,3,36,True
Timofey Mozgov,4,2,53,1,Cutting Dunk Shot,1,12,15,True
Timofey Mozgov,4,6,6,1,Cutting Dunk Shot,0,-6,-1,True
Timofey Mozgov,2,5,41,1,Cutting Dunk Shot,0,3,7,True
Timofey Mozgov,2,7,58,1,Cutting Dunk Shot,1,6,9,True
Timofey Mozgov,4,0,17,1,Cutting Dunk Shot,1,9,6,True
Timofey Mozgov,4,1,36,1,Cutting Dunk Shot,1,3,14,True
Timofey Mozgov,3,9,12,1,Cutting Dunk Shot,1,3,15,True
Timofey Mozgov,1,8,56,1,Cutting Dunk Shot,1,2,15,True
Timofey Mozgov,4,2,38,1,Cutting Dunk Shot,0,0,0,True
Timofey Mozgov,2,4,44,1,Cutting Dunk Shot,0,-3,-2,True
Timofey Mozgov,3,10,30,0,Cutting Layup Shot,1,-16,-1,True
Timofey Mozgov,1,11,21,1,Cutting Layup Shot,0,-1,2,True
Timofey Mozgov,2,8,22,1,Cutting Layup Shot,0,-6,-1,True
Timofey Mozgov,3,9,11,1,Cutting Layup Shot,3,30,20,True
Timofey Mozgov,3,10,38,1,Cutting Layup Shot,1,6,11,True
Timofey Mozgov,2,9,3,1,Cutting Layup Shot,2,-6,20,True
Timofey Mozgov,4,11,36,0,Driving Finger Roll Layup Shot,1,12,6,True
Timofey Mozgov,2,7,37,0,Driving Hook Shot,5,-57,9,True
Timofey Mozgov,4,4,46,0,Driving Layup Shot,3,28,13,True
Timofey Mozgov,4,3,49,1,Dunk Shot,1,-13,-4,True
Timofey Mozgov,3,0,24,1,Dunk Shot,2,-15,17,True
Timofey Mozgov,1,3,20,1,Dunk Shot,0,6,4,True
Timofey Mozgov,2,9,41,1,Dunk Shot,0,0,5,True
Timofey Mozgov,1,10,7,1,Dunk Shot,0,-6,1,True
Timofey Mozgov,4,1,6,1,Hook Shot,6,11,68,True
Timofey Mozgov,2,10,35,1,Hook Shot,5,-23,48,True
Timofey Mozgov,2,8,44,1,Hook Shot,1,-9,8,True
Timofey Mozgov,2,7,53,1,Hook Shot,1,0,16,True
Timofey Mozgov,4,10,42,0,Hook Shot,2,3,29,True
Timofey Mozgov,3,3,56,1,Hook Shot,4,-46,10,True
Timofey Mozgov,3,3,23,1,Jump Shot,23,230,14,False
Timofey Mozgov,4,4,40,1,Jump Shot,23,231,16,False
Timofey Mozgov,4,8,14,0,Jump Shot,21,206,55,True
Timofey Mozgov,4,7,35,0,Jump Shot,22,225,15,False
Timofey Mozgov,2,6,49,0,Jump Shot,12,22,120,True
Timofey Mozgov,2,5,58,0,Jump Shot,22,-227,4,False
Timofey Mozgov,4,10,47,0,Jump Shot,23,230,-6,False
Timofey Mozgov,1,11,47,0,Jump Shot,81,-1,816,False
Timofey Mozgov,3,11,37,0,Jump Shot,16,-145,80,True
Timofey Mozgov,3,8,6,0,Jump Shot,25,233,97,False
Timofey Mozgov,3,10,17,0,Jump Shot,23,-234,46,False
Timofey Mozgov,2,8,2,0,Jump Shot,22,-223,-18,False
Timofey Mozgov,3,8,29,0,Jump Shot,22,222,52,False
Timofey Mozgov,2,9,15,0,Jump Shot,23,-230,10,False
Timofey Mozgov,3,8,38,0,Jump Shot,23,236,17,False
Timofey Mozgov,2,7,55,1,Jump Shot,23,233,27,False
Timofey Mozgov,1,10,49,0,Jump Shot,14,-114,84,True
Timofey Mozgov,1,6,34,0,Jump Shot,23,234,23,False
Timofey Mozgov,2,10,42,1,Jump Shot,23,-231,50,False
Timofey Mozgov,2,10,48,1,Jump Shot,20,-207,20,True
Timofey Mozgov,1,10,52,0,Jump Shot,22,-225,-11,False
Timofey Mozgov,3,9,52,0,Jump Shot,25,-49,247,False
Timofey Mozgov,2,9,27,0,Layup Shot,1,0,17,True
Timofey Mozgov,1,6,17,0,Layup Shot,3,-25,21,True
Timofey Mozgov,2,11,0,0,Layup Shot,1,2,19,True
