name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Tony Snell,3,7,16,1,Alley Oop Layup shot,1,-4,17,True
Tony Snell,1,4,24,1,Cutting Dunk Shot,0,-5,6,True
Tony Snell,3,3,34,1,Cutting Dunk Shot,0,-1,6,True
Tony Snell,2,10,47,1,Cutting Dunk Shot,1,-2,11,True
Tony Snell,3,10,17,1,Cutting Layup Shot,1,6,8,True
Tony Snell,1,6,47,1,Cutting Layup Shot,1,4,10,True
Tony Snell,3,9,42,1,Cutting Layup Shot,2,-14,18,True
Tony Snell,4,3,14,0,Cutting Layup Shot,1,-8,17,True
Tony Snell,1,4,15,0,Cutting Layup Shot,4,-25,39,True
Tony Snell,3,3,16,0,Driving Dunk Shot,1,6,13,True
Tony Snell,1,9,53,1,Driving Dunk Shot,0,-1,4,True
Tony Snell,1,0,48,1,Driving Dunk Shot,0,3,6,True
Tony Snell,1,7,44,0,Driving Dunk Shot,1,6,13,True
Tony Snell,1,2,26,1,Driving Dunk Shot,1,3,14,True
Tony Snell,4,2,29,0,Driving Dunk Shot,2,13,17,True
Tony Snell,1,1,2,1,Driving Dunk Shot,1,9,9,True
Tony Snell,2,11,39,1,Driving Finger Roll Layup Shot,2,4,27,True
Tony Snell,4,1,42,1,Driving Finger Roll Layup Shot,1,18,8,True
Tony Snell,2,4,58,1,Driving Finger Roll Layup Shot,3,18,26,True
Tony Snell,4,11,4,1,Driving Finger Roll Layup Shot,0,-1,6,True
Tony Snell,4,10,18,0,Driving Finger Roll Layup Shot,3,-24,29,True
Tony Snell,4,2,19,1,Driving Floating Bank Jump Shot,4,35,22,True
Tony Snell,2,4,14,1,Driving Floating Bank Jump Shot,1,-6,12,True
Tony Snell,2,5,40,0,Driving Floating Bank Jump Shot,10,99,31,True
Tony Snell,3,8,24,1,Driving Floating Jump Shot,8,38,73,True
Tony Snell,3,6,32,0,Driving Floating Jump Shot,8,44,71,True
Tony Snell,1,4,54,1,Driving Floating Jump Shot,12,124,-1,True
Tony Snell,2,1,1,1,Driving Floating Jump Shot,13,-45,131,True
Tony Snell,4,3,4,0,Driving Floating Jump Shot,8,45,75,True
Tony Snell,2,9,50,1,Driving Floating Jump Shot,12,-58,116,True
Tony Snell,2,1,37,0,Driving Floating Jump Shot,9,-13,97,True
Tony Snell,3,7,49,0,Driving Floating Jump Shot,6,-36,60,True
Tony Snell,1,8,38,0,Driving Floating Jump Shot,10,31,96,True
Tony Snell,2,10,40,1,Driving Floating Jump Shot,12,60,115,True
Tony Snell,2,0,52,0,Driving Floating Jump Shot,8,32,74,True
Tony Snell,1,11,7,0,Driving Layup Shot,0,4,7,True
Tony Snell,2,0,37,1,Driving Layup Shot,0,2,8,True
Tony Snell,1,8,33,0,Driving Layup Shot,4,8,45,True
Tony Snell,1,11,3,0,Driving Layup Shot,1,-3,15,True
Tony Snell,3,2,46,1,Driving Layup Shot,1,-8,17,True
Tony Snell,4,5,9,1,Driving Layup Shot,1,0,11,True
Tony Snell,1,3,25,0,Driving Layup Shot,3,0,34,True
Tony Snell,3,6,4,1,Driving Layup Shot,0,-3,0,True
Tony Snell,4,7,6,0,Driving Layup Shot,2,-3,24,True
Tony Snell,2,8,29,1,Driving Layup Shot,3,-38,7,True
Tony Snell,2,4,18,0,Driving Layup Shot,4,32,36,True
Tony Snell,4,4,11,1,Driving Layup Shot,2,1,26,True
Tony Snell,2,10,50,1,Driving Layup Shot,1,5,16,True
Tony Snell,2,2,34,0,Driving Layup Shot,1,-4,11,True
Tony Snell,2,10,38,1,Driving Layup Shot,0,0,1,True
Tony Snell,3,11,15,0,Driving Layup Shot,2,-17,22,True
Tony Snell,4,3,39,0,Driving Layup Shot,6,-24,59,True
Tony Snell,1,5,52,0,Driving Layup Shot,5,56,16,True
Tony Snell,2,9,12,1,Driving Layup Shot,1,-10,9,True
Tony Snell,1,6,10,1,Driving Layup Shot,1,-13,10,True
Tony Snell,2,3,31,0,Driving Layup Shot,2,6,23,True
Tony Snell,1,9,35,1,Driving Layup Shot,1,-4,11,True
Tony Snell,1,6,6,0,Driving Layup Shot,1,10,7,True
Tony Snell,3,7,4,0,Driving Layup Shot,1,9,13,True
Tony Snell,2,0,27,0,Driving Layup Shot,3,36,-1,True
Tony Snell,3,8,16,0,Driving Layup Shot,3,11,31,True
Tony Snell,2,9,58,1,Driving Layup Shot,3,-27,15,True
Tony Snell,2,11,8,1,Driving Reverse Layup Shot,0,5,8,True
Tony Snell,4,11,47,1,Driving Reverse Layup Shot,1,3,16,True
Tony Snell,3,5,19,1,Dunk Shot,0,2,7,True
Tony Snell,2,3,47,1,Fadeaway Jump Shot,11,119,-10,True
Tony Snell,1,0,2,0,Fadeaway Jump Shot,25,227,122,False
Tony Snell,2,5,33,1,Fadeaway Jump Shot,13,-135,-20,True
Tony Snell,3,5,39,1,Fadeaway Jump Shot,11,-84,73,True
Tony Snell,2,1,31,0,Floating Jump shot,5,-20,46,True
Tony Snell,2,9,14,0,Floating Jump shot,10,43,101,True
Tony Snell,1,10,33,1,Floating Jump shot,11,-9,119,True
Tony Snell,1,0,23,1,Floating Jump shot,1,-1,16,True
Tony Snell,4,7,36,1,Hook Shot,5,51,13,True
Tony Snell,1,6,9,1,Jump Bank Shot,21,190,106,True
Tony Snell,3,5,24,0,Jump Shot,26,168,208,False
Tony Snell,1,5,49,0,Jump Shot,25,108,236,False
Tony Snell,2,5,30,1,Jump Shot,25,-106,227,False
Tony Snell,4,4,15,0,Jump Shot,26,82,257,False
Tony Snell,1,10,28,0,Jump Shot,24,-225,97,False
Tony Snell,1,11,27,0,Jump Shot,20,-96,178,True
Tony Snell,2,5,9,0,Jump Shot,22,-226,-5,False
Tony Snell,4,11,25,0,Jump Shot,25,109,235,False
Tony Snell,1,3,34,1,Jump Shot,27,-13,274,False
Tony Snell,3,9,33,1,Jump Shot,22,-228,3,False
Tony Snell,2,2,52,0,Jump Shot,22,-226,0,False
Tony Snell,4,6,1,0,Jump Shot,22,228,0,False
Tony Snell,3,11,11,1,Jump Shot,17,-69,163,True
Tony Snell,1,10,36,0,Jump Shot,23,228,58,False
Tony Snell,2,3,52,0,Jump Shot,25,131,217,False
Tony Snell,4,4,5,0,Jump Shot,23,224,72,False
Tony Snell,1,4,5,0,Jump Shot,25,120,223,False
Tony Snell,1,8,30,0,Jump Shot,22,225,41,False
Tony Snell,3,10,49,1,Jump Shot,27,133,240,False
Tony Snell,3,4,17,1,Jump Shot,26,-86,255,False
Tony Snell,1,2,9,0,Jump Shot,23,232,54,False
Tony Snell,1,4,3,1,Jump Shot,26,123,239,False
Tony Snell,2,0,33,1,Jump Shot,25,223,118,False
Tony Snell,1,8,19,1,Jump Shot,25,114,226,False
Tony Snell,1,7,19,0,Jump Shot,25,-16,252,False
Tony Snell,1,7,14,1,Jump Shot,22,-227,4,False
Tony Snell,1,2,14,1,Jump Shot,17,95,150,True
Tony Snell,3,3,0,0,Jump Shot,27,-28,274,False
Tony Snell,4,3,38,1,Jump Shot,13,134,-20,True
Tony Snell,1,5,14,0,Jump Shot,20,-134,155,True
Tony Snell,2,0,29,0,Jump Shot,26,52,261,False
Tony Snell,3,1,17,0,Jump Shot,28,-168,232,False
Tony Snell,3,1,58,0,Jump Shot,22,-226,42,False
Tony Snell,2,5,25,0,Jump Shot,25,8,257,False
Tony Snell,1,8,45,0,Jump Shot,25,81,246,False
Tony Snell,1,10,30,1,Jump Shot,26,-112,241,False
Tony Snell,4,5,54,0,Jump Shot,24,14,246,False
Tony Snell,2,4,29,1,Jump Shot,26,-214,149,False
Tony Snell,4,5,15,0,Jump Shot,25,217,138,False
Tony Snell,2,8,10,1,Jump Shot,26,-119,241,False
Tony Snell,1,3,3,1,Jump Shot,27,193,195,False
Tony Snell,1,4,44,0,Jump Shot,25,-226,107,False
Tony Snell,1,2,37,1,Jump Shot,23,230,43,False
Tony Snell,2,10,13,1,Jump Shot,25,155,205,False
Tony Snell,1,5,36,0,Jump Shot,25,73,248,False
Tony Snell,1,2,29,0,Jump Shot,23,232,31,False
Tony Snell,2,10,26,1,Jump Shot,22,226,22,False
Tony Snell,3,5,29,0,Jump Shot,25,214,137,False
Tony Snell,4,11,17,0,Jump Shot,22,-228,8,False
Tony Snell,4,9,47,0,Jump Shot,26,119,241,False
Tony Snell,1,1,21,1,Jump Shot,26,-164,204,False
Tony Snell,3,0,56,1,Jump Shot,26,-10,266,False
Tony Snell,3,3,56,1,Jump Shot,28,193,205,False
Tony Snell,4,4,8,1,Jump Shot,27,61,269,False
Tony Snell,1,1,4,0,Jump Shot,27,161,218,False
Tony Snell,4,8,21,0,Jump Shot,29,-163,242,False
Tony Snell,2,7,16,0,Jump Shot,27,-8,273,False
Tony Snell,4,11,23,0,Jump Shot,26,215,148,False
Tony Snell,1,9,27,0,Jump Shot,18,-131,131,True
Tony Snell,4,3,49,0,Jump Shot,20,-86,188,True
Tony Snell,1,5,45,0,Jump Shot,25,-161,204,False
Tony Snell,3,6,8,0,Jump Shot,23,-233,4,False
Tony Snell,3,4,28,0,Jump Shot,23,228,67,False
Tony Snell,3,3,32,1,Jump Shot,25,-166,195,False
Tony Snell,2,5,27,1,Jump Shot,20,-112,169,True
Tony Snell,2,4,3,0,Jump Shot,22,228,14,False
Tony Snell,1,11,45,0,Jump Shot,17,-119,122,True
Tony Snell,2,2,6,0,Jump Shot,26,223,138,False
Tony Snell,3,7,26,0,Jump Shot,22,-226,32,False
Tony Snell,2,5,45,0,Jump Shot,17,145,100,True
Tony Snell,1,9,31,0,Jump Shot,26,162,212,False
Tony Snell,2,4,4,0,Jump Shot,22,-226,6,False
Tony Snell,4,4,40,1,Jump Shot,25,-152,205,False
Tony Snell,2,2,56,0,Jump Shot,20,36,201,True
Tony Snell,1,8,14,1,Jump Shot,23,222,83,False
Tony Snell,4,2,33,0,Jump Shot,23,228,59,False
Tony Snell,3,3,58,0,Jump Shot,22,-222,9,False
Tony Snell,3,2,12,0,Jump Shot,24,187,165,False
Tony Snell,2,5,32,1,Jump Shot,17,171,38,True
Tony Snell,1,4,52,0,Jump Shot,24,-89,231,False
Tony Snell,4,3,29,0,Jump Shot,18,48,179,True
Tony Snell,3,10,17,1,Jump Shot,25,25,251,False
Tony Snell,1,9,40,0,Jump Shot,26,-81,256,False
Tony Snell,3,7,2,0,Jump Shot,25,122,222,False
Tony Snell,2,0,35,0,Jump Shot,24,227,83,False
Tony Snell,3,1,33,0,Jump Shot,26,-188,180,False
Tony Snell,1,0,54,0,Jump Shot,25,-220,122,False
Tony Snell,1,3,4,0,Jump Shot,25,226,121,False
Tony Snell,4,10,9,0,Jump Shot,27,52,273,False
Tony Snell,4,0,58,1,Jump Shot,26,-140,225,False
Tony Snell,1,2,36,1,Jump Shot,26,-73,257,False
Tony Snell,2,7,47,1,Jump Shot,27,-84,259,False
Tony Snell,2,5,57,0,Jump Shot,26,-76,252,False
Tony Snell,2,5,3,0,Jump Shot,23,-235,6,False
Tony Snell,2,0,50,1,Jump Shot,23,231,29,False
Tony Snell,3,8,26,1,Jump Shot,26,167,206,False
Tony Snell,3,6,20,0,Jump Shot,23,-237,12,False
Tony Snell,2,2,0,1,Jump Shot,22,-228,-6,False
Tony Snell,3,9,1,0,Jump Shot,26,193,185,False
Tony Snell,4,3,34,0,Jump Shot,24,226,83,False
Tony Snell,1,7,3,0,Jump Shot,25,231,110,False
Tony Snell,2,2,58,1,Jump Shot,25,156,199,False
Tony Snell,1,8,52,0,Jump Shot,25,-140,215,False
