name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Torrey Craig,1,2,4,0,Alley Oop Dunk Shot,0,-3,0,True
Torrey Craig,2,7,12,1,Alley Oop Dunk Shot,1,0,11,True
Torrey Craig,1,4,2,1,Cutting Dunk Shot,0,-3,4,True
Torrey Craig,2,8,23,1,Cutting Dunk Shot,0,-1,7,True
Torrey Craig,1,1,42,1,Cutting Dunk Shot,1,-8,8,True
Torrey Craig,2,9,58,1,Cutting Dunk Shot,1,-11,3,True
Torrey Craig,1,3,25,1,Cutting Dunk Shot,2,-11,20,True
Torrey Craig,1,0,40,1,Cutting Dunk Shot,2,8,20,True
Torrey Craig,3,4,4,1,Cutting Layup Shot,2,20,10,True
Torrey Craig,2,8,13,1,Cutting Layup Shot,2,-20,8,True
Torrey Craig,3,5,41,1,Cutting Layup Shot,1,-15,-1,True
Torrey Craig,2,2,41,1,Cutting Layup Shot,1,-17,10,True
Torrey Craig,1,1,1,1,Cutting Layup Shot,1,9,6,True
Torrey Craig,4,4,2,0,Cutting Layup Shot,1,-6,10,True
Torrey Craig,2,6,23,0,Driving Finger Roll Layup Shot,1,10,6,True
Torrey Craig,1,1,56,0,Driving Layup Shot,5,43,32,True
Torrey Craig,2,11,21,0,Driving Layup Shot,4,27,37,True
Torrey Craig,1,8,40,1,Driving Layup Shot,2,24,8,True
Torrey Craig,1,0,36,0,Driving Layup Shot,0,-2,7,True
Torrey Craig,4,8,39,0,Driving Layup Shot,1,-15,8,True
Torrey Craig,4,9,19,0,Driving Layup Shot,2,8,20,True
Torrey Craig,4,5,33,0,Driving Layup Shot,0,-3,7,True
Torrey Craig,2,6,21,0,Driving Layup Shot,2,27,13,True
Torrey Craig,2,6,21,1,Driving Layup Shot,2,14,16,True
Torrey Craig,4,8,19,1,Driving Layup Shot,1,4,12,True
Torrey Craig,2,10,59,0,Driving Layup Shot,2,-7,27,True
Torrey Craig,4,4,35,1,Driving Layup Shot,1,17,8,True
Torrey Craig,4,3,7,1,Driving Reverse Layup Shot,2,17,11,True
Torrey Craig,4,2,24,1,Dunk Shot,0,-2,1,True
Torrey Craig,4,2,51,1,Dunk Shot,0,-1,7,True
Torrey Craig,3,0,0,0,Fadeaway Jump Shot,6,5,64,True
Torrey Craig,3,3,39,0,Fadeaway Jump Shot,10,32,104,True
Torrey Craig,3,0,41,0,Jump Shot,25,-128,218,False
Torrey Craig,2,11,46,0,Jump Shot,25,-166,197,False
Torrey Craig,1,1,46,0,Jump Shot,23,222,64,False
Torrey Craig,4,7,2,0,Jump Shot,24,-227,80,False
Torrey Craig,1,1,55,0,Jump Shot,22,222,10,False
Torrey Craig,3,2,12,0,Jump Shot,23,232,47,False
Torrey Craig,1,7,46,1,Jump Shot,20,209,18,True
Torrey Craig,5,4,10,1,Jump Shot,23,232,47,False
