name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Trevor Ariza,3,6,2,0,Alley Oop Layup shot,1,-8,-6,True
Trevor Ariza,2,1,15,1,Cutting Dunk Shot,0,2,1,True
Trevor Ariza,2,6,8,1,Cutting Layup Shot,0,-5,-1,True
Trevor Ariza,3,8,40,1,Cutting Layup Shot,1,-8,12,True
Trevor Ariza,2,7,29,1,Cutting Layup Shot,0,0,0,True
Trevor Ariza,2,2,45,1,Cutting Layup Shot,2,14,21,True
Trevor Ariza,4,4,50,1,Cutting Layup Shot,0,-3,0,True
Trevor Ariza,1,11,5,0,Cutting Layup Shot,0,0,-2,True
Trevor Ariza,2,7,35,1,Cutting Layup Shot,4,4,42,True
Trevor Ariza,3,6,56,0,Cutting Layup Shot,3,-36,17,True
Trevor Ariza,3,8,30,0,Cutting Layup Shot,4,14,43,True
Trevor Ariza,1,6,9,0,Driving Bank Hook Shot,8,46,73,True
Trevor Ariza,3,8,36,1,Driving Dunk Shot,0,7,0,True
Trevor Ariza,4,5,56,1,Driving Dunk Shot,0,0,8,True
Trevor Ariza,1,11,8,1,Driving Dunk Shot,1,10,2,True
Trevor Ariza,3,3,46,1,Driving Dunk Shot,0,-3,6,True
Trevor Ariza,4,0,20,1,Driving Dunk Shot,0,5,4,True
Trevor Ariza,4,5,6,1,Driving Finger Roll Layup Shot,1,-13,13,True
Trevor Ariza,4,1,16,1,Driving Finger Roll Layup Shot,0,0,7,True
Trevor Ariza,3,6,21,1,Driving Finger Roll Layup Shot,1,4,12,True
Trevor Ariza,1,11,34,1,Driving Finger Roll Layup Shot,2,-23,9,True
Trevor Ariza,3,8,2,1,Driving Finger Roll Layup Shot,1,10,11,True
Trevor Ariza,2,3,4,1,Driving Finger Roll Layup Shot,1,-9,13,True
Trevor Ariza,1,4,25,1,Driving Finger Roll Layup Shot,0,-3,6,True
Trevor Ariza,2,7,53,1,Driving Finger Roll Layup Shot,2,29,6,True
Trevor Ariza,1,3,14,0,Driving Floating Bank Jump Shot,7,33,64,True
