name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Tristan Thompson,1,1,2,1,Alley Oop Dunk Shot,2,17,24,True
Tristan Thompson,2,11,46,0,Alley Oop Dunk Shot,2,8,20,True
Tristan Thompson,1,2,56,1,Alley Oop Dunk Shot,1,-5,15,True
Tristan Thompson,2,9,0,1,Alley Oop Dunk Shot,1,1,19,True
Tristan Thompson,1,3,20,1,Alley Oop Dunk Shot,1,2,10,True
Tristan Thompson,2,1,55,0,Alley Oop Dunk Shot,0,4,-1,True
Tristan Thompson,4,10,33,0,Alley Oop Dunk Shot,0,-3,0,True
Tristan Thompson,2,8,21,1,Alley Oop Dunk Shot,1,-16,6,True
Tristan Thompson,1,7,3,1,Alley Oop Dunk Shot,0,0,2,True
Tristan Thompson,1,7,17,1,Alley Oop Dunk Shot,1,9,9,True
Tristan Thompson,3,0,2,1,Alley Oop Dunk Shot,1,9,15,True
Tristan Thompson,1,1,5,1,Alley Oop Dunk Shot,1,-11,4,True
Tristan Thompson,1,4,37,1,Alley Oop Dunk Shot,0,3,9,True
Tristan Thompson,2,1,38,1,Alley Oop Dunk Shot,1,14,3,True
Tristan Thompson,2,1,14,1,Alley Oop Dunk Shot,1,2,16,True
Tristan Thompson,1,2,38,0,Alley Oop Dunk Shot,3,10,34,True
Tristan Thompson,1,6,49,1,Alley Oop Dunk Shot,1,-2,15,True
Tristan Thompson,2,9,2,1,Alley Oop Dunk Shot,1,-11,5,True
Tristan Thompson,2,11,17,1,Alley Oop Layup shot,1,3,19,True
Tristan Thompson,1,0,0,0,Alley Oop Layup shot,2,13,17,True
Tristan Thompson,2,11,41,0,Alley Oop Layup shot,3,22,21,True
Tristan Thompson,1,4,5,1,Alley Oop Layup shot,0,-2,1,True
Tristan Thompson,4,9,44,1,Alley Oop Layup shot,2,11,25,True
Tristan Thompson,2,3,9,0,Alley Oop Layup shot,3,-1,37,True
Tristan Thompson,3,3,39,0,Alley Oop Layup shot,2,12,24,True
Tristan Thompson,1,0,36,1,Alley Oop Layup shot,1,-16,8,True
Tristan Thompson,1,1,42,1,Alley Oop Layup shot,1,11,-1,True
Tristan Thompson,3,11,41,1,Alley Oop Layup shot,0,-5,8,True
Tristan Thompson,1,9,52,0,Alley Oop Layup shot,2,14,17,True
Tristan Thompson,2,11,36,0,Alley Oop Layup shot,1,-3,15,True
Tristan Thompson,3,8,47,1,Cutting Dunk Shot,1,6,13,True
Tristan Thompson,4,10,27,1,Cutting Dunk Shot,0,-2,6,True
Tristan Thompson,4,8,15,1,Cutting Dunk Shot,0,8,1,True
Tristan Thompson,2,5,59,1,Cutting Dunk Shot,0,4,2,True
Tristan Thompson,1,1,19,1,Cutting Dunk Shot,1,2,17,True
Tristan Thompson,4,4,57,1,Cutting Dunk Shot,0,6,-4,True
Tristan Thompson,1,11,31,0,Cutting Dunk Shot,0,0,7,True
Tristan Thompson,3,6,38,1,Cutting Dunk Shot,1,12,9,True
Tristan Thompson,3,6,6,0,Cutting Layup Shot,1,-4,11,True
Tristan Thompson,4,8,9,1,Cutting Layup Shot,2,23,10,True
Tristan Thompson,3,2,18,1,Cutting Layup Shot,1,-12,7,True
Tristan Thompson,4,6,12,1,Cutting Layup Shot,0,-3,2,True
Tristan Thompson,3,9,13,1,Cutting Layup Shot,0,-1,7,True
Tristan Thompson,2,2,58,1,Cutting Layup Shot,2,-6,20,True
Tristan Thompson,2,2,20,1,Cutting Layup Shot,1,-3,10,True
Tristan Thompson,3,3,30,1,Cutting Layup Shot,0,-8,4,True
Tristan Thompson,4,5,22,1,Cutting Layup Shot,0,2,7,True
Tristan Thompson,4,0,53,1,Cutting Layup Shot,1,3,18,True
Tristan Thompson,1,8,24,1,Cutting Layup Shot,0,-1,8,True
Tristan Thompson,1,2,7,1,Driving Dunk Shot,0,-1,5,True
Tristan Thompson,2,3,55,0,Driving Floating Jump Shot,7,-63,37,True
Tristan Thompson,3,10,34,0,Driving Floating Jump Shot,9,-2,99,True
Tristan Thompson,1,5,0,0,Driving Floating Jump Shot,6,-13,62,True
Tristan Thompson,1,9,35,0,Driving Floating Jump Shot,9,6,90,True
Tristan Thompson,1,2,32,0,Driving Floating Jump Shot,7,10,75,True
Tristan Thompson,3,10,21,0,Driving Floating Jump Shot,5,9,55,True
Tristan Thompson,1,0,33,1,Driving Floating Jump Shot,8,-41,78,True
Tristan Thompson,3,5,16,1,Driving Hook Shot,6,33,59,True
Tristan Thompson,1,1,57,0,Driving Hook Shot,8,-44,75,True
Tristan Thompson,1,11,28,1,Driving Hook Shot,6,36,57,True
Tristan Thompson,1,4,14,0,Driving Layup Shot,0,6,6,True
Tristan Thompson,1,7,22,1,Driving Layup Shot,1,-9,7,True
Tristan Thompson,2,6,29,0,Driving Layup Shot,3,8,37,True
Tristan Thompson,1,6,55,1,Driving Layup Shot,1,6,14,True
Tristan Thompson,4,11,24,1,Driving Layup Shot,2,-22,-1,True
Tristan Thompson,3,0,5,1,Driving Layup Shot,2,-8,23,True
Tristan Thompson,2,3,54,0,Driving Layup Shot,0,0,0,True
Tristan Thompson,3,1,51,1,Driving Layup Shot,2,0,21,True
Tristan Thompson,1,3,20,1,Driving Reverse Layup Shot,0,9,2,True
Tristan Thompson,1,8,29,1,Dunk Shot,1,-5,13,True
Tristan Thompson,2,7,58,1,Dunk Shot,1,7,11,True
Tristan Thompson,4,11,35,1,Dunk Shot,0,0,-3,True
Tristan Thompson,2,1,54,1,Dunk Shot,1,7,13,True
