name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Tyler Ennis,3,8,22,0,Cutting Layup Shot,1,-10,14,True
Tyler Ennis,4,7,6,1,Cutting Layup Shot,2,14,17,True
Tyler Ennis,2,9,31,0,Cutting Layup Shot,2,-14,19,True
Tyler Ennis,4,1,21,1,Cutting Layup Shot,2,-3,24,True
Tyler Ennis,1,0,44,1,Driving Bank Hook Shot,3,-26,15,True
Tyler Ennis,4,4,26,1,Driving Bank Hook Shot,7,45,55,True
Tyler Ennis,2,5,32,0,Driving Finger Roll Layup Shot,2,-7,28,True
Tyler Ennis,2,8,26,1,Driving Finger Roll Layup Shot,3,4,37,True
Tyler Ennis,3,4,24,0,Driving Finger Roll Layup Shot,2,11,22,True
Tyler Ennis,2,5,14,1,Driving Finger Roll Layup Shot,0,2,5,True
Tyler Ennis,1,3,30,1,Driving Finger Roll Layup Shot,4,-9,41,True
Tyler Ennis,1,0,20,0,Driving Finger Roll Layup Shot,2,-8,19,True
Tyler Ennis,4,0,32,1,Driving Finger Roll Layup Shot,2,-14,25,True
Tyler Ennis,2,8,40,1,Driving Floating Jump Shot,9,39,82,True
Tyler Ennis,4,10,13,1,Driving Floating Jump Shot,9,3,95,True
Tyler Ennis,4,4,20,0,Driving Floating Jump Shot,11,-91,66,True
Tyler Ennis,1,0,7,1,Driving Floating Jump Shot,2,-25,12,True
Tyler Ennis,4,0,32,0,Driving Floating Jump Shot,9,-30,95,True
Tyler Ennis,4,7,58,1,Driving Floating Jump Shot,16,95,130,True
Tyler Ennis,1,1,23,1,Driving Floating Jump Shot,7,30,73,True
Tyler Ennis,3,4,54,0,Driving Floating Jump Shot,8,33,73,True
Tyler Ennis,1,1,57,0,Driving Floating Jump Shot,15,-73,134,True
Tyler Ennis,1,3,36,1,Driving Hook Shot,3,8,34,True
Tyler Ennis,4,8,41,0,Driving Hook Shot,2,-6,27,True
Tyler Ennis,2,11,41,0,Driving Hook Shot,4,47,9,True
Tyler Ennis,2,5,9,1,Driving Hook Shot,4,11,41,True
Tyler Ennis,4,8,9,0,Driving Hook Shot,3,35,14,True
Tyler Ennis,1,0,33,0,Driving Hook Shot,5,-3,54,True
Tyler Ennis,4,4,55,1,Driving Hook Shot,3,2,38,True
Tyler Ennis,3,2,1,0,Driving Hook Shot,7,-6,74,True
Tyler Ennis,2,2,28,0,Driving Layup Shot,2,11,23,True
Tyler Ennis,4,11,18,0,Driving Layup Shot,3,-18,27,True
Tyler Ennis,2,10,3,0,Driving Layup Shot,1,16,10,True
Tyler Ennis,3,9,5,1,Driving Layup Shot,0,2,6,True
Tyler Ennis,3,9,59,1,Driving Layup Shot,2,2,20,True
Tyler Ennis,3,9,38,0,Driving Layup Shot,3,-25,31,True
Tyler Ennis,2,8,53,0,Driving Layup Shot,2,14,22,True
