name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Tyler Johnson,3,7,7,1,Alley Oop Dunk Shot,1,-10,16,True
Tyler Johnson,3,7,37,1,Alley Oop Dunk Shot,1,9,8,True
Tyler Johnson,2,2,1,1,Alley Oop Dunk Shot,1,9,6,True
Tyler Johnson,3,4,48,1,Alley Oop Layup shot,1,-13,11,True
Tyler Johnson,1,3,28,1,Cutting Dunk Shot,1,11,9,True
Tyler Johnson,1,6,13,1,Cutting Dunk Shot,2,14,15,True
Tyler Johnson,2,1,26,1,Cutting Dunk Shot,0,7,6,True
Tyler Johnson,3,1,35,1,Cutting Dunk Shot,0,-3,7,True
Tyler Johnson,4,10,29,1,Cutting Finger Roll Layup Shot,2,-5,20,True
Tyler Johnson,3,7,55,0,Cutting Layup Shot,2,-25,15,True
Tyler Johnson,1,0,4,1,Cutting Layup Shot,1,0,11,True
Tyler Johnson,3,10,19,1,Cutting Layup Shot,0,-7,2,True
Tyler Johnson,3,4,6,1,Cutting Layup Shot,3,-31,2,True
Tyler Johnson,2,6,7,1,Cutting Layup Shot,1,7,9,True
Tyler Johnson,1,0,14,1,Cutting Layup Shot,1,-14,13,True
Tyler Johnson,4,11,13,1,Cutting Layup Shot,0,5,4,True
Tyler Johnson,4,10,51,1,Cutting Layup Shot,1,-11,10,True
Tyler Johnson,2,11,7,1,Cutting Layup Shot,1,-13,7,True
Tyler Johnson,2,3,26,0,Cutting Layup Shot,4,40,22,True
Tyler Johnson,2,11,26,0,Cutting Layup Shot,1,-3,14,True
Tyler Johnson,3,11,48,1,Cutting Layup Shot,2,-2,21,True
Tyler Johnson,1,4,29,1,Driving Dunk Shot,0,9,4,True
Tyler Johnson,1,1,43,1,Driving Dunk Shot,0,0,8,True
Tyler Johnson,2,6,17,1,Driving Dunk Shot,3,-3,38,True
Tyler Johnson,4,7,7,1,Driving Dunk Shot,0,-2,4,True
Tyler Johnson,1,9,32,1,Driving Dunk Shot,0,3,5,True
Tyler Johnson,1,6,57,1,Driving Dunk Shot,1,9,6,True
Tyler Johnson,3,10,19,1,Driving Finger Roll Layup Shot,1,15,10,True
Tyler Johnson,4,6,32,1,Driving Finger Roll Layup Shot,1,-4,13,True
Tyler Johnson,1,11,28,0,Driving Finger Roll Layup Shot,1,9,10,True
Tyler Johnson,4,10,47,0,Driving Finger Roll Layup Shot,1,8,17,True
Tyler Johnson,3,2,22,1,Driving Floating Bank Jump Shot,7,-54,48,True
Tyler Johnson,1,5,59,1,Driving Floating Bank Jump Shot,10,-62,81,True
Tyler Johnson,1,9,9,1,Driving Floating Jump Shot,7,3,78,True
Tyler Johnson,3,2,48,1,Driving Floating Jump Shot,8,-52,62,True
Tyler Johnson,1,4,4,1,Driving Floating Jump Shot,12,-57,109,True
Tyler Johnson,3,10,36,0,Driving Floating Jump Shot,4,6,46,True
Tyler Johnson,2,2,39,1,Driving Floating Jump Shot,7,-51,55,True
Tyler Johnson,2,2,14,0,Driving Floating Jump Shot,12,-19,125,True
Tyler Johnson,2,9,13,0,Driving Floating Jump Shot,6,36,53,True
Tyler Johnson,3,8,11,0,Driving Floating Jump Shot,9,-32,89,True
Tyler Johnson,2,2,56,0,Driving Floating Jump Shot,10,31,102,True
Tyler Johnson,1,4,30,1,Driving Floating Jump Shot,5,-27,43,True
Tyler Johnson,1,7,13,0,Driving Floating Jump Shot,10,14,104,True
Tyler Johnson,3,10,35,0,Driving Floating Jump Shot,6,-47,49,True
Tyler Johnson,1,5,4,1,Driving Floating Jump Shot,9,-44,80,True
Tyler Johnson,1,11,11,1,Driving Hook Shot,7,-2,70,True
Tyler Johnson,2,2,34,1,Driving Hook Shot,8,-8,82,True
Tyler Johnson,2,4,50,0,Driving Hook Shot,7,-76,13,True
Tyler Johnson,1,5,3,0,Driving Layup Shot,2,28,5,True
Tyler Johnson,1,2,41,1,Driving Layup Shot,1,9,11,True
Tyler Johnson,3,1,46,0,Driving Layup Shot,2,-20,8,True
Tyler Johnson,2,8,58,1,Driving Layup Shot,3,-28,17,True
Tyler Johnson,3,5,8,1,Driving Layup Shot,2,-18,15,True
Tyler Johnson,2,10,1,1,Driving Layup Shot,0,-8,5,True
Tyler Johnson,3,7,27,1,Driving Layup Shot,3,-32,11,True
Tyler Johnson,2,11,10,0,Driving Layup Shot,1,16,10,True
Tyler Johnson,3,4,8,1,Driving Layup Shot,3,-29,27,True
Tyler Johnson,3,3,8,0,Driving Layup Shot,0,-9,-4,True
Tyler Johnson,1,6,3,1,Driving Layup Shot,1,-8,15,True
Tyler Johnson,1,0,4,1,Driving Layup Shot,1,11,7,True
Tyler Johnson,4,7,36,0,Driving Layup Shot,1,-11,10,True
Tyler Johnson,2,5,34,0,Driving Layup Shot,1,-14,14,True
Tyler Johnson,3,4,11,0,Driving Layup Shot,1,9,7,True
Tyler Johnson,2,5,35,0,Driving Layup Shot,1,-10,9,True
Tyler Johnson,3,1,27,0,Driving Layup Shot,2,14,23,True
Tyler Johnson,1,1,7,1,Driving Layup Shot,1,-3,11,True
Tyler Johnson,3,3,46,1,Driving Layup Shot,1,9,5,True
Tyler Johnson,2,8,29,1,Driving Layup Shot,0,-2,2,True
Tyler Johnson,4,6,41,0,Driving Layup Shot,1,8,6,True
Tyler Johnson,3,1,49,0,Driving Layup Shot,1,-14,8,True
Tyler Johnson,3,2,15,1,Driving Layup Shot,3,0,31,True
Tyler Johnson,4,5,44,0,Driving Layup Shot,2,-14,17,True
Tyler Johnson,1,6,58,1,Driving Layup Shot,0,-8,4,True
Tyler Johnson,3,2,19,0,Driving Layup Shot,0,6,1,True
Tyler Johnson,3,8,5,1,Driving Layup Shot,0,-2,6,True
Tyler Johnson,2,0,0,0,Driving Layup Shot,4,44,12,True
Tyler Johnson,1,0,19,1,Driving Layup Shot,1,-7,10,True
Tyler Johnson,3,5,20,0,Driving Layup Shot,0,6,5,True
Tyler Johnson,1,2,58,0,Driving Layup Shot,1,-14,2,True
Tyler Johnson,3,0,4,1,Driving Layup Shot,2,-18,20,True
Tyler Johnson,2,5,48,0,Driving Layup Shot,3,-29,15,True
Tyler Johnson,1,0,34,1,Driving Layup Shot,1,-13,5,True
Tyler Johnson,4,11,40,1,Driving Layup Shot,3,-21,26,True
Tyler Johnson,1,6,26,0,Driving Layup Shot,1,-9,6,True
Tyler Johnson,1,10,37,0,Driving Layup Shot,1,10,5,True
Tyler Johnson,1,3,57,1,Driving Layup Shot,1,-15,11,True
Tyler Johnson,2,2,7,1,Driving Layup Shot,1,-13,-7,True
Tyler Johnson,1,3,48,0,Driving Layup Shot,1,16,0,True
Tyler Johnson,1,4,0,1,Driving Layup Shot,3,-29,16,True
Tyler Johnson,1,9,51,1,Driving Layup Shot,1,14,11,True
Tyler Johnson,4,9,50,1,Driving Layup Shot,1,-8,13,True
Tyler Johnson,4,4,47,1,Driving Layup Shot,4,-41,21,True
Tyler Johnson,1,5,51,1,Driving Reverse Layup Shot,1,-9,9,True
Tyler Johnson,3,2,51,1,Driving Reverse Layup Shot,0,-7,6,True
Tyler Johnson,1,1,0,1,Driving Reverse Layup Shot,2,-19,15,True
Tyler Johnson,2,11,25,1,Driving Reverse Layup Shot,0,3,1,True
Tyler Johnson,2,5,15,0,Driving Reverse Layup Shot,1,14,2,True
Tyler Johnson,1,9,56,0,Driving Reverse Layup Shot,1,-9,11,True
Tyler Johnson,1,7,20,1,Driving Reverse Layup Shot,0,-2,-5,True
Tyler Johnson,4,2,4,0,Dunk Shot,1,3,15,True
Tyler Johnson,4,7,37,0,Fadeaway Jump Shot,18,-188,-3,True
Tyler Johnson,4,9,3,0,Fadeaway Jump Shot,8,-39,71,True
Tyler Johnson,1,10,8,0,Fadeaway Jump Shot,13,131,-17,True
Tyler Johnson,4,5,16,0,Fadeaway Jump Shot,14,-73,130,True
Tyler Johnson,3,8,42,1,Finger Roll Layup Shot,0,-5,2,True
Tyler Johnson,3,7,49,0,Finger Roll Layup Shot,1,-9,5,True
Tyler Johnson,1,4,17,1,Finger Roll Layup Shot,1,-6,14,True
Tyler Johnson,3,5,26,0,Floating Jump shot,9,93,7,True
Tyler Johnson,1,5,31,1,Floating Jump shot,9,-78,52,True
Tyler Johnson,2,11,46,0,Floating Jump shot,10,-57,90,True
Tyler Johnson,3,4,5,0,Floating Jump shot,12,0,127,True
Tyler Johnson,3,4,19,0,Floating Jump shot,9,14,98,True
Tyler Johnson,3,8,58,1,Floating Jump shot,11,-93,75,True
Tyler Johnson,1,9,39,0,Floating Jump shot,8,-15,88,True
Tyler Johnson,3,10,51,1,Floating Jump shot,9,1,92,True
Tyler Johnson,3,0,10,1,Floating Jump shot,12,-100,80,True
Tyler Johnson,4,8,22,0,Floating Jump shot,7,-18,69,True
Tyler Johnson,1,6,31,0,Floating Jump shot,8,44,68,True
Tyler Johnson,3,9,17,0,Floating Jump shot,6,6,60,True
Tyler Johnson,1,11,40,1,Floating Jump shot,8,11,84,True
Tyler Johnson,1,10,1,1,Floating Jump shot,9,-76,58,True
Tyler Johnson,3,8,20,0,Floating Jump shot,6,11,66,True
Tyler Johnson,1,4,57,0,Floating Jump shot,5,-49,33,True
Tyler Johnson,2,2,54,0,Floating Jump shot,8,3,87,True
Tyler Johnson,2,6,11,0,Floating Jump shot,9,28,92,True
Tyler Johnson,1,8,11,1,Floating Jump shot,8,-28,76,True
Tyler Johnson,2,2,37,0,Floating Jump shot,11,51,100,True
Tyler Johnson,2,7,5,0,Floating Jump shot,2,-20,15,True
Tyler Johnson,1,11,0,1,Floating Jump shot,7,-34,71,True
Tyler Johnson,2,5,23,1,Floating Jump shot,9,55,83,True
Tyler Johnson,3,9,54,1,Floating Jump shot,7,-69,13,True
Tyler Johnson,3,5,51,0,Floating Jump shot,6,-12,59,True
Tyler Johnson,3,3,5,1,Floating Jump shot,8,-27,79,True
Tyler Johnson,1,3,13,1,Floating Jump shot,2,7,20,True
Tyler Johnson,3,6,17,0,Floating Jump shot,4,26,33,True
Tyler Johnson,1,11,15,1,Floating Jump shot,12,-103,64,True
Tyler Johnson,3,5,41,1,Floating Jump shot,6,5,67,True
Tyler Johnson,2,10,28,0,Floating Jump shot,9,-33,88,True
Tyler Johnson,4,9,56,1,Floating Jump shot,9,-34,85,True
Tyler Johnson,2,0,41,0,Floating Jump shot,3,-27,24,True
Tyler Johnson,2,8,41,0,Floating Jump shot,7,-36,61,True
Tyler Johnson,1,9,22,1,Hook Shot,7,30,68,True
Tyler Johnson,4,11,41,1,Jump Bank Shot,16,-139,83,True
Tyler Johnson,4,10,57,0,Jump Bank Shot,6,-38,53,True
Tyler Johnson,2,7,8,0,Jump Bank Shot,4,-27,40,True
Tyler Johnson,3,6,39,0,Jump Bank Shot,3,-32,22,True
Tyler Johnson,4,10,11,0,Jump Bank Shot,8,55,70,True
Tyler Johnson,4,7,3,1,Jump Shot,27,-88,262,False
Tyler Johnson,4,5,18,0,Jump Shot,29,-147,253,False
Tyler Johnson,2,0,2,0,Jump Shot,15,1,158,True
Tyler Johnson,4,4,8,1,Jump Shot,24,160,187,False
Tyler Johnson,4,4,47,0,Jump Shot,23,230,25,False
Tyler Johnson,3,7,43,0,Jump Shot,23,235,19,False
Tyler Johnson,3,4,59,0,Jump Shot,24,-180,168,False
Tyler Johnson,3,6,36,1,Jump Shot,22,158,164,True
Tyler Johnson,1,9,16,1,Jump Shot,26,-175,199,False
Tyler Johnson,4,3,51,1,Jump Shot,25,-157,200,False
Tyler Johnson,1,4,48,0,Jump Shot,26,-210,158,False
Tyler Johnson,4,5,41,0,Jump Shot,18,5,180,True
Tyler Johnson,3,9,20,0,Jump Shot,23,230,33,False
Tyler Johnson,2,2,21,1,Jump Shot,26,134,229,False
Tyler Johnson,1,4,54,1,Jump Shot,25,-189,169,False
Tyler Johnson,1,1,52,0,Jump Shot,24,-218,120,False
Tyler Johnson,4,10,43,0,Jump Shot,24,-231,69,False
Tyler Johnson,4,9,40,0,Jump Shot,19,192,12,True
Tyler Johnson,1,7,25,0,Jump Shot,26,191,177,False
Tyler Johnson,3,7,31,0,Jump Shot,23,227,73,False
Tyler Johnson,3,6,2,0,Jump Shot,24,129,212,False
Tyler Johnson,1,11,31,0,Jump Shot,23,231,46,False
Tyler Johnson,1,5,21,0,Jump Shot,19,-103,161,True
Tyler Johnson,1,7,14,0,Jump Shot,25,8,253,False
Tyler Johnson,3,5,24,1,Jump Shot,25,100,234,False
