name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Tyrone Wallace,1,8,33,1,Alley Oop Dunk Shot,0,-3,1,True
Tyrone Wallace,3,9,59,1,Cutting Finger Roll Layup Shot,1,8,7,True
Tyrone Wallace,2,3,33,1,Cutting Layup Shot,1,6,9,True
Tyrone Wallace,2,5,49,0,Cutting Layup Shot,2,15,22,True
Tyrone Wallace,3,6,32,1,Cutting Layup Shot,0,6,0,True
Tyrone Wallace,1,11,38,1,Cutting Layup Shot,0,2,4,True
Tyrone Wallace,1,2,57,1,Cutting Layup Shot,1,8,9,True
Tyrone Wallace,1,7,35,1,Cutting Layup Shot,1,6,8,True
Tyrone Wallace,1,1,34,1,Cutting Layup Shot,1,0,15,True
Tyrone Wallace,3,4,30,1,Cutting Layup Shot,1,-6,13,True
Tyrone Wallace,2,9,28,0,Cutting Layup Shot,3,29,10,True
Tyrone Wallace,3,5,46,1,Cutting Layup Shot,2,-16,12,True
Tyrone Wallace,1,0,33,1,Driving Dunk Shot,1,8,17,True
Tyrone Wallace,1,8,24,1,Driving Finger Roll Layup Shot,0,-2,6,True
Tyrone Wallace,3,8,10,1,Driving Floating Bank Jump Shot,3,22,29,True
Tyrone Wallace,4,6,17,1,Driving Floating Jump Shot,6,-5,69,True
Tyrone Wallace,1,10,59,0,Driving Floating Jump Shot,9,0,92,True
Tyrone Wallace,2,4,39,0,Driving Floating Jump Shot,7,50,61,True
Tyrone Wallace,2,6,44,0,Driving Floating Jump Shot,10,-2,106,True
Tyrone Wallace,3,9,47,0,Driving Floating Jump Shot,10,93,58,True
Tyrone Wallace,4,11,9,1,Driving Floating Jump Shot,8,-40,79,True
Tyrone Wallace,2,5,15,1,Driving Floating Jump Shot,8,56,58,True
Tyrone Wallace,4,8,34,1,Driving Floating Jump Shot,10,-44,95,True
Tyrone Wallace,3,5,14,1,Driving Hook Shot,10,69,73,True
Tyrone Wallace,1,4,6,1,Driving Hook Shot,6,3,68,True
Tyrone Wallace,1,2,41,1,Driving Hook Shot,2,3,26,True
Tyrone Wallace,1,3,9,1,Driving Hook Shot,0,1,6,True
Tyrone Wallace,3,6,53,1,Driving Hook Shot,15,96,121,True
Tyrone Wallace,3,9,12,1,Driving Hook Shot,2,-7,21,True
Tyrone Wallace,3,3,52,1,Driving Hook Shot,4,-14,39,True
Tyrone Wallace,4,8,25,0,Driving Hook Shot,2,-20,16,True
Tyrone Wallace,4,10,20,1,Driving Layup Shot,1,9,17,True
Tyrone Wallace,3,10,41,0,Driving Layup Shot,4,4,42,True
Tyrone Wallace,3,8,13,0,Driving Layup Shot,3,-36,12,True
Tyrone Wallace,4,4,8,0,Driving Layup Shot,3,29,17,True
Tyrone Wallace,3,7,14,0,Driving Layup Shot,1,10,4,True
Tyrone Wallace,1,1,27,1,Driving Layup Shot,2,20,21,True
Tyrone Wallace,3,11,34,1,Driving Layup Shot,2,-5,26,True
Tyrone Wallace,4,1,55,1,Driving Layup Shot,1,13,12,True
Tyrone Wallace,1,8,19,1,Driving Layup Shot,1,14,14,True
Tyrone Wallace,1,9,0,1,Driving Layup Shot,1,11,14,True
Tyrone Wallace,3,8,19,1,Driving Layup Shot,2,24,7,True
Tyrone Wallace,4,5,35,0,Driving Layup Shot,2,9,26,True
Tyrone Wallace,3,3,50,0,Driving Layup Shot,3,29,14,True
Tyrone Wallace,3,1,44,0,Driving Layup Shot,4,43,-4,True
Tyrone Wallace,1,3,27,0,Driving Layup Shot,4,-42,13,True
Tyrone Wallace,2,9,2,1,Driving Layup Shot,2,19,15,True
Tyrone Wallace,2,11,34,0,Driving Layup Shot,3,6,33,True
Tyrone Wallace,3,7,29,0,Driving Layup Shot,11,-7,113,True
Tyrone Wallace,3,10,37,1,Driving Layup Shot,1,5,13,True
Tyrone Wallace,1,5,22,1,Driving Layup Shot,2,18,16,True
Tyrone Wallace,1,7,20,1,Driving Layup Shot,0,2,9,True
Tyrone Wallace,1,7,27,1,Driving Layup Shot,1,-19,0,True
Tyrone Wallace,3,5,33,1,Driving Layup Shot,2,13,17,True
Tyrone Wallace,2,9,34,0,Driving Layup Shot,1,9,5,True
Tyrone Wallace,2,3,14,0,Driving Reverse Layup Shot,2,14,16,True
Tyrone Wallace,3,4,52,1,Driving Reverse Layup Shot,1,-3,18,True
Tyrone Wallace,2,2,2,0,Fadeaway Jump Shot,7,38,59,True
Tyrone Wallace,2,1,55,0,Fadeaway Jump Shot,9,33,89,True
Tyrone Wallace,1,10,47,1,Fadeaway Jump Shot,9,63,67,True
Tyrone Wallace,1,10,12,1,Finger Roll Layup Shot,7,-40,62,True
Tyrone Wallace,3,6,17,1,Finger Roll Layup Shot,3,0,33,True
Tyrone Wallace,3,1,55,0,Floating Jump shot,6,8,65,True
Tyrone Wallace,4,1,50,1,Floating Jump shot,15,5,159,True
Tyrone Wallace,3,7,13,0,Floating Jump shot,9,11,99,True
Tyrone Wallace,3,8,59,0,Floating Jump shot,5,-51,11,True
Tyrone Wallace,2,0,57,0,Floating Jump shot,6,-30,55,True
Tyrone Wallace,2,11,1,1,Floating Jump shot,9,92,31,True
Tyrone Wallace,3,2,30,0,Floating Jump shot,5,48,16,True
Tyrone Wallace,2,9,41,0,Floating Jump shot,4,34,22,True
Tyrone Wallace,2,0,34,0,Floating Jump shot,8,58,64,True
Tyrone Wallace,1,0,25,0,Floating Jump shot,12,76,98,True
Tyrone Wallace,3,4,33,0,Floating Jump shot,10,106,2,True
Tyrone Wallace,1,1,19,1,Floating Jump shot,14,112,99,True
Tyrone Wallace,1,2,28,0,Floating Jump shot,6,30,57,True
Tyrone Wallace,2,10,55,0,Floating Jump shot,7,-62,41,True
Tyrone Wallace,2,3,29,0,Floating Jump shot,11,50,100,True
Tyrone Wallace,3,1,45,1,Floating Jump shot,5,59,6,True
Tyrone Wallace,1,1,41,1,Floating Jump shot,12,-6,125,True
Tyrone Wallace,3,5,31,0,Floating Jump shot,10,56,94,True
Tyrone Wallace,1,9,48,1,Floating Jump shot,13,84,101,True
Tyrone Wallace,1,1,29,1,Floating Jump shot,11,-26,113,True
Tyrone Wallace,1,1,8,0,Floating Jump shot,15,84,125,True
Tyrone Wallace,4,4,24,1,Floating Jump shot,4,19,43,True
Tyrone Wallace,4,4,16,0,Floating Jump shot,7,-71,11,True
Tyrone Wallace,1,6,38,0,Floating Jump shot,4,14,43,True
Tyrone Wallace,1,6,58,1,Floating Jump shot,4,-47,9,True
Tyrone Wallace,2,1,10,1,Floating Jump shot,4,-40,6,True
Tyrone Wallace,1,6,59,0,Floating Jump shot,12,-4,129,True
Tyrone Wallace,1,0,3,0,Floating Jump shot,10,-19,105,True
Tyrone Wallace,4,9,4,0,Hook Bank Shot,3,3,32,True
Tyrone Wallace,1,1,16,0,Hook Shot,10,66,82,True
Tyrone Wallace,1,8,51,1,Hook Shot,6,28,55,True
Tyrone Wallace,3,8,40,0,Hook Shot,3,-32,3,True
Tyrone Wallace,4,11,7,0,Hook Shot,12,-40,117,True
Tyrone Wallace,2,0,8,0,Hook Shot,4,-24,38,True
Tyrone Wallace,3,2,47,0,Hook Shot,5,-16,55,True
Tyrone Wallace,1,9,37,0,Jump Shot,15,158,22,True
Tyrone Wallace,3,3,14,0,Jump Shot,23,234,25,False
Tyrone Wallace,1,5,47,1,Jump Shot,25,120,225,False
Tyrone Wallace,2,2,37,0,Jump Shot,24,-96,226,False
Tyrone Wallace,2,6,21,0,Jump Shot,7,-25,73,True
Tyrone Wallace,1,2,25,0,Jump Shot,25,153,205,False
Tyrone Wallace,1,5,19,0,Jump Shot,24,-155,185,False
Tyrone Wallace,3,6,35,0,Jump Shot,25,51,254,False
Tyrone Wallace,3,7,9,0,Jump Shot,25,195,158,False
Tyrone Wallace,4,5,23,1,Jump Shot,23,-229,43,False
Tyrone Wallace,2,5,25,0,Jump Shot,25,168,190,False
Tyrone Wallace,2,8,45,1,Jump Shot,23,-230,41,False
Tyrone Wallace,3,2,15,0,Jump Shot,26,-206,173,False
Tyrone Wallace,4,8,37,0,Jump Shot,15,117,101,True
