name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Wayne Ellington,4,0,56,0,Alley Oop Layup shot,3,37,6,True
Wayne Ellington,1,3,36,1,Cutting Dunk Shot,2,0,22,True
Wayne Ellington,2,9,14,1,Cutting Finger Roll Layup Shot,0,3,5,True
Wayne Ellington,3,3,12,1,Cutting Finger Roll Layup Shot,1,4,13,True
Wayne Ellington,3,9,48,1,Cutting Layup Shot,1,8,12,True
Wayne Ellington,2,7,58,1,Cutting Layup Shot,1,11,8,True
Wayne Ellington,2,11,14,1,Cutting Layup Shot,1,-11,10,True
Wayne Ellington,4,10,55,0,Cutting Layup Shot,0,-6,-6,True
Wayne Ellington,1,0,49,1,Cutting Layup Shot,1,-13,13,True
Wayne Ellington,2,5,23,0,Cutting Layup Shot,2,23,8,True
Wayne Ellington,3,4,5,1,Cutting Layup Shot,2,-18,12,True
Wayne Ellington,5,1,53,1,Driving Finger Roll Layup Shot,1,4,17,True
Wayne Ellington,4,6,27,1,Driving Finger Roll Layup Shot,1,6,10,True
Wayne Ellington,2,6,39,1,Driving Layup Shot,1,-5,15,True
Wayne Ellington,2,11,5,1,Driving Layup Shot,0,-2,2,True
Wayne Ellington,2,10,49,0,Driving Layup Shot,0,0,8,True
Wayne Ellington,4,8,50,0,Driving Layup Shot,1,11,0,True
Wayne Ellington,4,11,18,0,Driving Layup Shot,2,10,20,True
Wayne Ellington,2,6,52,0,Driving Layup Shot,1,-8,8,True
Wayne Ellington,3,0,0,0,Driving Layup Shot,7,63,32,True
Wayne Ellington,1,1,29,1,Driving Layup Shot,1,3,11,True
Wayne Ellington,4,10,35,1,Driving Layup Shot,1,-13,-8,True
Wayne Ellington,2,4,42,0,Driving Layup Shot,2,-14,20,True
Wayne Ellington,4,1,1,0,Driving Layup Shot,6,58,31,True
Wayne Ellington,3,3,45,0,Driving Layup Shot,0,2,1,True
Wayne Ellington,4,4,18,0,Fadeaway Jump Shot,8,80,37,True
Wayne Ellington,2,3,38,0,Fadeaway Jump Shot,3,-37,9,True
Wayne Ellington,2,8,11,0,Fadeaway Jump Shot,12,-124,10,True
Wayne Ellington,2,9,14,1,Floating Jump shot,25,-101,231,False
Wayne Ellington,2,10,0,1,Floating Jump shot,17,-95,148,True
Wayne Ellington,1,10,36,0,Floating Jump shot,8,78,20,True
Wayne Ellington,1,1,13,0,Floating Jump shot,4,-27,41,True
Wayne Ellington,3,3,25,1,Floating Jump shot,9,0,94,True
Wayne Ellington,4,6,1,0,Floating Jump shot,10,-16,101,True
Wayne Ellington,4,7,4,1,Floating Jump shot,25,150,206,False
Wayne Ellington,4,10,31,1,Hook Shot,3,12,37,True
Wayne Ellington,2,11,4,1,Jump Bank Shot,23,-230,-5,False
Wayne Ellington,2,5,33,1,Jump Bank Shot,4,-8,40,True
Wayne Ellington,2,11,16,1,Jump Shot,26,174,194,False
