name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Wayne Selden,2,0,0,0,Alley Oop Layup shot,1,4,10,True
Wayne Selden,4,3,15,1,Cutting Dunk Shot,2,-1,23,True
Wayne Selden,4,7,25,1,Cutting Dunk Shot,1,-13,5,True
Wayne Selden,4,0,7,1,Driving Dunk Shot,1,-3,19,True
Wayne Selden,2,1,29,1,Driving Dunk Shot,0,9,4,True
Wayne Selden,2,2,17,1,Driving Dunk Shot,0,-6,3,True
Wayne Selden,1,6,49,1,Driving Dunk Shot,1,9,14,True
Wayne Selden,2,11,33,1,Driving Dunk Shot,0,-6,2,True
Wayne Selden,4,8,44,1,Driving Finger Roll Layup Shot,6,5,62,True
Wayne Selden,4,11,40,0,Driving Finger Roll Layup Shot,3,15,36,True
Wayne Selden,4,3,49,0,Driving Finger Roll Layup Shot,2,-5,20,True
Wayne Selden,3,1,41,0,Driving Finger Roll Layup Shot,5,55,17,True
Wayne Selden,4,10,56,0,Driving Finger Roll Layup Shot,2,-11,25,True
Wayne Selden,4,0,21,1,Driving Finger Roll Layup Shot,0,-3,2,True
Wayne Selden,3,1,48,1,Driving Floating Bank Jump Shot,12,-107,63,True
Wayne Selden,3,0,37,0,Driving Floating Bank Jump Shot,13,122,52,True
Wayne Selden,4,6,27,1,Driving Floating Bank Jump Shot,6,38,56,True
Wayne Selden,3,1,17,1,Driving Floating Bank Jump Shot,5,32,41,True
Wayne Selden,3,0,57,0,Driving Floating Bank Jump Shot,5,-47,25,True
Wayne Selden,1,1,13,1,Driving Floating Bank Jump Shot,4,39,29,True
Wayne Selden,1,5,13,1,Driving Floating Bank Jump Shot,7,46,53,True
Wayne Selden,3,8,29,0,Driving Floating Bank Jump Shot,6,-50,47,True
Wayne Selden,4,9,35,1,Driving Floating Bank Jump Shot,6,63,17,True
Wayne Selden,2,10,2,0,Driving Floating Bank Jump Shot,9,-91,36,True
Wayne Selden,1,4,0,0,Driving Floating Bank Jump Shot,7,-62,43,True
Wayne Selden,3,11,44,0,Driving Floating Bank Jump Shot,8,76,29,True
Wayne Selden,4,3,53,1,Driving Floating Jump Shot,2,-23,15,True
Wayne Selden,2,3,25,0,Driving Floating Jump Shot,9,-1,91,True
Wayne Selden,3,2,8,0,Driving Floating Jump Shot,6,18,66,True
Wayne Selden,2,7,6,1,Driving Floating Jump Shot,6,20,63,True
Wayne Selden,4,0,34,0,Driving Floating Jump Shot,7,2,76,True
Wayne Selden,1,2,4,1,Driving Floating Jump Shot,7,0,78,True
Wayne Selden,4,5,4,0,Driving Floating Jump Shot,3,-2,34,True
Wayne Selden,1,4,21,1,Driving Floating Jump Shot,8,-37,72,True
Wayne Selden,1,0,0,0,Driving Floating Jump Shot,13,-21,130,True
Wayne Selden,3,2,55,0,Driving Floating Jump Shot,6,8,67,True
Wayne Selden,2,7,7,0,Driving Floating Jump Shot,5,48,22,True
Wayne Selden,2,10,51,0,Driving Floating Jump Shot,7,-1,75,True
Wayne Selden,4,6,55,0,Driving Floating Jump Shot,7,-59,50,True
Wayne Selden,4,4,13,0,Driving Floating Jump Shot,3,-31,-8,True
Wayne Selden,1,10,6,0,Driving Floating Jump Shot,7,-12,74,True
Wayne Selden,1,1,27,0,Driving Floating Jump Shot,10,-42,99,True
Wayne Selden,3,4,43,0,Driving Floating Jump Shot,5,53,15,True
Wayne Selden,2,5,18,0,Driving Floating Jump Shot,8,5,89,True
Wayne Selden,4,1,12,1,Driving Layup Shot,5,30,51,True
Wayne Selden,3,6,58,1,Driving Layup Shot,2,24,11,True
Wayne Selden,2,9,12,0,Driving Layup Shot,2,19,10,True
Wayne Selden,4,0,2,0,Driving Layup Shot,3,-17,29,True
Wayne Selden,1,2,45,1,Driving Layup Shot,1,-6,8,True
Wayne Selden,1,0,26,0,Driving Layup Shot,2,14,20,True
Wayne Selden,3,9,27,0,Driving Layup Shot,4,-46,11,True
Wayne Selden,3,5,59,1,Driving Layup Shot,1,3,15,True
Wayne Selden,1,1,41,1,Driving Layup Shot,1,6,16,True
Wayne Selden,4,3,24,0,Driving Layup Shot,1,-17,5,True
Wayne Selden,4,3,54,0,Driving Layup Shot,8,-40,73,True
Wayne Selden,2,2,37,1,Driving Layup Shot,0,-5,-1,True
Wayne Selden,3,1,51,0,Driving Layup Shot,6,-50,36,True
Wayne Selden,1,0,27,1,Driving Layup Shot,6,-3,62,True
Wayne Selden,4,6,35,0,Driving Layup Shot,5,-38,39,True
Wayne Selden,3,11,21,0,Driving Layup Shot,0,5,4,True
Wayne Selden,1,2,4,0,Driving Layup Shot,1,-14,8,True
Wayne Selden,4,0,46,0,Fadeaway Jump Shot,11,-30,109,True
Wayne Selden,4,7,51,0,Fadeaway Jump Shot,4,11,41,True
Wayne Selden,2,6,0,0,Fadeaway Jump Shot,10,-105,5,True
Wayne Selden,3,8,45,0,Floating Jump shot,8,49,75,True
Wayne Selden,1,2,7,1,Floating Jump shot,12,51,110,True
Wayne Selden,1,0,33,1,Floating Jump shot,10,1,105,True
Wayne Selden,2,6,9,0,Floating Jump shot,8,66,61,True
Wayne Selden,2,4,14,0,Jump Bank Shot,11,-66,100,True
Wayne Selden,3,2,28,1,Jump Bank Shot,11,-94,62,True
Wayne Selden,4,11,46,0,Jump Bank Shot,14,-135,43,True
Wayne Selden,3,2,5,0,Jump Shot,22,-228,-9,False
Wayne Selden,2,9,53,1,Jump Shot,27,115,245,False
Wayne Selden,3,1,31,0,Jump Shot,24,-228,86,False
Wayne Selden,3,3,16,1,Jump Shot,25,-236,104,False
Wayne Selden,1,3,25,0,Jump Shot,31,61,305,False
Wayne Selden,4,6,49,0,Jump Shot,26,-168,202,False
Wayne Selden,1,1,22,1,Jump Shot,24,226,87,False
Wayne Selden,4,11,32,0,Jump Shot,20,-201,45,True
Wayne Selden,3,0,2,0,Jump Shot,28,-99,272,False
Wayne Selden,1,0,44,0,Jump Shot,25,74,247,False
Wayne Selden,3,4,51,0,Jump Shot,23,234,-6,False
Wayne Selden,1,1,18,0,Jump Shot,24,-65,241,False
Wayne Selden,1,4,48,0,Jump Shot,25,-185,171,False
Wayne Selden,3,1,8,0,Jump Shot,16,-123,115,True
Wayne Selden,4,4,52,1,Jump Shot,27,-126,241,False
Wayne Selden,2,1,56,0,Jump Shot,18,-13,185,True
Wayne Selden,1,4,2,1,Jump Shot,18,50,173,True
Wayne Selden,1,2,18,1,Jump Shot,18,41,185,True
Wayne Selden,4,10,47,1,Jump Shot,22,-226,0,False
Wayne Selden,4,3,57,1,Jump Shot,25,142,208,False
Wayne Selden,4,9,39,1,Jump Shot,25,-11,258,False
Wayne Selden,1,0,0,0,Jump Shot,30,180,252,False
Wayne Selden,3,3,7,0,Jump Shot,25,155,206,False
Wayne Selden,3,4,12,1,Jump Shot,25,-161,198,False
Wayne Selden,2,6,7,0,Jump Shot,25,133,220,False
Wayne Selden,4,10,59,0,Jump Shot,19,90,174,True
