name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Wes Iwundu,4,10,13,1,Cutting Dunk Shot,2,2,21,True
Wes Iwundu,1,4,48,1,Cutting Layup Shot,0,-2,6,True
Wes Iwundu,3,7,28,1,Cutting Layup Shot,1,8,13,True
Wes Iwundu,2,7,38,1,Cutting Layup Shot,2,17,13,True
Wes Iwundu,2,1,26,0,Cutting Layup Shot,1,2,17,True
Wes Iwundu,4,3,1,1,Cutting Layup Shot,2,3,29,True
Wes Iwundu,3,4,20,1,Cutting Layup Shot,1,-9,15,True
Wes Iwundu,4,0,17,1,Cutting Layup Shot,1,13,8,True
Wes Iwundu,4,11,28,0,Cutting Layup Shot,2,14,17,True
Wes Iwundu,2,11,3,1,Cutting Layup Shot,1,-3,18,True
Wes Iwundu,2,10,10,1,Cutting Layup Shot,0,-1,6,True
Wes Iwundu,1,8,29,1,Cutting Layup Shot,0,4,8,True
Wes Iwundu,3,2,56,1,Cutting Layup Shot,1,2,13,True
Wes Iwundu,2,8,56,1,Driving Finger Roll Layup Shot,1,-3,13,True
Wes Iwundu,4,7,13,1,Driving Finger Roll Layup Shot,2,13,18,True
Wes Iwundu,3,3,51,1,Driving Floating Bank Jump Shot,5,33,38,True
Wes Iwundu,4,1,3,1,Driving Floating Bank Jump Shot,11,84,73,True
Wes Iwundu,4,10,3,0,Driving Floating Jump Shot,11,-113,-5,True
Wes Iwundu,4,10,23,1,Driving Floating Jump Shot,6,59,23,True
Wes Iwundu,2,4,38,1,Driving Hook Shot,8,5,82,True
Wes Iwundu,3,4,40,0,Driving Hook Shot,7,-3,76,True
Wes Iwundu,1,0,44,1,Driving Hook Shot,6,-4,69,True
Wes Iwundu,2,10,17,0,Driving Layup Shot,2,-4,24,True
Wes Iwundu,4,10,0,1,Driving Layup Shot,1,13,5,True
Wes Iwundu,2,8,13,1,Driving Layup Shot,2,10,25,True
Wes Iwundu,4,6,43,0,Driving Layup Shot,1,12,10,True
Wes Iwundu,4,3,56,0,Driving Layup Shot,3,-30,20,True
Wes Iwundu,2,9,7,1,Driving Layup Shot,1,-15,10,True
Wes Iwundu,4,7,29,1,Driving Layup Shot,2,-20,6,True
Wes Iwundu,3,9,56,1,Driving Layup Shot,1,10,7,True
