name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Wesley Matthews,2,3,53,1,Cutting Layup Shot,1,2,14,True
Wesley Matthews,1,4,58,1,Cutting Layup Shot,1,-8,12,True
Wesley Matthews,4,5,5,0,Cutting Layup Shot,2,24,17,True
Wesley Matthews,3,2,23,1,Cutting Layup Shot,1,6,19,True
Wesley Matthews,2,10,25,0,Cutting Layup Shot,1,9,5,True
Wesley Matthews,4,3,43,1,Cutting Layup Shot,1,4,15,True
Wesley Matthews,1,6,6,1,Cutting Layup Shot,1,8,8,True
Wesley Matthews,2,7,56,0,Cutting Layup Shot,1,19,4,True
Wesley Matthews,1,3,59,1,Driving Finger Roll Layup Shot,2,-9,20,True
Wesley Matthews,4,9,5,0,Driving Finger Roll Layup Shot,7,-54,59,True
Wesley Matthews,1,7,9,0,Driving Finger Roll Layup Shot,0,-2,9,True
Wesley Matthews,2,4,8,0,Driving Finger Roll Layup Shot,2,18,10,True
Wesley Matthews,3,1,56,1,Driving Floating Bank Jump Shot,6,43,52,True
Wesley Matthews,3,1,23,0,Driving Floating Bank Jump Shot,9,-73,63,True
Wesley Matthews,3,8,38,1,Driving Floating Bank Jump Shot,11,-16,110,True
Wesley Matthews,3,1,49,0,Driving Floating Bank Jump Shot,10,100,45,True
Wesley Matthews,4,1,6,1,Driving Floating Bank Jump Shot,10,-73,75,True
Wesley Matthews,3,9,19,0,Driving Floating Bank Jump Shot,7,46,62,True
Wesley Matthews,4,0,0,0,Driving Floating Bank Jump Shot,4,-43,-4,True
Wesley Matthews,3,9,4,0,Driving Floating Bank Jump Shot,7,-62,37,True
Wesley Matthews,4,4,6,1,Driving Floating Bank Jump Shot,9,80,54,True
Wesley Matthews,3,3,47,0,Driving Floating Bank Jump Shot,7,34,68,True
Wesley Matthews,1,5,31,0,Driving Floating Jump Shot,13,2,138,True
Wesley Matthews,1,10,13,0,Driving Floating Jump Shot,9,-69,67,True
Wesley Matthews,3,10,27,1,Driving Floating Jump Shot,11,27,108,True
Wesley Matthews,2,5,11,0,Driving Floating Jump Shot,6,20,57,True
Wesley Matthews,3,7,55,1,Driving Floating Jump Shot,9,1,96,True
Wesley Matthews,1,9,44,0,Driving Floating Jump Shot,11,47,100,True
Wesley Matthews,2,2,10,1,Driving Floating Jump Shot,8,73,34,True
Wesley Matthews,3,4,14,1,Driving Floating Jump Shot,13,35,131,True
Wesley Matthews,2,6,1,1,Driving Floating Jump Shot,8,20,84,True
Wesley Matthews,1,6,25,1,Driving Floating Jump Shot,13,-1,137,True
Wesley Matthews,4,10,46,0,Driving Floating Jump Shot,13,89,99,True
Wesley Matthews,2,6,27,0,Driving Floating Jump Shot,9,90,-9,True
Wesley Matthews,2,6,45,0,Driving Floating Jump Shot,4,13,44,True
Wesley Matthews,2,4,37,1,Driving Floating Jump Shot,7,29,67,True
Wesley Matthews,2,1,29,1,Driving Floating Jump Shot,13,-131,11,True
Wesley Matthews,1,8,45,0,Driving Floating Jump Shot,6,-59,29,True
Wesley Matthews,2,2,8,0,Driving Floating Jump Shot,7,-52,47,True
Wesley Matthews,2,11,47,0,Driving Floating Jump Shot,8,-46,68,True
Wesley Matthews,3,11,0,0,Driving Floating Jump Shot,12,27,119,True
Wesley Matthews,2,1,44,0,Driving Floating Jump Shot,13,32,131,True
Wesley Matthews,1,6,58,1,Driving Floating Jump Shot,11,56,100,True
Wesley Matthews,4,1,36,0,Driving Floating Jump Shot,7,71,11,True
Wesley Matthews,1,3,37,0,Driving Floating Jump Shot,8,81,21,True
Wesley Matthews,4,6,57,1,Driving Floating Jump Shot,5,-3,55,True
Wesley Matthews,1,2,8,1,Driving Floating Jump Shot,3,5,31,True
Wesley Matthews,1,6,16,0,Driving Floating Jump Shot,7,58,50,True
Wesley Matthews,3,6,32,1,Driving Floating Jump Shot,9,-5,95,True
Wesley Matthews,3,8,24,1,Driving Floating Jump Shot,4,8,40,True
Wesley Matthews,3,8,32,0,Driving Floating Jump Shot,5,3,59,True
Wesley Matthews,1,6,42,0,Driving Floating Jump Shot,3,33,15,True
Wesley Matthews,2,4,8,1,Driving Hook Shot,5,-29,43,True
Wesley Matthews,3,11,32,0,Driving Hook Shot,2,23,19,True
Wesley Matthews,2,2,45,1,Driving Layup Shot,2,-8,20,True
Wesley Matthews,2,5,37,1,Driving Layup Shot,2,20,11,True
Wesley Matthews,2,4,9,0,Driving Layup Shot,3,29,12,True
Wesley Matthews,1,6,55,0,Driving Layup Shot,2,0,21,True
Wesley Matthews,2,5,5,1,Driving Layup Shot,0,-8,-1,True
Wesley Matthews,2,4,17,1,Driving Layup Shot,0,-6,6,True
Wesley Matthews,4,3,0,0,Driving Layup Shot,1,-14,12,True
Wesley Matthews,2,0,41,0,Driving Layup Shot,1,13,7,True
Wesley Matthews,4,8,13,0,Driving Layup Shot,2,15,16,True
Wesley Matthews,1,7,23,1,Driving Layup Shot,2,3,26,True
Wesley Matthews,3,2,41,0,Driving Layup Shot,0,1,9,True
Wesley Matthews,1,10,3,1,Driving Layup Shot,1,2,12,True
Wesley Matthews,4,0,25,1,Driving Layup Shot,1,-9,8,True
Wesley Matthews,4,4,21,0,Driving Layup Shot,2,-3,25,True
Wesley Matthews,3,10,43,0,Driving Layup Shot,2,17,16,True
Wesley Matthews,2,1,33,1,Driving Layup Shot,0,6,1,True
Wesley Matthews,2,2,7,1,Driving Layup Shot,1,8,13,True
Wesley Matthews,2,2,19,0,Driving Layup Shot,2,19,18,True
