name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Willie CauleyStein,4,1,2,1,Alley Oop Dunk Shot,1,-2,16,True
Willie CauleyStein,4,0,30,1,Alley Oop Dunk Shot,1,-8,12,True
Willie CauleyStein,4,1,46,1,Alley Oop Dunk Shot,0,-2,8,True
Willie CauleyStein,1,1,55,1,Alley Oop Dunk Shot,0,-6,4,True
Willie CauleyStein,2,2,58,1,Alley Oop Dunk Shot,2,14,20,True
Willie CauleyStein,2,10,28,1,Alley Oop Dunk Shot,0,-2,8,True
Willie CauleyStein,1,11,43,1,Alley Oop Dunk Shot,0,-5,8,True
Willie CauleyStein,3,9,29,1,Alley Oop Dunk Shot,1,1,15,True
Willie CauleyStein,3,7,10,1,Alley Oop Dunk Shot,1,2,15,True
Willie CauleyStein,2,8,29,1,Alley Oop Dunk Shot,2,14,16,True
Willie CauleyStein,3,10,51,1,Alley Oop Dunk Shot,1,11,0,True
Willie CauleyStein,3,11,26,1,Alley Oop Dunk Shot,2,-2,22,True
Willie CauleyStein,4,6,27,1,Alley Oop Dunk Shot,2,24,13,True
Willie CauleyStein,3,8,14,1,Alley Oop Dunk Shot,1,-5,10,True
Willie CauleyStein,4,2,44,1,Alley Oop Dunk Shot,1,-16,6,True
Willie CauleyStein,2,3,39,1,Alley Oop Dunk Shot,0,2,4,True
Willie CauleyStein,3,5,14,1,Alley Oop Dunk Shot,0,2,4,True
Willie CauleyStein,1,5,38,1,Alley Oop Dunk Shot,1,9,5,True
Willie CauleyStein,4,9,47,1,Alley Oop Dunk Shot,1,-10,5,True
Willie CauleyStein,2,8,20,1,Alley Oop Dunk Shot,1,7,11,True
Willie CauleyStein,2,2,5,1,Alley Oop Dunk Shot,1,-11,6,True
Willie CauleyStein,3,7,44,1,Alley Oop Dunk Shot,1,9,15,True
Willie CauleyStein,2,2,40,1,Alley Oop Dunk Shot,0,-3,3,True
Willie CauleyStein,1,2,20,1,Alley Oop Dunk Shot,1,2,12,True
Willie CauleyStein,4,5,16,1,Alley Oop Dunk Shot,1,19,5,True
Willie CauleyStein,3,10,39,1,Alley Oop Dunk Shot,1,10,7,True
Willie CauleyStein,4,0,19,1,Alley Oop Dunk Shot,1,2,17,True
Willie CauleyStein,3,10,24,1,Alley Oop Dunk Shot,2,-9,18,True
Willie CauleyStein,1,6,57,1,Alley Oop Dunk Shot,1,1,14,True
Willie CauleyStein,2,4,53,1,Alley Oop Dunk Shot,1,3,10,True
Willie CauleyStein,3,9,9,1,Alley Oop Dunk Shot,1,-11,2,True
Willie CauleyStein,4,11,7,1,Alley Oop Dunk Shot,1,-13,7,True
Willie CauleyStein,1,1,46,1,Alley Oop Dunk Shot,1,-8,11,True
Willie CauleyStein,3,4,45,1,Alley Oop Dunk Shot,1,-13,15,True
Willie CauleyStein,4,2,46,1,Alley Oop Dunk Shot,1,2,15,True
Willie CauleyStein,3,0,39,1,Alley Oop Layup shot,2,2,29,True
Willie CauleyStein,3,4,35,0,Alley Oop Layup shot,1,-6,18,True
Willie CauleyStein,4,2,36,1,Alley Oop Layup shot,2,-2,20,True
Willie CauleyStein,2,11,47,1,Alley Oop Layup shot,3,29,9,True
Willie CauleyStein,4,10,16,1,Alley Oop Layup shot,1,-1,15,True
Willie CauleyStein,3,2,26,1,Alley Oop Layup shot,1,17,1,True
Willie CauleyStein,4,2,42,0,Alley Oop Layup shot,1,11,8,True
Willie CauleyStein,2,1,36,1,Alley Oop Layup shot,2,-25,12,True
Willie CauleyStein,2,0,45,1,Alley Oop Layup shot,2,14,21,True
Willie CauleyStein,1,5,44,0,Alley Oop Layup shot,2,19,16,True
Willie CauleyStein,4,2,47,0,Alley Oop Layup shot,1,-2,11,True
Willie CauleyStein,4,6,8,0,Alley Oop Layup shot,1,0,13,True
Willie CauleyStein,4,0,35,1,Alley Oop Layup shot,2,0,22,True
Willie CauleyStein,1,10,54,1,Alley Oop Layup shot,1,-15,6,True
Willie CauleyStein,4,9,8,1,Alley Oop Layup shot,1,8,16,True
Willie CauleyStein,2,0,48,1,Cutting Dunk Shot,0,-4,9,True
Willie CauleyStein,4,7,16,1,Cutting Dunk Shot,1,0,12,True
Willie CauleyStein,4,0,14,1,Cutting Dunk Shot,1,-6,15,True
Willie CauleyStein,1,9,6,1,Cutting Dunk Shot,2,-6,20,True
Willie CauleyStein,4,4,45,1,Cutting Dunk Shot,1,-11,15,True
Willie CauleyStein,4,3,10,1,Cutting Dunk Shot,1,-3,11,True
