name,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_distance,x,y,shot_2pnt
Zaza Pachulia,3,6,9,1,Alley Oop Layup shot,2,13,23,True
Zaza Pachulia,1,6,55,1,Alley Oop Layup shot,1,3,13,True
Zaza Pachulia,1,5,51,1,Alley Oop Layup shot,0,6,7,True
Zaza Pachulia,3,9,53,1,Cutting Dunk Shot,1,-3,16,True
Zaza Pachulia,1,8,35,1,Cutting Dunk Shot,0,3,1,True
Zaza Pachulia,2,3,28,1,Cutting Dunk Shot,1,2,13,True
Zaza Pachulia,3,10,43,1,Cutting Dunk Shot,1,-2,11,True
Zaza Pachulia,1,5,20,1,Cutting Dunk Shot,1,-2,16,True
Zaza Pachulia,1,8,48,1,Cutting Dunk Shot,0,-3,0,True
Zaza Pachulia,1,8,27,1,Cutting Finger Roll Layup Shot,1,4,16,True
Zaza Pachulia,3,6,35,1,Cutting Finger Roll Layup Shot,1,-8,12,True
Zaza Pachulia,1,6,8,1,Cutting Finger Roll Layup Shot,2,16,17,True
Zaza Pachulia,3,11,27,1,Cutting Layup Shot,7,48,52,True
Zaza Pachulia,3,10,2,0,Cutting Layup Shot,2,20,15,True
Zaza Pachulia,1,10,49,0,Cutting Layup Shot,2,11,17,True
Zaza Pachulia,1,5,55,1,Cutting Layup Shot,1,-8,17,True
Zaza Pachulia,1,11,17,1,Cutting Layup Shot,1,-3,17,True
Zaza Pachulia,3,4,26,1,Cutting Layup Shot,0,-2,-1,True
Zaza Pachulia,2,1,1,1,Cutting Layup Shot,1,9,16,True
Zaza Pachulia,1,8,14,1,Cutting Layup Shot,2,-13,20,True
Zaza Pachulia,3,4,42,1,Cutting Layup Shot,2,8,20,True
Zaza Pachulia,1,6,27,1,Cutting Layup Shot,1,9,10,True
Zaza Pachulia,1,7,6,1,Cutting Layup Shot,1,5,13,True
Zaza Pachulia,3,9,53,1,Cutting Layup Shot,2,11,20,True
Zaza Pachulia,1,3,8,1,Cutting Layup Shot,0,5,3,True
Zaza Pachulia,1,7,36,1,Cutting Layup Shot,2,-1,20,True
Zaza Pachulia,1,7,3,1,Cutting Layup Shot,3,-11,29,True
Zaza Pachulia,1,8,19,1,Cutting Layup Shot,1,6,18,True
Zaza Pachulia,4,1,42,1,Cutting Layup Shot,2,9,19,True
Zaza Pachulia,3,4,4,1,Cutting Layup Shot,1,-8,13,True
Zaza Pachulia,1,11,46,0,Cutting Layup Shot,1,-4,10,True
Zaza Pachulia,1,11,36,1,Cutting Layup Shot,1,-2,16,True
Zaza Pachulia,3,6,19,1,Cutting Layup Shot,1,15,1,True
Zaza Pachulia,3,6,1,1,Driving Dunk Shot,0,1,9,True
Zaza Pachulia,1,8,44,1,Driving Finger Roll Layup Shot,8,34,77,True
Zaza Pachulia,1,10,30,1,Driving Floating Jump Shot,6,51,38,True
Zaza Pachulia,1,5,51,0,Driving Layup Shot,5,-31,43,True
Zaza Pachulia,3,8,28,0,Driving Layup Shot,0,6,0,True
Zaza Pachulia,1,6,2,0,Driving Layup Shot,2,14,22,True
Zaza Pachulia,3,11,35,0,Driving Layup Shot,2,20,20,True
Zaza Pachulia,1,5,53,1,Driving Layup Shot,1,5,16,True
Zaza Pachulia,1,7,4,0,Driving Layup Shot,0,2,-8,True
Zaza Pachulia,1,5,9,0,Driving Layup Shot,4,-30,36,True
Zaza Pachulia,1,5,38,0,Driving Reverse Layup Shot,2,-17,16,True
Zaza Pachulia,1,7,56,0,Driving Reverse Layup Shot,2,-6,21,True
Zaza Pachulia,1,9,13,1,Driving Reverse Layup Shot,1,-19,5,True
Zaza Pachulia,1,6,51,1,Dunk Shot,1,-2,19,True
Zaza Pachulia,1,6,33,1,Dunk Shot,1,-2,10,True
Zaza Pachulia,3,8,57,1,Dunk Shot,0,2,6,True
Zaza Pachulia,1,9,6,1,Dunk Shot,0,4,8,True
Zaza Pachulia,3,5,18,0,Fadeaway Jump Shot,15,-85,124,True
Zaza Pachulia,1,3,41,1,Finger Roll Layup Shot,1,-9,17,True
Zaza Pachulia,1,2,13,1,Floating Jump shot,12,-3,126,True
Zaza Pachulia,4,4,10,1,Floating Jump shot,13,50,122,True
Zaza Pachulia,3,8,54,0,Floating Jump shot,9,92,29,True
Zaza Pachulia,3,8,17,1,Floating Jump shot,14,-9,140,True
Zaza Pachulia,1,9,24,1,Floating Jump shot,13,41,125,True
Zaza Pachulia,3,6,19,1,Hook Bank Shot,2,25,8,True
Zaza Pachulia,3,6,4,0,Hook Shot,2,17,16,True
Zaza Pachulia,3,5,29,0,Hook Shot,8,14,88,True
Zaza Pachulia,3,10,32,0,Hook Shot,7,-51,48,True
Zaza Pachulia,1,2,37,0,Hook Shot,1,-10,9,True
Zaza Pachulia,3,6,53,1,Hook Shot,3,9,37,True
Zaza Pachulia,3,9,22,0,Hook Shot,6,0,67,True
Zaza Pachulia,1,8,1,0,Hook Shot,5,-5,55,True
Zaza Pachulia,1,5,46,1,Hook Shot,5,-17,49,True
Zaza Pachulia,3,6,2,1,Hook Shot,5,0,52,True
Zaza Pachulia,3,4,58,0,Hook Shot,3,-4,39,True
Zaza Pachulia,1,9,44,0,Jump Bank Shot,15,-120,92,True
Zaza Pachulia,3,7,0,0,Jump Shot,18,-1,186,True
Zaza Pachulia,3,8,56,0,Jump Shot,11,100,57,True
Zaza Pachulia,3,7,46,1,Jump Shot,15,5,159,True
Zaza Pachulia,3,5,50,1,Jump Shot,14,140,32,True
Zaza Pachulia,1,9,39,0,Jump Shot,19,-79,175,True
Zaza Pachulia,1,10,37,0,Jump Shot,17,-5,179,True
Zaza Pachulia,3,11,6,1,Jump Shot,10,-44,95,True
Zaza Pachulia,1,10,33,0,Jump Shot,3,20,24,True
Zaza Pachulia,1,10,27,0,Jump Shot,1,-16,9,True
Zaza Pachulia,1,7,41,0,Jump Shot,4,-10,48,True
Zaza Pachulia,1,11,28,0,Jump Shot,11,5,116,True
Zaza Pachulia,1,9,44,0,Jump Shot,12,-97,84,True
Zaza Pachulia,3,9,0,1,Jump Shot,13,112,69,True
Zaza Pachulia,1,7,13,0,Jump Shot,17,-103,146,True
Zaza Pachulia,3,9,32,0,Jump Shot,14,9,148,True
Zaza Pachulia,1,3,32,1,Jump Shot,9,-2,90,True
Zaza Pachulia,3,10,51,0,Jump Shot,10,-2,100,True
Zaza Pachulia,1,7,35,1,Jump Shot,19,90,170,True
Zaza Pachulia,2,4,7,0,Jump Shot,10,14,102,True
Zaza Pachulia,1,7,50,0,Jump Shot,19,-121,148,True
Zaza Pachulia,3,2,3,1,Jump Shot,11,112,26,True
Zaza Pachulia,1,4,8,0,Jump Shot,17,37,169,True
Zaza Pachulia,1,11,32,0,Jump Shot,18,65,175,True
Zaza Pachulia,3,8,32,0,Jump Shot,15,-8,159,True
Zaza Pachulia,1,4,29,1,Jump Shot,1,11,11,True
Zaza Pachulia,1,7,49,1,Jump Shot,18,90,157,True
Zaza Pachulia,1,11,26,0,Jump Shot,17,90,155,True
Zaza Pachulia,1,5,19,0,Jump Shot,7,2,73,True
Zaza Pachulia,1,10,19,1,Jump Shot,16,-45,162,True
Zaza Pachulia,3,10,2,0,Jump Shot,20,-41,204,True
Zaza Pachulia,1,7,41,0,Jump Shot,16,-86,141,True
Zaza Pachulia,1,10,49,0,Jump Shot,16,-89,144,True
Zaza Pachulia,3,6,3,1,Jump Shot,18,-132,125,True
Zaza Pachulia,1,4,20,1,Jump Shot,16,-47,155,True
Zaza Pachulia,3,10,58,1,Jump Shot,9,-2,90,True
Zaza Pachulia,3,8,2,0,Jump Shot,11,114,5,True
Zaza Pachulia,3,7,18,0,Jump Shot,14,91,112,True
Zaza Pachulia,3,10,15,0,Jump Shot,6,-5,62,True
Zaza Pachulia,1,9,36,0,Jump Shot,17,-109,138,True
Zaza Pachulia,1,8,39,1,Jump Shot,15,-74,132,True
Zaza Pachulia,3,9,57,1,Jump Shot,18,25,184,True
Zaza Pachulia,3,4,35,0,Jump Shot,20,-39,204,True
Zaza Pachulia,1,10,51,0,Jump Shot,12,127,7,True
Zaza Pachulia,1,8,9,0,Jump Shot,8,6,88,True
Zaza Pachulia,3,5,57,0,Jump Shot,18,-7,181,True
Zaza Pachulia,1,11,9,1,Jump Shot,8,-54,68,True
Zaza Pachulia,3,8,27,1,Layup Shot,1,-11,13,True
Zaza Pachulia,3,8,26,0,Layup Shot,2,22,11,True
Zaza Pachulia,1,10,23,1,Layup Shot,1,12,-5,True
Zaza Pachulia,1,1,34,0,Layup Shot,3,15,31,True
Zaza Pachulia,1,8,41,1,Layup Shot,3,-14,31,True
Zaza Pachulia,1,0,23,0,Layup Shot,1,0,17,True
Zaza Pachulia,1,9,31,0,Layup Shot,2,-24,9,True
Zaza Pachulia,1,2,33,1,Layup Shot,1,-11,15,True
Zaza Pachulia,1,6,30,1,Layup Shot,1,-16,2,True
Zaza Pachulia,1,10,32,1,Layup Shot,1,-14,4,True
Zaza Pachulia,1,5,8,0,Layup Shot,2,-13,20,True
Zaza Pachulia,3,4,7,1,Layup Shot,2,18,11,True
Zaza Pachulia,1,10,14,1,Layup Shot,1,16,10,True
Zaza Pachulia,3,8,26,1,Layup Shot,1,-8,7,True
Zaza Pachulia,1,9,42,0,Layup Shot,2,3,20,True
Zaza Pachulia,3,9,40,0,Layup Shot,1,12,15,True
Zaza Pachulia,1,9,44,0,Layup Shot,1,4,17,True
Zaza Pachulia,1,6,40,1,Layup Shot,2,-1,25,True
Zaza Pachulia,3,8,39,1,Layup Shot,1,12,14,True
Zaza Pachulia,1,8,41,1,Layup Shot,1,-12,10,True
Zaza Pachulia,1,6,14,1,Layup Shot,2,18,10,True
Zaza Pachulia,1,5,37,1,Layup Shot,1,1,19,True
Zaza Pachulia,1,11,24,1,Layup Shot,1,-3,12,True
Zaza Pachulia,3,6,50,1,Layup Shot,2,14,16,True
Zaza Pachulia,1,10,49,0,Layup Shot,1,8,13,True
Zaza Pachulia,1,9,18,1,Layup Shot,1,5,15,True
Zaza Pachulia,3,6,44,1,Layup Shot,1,5,9,True
Zaza Pachulia,1,7,46,1,Layup Shot,0,2,9,True
Zaza Pachulia,3,4,0,0,Layup Shot,1,-14,5,True
Zaza Pachulia,3,6,2,1,Layup Shot,1,10,12,True
Zaza Pachulia,3,10,37,0,Layup Shot,1,5,11,True
Zaza Pachulia,1,9,59,1,Layup Shot,2,25,1,True
Zaza Pachulia,2,4,42,1,Layup Shot,1,-7,11,True
Zaza Pachulia,1,8,2,1,Layup Shot,1,-8,18,True
Zaza Pachulia,1,10,2,1,Layup Shot,2,-19,8,True
Zaza Pachulia,1,9,19,0,Layup Shot,3,31,22,True
Zaza Pachulia,3,10,34,0,Layup Shot,2,2,27,True
Zaza Pachulia,1,7,26,1,Layup Shot,1,-8,18,True
Zaza Pachulia,1,8,20,1,Layup Shot,2,0,28,True
Zaza Pachulia,3,11,17,1,Layup Shot,1,-19,6,True
Zaza Pachulia,1,8,39,0,Layup Shot,3,-5,33,True
Zaza Pachulia,3,10,48,1,Layup Shot,3,29,11,True
Zaza Pachulia,1,9,26,1,Layup Shot,1,14,-10,True
Zaza Pachulia,4,1,9,1,Layup Shot,3,34,15,True
Zaza Pachulia,3,6,29,0,Layup Shot,4,-3,46,True
Zaza Pachulia,3,7,21,1,Layup Shot,3,14,30,True
Zaza Pachulia,1,3,38,0,Layup Shot,1,0,16,True
Zaza Pachulia,1,9,18,1,Layup Shot,1,-4,17,True
Zaza Pachulia,3,11,11,1,Layup Shot,1,6,16,True
Zaza Pachulia,3,10,55,1,Layup Shot,2,-12,21,True
Zaza Pachulia,1,9,5,0,Layup Shot,3,-14,32,True
Zaza Pachulia,3,11,1,1,Layup Shot,2,2,22,True
Zaza Pachulia,3,8,58,0,Layup Shot,1,6,13,True
Zaza Pachulia,3,4,34,1,Layup Shot,3,29,17,True
Zaza Pachulia,3,7,3,0,Layup Shot,1,5,11,True
Zaza Pachulia,3,10,29,1,Layup Shot,1,18,2,True
Zaza Pachulia,3,9,32,1,Layup Shot,1,-15,10,True
Zaza Pachulia,1,5,28,0,Layup Shot,1,-3,16,True
Zaza Pachulia,3,6,51,0,Layup Shot,2,0,25,True
Zaza Pachulia,3,8,0,1,Layup Shot,2,2,24,True
Zaza Pachulia,1,7,27,0,Layup Shot,2,-3,21,True
Zaza Pachulia,3,7,49,1,Layup Shot,1,-6,15,True
Zaza Pachulia,3,9,47,0,Pullup Jump shot,15,-4,150,True
Zaza Pachulia,3,8,37,1,Pullup Jump shot,9,-6,92,True
Zaza Pachulia,1,10,21,1,Pullup Jump shot,10,70,82,True
Zaza Pachulia,3,10,20,0,Putback Layup Shot,1,-12,-4,True
Zaza Pachulia,3,7,58,0,Putback Layup Shot,1,10,6,True
Zaza Pachulia,1,6,17,0,Putback Layup Shot,0,-1,2,True
