name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
AJ Price,2,10,1,1,-10,1,10.5,True
AJ Price,4,11,1,7,-59,53,12.7,True
AJ Price,3,2,0,11,-111,9,17.2,True
AJ Price,4,5,0,23,233,6,5.7,False
AJ Price,4,3,0,14,-149,4,11.5,True
AJ Price,2,8,1,6,-60,28,16.6,True
AJ Price,3,1,0,18,-131,137,9.0,True
AJ Price,4,3,1,8,-68,58,5.0,True
AJ Price,4,1,1,8,42,75,11.8,True
AJ Price,4,0,1,14,-41,135,13.9,True
AJ Price,3,0,0,14,77,126,6.6,True
AJ Price,3,0,0,27,-10,272,0.0,False
AJ Price,4,9,0,12,-97,72,16.0,True
AJ Price,4,4,1,16,-116,113,9.0,True
AJ Price,4,3,0,25,-48,250,4.8,False
AJ Price,4,4,0,25,141,214,12.5,False
AJ Price,1,0,0,24,88,231,5.2,False
AJ Price,4,10,0,24,157,190,18.6,False
AJ Price,4,2,0,24,-169,181,1.7,False
AJ Price,4,0,0,26,138,230,0.0,False
AJ Price,3,3,0,7,58,42,10.6,True
AJ Price,4,0,0,25,-202,149,0.0,False
AJ Price,4,4,0,25,204,149,10.2,False
AJ Price,4,1,0,19,-193,30,8.7,True
AJ Price,1,0,0,26,135,225,0.9,False
AJ Price,4,3,0,15,99,121,7.2,True
AJ Price,1,2,0,17,-56,170,5.3,True
AJ Price,4,3,0,0,-4,6,23.0,True
AJ Price,4,2,0,0,-4,1,19.7,True
AJ Price,2,11,1,18,165,75,10.7,True
AJ Price,2,2,0,16,-93,134,4.5,True
AJ Price,1,1,1,9,-56,82,8.9,True
AJ Price,2,7,0,19,-194,0,9.7,True
AJ Price,2,2,0,11,-37,105,14.0,True
AJ Price,2,11,0,25,54,246,7.5,False
AJ Price,3,1,0,22,-226,4,13.2,False
AJ Price,3,5,0,25,-166,189,4.0,False
AJ Price,2,8,1,13,-136,20,24.0,True
AJ Price,2,7,0,26,-5,261,8.3,False
AJ Price,2,6,0,17,103,140,3.8,True
AJ Price,4,7,0,23,-231,-5,6.3,False
AJ Price,4,8,0,10,80,69,14.1,True
AJ Price,2,10,0,17,-168,34,18.2,True
AJ Price,4,5,0,24,234,67,9.3,False
AJ Price,4,9,0,25,182,181,10.1,False
AJ Price,4,10,1,17,-100,149,17.3,True
AJ Price,2,7,1,19,18,190,15.2,True
AJ Price,2,9,0,17,-87,153,4.3,True
AJ Price,2,5,0,9,67,69,10.5,True
AJ Price,2,6,0,2,23,6,5.5,True
AJ Price,3,0,0,12,-120,6,2.2,True
AJ Price,3,0,0,16,-161,9,2.1,True
AJ Price,2,6,1,11,43,107,14.8,True
AJ Price,4,10,1,4,36,25,15.2,True
AJ Price,2,5,0,20,135,159,13.6,True
AJ Price,4,3,0,24,75,238,3.5,False
AJ Price,3,1,1,9,-73,67,9.7,True
AJ Price,3,1,0,25,157,200,6.8,False
AJ Price,4,9,0,9,-87,33,11.1,True
AJ Price,4,8,1,24,-70,231,10.4,False
AJ Price,4,9,1,17,127,124,9.0,True
AJ Price,1,0,0,28,-175,224,0.0,False
AJ Price,2,9,1,8,-37,82,15.5,True
AJ Price,2,4,0,6,-48,45,15.5,True
AJ Price,3,0,1,25,-155,206,13.8,False
AJ Price,4,8,1,27,165,222,15.2,False
AJ Price,4,6,1,25,113,233,22.2,False
AJ Price,1,1,1,25,168,190,13.0,False
AJ Price,3,1,0,9,89,41,1.7,True
AJ Price,3,0,0,24,138,206,0.0,False
AJ Price,4,10,1,9,-98,6,14.5,True
AJ Price,2,10,1,15,-87,126,3.6,True
AJ Price,3,4,1,12,102,71,5.7,True
AJ Price,4,10,1,25,125,224,15.1,False
AJ Price,4,8,1,26,80,250,6.2,False
AJ Price,4,7,0,25,102,230,18.2,False
AJ Price,4,3,1,19,-199,-11,2.0,True
AJ Price,3,0,1,17,-93,151,10.3,True
AJ Price,4,9,1,24,-141,206,9.9,False
AJ Price,4,6,1,25,-92,233,14.2,False
AJ Price,1,0,0,36,-193,304,0.0,False
AJ Price,4,11,1,25,226,112,22.3,False
AJ Price,4,8,1,17,168,34,8.0,True
AJ Price,4,9,0,8,1,85,9.8,True
AJ Price,4,10,0,17,116,135,17.4,True
AJ Price,4,8,1,24,138,205,7.6,False
AJ Price,2,11,0,16,-139,93,3.8,True
AJ Price,4,4,0,27,168,219,20.3,False
AJ Price,4,8,0,25,106,228,15.1,False
AJ Price,1,0,0,19,-117,157,4.3,True
AJ Price,2,6,1,25,143,217,17.0,False
AJ Price,4,11,1,25,-150,205,7.7,False
AJ Price,4,9,1,25,203,156,10.5,False
AJ Price,4,4,0,23,-228,71,11.5,False
AJ Price,4,3,1,23,-232,0,16.1,False
AJ Price,2,3,0,20,-64,200,18.0,True
AJ Price,4,4,0,26,43,261,12.4,False
AJ Price,4,7,0,26,-81,252,8.0,False
AJ Price,4,7,0,15,-130,88,22.5,True
AJ Price,4,6,0,24,206,140,8.0,False
AJ Price,4,1,0,14,110,99,6.6,True
AJ Price,1,1,0,25,-52,252,22.0,False
AJ Price,4,9,0,26,160,206,10.0,False
AJ Price,4,11,0,19,29,192,15.0,True
AJ Price,2,5,0,4,-37,30,10.4,True
AJ Price,2,6,0,25,-150,200,11.9,False
AJ Price,4,8,0,11,56,104,6.3,True
AJ Price,2,2,0,24,-175,167,6.5,False
AJ Price,2,8,0,29,114,271,5.3,False
AJ Price,2,10,0,26,-141,224,13.3,False
AJ Price,4,5,0,25,13,254,3.5,False
AJ Price,4,9,0,20,-86,190,7.3,True
AJ Price,1,1,0,13,119,67,21.9,True
AJ Price,1,0,0,24,-190,154,6.4,False
AJ Price,2,5,0,11,6,118,7.3,True
AJ Price,2,7,0,27,176,208,1.2,False
AJ Price,2,9,0,19,-51,184,14.2,True
AJ Price,2,5,0,26,106,238,8.8,False
AJ Price,4,7,0,24,-116,211,11.4,False
AJ Price,2,10,0,7,23,72,3.9,True
AJ Price,1,0,0,15,-141,63,0.0,True
AJ Price,4,7,0,23,-226,48,9.6,False
AJ Price,2,9,1,2,26,4,11.4,True
AJ Price,3,1,0,2,-7,19,0.7,True
AJ Price,2,10,1,6,-37,53,12.4,True
AJ Price,4,6,1,16,160,-16,4.9,True
AJ Price,2,3,1,14,6,143,13.8,True
AJ Price,2,3,1,17,121,129,16.2,True
AJ Price,2,7,1,17,129,121,13.1,True
AJ Price,2,7,1,14,-73,126,18.9,True
AJ Price,2,9,1,14,-141,17,16.1,True
AJ Price,4,10,1,19,193,15,9.9,True
AJ Price,2,3,1,13,-59,121,13.5,True
AJ Price,1,0,1,17,-86,149,14.2,True
AJ Price,3,1,0,3,29,15,5.4,True
AJ Price,2,6,1,15,88,131,6.3,True
AJ Price,4,0,1,20,185,91,5.1,True
