name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
AlFarouq Aminu,1,11,0,2,23,4,8.3,True
AlFarouq Aminu,2,10,1,0,0,1,20.2,True
AlFarouq Aminu,1,2,0,0,0,1,20.0,True
AlFarouq Aminu,1,0,1,0,9,0,0.0,True
AlFarouq Aminu,2,8,1,0,0,1,20.0,True
AlFarouq Aminu,4,9,1,1,9,-13,19.3,True
AlFarouq Aminu,2,9,0,6,67,12,5.2,True
AlFarouq Aminu,3,6,0,0,0,1,12.0,True
AlFarouq Aminu,4,8,1,0,0,1,21.2,True
AlFarouq Aminu,4,9,1,0,0,1,15.0,True
AlFarouq Aminu,2,9,1,0,0,1,13.8,True
AlFarouq Aminu,4,3,1,0,0,1,11.6,True
AlFarouq Aminu,4,4,0,2,13,22,18.4,True
AlFarouq Aminu,2,8,1,0,9,4,19.6,True
AlFarouq Aminu,4,4,1,2,-8,22,19.3,True
AlFarouq Aminu,4,2,1,3,2,31,6.6,True
AlFarouq Aminu,2,8,0,4,15,45,9.2,True
AlFarouq Aminu,2,11,1,5,21,53,15.3,True
AlFarouq Aminu,2,10,0,6,20,61,0.0,True
AlFarouq Aminu,1,5,0,3,-34,1,7.4,True
AlFarouq Aminu,1,4,1,6,7,63,5.0,True
AlFarouq Aminu,2,9,0,4,39,23,15.9,True
AlFarouq Aminu,4,8,1,1,-10,0,18.6,True
AlFarouq Aminu,3,3,0,2,-4,26,14.6,True
AlFarouq Aminu,2,10,1,1,-13,11,20.3,True
AlFarouq Aminu,2,10,0,1,-8,15,20.8,True
AlFarouq Aminu,4,11,1,1,10,7,13.4,True
AlFarouq Aminu,3,4,1,0,-4,9,16.0,True
AlFarouq Aminu,2,10,1,2,10,26,9.4,True
AlFarouq Aminu,2,10,1,1,-13,3,12.0,True
AlFarouq Aminu,4,6,0,1,0,11,21.3,True
AlFarouq Aminu,2,11,0,0,1,1,19.4,True
AlFarouq Aminu,2,6,1,1,-10,17,14.2,True
AlFarouq Aminu,2,2,1,1,10,6,12.0,True
AlFarouq Aminu,1,3,1,2,-18,9,19.9,True
AlFarouq Aminu,1,4,1,0,0,1,21.0,True
AlFarouq Aminu,2,4,1,0,0,1,20.1,True
AlFarouq Aminu,4,10,1,0,0,1,4.8,True
AlFarouq Aminu,3,1,1,0,0,1,19.4,True
AlFarouq Aminu,4,9,1,0,0,1,22.8,True
AlFarouq Aminu,2,9,1,0,0,1,15.5,True
AlFarouq Aminu,4,1,0,2,-8,20,20.0,True
AlFarouq Aminu,4,0,1,0,0,1,19.9,True
AlFarouq Aminu,2,8,1,0,0,1,20.9,True
AlFarouq Aminu,2,8,1,0,0,1,19.5,True
AlFarouq Aminu,3,3,1,0,0,1,18.5,True
AlFarouq Aminu,1,8,1,0,0,1,24.0,True
AlFarouq Aminu,4,7,1,0,0,1,11.0,True
AlFarouq Aminu,2,11,0,0,0,1,24.0,True
AlFarouq Aminu,2,8,1,0,0,1,14.7,True
AlFarouq Aminu,1,0,0,5,-11,52,0.0,True
AlFarouq Aminu,2,11,0,20,203,0,3.5,True
AlFarouq Aminu,2,7,0,3,2,37,8.6,True
AlFarouq Aminu,1,2,0,6,-10,63,12.9,True
AlFarouq Aminu,2,5,0,5,28,44,14.3,True
AlFarouq Aminu,2,11,0,5,-24,50,11.3,True
AlFarouq Aminu,4,8,0,13,-93,101,5.4,True
AlFarouq Aminu,4,7,0,10,-97,28,5.4,True
AlFarouq Aminu,3,5,1,17,15,173,13.8,True
AlFarouq Aminu,3,1,1,4,2,42,12.8,True
AlFarouq Aminu,3,1,1,12,88,89,19.8,True
AlFarouq Aminu,4,0,1,23,-204,123,6.2,False
AlFarouq Aminu,2,8,1,24,179,162,22.0,False
AlFarouq Aminu,1,1,1,22,225,7,14.4,False
AlFarouq Aminu,2,10,1,23,231,23,16.6,False
AlFarouq Aminu,3,0,0,20,-158,132,0.0,True
AlFarouq Aminu,4,5,1,10,13,108,9.5,True
AlFarouq Aminu,2,11,1,22,-224,14,16.0,False
AlFarouq Aminu,1,4,1,23,-231,6,15.9,False
AlFarouq Aminu,2,6,1,11,-114,34,9.7,True
AlFarouq Aminu,2,9,1,26,198,178,7.0,False
AlFarouq Aminu,4,7,1,25,-228,107,10.4,False
AlFarouq Aminu,1,9,1,23,236,6,10.2,False
AlFarouq Aminu,1,6,1,25,228,123,15.0,False
AlFarouq Aminu,3,6,1,15,159,1,17.4,True
AlFarouq Aminu,3,6,1,22,-226,-8,7.3,False
AlFarouq Aminu,3,3,0,4,42,4,18.2,True
AlFarouq Aminu,1,5,1,23,234,0,14.3,False
AlFarouq Aminu,2,7,1,22,228,22,12.2,False
AlFarouq Aminu,1,5,0,22,-188,131,16.6,True
AlFarouq Aminu,1,4,1,26,-163,209,9.0,False
AlFarouq Aminu,1,1,1,8,31,75,15.3,True
AlFarouq Aminu,1,0,0,25,-136,216,4.7,False
AlFarouq Aminu,4,6,0,21,-210,9,11.6,True
AlFarouq Aminu,3,3,0,22,-116,197,10.5,True
AlFarouq Aminu,4,1,0,24,-122,211,2.5,False
AlFarouq Aminu,3,3,0,23,233,15,8.2,False
AlFarouq Aminu,4,8,0,22,-229,-8,0.0,False
AlFarouq Aminu,2,5,0,24,-56,241,11.5,False
AlFarouq Aminu,3,5,1,23,231,29,16.8,False
AlFarouq Aminu,3,5,0,24,158,183,11.3,False
AlFarouq Aminu,4,3,0,25,-17,250,9.0,False
AlFarouq Aminu,3,3,0,24,-137,205,14.1,False
AlFarouq Aminu,3,2,0,23,230,48,4.5,False
AlFarouq Aminu,4,0,0,26,151,217,23.2,False
AlFarouq Aminu,4,3,0,25,-112,225,9.3,False
AlFarouq Aminu,4,7,1,23,230,3,12.9,False
AlFarouq Aminu,2,1,0,22,223,3,15.6,False
AlFarouq Aminu,3,5,1,24,174,170,13.2,False
AlFarouq Aminu,4,9,0,22,-224,33,11.2,False
AlFarouq Aminu,4,11,0,21,100,192,12.0,True
AlFarouq Aminu,4,10,1,25,-49,249,14.9,False
AlFarouq Aminu,4,6,0,5,13,50,13.8,True
AlFarouq Aminu,1,3,0,24,-128,214,11.6,False
AlFarouq Aminu,2,11,0,25,136,213,11.0,False
AlFarouq Aminu,2,9,0,24,228,99,8.6,False
AlFarouq Aminu,2,8,0,22,-229,15,7.8,False
AlFarouq Aminu,2,9,0,6,42,48,19.1,True
AlFarouq Aminu,1,0,0,22,-226,19,6.5,False
AlFarouq Aminu,1,6,0,22,-226,23,8.0,False
AlFarouq Aminu,2,6,0,24,100,228,16.0,False
AlFarouq Aminu,1,6,0,19,-89,179,11.5,True
AlFarouq Aminu,4,3,0,27,162,227,10.3,False
AlFarouq Aminu,2,0,0,22,-228,-6,6.6,False
AlFarouq Aminu,4,0,0,24,239,31,0.0,False
