name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Alec Burks,4,6,1,4,45,20,11.7,True
Alec Burks,1,5,1,5,51,22,22.9,True
Alec Burks,2,0,1,0,0,1,22.3,True
Alec Burks,1,6,1,0,0,1,21.6,True
Alec Burks,4,11,1,1,15,9,14.5,True
Alec Burks,2,2,1,0,4,1,5.0,True
Alec Burks,1,1,1,6,50,45,9.2,True
Alec Burks,3,8,0,7,67,23,5.6,True
Alec Burks,3,8,0,5,-45,31,10.2,True
Alec Burks,3,4,1,2,-21,9,3.2,True
Alec Burks,1,3,1,2,-10,22,20.7,True
Alec Burks,1,2,1,1,1,14,15.1,True
Alec Burks,4,9,0,1,15,4,10.9,True
Alec Burks,3,0,1,2,-24,7,15.4,True
Alec Burks,4,6,0,1,-15,7,3.9,True
Alec Burks,1,7,1,2,24,3,19.7,True
Alec Burks,1,6,1,2,18,20,10.1,True
Alec Burks,1,6,1,2,28,0,8.9,True
Alec Burks,3,6,1,1,13,11,13.0,True
Alec Burks,1,2,0,2,-24,6,18.0,True
Alec Burks,1,10,1,1,-11,-6,12.3,True
Alec Burks,1,9,1,2,21,6,8.3,True
Alec Burks,1,5,1,0,7,1,5.0,True
Alec Burks,3,8,1,2,-4,25,19.9,True
Alec Burks,4,2,0,2,-10,19,5.4,True
Alec Burks,3,11,0,2,-18,11,8.0,True
Alec Burks,1,1,1,1,-16,9,7.9,True
Alec Burks,2,7,1,2,23,1,18.5,True
Alec Burks,2,4,0,1,-19,6,7.2,True
Alec Burks,4,0,1,2,-18,22,13.9,True
Alec Burks,4,1,1,1,13,14,6.7,True
Alec Burks,3,3,1,1,13,3,17.0,True
Alec Burks,4,1,0,2,-15,17,2.4,True
Alec Burks,4,7,0,0,-7,4,2.8,True
Alec Burks,3,3,0,1,-11,6,14.4,True
Alec Burks,1,8,1,0,1,3,17.4,True
Alec Burks,4,7,0,2,26,11,9.3,True
Alec Burks,4,10,0,2,24,7,5.5,True
Alec Burks,3,7,0,2,-14,19,12.2,True
Alec Burks,1,8,1,0,1,0,13.0,True
Alec Burks,3,10,0,2,28,9,18.4,True
Alec Burks,1,0,1,1,-11,6,3.5,True
Alec Burks,3,3,0,1,-18,3,2.0,True
Alec Burks,3,8,1,2,-23,0,15.3,True
Alec Burks,4,6,1,1,12,-3,8.5,True
Alec Burks,1,2,1,1,0,17,2.8,True
Alec Burks,4,2,1,1,-19,-2,9.3,True
