name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Alex Len,3,5,1,0,0,1,15.9,True
Alex Len,2,1,1,0,0,1,9.2,True
Alex Len,1,4,1,0,0,1,8.5,True
Alex Len,1,3,1,0,-8,0,20.1,True
Alex Len,1,8,1,0,0,1,19.4,True
Alex Len,2,2,1,0,0,1,24.0,True
Alex Len,2,6,1,0,0,1,24.0,True
Alex Len,3,8,1,0,1,0,20.6,True
Alex Len,3,10,0,1,-15,12,23.7,True
Alex Len,2,1,0,1,-18,-2,11.0,True
Alex Len,3,9,1,1,-13,12,15.4,True
Alex Len,3,10,1,0,0,1,10.2,True
Alex Len,3,6,1,0,0,1,12.4,True
Alex Len,2,3,1,0,4,0,23.0,True
Alex Len,4,4,0,2,23,6,11.7,True
Alex Len,1,9,1,1,-13,-3,6.0,True
Alex Len,1,5,1,1,18,6,20.0,True
Alex Len,1,1,1,0,0,1,19.7,True
Alex Len,1,5,0,0,0,1,24.0,True
Alex Len,2,0,1,0,0,1,13.6,True
Alex Len,2,3,1,0,0,1,21.3,True
Alex Len,4,8,1,0,0,1,11.1,True
Alex Len,3,7,1,0,0,1,24.0,True
Alex Len,4,10,1,0,0,1,13.4,True
Alex Len,2,4,1,0,0,1,4.3,True
Alex Len,3,0,0,0,0,1,11.8,True
Alex Len,2,1,1,0,0,1,16.8,True
Alex Len,1,4,1,0,0,1,13.7,True
Alex Len,1,9,1,0,0,1,8.2,True
Alex Len,1,9,1,0,0,1,15.9,True
Alex Len,3,5,1,0,0,1,22.1,True
Alex Len,2,1,1,0,0,1,15.3,True
Alex Len,1,8,1,0,0,1,13.7,True
Alex Len,2,3,1,0,0,1,17.7,True
Alex Len,2,3,1,0,0,1,15.5,True
Alex Len,3,10,1,0,0,1,15.6,True
Alex Len,2,6,1,0,0,1,8.1,True
Alex Len,1,6,0,0,0,1,23.5,True
Alex Len,4,6,1,0,0,1,9.0,True
Alex Len,3,3,1,0,0,1,15.4,True
Alex Len,2,6,1,0,0,1,17.2,True
Alex Len,3,1,1,0,0,1,21.5,True
Alex Len,2,5,1,0,0,1,0.0,True
Alex Len,1,6,1,0,0,1,10.0,True
Alex Len,1,7,1,0,0,1,4.6,True
Alex Len,1,8,1,0,0,1,14.0,True
Alex Len,3,6,1,0,0,1,12.7,True
Alex Len,2,0,1,0,0,1,6.0,True
Alex Len,2,9,1,0,0,1,13.3,True
Alex Len,4,9,1,0,0,1,14.7,True
Alex Len,3,9,1,0,0,1,11.9,True
Alex Len,3,4,1,0,0,1,15.4,True
Alex Len,4,8,1,0,0,1,18.2,True
Alex Len,1,8,1,0,0,1,13.0,True
Alex Len,3,5,0,1,4,12,13.6,True
Alex Len,3,11,1,0,0,1,20.1,True
Alex Len,3,8,1,0,0,1,15.4,True
Alex Len,2,3,1,0,0,1,12.7,True
Alex Len,1,4,1,0,0,1,9.8,True
Alex Len,3,6,0,0,0,1,13.1,True
Alex Len,2,0,1,0,0,1,0.0,True
Alex Len,3,0,1,16,155,48,13.3,True
Alex Len,1,2,0,3,36,12,12.3,True
Alex Len,1,7,1,4,1,41,19.8,True
Alex Len,3,7,0,3,-30,23,9.9,True
Alex Len,1,11,1,6,6,61,18.1,True
Alex Len,2,4,1,8,62,53,16.4,True
Alex Len,1,8,0,2,24,17,13.0,True
Alex Len,4,10,1,3,1,30,16.0,True
Alex Len,1,4,0,7,-73,19,12.7,True
Alex Len,1,5,0,7,-73,30,16.0,True
Alex Len,2,8,0,5,-13,55,11.2,True
Alex Len,3,9,0,8,50,72,7.1,True
Alex Len,1,10,0,4,0,42,7.7,True
Alex Len,1,5,0,6,-52,42,18.6,True
Alex Len,4,1,0,5,31,44,23.5,True
Alex Len,1,4,0,5,-45,39,15.9,True
Alex Len,1,7,1,16,146,75,10.4,True
Alex Len,3,10,0,16,144,78,1.0,True
Alex Len,1,11,0,6,7,63,10.5,True
Alex Len,3,2,0,17,12,178,10.3,True
Alex Len,2,7,0,18,-13,184,15.2,True
Alex Len,3,2,0,3,12,30,12.3,True
Alex Len,2,2,0,14,-35,145,11.1,True
Alex Len,3,0,1,14,-29,142,8.3,True
Alex Len,2,8,1,17,-10,176,15.6,True
Alex Len,2,1,1,14,20,148,13.7,True
Alex Len,4,11,1,20,83,190,15.6,True
Alex Len,1,5,1,4,-38,28,2.0,True
Alex Len,3,4,0,9,-90,20,22.5,True
Alex Len,3,0,1,23,-232,-17,4.2,False
Alex Len,1,3,1,15,-146,63,6.2,True
Alex Len,3,7,1,14,144,-3,8.4,True
Alex Len,1,4,1,16,147,72,11.7,True
