name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Andrea Bargnani,1,8,1,0,0,1,9.3,True
Andrea Bargnani,4,6,1,0,0,1,11.6,True
Andrea Bargnani,3,3,1,0,0,1,13.2,True
Andrea Bargnani,3,9,0,2,26,4,1.2,True
Andrea Bargnani,2,0,1,1,-5,17,8.1,True
Andrea Bargnani,1,10,0,3,13,28,10.9,True
Andrea Bargnani,4,3,1,2,21,-3,24.0,True
Andrea Bargnani,2,0,1,2,17,19,3.9,True
Andrea Bargnani,3,3,1,3,31,14,8.3,True
Andrea Bargnani,1,6,1,2,26,14,9.5,True
Andrea Bargnani,1,7,0,3,26,17,15.2,True
Andrea Bargnani,2,0,1,2,24,0,10.4,True
Andrea Bargnani,2,4,1,1,17,1,11.8,True
Andrea Bargnani,2,4,1,1,13,0,15.0,True
Andrea Bargnani,1,5,1,0,9,1,15.1,True
Andrea Bargnani,4,9,0,1,18,7,5.1,True
Andrea Bargnani,1,10,1,2,20,0,8.4,True
Andrea Bargnani,2,8,1,0,0,1,7.0,True
Andrea Bargnani,4,8,1,0,0,1,13.3,True
Andrea Bargnani,1,8,1,20,149,135,7.6,True
Andrea Bargnani,1,11,0,11,103,53,11.7,True
Andrea Bargnani,1,11,0,7,75,14,11.8,True
Andrea Bargnani,2,0,1,9,39,89,8.5,True
Andrea Bargnani,2,8,0,4,-18,36,7.1,True
Andrea Bargnani,4,2,1,8,39,80,9.3,True
Andrea Bargnani,2,6,1,10,56,88,15.7,True
Andrea Bargnani,2,4,0,14,133,56,9.9,True
Andrea Bargnani,1,8,1,12,88,82,6.2,True
Andrea Bargnani,1,1,1,7,1,74,11.7,True
Andrea Bargnani,4,3,1,7,72,20,15.0,True
Andrea Bargnani,2,1,0,14,147,14,6.0,True
Andrea Bargnani,2,0,1,7,-40,63,11.7,True
Andrea Bargnani,2,8,0,6,-2,60,15.7,True
Andrea Bargnani,2,4,0,5,7,58,13.0,True
Andrea Bargnani,4,7,1,3,-16,34,9.4,True
Andrea Bargnani,3,6,1,14,20,140,0.7,True
Andrea Bargnani,3,6,0,5,59,2,13.2,True
Andrea Bargnani,1,5,0,16,88,143,17.0,True
Andrea Bargnani,1,6,0,4,-4,41,1.5,True
Andrea Bargnani,3,2,0,19,193,28,17.0,True
Andrea Bargnani,1,0,1,8,-35,80,7.0,True
Andrea Bargnani,2,4,0,8,34,77,11.4,True
Andrea Bargnani,2,7,0,16,6,162,4.0,True
Andrea Bargnani,5,0,0,25,-75,241,0.0,False
Andrea Bargnani,4,5,0,22,-13,222,8.0,True
Andrea Bargnani,3,10,1,11,-62,101,8.5,True
Andrea Bargnani,3,7,1,6,-40,48,18.2,True
Andrea Bargnani,2,7,1,3,7,37,6.8,True
Andrea Bargnani,4,3,0,13,42,127,6.5,True
Andrea Bargnani,1,6,0,15,-34,149,8.6,True
Andrea Bargnani,1,11,0,20,78,194,10.9,True
Andrea Bargnani,4,4,0,26,-109,244,8.6,False
Andrea Bargnani,3,10,0,6,5,66,9.1,True
Andrea Bargnani,3,8,0,19,-140,136,8.0,True
Andrea Bargnani,1,6,0,20,53,198,16.7,True
Andrea Bargnani,2,3,1,25,-81,238,15.1,False
Andrea Bargnani,1,8,0,11,116,11,12.7,True
Andrea Bargnani,1,5,0,11,110,25,11.2,True
Andrea Bargnani,3,9,0,19,-68,187,3.5,True
Andrea Bargnani,2,6,0,18,-84,170,11.0,True
Andrea Bargnani,1,7,0,13,-71,115,13.6,True
Andrea Bargnani,2,2,1,18,21,184,9.0,True
Andrea Bargnani,1,4,0,3,21,30,14.8,True
Andrea Bargnani,3,2,0,19,-163,108,14.5,True
Andrea Bargnani,1,1,0,19,31,195,6.0,True
Andrea Bargnani,1,4,1,17,-141,96,15.3,True
Andrea Bargnani,1,4,1,17,15,172,10.6,True
Andrea Bargnani,3,1,1,20,-117,167,6.6,True
Andrea Bargnani,5,3,0,16,157,53,1.0,True
Andrea Bargnani,4,0,0,13,-60,119,7.5,True
Andrea Bargnani,3,2,0,16,-147,74,11.4,True
Andrea Bargnani,1,7,1,17,102,143,6.0,True
Andrea Bargnani,3,2,0,9,94,31,10.5,True
Andrea Bargnani,2,3,1,14,113,94,15.8,True
Andrea Bargnani,1,4,0,22,64,211,1.1,True
Andrea Bargnani,1,0,1,9,10,99,8.6,True
Andrea Bargnani,1,4,1,14,1,145,9.6,True
Andrea Bargnani,2,6,0,14,138,28,9.1,True
Andrea Bargnani,2,2,1,19,-118,151,3.1,True
Andrea Bargnani,1,8,1,19,78,183,12.8,True
Andrea Bargnani,3,2,1,8,13,88,16.4,True
Andrea Bargnani,1,3,1,26,105,241,13.9,False
Andrea Bargnani,1,9,0,19,131,140,6.8,True
Andrea Bargnani,1,2,1,26,152,216,15.5,False
Andrea Bargnani,3,8,0,18,77,167,13.8,True
Andrea Bargnani,2,0,1,16,17,168,4.6,True
Andrea Bargnani,3,5,1,17,-160,63,15.0,True
Andrea Bargnani,4,11,1,17,-142,105,2.0,True
Andrea Bargnani,4,4,0,15,119,93,8.0,True
Andrea Bargnani,3,11,0,5,37,47,2.3,True
Andrea Bargnani,1,11,0,20,65,195,14.9,True
Andrea Bargnani,3,8,0,25,-52,250,15.5,False
Andrea Bargnani,1,3,0,25,50,250,16.9,False
Andrea Bargnani,1,10,0,16,-166,19,7.6,True
