name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Anthony Bennett,3,5,1,0,0,1,10.6,True
Anthony Bennett,1,0,1,0,0,1,9.7,True
Anthony Bennett,4,9,0,4,17,47,7.5,True
Anthony Bennett,2,1,1,1,-13,-11,20.9,True
Anthony Bennett,2,11,1,0,0,1,9.7,True
Anthony Bennett,2,7,1,0,0,1,20.1,True
Anthony Bennett,4,0,1,0,0,1,2.6,True
Anthony Bennett,2,8,1,0,0,1,16.0,True
Anthony Bennett,1,0,1,0,0,1,20.0,True
Anthony Bennett,4,4,1,0,0,1,19.8,True
Anthony Bennett,3,1,1,0,0,1,15.3,True
Anthony Bennett,4,11,1,0,0,1,24.0,True
Anthony Bennett,2,9,1,0,0,1,14.3,True
Anthony Bennett,4,10,0,0,0,1,10.7,True
Anthony Bennett,2,9,1,0,0,1,4.5,True
Anthony Bennett,4,5,0,11,-116,20,10.2,True
Anthony Bennett,3,1,0,14,119,77,15.4,True
Anthony Bennett,2,9,0,13,-134,39,5.9,True
Anthony Bennett,4,10,1,3,6,39,3.7,True
Anthony Bennett,3,2,1,3,2,31,9.0,True
Anthony Bennett,4,10,1,23,6,230,17.3,True
Anthony Bennett,4,7,1,21,65,205,7.4,True
Anthony Bennett,2,10,1,19,7,198,8.8,True
Anthony Bennett,2,8,1,20,1,205,10.0,True
Anthony Bennett,3,11,1,11,12,118,12.1,True
Anthony Bennett,3,11,1,21,-75,200,9.0,True
Anthony Bennett,3,7,1,20,-147,138,16.9,True
Anthony Bennett,4,3,1,19,-105,167,24.0,True
Anthony Bennett,2,9,1,18,48,178,9.3,True
Anthony Bennett,2,7,1,20,-75,187,8.2,True
Anthony Bennett,1,10,1,16,-164,44,17.9,True
Anthony Bennett,2,6,0,3,-23,22,15.5,True
Anthony Bennett,1,4,1,20,152,138,17.3,True
Anthony Bennett,1,3,1,20,-87,186,13.7,True
Anthony Bennett,1,1,1,17,144,94,16.4,True
Anthony Bennett,2,11,0,12,121,12,9.4,True
Anthony Bennett,4,6,1,16,168,11,16.2,True
Anthony Bennett,4,6,1,21,18,216,16.2,True
Anthony Bennett,1,6,1,19,-82,181,12.7,True
Anthony Bennett,1,5,1,19,95,173,13.9,True
Anthony Bennett,1,4,1,18,111,146,13.4,True
Anthony Bennett,2,3,0,6,0,60,13.1,True
Anthony Bennett,3,11,1,18,-163,89,19.9,True
Anthony Bennett,1,0,1,20,-87,181,21.3,True
Anthony Bennett,3,0,1,18,-122,140,12.5,True
