name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Anthony Davis,4,8,1,0,0,1,12.8,True
Anthony Davis,2,5,1,0,0,1,9.6,True
Anthony Davis,1,9,1,0,1,7,18.6,True
Anthony Davis,4,1,1,0,0,1,24.0,True
Anthony Davis,4,4,1,0,0,1,10.7,True
Anthony Davis,3,8,1,0,0,1,20.8,True
Anthony Davis,3,1,1,0,0,1,19.4,True
Anthony Davis,2,2,1,0,0,1,8.4,True
Anthony Davis,4,10,1,0,0,1,14.9,True
Anthony Davis,4,4,1,2,7,26,4.9,True
Anthony Davis,2,3,1,0,0,1,8.7,True
Anthony Davis,2,3,1,0,0,1,16.9,True
Anthony Davis,3,9,1,0,0,1,21.5,True
Anthony Davis,4,2,1,0,0,1,14.2,True
Anthony Davis,3,9,1,0,0,1,9.5,True
Anthony Davis,1,1,1,0,0,1,10.0,True
Anthony Davis,3,1,1,0,0,1,13.5,True
Anthony Davis,2,1,1,0,0,1,13.2,True
Anthony Davis,3,8,1,0,0,1,10.1,True
Anthony Davis,4,7,1,0,0,1,13.4,True
Anthony Davis,1,3,1,0,0,1,9.1,True
Anthony Davis,2,2,1,0,0,1,18.7,True
Anthony Davis,1,3,1,0,0,1,0.0,True
Anthony Davis,4,8,1,0,0,1,24.0,True
Anthony Davis,3,5,1,0,0,1,18.6,True
Anthony Davis,3,10,1,0,0,1,24.0,True
Anthony Davis,2,0,1,0,0,1,24.0,True
Anthony Davis,2,5,1,0,0,1,0.0,True
Anthony Davis,1,3,1,0,0,1,8.2,True
Anthony Davis,1,0,1,0,0,1,20.0,True
Anthony Davis,2,2,1,0,0,1,13.1,True
Anthony Davis,1,3,1,0,0,1,24.0,True
Anthony Davis,4,4,1,0,0,1,10.5,True
Anthony Davis,3,3,1,0,0,1,10.0,True
Anthony Davis,4,3,1,0,0,1,11.7,True
Anthony Davis,4,10,1,0,0,1,11.9,True
Anthony Davis,2,3,0,1,1,11,21.1,True
Anthony Davis,1,6,0,0,0,1,19.7,True
Anthony Davis,2,2,0,1,-15,3,9.0,True
Anthony Davis,1,5,1,0,0,1,24.0,True
Anthony Davis,3,6,1,0,0,1,19.4,True
Anthony Davis,2,0,1,0,0,1,24.0,True
Anthony Davis,3,11,1,0,0,1,11.2,True
Anthony Davis,2,1,1,0,0,1,16.7,True
Anthony Davis,3,6,1,0,0,1,8.5,True
Anthony Davis,1,6,1,0,0,1,20.7,True
Anthony Davis,3,0,1,0,0,1,0.0,True
Anthony Davis,2,11,0,0,0,1,16.0,True
Anthony Davis,4,1,1,0,0,1,4.1,True
Anthony Davis,2,5,1,0,0,1,23.3,True
Anthony Davis,3,2,1,0,0,1,11.8,True
Anthony Davis,2,2,1,0,0,1,20.9,True
Anthony Davis,4,10,1,0,0,1,19.5,True
Anthony Davis,3,7,1,0,-7,0,6.2,True
Anthony Davis,2,7,1,1,-8,-8,8.7,True
Anthony Davis,2,6,1,1,13,0,8.1,True
Anthony Davis,3,2,1,3,31,6,18.1,True
Anthony Davis,2,5,1,0,-2,0,24.0,True
Anthony Davis,1,6,1,1,-13,7,4.6,True
Anthony Davis,4,10,1,1,10,-11,24.0,True
Anthony Davis,3,11,0,1,10,4,20.4,True
Anthony Davis,4,6,1,0,6,3,14.0,True
Anthony Davis,3,3,0,3,29,-14,19.6,True
Anthony Davis,4,2,0,0,-7,7,11.7,True
Anthony Davis,4,8,0,1,18,1,11.9,True
Anthony Davis,1,6,1,6,-67,12,6.1,True
Anthony Davis,4,10,1,9,83,41,0.0,True
Anthony Davis,3,10,1,6,65,15,11.9,True
Anthony Davis,1,3,0,0,0,1,10.7,True
Anthony Davis,2,6,1,0,0,1,20.8,True
Anthony Davis,4,7,1,0,0,1,21.4,True
Anthony Davis,4,7,1,0,0,1,21.3,True
Anthony Davis,3,7,1,3,12,31,6.0,True
Anthony Davis,2,6,1,0,4,0,11.5,True
Anthony Davis,3,3,0,1,-4,11,10.0,True
Anthony Davis,1,5,1,2,23,0,11.1,True
Anthony Davis,1,6,1,3,10,31,8.2,True
Anthony Davis,2,11,1,8,24,77,9.2,True
Anthony Davis,5,0,1,5,47,26,22.0,True
Anthony Davis,3,8,0,6,-46,42,7.7,True
Anthony Davis,1,5,1,8,-62,64,13.7,True
Anthony Davis,1,3,1,8,-10,85,12.3,True
Anthony Davis,3,11,1,4,0,45,9.3,True
Anthony Davis,3,3,1,12,124,11,7.0,True
Anthony Davis,4,5,1,6,26,56,5.1,True
Anthony Davis,2,5,0,9,-79,60,14.1,True
Anthony Davis,3,11,1,5,29,50,13.5,True
Anthony Davis,2,1,0,4,-35,20,15.9,True
Anthony Davis,3,10,1,1,15,6,13.1,True
Anthony Davis,4,4,0,3,24,23,12.6,True
Anthony Davis,4,1,1,0,9,0,5.9,True
Anthony Davis,3,11,0,3,24,20,16.4,True
Anthony Davis,1,1,1,2,23,0,13.1,True
Anthony Davis,4,0,0,0,-7,6,0.0,True
Anthony Davis,3,6,1,2,-27,6,8.8,True
Anthony Davis,3,6,0,2,23,6,12.7,True
Anthony Davis,4,1,1,1,18,6,11.8,True
Anthony Davis,4,10,1,0,0,7,19.0,True
Anthony Davis,3,6,1,1,13,0,10.6,True
Anthony Davis,3,4,1,1,-19,6,13.3,True
Anthony Davis,4,2,1,3,32,1,8.8,True
Anthony Davis,1,7,1,2,23,4,17.0,True
Anthony Davis,4,1,1,1,15,3,7.7,True
Anthony Davis,3,11,1,2,-26,1,3.9,True
Anthony Davis,1,11,1,2,-27,-5,14.0,True
Anthony Davis,3,11,1,1,12,14,12.1,True
Anthony Davis,3,11,1,0,4,1,11.5,True
Anthony Davis,5,4,1,1,-10,0,6.4,True
Anthony Davis,2,5,1,3,23,31,7.1,True
Anthony Davis,2,5,1,3,20,28,15.7,True
Anthony Davis,4,0,1,2,29,1,0.0,True
Anthony Davis,1,6,1,2,28,0,11.8,True
Anthony Davis,4,9,1,1,-10,0,8.3,True
Anthony Davis,2,1,1,2,-26,0,15.4,True
Anthony Davis,3,2,1,1,-16,-6,17.0,True
Anthony Davis,3,9,0,1,15,0,15.1,True
Anthony Davis,1,5,1,1,-4,17,11.2,True
Anthony Davis,3,0,1,3,-21,23,1.1,True
Anthony Davis,2,2,1,1,9,15,9.0,True
Anthony Davis,3,11,1,1,-15,1,3.4,True
Anthony Davis,4,0,1,2,-13,22,0.0,True
