name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Bojan Bogdanovic,3,1,0,5,50,26,12.9,True
Bojan Bogdanovic,2,7,1,5,-49,30,6.3,True
Bojan Bogdanovic,2,8,1,11,110,19,12.6,True
Bojan Bogdanovic,2,8,1,0,0,1,20.6,True
Bojan Bogdanovic,4,4,1,0,0,1,20.6,True
Bojan Bogdanovic,3,11,0,0,-8,0,12.0,True
Bojan Bogdanovic,1,5,1,2,4,25,8.7,True
Bojan Bogdanovic,2,5,0,3,-15,37,4.9,True
Bojan Bogdanovic,1,1,1,1,10,3,17.4,True
Bojan Bogdanovic,1,7,0,1,-10,-2,14.8,True
Bojan Bogdanovic,2,9,0,4,-48,4,4.6,True
Bojan Bogdanovic,3,9,1,1,10,6,20.0,True
Bojan Bogdanovic,4,9,0,2,-23,4,20.6,True
Bojan Bogdanovic,2,7,1,1,-11,6,19.8,True
Bojan Bogdanovic,3,7,0,3,-30,8,7.4,True
Bojan Bogdanovic,2,4,1,1,2,11,20.9,True
Bojan Bogdanovic,2,4,0,4,31,31,14.8,True
Bojan Bogdanovic,2,0,1,1,13,0,21.3,True
Bojan Bogdanovic,1,8,1,0,4,3,20.8,True
Bojan Bogdanovic,2,5,1,2,26,-8,4.0,True
Bojan Bogdanovic,2,11,0,2,24,4,11.7,True
Bojan Bogdanovic,1,7,1,1,13,4,16.1,True
Bojan Bogdanovic,1,2,1,2,-15,14,19.5,True
Bojan Bogdanovic,2,8,1,1,-19,-3,11.1,True
Bojan Bogdanovic,4,10,1,2,-23,-3,7.8,True
Bojan Bogdanovic,2,11,1,1,-8,6,15.0,True
Bojan Bogdanovic,2,4,1,2,-18,14,8.4,True
Bojan Bogdanovic,1,1,1,1,-4,12,21.3,True
Bojan Bogdanovic,3,11,1,1,17,0,21.0,True
Bojan Bogdanovic,1,7,1,1,-4,15,19.9,True
Bojan Bogdanovic,2,8,1,2,0,28,12.2,True
Bojan Bogdanovic,4,4,1,3,31,14,13.7,True
Bojan Bogdanovic,4,10,1,2,23,1,12.1,True
Bojan Bogdanovic,1,7,1,0,0,1,0.0,True
Bojan Bogdanovic,3,8,1,0,0,1,15.4,True
Bojan Bogdanovic,2,6,1,0,-1,4,20.9,True
Bojan Bogdanovic,4,11,1,0,0,1,20.8,True
Bojan Bogdanovic,3,5,1,0,0,1,5.4,True
