name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Boris Diaw,3,0,0,2,4,26,13.9,True
Boris Diaw,4,10,1,0,0,3,16.8,True
Boris Diaw,3,3,1,0,0,7,20.3,True
Boris Diaw,3,2,1,7,56,42,17.0,True
Boris Diaw,3,2,1,1,10,7,10.0,True
Boris Diaw,3,2,0,1,17,8,2.1,True
Boris Diaw,4,6,1,1,12,9,5.4,True
Boris Diaw,2,9,1,1,2,19,7.0,True
Boris Diaw,2,10,0,2,1,22,14.0,True
Boris Diaw,4,8,0,7,67,42,10.3,True
Boris Diaw,3,3,0,5,28,44,15.9,True
Boris Diaw,4,10,0,4,18,39,10.9,True
Boris Diaw,2,7,0,4,40,28,4.2,True
Boris Diaw,2,10,1,7,75,12,2.0,True
Boris Diaw,1,5,1,7,6,71,9.7,True
Boris Diaw,2,9,1,6,36,50,14.3,True
Boris Diaw,3,4,1,5,-2,56,5.0,True
Boris Diaw,3,6,1,3,31,11,9.5,True
Boris Diaw,2,3,1,3,12,34,5.9,True
Boris Diaw,2,8,0,2,20,-6,6.0,True
Boris Diaw,2,9,1,0,1,3,17.3,True
Boris Diaw,2,3,1,2,29,-5,5.6,True
Boris Diaw,2,10,0,2,-4,25,10.1,True
Boris Diaw,2,11,1,0,0,-3,16.6,True
Boris Diaw,1,4,0,0,6,3,18.0,True
Boris Diaw,1,0,1,0,0,-2,10.9,True
Boris Diaw,4,1,1,3,32,9,6.3,True
Boris Diaw,2,2,1,1,17,9,15.1,True
Boris Diaw,1,2,0,0,-8,-3,16.5,True
Boris Diaw,2,10,1,1,0,11,14.5,True
Boris Diaw,4,10,1,0,9,0,17.5,True
Boris Diaw,4,6,1,1,18,7,10.2,True
Boris Diaw,3,0,1,2,21,9,8.3,True
Boris Diaw,1,1,1,3,32,12,6.9,True
Boris Diaw,2,4,0,2,4,22,1.6,True
Boris Diaw,1,2,1,1,9,-6,12.1,True
Boris Diaw,3,5,1,1,-8,14,10.3,True
Boris Diaw,3,7,0,1,-13,7,10.3,True
Boris Diaw,4,2,1,0,-5,-3,10.9,True
Boris Diaw,4,7,0,0,4,0,4.8,True
Boris Diaw,3,4,1,0,-8,4,8.7,True
Boris Diaw,3,1,0,2,24,-8,11.5,True
Boris Diaw,4,5,1,0,0,1,13.9,True
Boris Diaw,2,11,1,10,-100,41,8.0,True
Boris Diaw,4,5,0,8,84,3,8.6,True
Boris Diaw,1,0,1,9,-73,58,6.6,True
Boris Diaw,3,1,1,9,12,96,13.9,True
Boris Diaw,4,8,1,14,-108,93,15.2,True
Boris Diaw,2,4,1,8,1,86,0.0,True
Boris Diaw,1,11,1,10,64,82,10.4,True
Boris Diaw,2,1,1,21,122,176,7.1,True
Boris Diaw,4,5,1,11,116,12,5.8,True
Boris Diaw,4,8,0,15,0,151,2.1,True
Boris Diaw,4,10,0,8,2,89,3.4,True
Boris Diaw,3,2,0,8,-7,86,10.8,True
Boris Diaw,2,11,1,8,-70,44,0.0,True
Boris Diaw,3,8,0,7,47,53,10.6,True
Boris Diaw,1,1,1,9,45,86,13.5,True
Boris Diaw,3,2,1,4,2,41,3.5,True
Boris Diaw,1,2,0,2,-8,26,19.6,True
Boris Diaw,3,0,1,0,1,7,0.0,True
Boris Diaw,2,3,1,7,-32,63,15.3,True
Boris Diaw,4,1,1,12,58,113,7.7,True
Boris Diaw,4,9,0,7,13,75,9.1,True
Boris Diaw,2,9,0,5,29,44,10.5,True
Boris Diaw,2,8,1,5,-26,52,19.0,True
Boris Diaw,4,11,0,7,56,42,12.0,True
Boris Diaw,2,1,1,5,40,30,6.8,True
Boris Diaw,2,11,1,10,32,96,4.3,True
Boris Diaw,4,4,0,7,23,69,12.9,True
Boris Diaw,2,8,1,5,4,52,6.6,True
Boris Diaw,4,2,0,6,4,69,3.8,True
Boris Diaw,4,9,1,6,-18,61,17.2,True
Boris Diaw,1,2,1,1,-4,15,7.2,True
Boris Diaw,1,1,0,4,0,45,0.0,True
Boris Diaw,3,4,1,6,6,63,13.1,True
Boris Diaw,4,10,1,8,2,89,13.2,True
Boris Diaw,3,3,1,3,-37,-10,10.0,True
Boris Diaw,1,5,0,6,-11,66,7.6,True
Boris Diaw,1,3,0,8,15,88,10.1,True
Boris Diaw,4,11,0,6,64,22,8.4,True
Boris Diaw,4,11,1,7,-76,17,11.4,True
Boris Diaw,4,1,0,4,2,48,6.1,True
Boris Diaw,1,1,0,6,67,17,12.7,True
Boris Diaw,4,6,0,8,-78,25,13.0,True
Boris Diaw,4,2,0,4,13,39,9.4,True
Boris Diaw,3,1,0,8,-49,75,7.5,True
Boris Diaw,3,5,0,6,50,45,6.4,True
Boris Diaw,1,7,0,7,69,37,8.1,True
Boris Diaw,2,8,1,5,2,50,5.8,True
Boris Diaw,2,0,1,6,15,67,14.0,True
Boris Diaw,2,11,1,1,1,12,12.0,True
Boris Diaw,4,6,0,3,-32,3,2.0,True
Boris Diaw,2,11,0,8,32,78,5.1,True
Boris Diaw,2,10,0,7,-29,66,8.8,True
Boris Diaw,4,9,1,3,-18,31,12.7,True
Boris Diaw,3,2,1,10,100,12,3.4,True
Boris Diaw,4,3,1,4,45,6,10.7,True
Boris Diaw,2,7,1,5,51,7,10.9,True
Boris Diaw,4,0,1,9,94,22,6.5,True
Boris Diaw,4,6,0,5,50,3,2.7,True
Boris Diaw,2,4,0,24,-111,220,2.9,False
Boris Diaw,3,4,1,25,190,176,9.5,False
Boris Diaw,3,6,0,27,165,225,3.5,False
Boris Diaw,3,1,1,4,6,48,7.5,True
Boris Diaw,3,5,1,10,100,20,7.2,True
Boris Diaw,1,1,1,0,0,1,9.9,True
Boris Diaw,1,1,1,6,-8,61,11.6,True
Boris Diaw,1,4,1,6,9,64,8.0,True
Boris Diaw,3,1,1,6,9,69,3.6,True
Boris Diaw,1,3,1,4,32,37,13.2,True
Boris Diaw,4,10,0,7,31,69,10.0,True
Boris Diaw,3,6,1,6,42,44,8.2,True
Boris Diaw,3,4,1,6,43,42,10.1,True
Boris Diaw,1,2,1,9,65,72,8.0,True
Boris Diaw,4,3,0,7,-75,11,10.8,True
Boris Diaw,2,11,1,3,-18,25,13.6,True
Boris Diaw,1,3,1,7,48,53,12.5,True
Boris Diaw,4,9,1,7,58,50,6.0,True
Boris Diaw,2,0,1,8,-2,88,10.4,True
Boris Diaw,1,1,1,5,-27,47,11.6,True
Boris Diaw,4,10,1,3,20,33,9.7,True
Boris Diaw,3,7,0,14,-139,53,10.4,True
