name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Brandan Wright,1,1,1,0,0,1,18.4,True
Brandan Wright,2,6,1,0,0,1,5.7,True
Brandan Wright,4,9,1,0,0,1,18.2,True
Brandan Wright,2,10,1,0,0,1,16.4,True
Brandan Wright,2,7,1,8,31,74,7.2,True
Brandan Wright,1,1,0,3,-24,31,8.2,True
Brandan Wright,2,2,0,4,-45,4,15.9,True
Brandan Wright,2,4,1,4,-40,26,8.6,True
Brandan Wright,3,2,0,4,-30,34,9.9,True
Brandan Wright,4,9,1,9,4,93,13.0,True
Brandan Wright,1,0,0,3,31,9,12.8,True
Brandan Wright,2,9,0,9,-68,64,7.6,True
Brandan Wright,2,11,0,1,4,12,9.0,True
Brandan Wright,2,11,1,0,0,-6,24.0,True
Brandan Wright,4,5,1,2,-21,14,14.7,True
Brandan Wright,2,8,1,1,-15,-5,15.0,True
Brandan Wright,4,3,0,0,0,-2,10.0,True
Brandan Wright,1,0,0,3,0,37,13.9,True
Brandan Wright,4,10,0,1,-10,11,7.0,True
Brandan Wright,4,0,1,0,0,1,16.0,True
Brandan Wright,2,0,1,0,0,1,1.8,True
Brandan Wright,2,11,1,0,0,1,15.5,True
Brandan Wright,3,1,1,0,0,1,10.8,True
Brandan Wright,2,10,1,0,0,1,24.0,True
Brandan Wright,2,0,1,0,0,1,0.0,True
Brandan Wright,3,1,1,0,0,1,19.7,True
Brandan Wright,4,5,1,0,0,1,13.4,True
Brandan Wright,4,10,1,0,0,1,24.0,True
Brandan Wright,1,2,1,0,0,1,24.0,True
Brandan Wright,4,6,1,0,0,1,24.0,True
Brandan Wright,4,8,1,0,0,1,13.0,True
Brandan Wright,4,3,1,0,0,1,19.5,True
Brandan Wright,3,5,1,0,0,1,24.0,True
Brandan Wright,2,9,1,0,0,1,11.0,True
Brandan Wright,1,1,1,0,0,1,14.2,True
Brandan Wright,2,0,1,0,0,1,2.1,True
Brandan Wright,4,10,1,0,0,1,7.9,True
Brandan Wright,4,11,1,0,0,1,11.6,True
Brandan Wright,2,5,1,0,0,1,8.4,True
Brandan Wright,4,9,1,0,-7,0,24.0,True
Brandan Wright,4,5,1,2,7,20,23.0,True
Brandan Wright,2,9,1,0,0,1,20.9,True
Brandan Wright,4,3,1,1,13,12,20.2,True
Brandan Wright,2,9,0,6,23,56,12.5,True
Brandan Wright,3,5,0,7,61,39,2.0,True
Brandan Wright,4,9,1,1,-10,4,10.6,True
Brandan Wright,3,4,1,0,-7,1,15.5,True
Brandan Wright,2,4,1,1,6,12,3.5,True
Brandan Wright,3,0,0,0,0,1,11.0,True
Brandan Wright,2,6,1,0,0,1,23.8,True
Brandan Wright,4,9,1,0,0,1,19.4,True
Brandan Wright,4,8,1,0,0,1,20.9,True
Brandan Wright,3,4,0,0,0,1,12.7,True
Brandan Wright,2,7,1,0,0,1,5.5,True
Brandan Wright,3,1,0,6,-43,42,4.0,True
Brandan Wright,1,1,1,1,9,7,3.7,True
Brandan Wright,1,4,1,0,1,1,11.2,True
Brandan Wright,2,9,0,3,29,17,9.0,True
Brandan Wright,2,3,0,3,6,31,8.2,True
Brandan Wright,4,10,1,5,2,56,6.0,True
Brandan Wright,2,8,1,5,9,53,17.2,True
Brandan Wright,4,8,1,6,-59,12,16.4,True
Brandan Wright,2,3,0,4,24,42,13.6,True
Brandan Wright,4,6,1,5,1,52,6.1,True
Brandan Wright,3,0,1,6,-45,50,10.5,True
Brandan Wright,3,2,0,4,-43,-5,5.4,True
Brandan Wright,3,2,0,4,-38,30,16.2,True
Brandan Wright,4,1,1,5,13,53,17.0,True
Brandan Wright,2,1,1,7,47,55,11.2,True
Brandan Wright,1,3,1,4,0,41,7.2,True
Brandan Wright,4,10,0,4,-43,15,12.1,True
Brandan Wright,2,11,1,6,-49,36,16.2,True
Brandan Wright,2,4,1,3,-15,36,10.0,True
Brandan Wright,4,11,1,5,2,58,9.0,True
Brandan Wright,3,6,1,3,-29,17,24.0,True
Brandan Wright,3,1,0,5,-11,55,11.0,True
Brandan Wright,4,11,1,4,-11,41,12.3,True
Brandan Wright,4,8,1,19,-164,113,4.0,True
Brandan Wright,4,7,1,5,-29,48,5.9,True
Brandan Wright,1,2,1,7,-71,31,12.2,True
Brandan Wright,3,1,1,8,62,56,7.0,True
Brandan Wright,2,11,0,4,0,44,4.4,True
Brandan Wright,4,7,0,10,-64,83,2.0,True
Brandan Wright,1,5,0,7,24,69,17.7,True
Brandan Wright,4,5,0,12,86,97,3.7,True
Brandan Wright,4,3,0,8,-30,82,13.4,True
Brandan Wright,4,5,1,3,36,15,23.1,True
Brandan Wright,2,10,0,5,6,58,6.2,True
Brandan Wright,3,6,0,7,0,78,11.0,True
Brandan Wright,4,8,1,1,-4,11,13.3,True
Brandan Wright,4,0,1,0,0,7,16.9,True
Brandan Wright,3,1,1,1,10,-3,17.0,True
Brandan Wright,4,10,0,2,-11,26,14.5,True
Brandan Wright,4,11,1,1,2,19,21.3,True
Brandan Wright,1,4,1,2,2,26,17.4,True
Brandan Wright,1,2,1,2,4,23,7.5,True
Brandan Wright,1,1,1,0,0,3,8.5,True
Brandan Wright,2,1,1,0,2,6,13.4,True
Brandan Wright,3,0,1,1,-11,1,2.9,True
Brandan Wright,2,11,1,1,0,14,6.0,True
Brandan Wright,2,6,0,2,21,12,8.1,True
Brandan Wright,2,9,1,0,0,-2,24.0,True
Brandan Wright,1,4,1,1,10,4,16.2,True
Brandan Wright,1,3,1,1,-13,4,16.4,True
Brandan Wright,1,5,1,0,-2,0,15.9,True
Brandan Wright,1,1,0,1,9,16,2.8,True
Brandan Wright,2,10,0,0,-2,0,23.3,True
Brandan Wright,2,3,1,1,1,14,1.0,True
Brandan Wright,4,6,0,0,-4,0,16.4,True
Brandan Wright,2,11,0,1,10,9,13.3,True
Brandan Wright,1,3,0,1,-11,7,15.1,True
Brandan Wright,4,10,1,1,-8,17,9.2,True
Brandan Wright,2,8,1,1,-10,4,7.4,True
Brandan Wright,2,11,0,2,23,15,17.0,True
Brandan Wright,2,11,0,1,15,7,10.3,True
Brandan Wright,1,0,0,2,13,20,0.0,True
Brandan Wright,1,1,1,0,0,1,24.0,True
Brandan Wright,2,10,1,0,0,1,24.0,True
Brandan Wright,3,1,1,0,0,1,24.0,True
Brandan Wright,1,0,1,0,0,1,4.7,True
Brandan Wright,3,3,1,0,7,-2,23.7,True
