name,period,minutes_remaining,shot_made_flag,shot_distance,x,y,shot_clock,shot_2pnt
Brandon Davies,4,2,0,9,9,91,1.4,True
Brandon Davies,2,0,1,17,171,31,8.7,True
Brandon Davies,2,8,1,15,-146,52,8.2,True
Brandon Davies,3,5,1,24,155,195,13.9,False
Brandon Davies,4,9,0,25,-10,257,5.9,False
Brandon Davies,2,11,0,17,-116,135,11.8,True
Brandon Davies,4,2,0,24,242,-24,13.1,False
Brandon Davies,3,0,0,12,-57,107,2.7,True
Brandon Davies,2,6,0,15,116,107,4.8,True
Brandon Davies,2,8,0,25,119,230,3.7,False
Brandon Davies,1,0,0,17,47,164,9.2,True
Brandon Davies,4,1,0,2,-21,-2,18.0,True
Brandon Davies,4,1,1,1,18,0,11.6,True
Brandon Davies,2,11,1,1,13,0,4.3,True
Brandon Davies,1,0,0,2,20,15,0.0,True
Brandon Davies,2,1,0,0,6,-3,10.5,True
Brandon Davies,2,5,0,8,31,75,1.2,True
Brandon Davies,2,11,1,8,64,56,24.0,True
Brandon Davies,2,11,1,1,12,7,20.7,True
Brandon Davies,2,2,0,2,20,11,13.6,True
Brandon Davies,4,5,0,2,-11,25,10.0,True
Brandon Davies,1,5,0,2,26,0,20.3,True
Brandon Davies,1,4,1,0,0,1,14.3,True
Brandon Davies,1,0,1,0,0,1,11.3,True
Brandon Davies,3,2,1,0,0,1,20.5,True
Brandon Davies,3,7,1,1,0,11,11.1,True
Brandon Davies,2,2,1,7,42,66,11.0,True
Brandon Davies,3,6,1,6,65,11,7.1,True
Brandon Davies,1,2,0,10,42,94,0.2,True
Brandon Davies,3,0,0,6,61,25,4.6,True
Brandon Davies,3,6,1,3,31,14,12.0,True
Brandon Davies,1,10,1,6,-67,7,13.7,True
Brandon Davies,2,3,1,8,6,83,9.5,True
Brandon Davies,3,5,0,11,4,119,1.2,True
Brandon Davies,4,3,0,25,-5,255,16.0,False
Brandon Davies,2,5,1,18,-24,187,15.4,True
Brandon Davies,2,3,1,16,-5,165,17.3,True
Brandon Davies,3,4,1,25,-111,230,8.3,False
Brandon Davies,1,2,0,6,64,-6,13.7,True
Brandon Davies,2,2,0,26,152,217,13.3,False
Brandon Davies,4,10,0,5,58,11,0.0,True
Brandon Davies,3,11,1,14,-122,72,9.9,True
Brandon Davies,2,5,1,12,-93,82,24.0,True
Brandon Davies,3,8,1,19,-179,67,9.7,True
Brandon Davies,3,5,1,25,-18,257,10.9,False
Brandon Davies,2,11,1,24,-81,228,6.8,False
Brandon Davies,2,2,1,17,42,172,17.6,True
Brandon Davies,1,3,1,24,-2,246,19.2,False
Brandon Davies,2,2,0,24,7,244,17.4,False
Brandon Davies,3,9,1,24,-153,197,16.8,False
Brandon Davies,1,10,1,24,-70,235,14.0,False
Brandon Davies,3,3,0,24,217,104,23.0,False
Brandon Davies,2,4,1,17,88,154,13.8,True
Brandon Davies,2,2,0,20,-51,201,15.6,True
Brandon Davies,3,1,1,17,135,104,13.4,True
Brandon Davies,1,3,0,13,-87,100,3.6,True
Brandon Davies,1,5,0,4,2,42,11.6,True
Brandon Davies,4,7,0,16,147,80,12.0,True
Brandon Davies,3,3,1,14,-141,-6,16.0,True
Brandon Davies,4,8,0,3,1,33,11.8,True
Brandon Davies,3,2,0,25,-205,156,10.8,False
Brandon Davies,2,7,0,3,31,6,10.8,True
Brandon Davies,3,3,0,6,-48,44,11.9,True
Brandon Davies,4,5,0,25,13,252,6.4,False
Brandon Davies,1,0,0,26,-109,244,17.4,False
Brandon Davies,2,2,0,19,-105,168,9.7,True
Brandon Davies,3,6,0,16,0,168,4.9,True
Brandon Davies,3,6,0,25,-8,258,19.0,False
Brandon Davies,3,7,0,25,-45,250,8.1,False
Brandon Davies,4,11,0,9,-60,71,15.0,True
Brandon Davies,3,10,0,4,-4,44,14.8,True
Brandon Davies,1,1,0,3,23,30,14.8,True
Brandon Davies,1,5,0,25,45,247,15.5,False
Brandon Davies,3,8,0,24,-168,179,2.5,False
Brandon Davies,3,5,0,26,223,134,13.8,False
Brandon Davies,3,11,0,23,-235,-2,13.4,False
Brandon Davies,3,2,0,24,26,247,17.0,False
Brandon Davies,1,1,0,25,1,252,17.6,False
Brandon Davies,3,0,0,24,54,244,15.6,False
Brandon Davies,1,0,0,21,42,206,9.2,True
Brandon Davies,1,9,0,7,-23,67,8.8,True
Brandon Davies,3,10,0,14,-117,83,7.9,True
Brandon Davies,4,10,0,24,34,242,16.9,False
Brandon Davies,4,4,0,25,42,250,17.9,False
Brandon Davies,1,6,0,3,32,15,15.3,True
Brandon Davies,4,5,0,24,-8,242,18.3,False
Brandon Davies,1,8,0,12,-114,48,7.3,True
Brandon Davies,3,5,0,25,-13,255,16.0,False
Brandon Davies,3,0,0,25,13,258,7.9,False
Brandon Davies,1,8,0,22,17,227,11.6,True
Brandon Davies,1,2,0,2,28,1,17.8,True
Brandon Davies,2,7,0,3,31,1,9.7,True
Brandon Davies,4,10,0,1,12,0,7.3,True
Brandon Davies,1,4,0,2,-21,1,24.0,True
Brandon Davies,1,4,0,2,0,26,24.0,True
Brandon Davies,3,5,0,1,-5,14,11.7,True
Brandon Davies,3,6,1,1,12,-13,17.7,True
Brandon Davies,2,7,1,0,6,0,13.0,True
Brandon Davies,4,6,1,1,13,6,9.6,True
Brandon Davies,4,5,0,0,4,0,7.0,True
Brandon Davies,4,11,1,2,1,20,12.8,True
Brandon Davies,1,6,1,1,9,6,12.1,True
Brandon Davies,1,6,0,1,18,4,12.2,True
Brandon Davies,1,2,1,2,-27,1,21.0,True
Brandon Davies,3,11,0,1,-11,15,4.5,True
Brandon Davies,3,3,0,2,26,0,10.9,True
Brandon Davies,1,6,1,1,9,17,18.7,True
Brandon Davies,3,2,1,0,4,3,9.7,True
Brandon Davies,2,7,0,2,20,1,21.0,True
Brandon Davies,2,10,0,2,20,0,20.6,True
Brandon Davies,1,3,0,1,4,11,10.9,True
Brandon Davies,3,1,0,1,-18,-3,10.2,True
Brandon Davies,2,8,0,0,6,4,13.7,True
Brandon Davies,3,7,1,1,-13,0,2.8,True
Brandon Davies,2,8,0,25,-64,242,16.3,False
Brandon Davies,1,1,1,16,136,89,12.7,True
Brandon Davies,1,5,1,24,-34,238,17.8,False
Brandon Davies,1,3,1,13,108,85,8.7,True
Brandon Davies,3,2,1,17,-125,129,2.3,True
Brandon Davies,2,4,1,0,0,4,15.8,True
Brandon Davies,3,5,1,0,4,1,24.0,True
Brandon Davies,3,11,1,10,42,99,9.2,True
Brandon Davies,2,10,1,7,65,26,5.3,True
Brandon Davies,3,7,0,0,2,-2,24.0,True
Brandon Davies,1,0,1,13,-19,135,15.2,True
Brandon Davies,2,11,0,25,-7,255,16.6,False
Brandon Davies,1,6,1,1,12,1,15.2,True
Brandon Davies,3,3,1,0,2,3,24.0,True
Brandon Davies,2,4,1,0,-2,9,24.0,True
Brandon Davies,4,11,0,2,-16,14,24.0,True
Brandon Davies,3,3,0,0,7,3,24.0,True
Brandon Davies,1,4,1,0,4,4,9.2,True
Brandon Davies,4,7,0,2,-27,4,12.0,True
Brandon Davies,1,9,0,9,-87,26,13.0,True
Brandon Davies,1,0,0,6,21,58,14.2,True
Brandon Davies,2,7,1,11,2,119,12.1,True
Brandon Davies,3,1,1,4,9,42,6.6,True
